EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
5300|81628
1855|8312
10577|4864
5604|8837
5310|87
6259|5591
1432|2004
11051|3066
1432|8945
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
5879|4627
3309|27000
23405|3329
3915|3912
5335|5921
9516|23327
5894|598
4869|498
1019|1457
2885|2887
1499|5494
3275|6256
11051|55696
118|3398
4627|54822
22976|10111
4771|6895
2885|3329
4734|6189
7157|2648
3667|857
9113|10413
11034|25824
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
10938|5591
7415|51366
5921|309
5747|4193
7157|51741
4700|4722
14|10076
960|573
5467|8202
3654|3315
7532|8451
7415|1019
1213|4790
9612|8202
9218|4720
10049|10013
3476|79840
26574|1613
166|55072
10458|55971
2537|351
83737|857
5566|1385
2885|6764
5062|5683
6303|8525
6461|6714
6210|79084
4851|5664
2932|8517
2549|5829
3171|1832
6714|4133
1020|351
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
26276|351
4627|302
26524|7533
4221|25942
124583|124583
2040|2040
324|8658
10488|638
4087|23557
10458|55740
5603|7157
1213|409
5599|6464
8452|4722
7444|5599
3064|83737
5300|4303
51377|7295
2730|3665
8945|51741
7531|678
6478|6774
324|598
5591|5052
1937|4193
10013|22985
25855|351
10013|4615
83706|79753
5595|6548
79791|595
11218|23405
8452|7072
5108|55081
3981|1278
10014|3837
8766|3064
6478|8841
2771|5581
4086|2648
57154|7186
1147|8717
7337|301
7184|10399
3725|7443
10399|6774
5594|7157
58|5879
4088|3727
1453|1855
208|9545
226|226
1545|7363
10987|9097
22920|55696
10987|81620
6809|6809
7428|23032
3667|55023
3643|5580
23560|6189
1958|6647
1432|6774
7415|79058
51366|2932
7532|673
3958|5781
81542|7295
4824|7089
1191|5444
4651|805
2185|6774
156|5603
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
6257|7415
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
8837|868
1969|1213
2034|2010
1147|9043
1831|3065
2023|2171
10987|7186
3065|2969
5601|9031
3065|7428
29116|81628
4683|3843
5914|23411
328|6418
3659|4193
27346|6814
83737|51429
8976|4690
9262|351
6502|997
8682|8772
3621|7157
9531|51022
5530|6257
5594|6640
207|23327
5606|9479
29116|7334
2353|351
6789|9218
1956|6850
939|56913
23515|54476
1856|8878
3065|3297
23291|10413
1196|672
10155|5460
7186|10758
166|6733
5052|51
2081|9097
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
26227|6453
10755|613
23433|57120
166|11030
4830|983
1616|3276
8737|8517
3309|23636
23327|79176
5716|8440
5594|1978
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
6389|4729
3030|51
311|4282
1457|1965
3685|7040
23411|4092
3091|613
7414|10381
55294|55294
5467|5970
975|6418
4214|10049
267|23295
51741|5914
5058|10472
2316|7532
6907|1499
7363|7923
1855|1499
1385|6722
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
23291|7832
7072|5094
10755|5578
1130|57060
1020|7917
5074|6523
9564|5770
4609|2033
1432|1956
6789|23085
8452|8450
3190|7157
81628|79718
1956|5802
208|7249
4700|4724
6389|9093
7494|2648
5829|102
1956|5604
3688|7414
5747|7132
2309|57708
847|6786
267|9131
51564|79718
80331|10273
7023|3148
975|4869
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
4199|4199
2241|2065
409|10381
7428|1856
1969|9525
2110|4722
5516|9448
7428|5580
5601|6470
196|4094
4869|4160
4609|4609
3661|2308
3398|5925
6272|10542
55145|5074
3654|857
58|7187
7023|8932
1386|7416
3655|3915
2908|10013
3065|3326
5663|348
7335|331
3925|5568
409|6714
675|2316
578|7416
3315|5898
23368|672
9516|29979
26524|4851
3837|267
871|7171
4790|8837
2739|2171
6478|8554
10987|3858
5966|801
5295|2033
3315|9588
118|667
2060|2534
9070|2033
2683|3728
10572|27
7046|4087
1642|6772
1020|3326
5663|7046
5970|595
2885|835
6772|3654
156|31
8820|9612
1027|1019
1020|5771
351|857
7249|5747
7157|1958
498|93974
1739|23095
25932|5966
6498|51592
351|4609
10241|3142
3643|5562
10818|4915
51065|6188
8440|23043
1385|3066
1432|81
7428|9821
11052|4076
23291|1213
4627|8767
5925|5894
6310|55072
5879|8411
57506|6772
5295|3265
7532|1198
5335|6714
56829|351
409|1019
409|5594
2054|27230
10111|4691
2885|6189
3611|2746
7428|1270
3326|7186
7416|7416
8021|87178
328|1642
2752|10114
10672|2185
1601|1855
351|4763
1051|1054
10379|10379
11331|11218
7533|1198
3265|8315
10728|2065
149041|7332
8202|1147
857|5595
408|6093
2023|4643
23236|5591
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
10645|805
1385|1051
3297|5591
4790|4791
6497|79718
864|4851
10159|23770
6272|54840
4976|664
311|7001
9531|3326
808|8717
4869|497661
8312|7248
4216|5604
10413|7533
6497|4691
5932|5932
3190|5599
3099|6720
2185|309
10603|2534
7428|6189
847|3295
5609|9479
3912|43
7415|118
5590|842
2064|983
6310|11030
7453|7453
28996|28996
5591|1147
23043|23287
50|7915
60485|26524
2192|10252
5599|23411
5300|55201
5747|10273
4983|5879
5310|9564
7155|983
5292|6502
1457|3065
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
664|7052
3643|8878
1386|10972
148281|8567
10010|9546
310|7157
4790|801
9653|128869
408|1213
8569|79155
5879|7410
6517|3417
4088|5371
8891|8531
8945|994
7428|1291
23291|8660
408|498
998|4294
2118|2629
4792|5610
4952|1213
1365|5566
4609|8878
9572|351
5604|2887
4869|3956
10381|55023
4193|6872
3299|3297
5970|9131
1432|8841
1785|6453
5603|4216
1020|55083
4086|4853
149428|23557
4087|93649
648|4830
4163|54205
7531|23476
128|351
1029|598
1936|1937
6792|23499
6275|331
51026|5119
10600|2353
8450|808
9545|351
4088|57680
5693|5683
3661|3843
5058|5879
4627|1601
5527|5562
3476|22948
2782|2534
8841|11331
4609|9968
5170|5604
7186|2081
3476|4282
4193|6597
8767|8517
7159|301
8660|983
5925|3065
4292|4728
1616|4629
10603|2064
10891|5594
1432|994
672|2316
1948|8892
1956|808
4194|351
3315|3476
672|7168
3064|4294
6591|3065
5608|5970
3717|6513
5601|3726
2885|7532
2885|966
2752|204851
4628|4691
10458|10458
6640|128
8841|2874
10131|4089
25942|7468
5058|10174
10114|1616
311|306
6881|6881
7415|81
9531|10174
4729|51079
4792|4792
5468|1051
2316|960
10381|2885
25865|4086
4486|7525
4869|2034
3065|9070
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
65018|7052
226|2739
1956|14
2771|302
5204|7716
112398|112398
6548|7132
5683|7415
3661|7187
1760|5894
2074|5424
10159|387
22985|7532
8021|8021
5594|5213
5062|6194
5460|7026
7184|3309
3065|5929
8452|2730
3672|5771
4204|5468
2931|4077
3845|8945
578|7337
3091|6714
989|5966
2023|43
1956|7443
7415|572
54974|51100
7428|6513
1649|1051
1956|27
5580|7037
3958|351
11331|6189
11140|8878
9618|1499
3925|5603
1499|4771
4214|2317
3643|5771
6794|79155
1457|55145
1432|572
7879|5119
226|6648
7879|9114
55752|7189
5536|10672
4216|6711
2010|4000
56957|79155
3845|351
8841|7155
57506|6714
836|9191
3956|2969
6616|6812
23236|6711
23411|9611
5747|6714
2321|5335
4609|5601
4000|9031
1540|4646
10253|10252
9611|10155
9577|10342
3655|351
2885|26999
334|5578
27086|7157
2033|9500
5728|331
8837|4088
5936|2034
7531|6885
5599|3297
409|4691
7001|2956
9968|9968
2241|8503
4087|5601
7161|81620
472|6240
2316|4000
5566|5568
8239|9020
8837|7157
55681|6189
7531|805
10892|7189
3315|81
1457|9049
9146|23636
4163|6801
22985|51755
836|637
9255|351
8452|23770
1499|604
847|351
324|4646
27086|27086
11128|10623
10013|2932
6257|10621
8945|10277
25942|5970
2908|2782
1965|836
2317|7415
51366|7164
4000|1636
10987|23318
6714|1072
2908|5598
353376|51135
598|8660
26060|5590
7168|7184
5607|2023
5213|5211
5316|6929
29979|2060
3309|10542
2011|23303
5585|5585
5371|5300
4292|8930
4722|4719
79155|1147
11284|23287
7335|10273
8772|8772
2885|5530
3654|9618
2896|51701
10580|4609
6468|22948
10163|8976
26060|3397
6840|2040
805|818
3726|672
57142|6714
7186|8772
8452|3251
7132|5879
3163|2908
6647|55681
58|7094
672|5970
51592|8861
7249|857
4860|7157
2060|9146
26524|222484
3297|4831
4700|4728
3840|7052
3654|8772
23295|4734
253980|387
2353|2962
673|369
8452|51119
3315|7157
8613|351
23327|997
4790|5468
6850|5296
3064|2885
3092|5966
5295|153090
1385|818
1457|4205
5578|6616
51741|26999
5598|7531
8525|3265
4154|3190
166|166
2033|7392
6648|7001
2494|5566
23557|8943
10273|7186
4734|6198
7536|3190
578|598
5562|2011
672|6597
10014|9588
329|329
2277|8754
4724|4710
27429|4976
6881|2648
8878|9611
7188|11140
29110|498
10458|26999
2033|4094
1956|7531
7295|23636
5594|5925
54872|351
409|3326
4292|9131
51141|29979
7132|808
3516|3569
11124|11124
5341|5580
2023|3066
1130|9968
2885|5747
5341|7046
90780|207
5781|2185
3065|7431
5599|3725
604|6597
1956|8813
3875|5590
4163|8517
23368|2064
1956|8892
2534|4690
219771|79084
5610|5610
28996|8717
6929|2033
10488|6515
409|6772
1956|2771
648|6733
5530|998
476|6188
10253|2885
5871|7186
28996|3065
3065|5087
1027|7531
857|7037
4087|4090
4628|8766
9612|1051
4627|4791
23133|5914
51564|6907
2034|11331
1454|8312
4609|128239
149428|149428
23162|9479
1540|7189
11140|10273
4221|4221
7879|8766
2023|48
84447|4627
8450|7089
351|2192
10580|5062
207|2033
55294|4644
8450|8531
6733|29116
302|351
2889|2885
57154|7431
3309|7186
4218|10938
11315|4722
3065|5914
835|4193
6733|79576
10766|10766
7067|8841
351|1191
4218|7037
1977|7189
2549|6464
91|57154
10014|2806
4092|4734
5468|8204
3309|3398
7184|9255
2023|6885
1213|7132
6453|5204
1642|6502
3727|4089
2110|51079
2033|208
4294|27
4790|5062
4690|323
10014|5094
5300|5770
55366|22985
81628|23291
8315|8315
10783|10783
2335|5683
1147|805
6478|51196
7057|7422
10342|6714
3309|4691
5338|5580
51377|1832
4627|7126
7186|7531
1965|8891
11124|3611
4734|1020
7189|56957
1032|595
9451|9451
10987|5580
8312|28996
7205|5747
10987|6194
1540|10013
5594|5791
8660|5295
6256|406
51026|998
5074|5371
662|351
1386|3875
2040|5568
5911|9448
5058|961
3329|3688
5664|320
79594|207
23327|7334
2033|5371
6901|4041
8452|5610
6774|4086
5581|1832
10159|8766
10628|3065
4830|6095
10987|5052
4869|2023
3654|10273
3958|871
54602|2534
939|7187
56898|56898
29110|4791
8841|5087
23411|6720
3667|5291
5058|5894
497661|6189
1649|1386
672|9093
5108|10458
3621|3066
2081|7132
7532|5289
581|331
2648|4830
5728|5728
4170|8658
3612|5333
25942|51564
7186|8204
10938|8539
9479|5599
208|842
4627|64428
7013|1936
9500|9500
5970|9093
51429|51429
4831|25824
8841|4790
83737|5460
4609|23318
4869|4869
5300|6647
3725|408
5530|572
6774|3066
10514|10891
55847|23673
1457|2997
2969|4792
4089|4790
472|79791
114609|5610
7923|84869
5578|7832
408|7533
153|408
23414|3065
29110|3665
7188|4217
5580|5770
672|1874
948|7525
3092|9516
598|842
409|4214
5594|7132
2335|3936
4609|3066
4055|9618
10381|7018
207|6789
10514|7428
7536|7332
1457|405
7046|9043
2335|16
3309|5728
5581|7416
7532|5295
6188|6194
1386|22948
11284|351
3875|5894
4851|9253
4194|10111
79084|4086
54205|598
4683|2956
51377|29844
9218|7415
2033|3516
7186|9821
10725|5335
1072|5052
4700|7917
1956|5594
672|285464
5300|2280
3611|8813
23633|3838
4088|1601
4170|637
9611|2874
6714|5786
80762|5728
5295|3717
4218|7917
5211|7094
2004|5204
51701|51701
10514|11331
5664|6717
4087|476
5829|7094
1676|5413
23542|10939
4627|81844
23291|8517
324|1454
4700|4710
7132|7187
1936|5716
4193|5932
153090|207
5595|5791
8878|1500
1977|10273
54106|81622
30844|158
6198|983
5422|7157
54602|4734
64428|351
5300|1642
7428|2896
4780|10155
3726|334
2004|2885
23787|7419
2752|2885
9444|9444
8452|22948
6885|9448
805|805
51684|8554
1856|5562
3295|6648
801|8767
2625|5469
207|8682
3190|55696
868|148022
1429|1429
948|351
5292|5300
1432|6464
7178|7178
1386|7532
6774|5970
7013|55971
4691|7416
10014|4830
6901|1292
6722|5970
2889|6574
1432|55031
7048|7189
3065|4609
6497|23411
409|6733
9531|9131
8829|8829
8737|54476
10494|6801
4824|10116
7186|7295
10987|6464
1385|7157
1454|4040
2023|8767
29979|51499
1936|5295
11331|6210
1192|4292
10342|5603
1956|27346
196|9612
7186|7525
54106|7096
5289|10155
672|2969
9612|8841
8204|10014
8452|488
5170|3611
11218|9612
8945|25937
2065|7410
409|7531
5585|7186
156|2782
1856|387
5130|6284
3655|6464
1856|7525
4194|2033
3306|5693
26524|7532
1386|7171
8945|4193
25942|25855
5525|8313
2962|3838
10758|7335
7132|5295
6194|7428
2064|6774
3476|93100
54949|6241
1385|6196
7525|9846
3837|3838
7415|3329
8452|7431
23390|5295
4790|1191
26060|3065
4609|2956
4217|11315
8202|57591
4193|10206
10273|7415
10626|351
7186|801
6794|1967
5025|23534
4292|6624
6275|6275
2335|4691
1499|3065
5025|9653
6840|4831
2060|8867
7048|1616
5728|7157
10514|5094
10155|51592
5591|2969
389|7189
7337|302
1072|2023
8694|8694
2068|2068
2060|9253
408|4719
5594|3845
8805|5371
5728|8503
8451|7184
328|382
5058|572
29844|29844
8452|23636
6210|9020
51119|7419
207|5578
7430|9368
2885|302
8452|3858
8452|8531
23411|406
10049|351
9821|6497
23673|10938
54476|7100
27429|9113
408|55681
1192|8517
811|351
8451|6188
1977|3837
55696|9092
5829|2185
323|538
55600|55600
331|836
5058|7431
10848|10848
1029|81
2534|23028
23390|6616
207|25998
8697|983
55366|56957
5335|2885
4791|5693
5580|7431
3092|55081
3725|81
1051|7157
1739|4215
51741|3315
55201|567
1195|134549
5018|5018
7430|8767
4000|1499
55366|23513
6548|6885
3064|3708
10111|2648
10987|6189
1432|1457
10987|351
1601|1213
1072|476
1213|7415
4089|5898
4087|4976
2045|2782
51026|966
6497|6188
85365|22872
5601|207
6640|153
5594|6464
5578|7431
4000|4000
23235|3315
6188|7186
2309|1499
334|5601
409|10273
5830|5828
1147|5970
2947|5062
331|7332
5598|7157
311|302
55715|23028
801|8878
394|5829
409|1072
2534|3655
1147|8239
84168|5609
5525|6464
8452|476
672|405
572|665
1642|10987
9612|1874
5119|5119
5595|8021
11315|8772
5585|5929
23043|6885
7879|1072
1969|7046
6240|648
5791|5802
7419|9114
4853|3516
26999|10163
7168|7171
1601|7048
4691|55681
7159|80829
2060|2060
672|7013
5204|10342
6453|8867
10155|5062
2885|10342
27306|9536
5991|5991
1213|7532
6389|4728
2335|11331
595|896
7050|3725
23291|51366
8775|6616
23236|5594
6714|868
5728|5608
9500|23633
1457|6772
10755|54910
208|4486
7531|27018
