EntrezGeneID1|EntrezGeneID2
5879|23568
5300|81628
1855|8312
10577|4864
55366|23310
6259|5591
1432|2004
56254|51322
1432|8945
55294|29079
5469|5469
7533|5062
10672|7046
6602|64599
2624|161882
23081|3065
5879|4627
3309|27000
84687|5499
5335|5921
5894|598
1019|1457
672|2355
2885|2887
1499|5494
3275|6256
22955|8467
6871|10025
10987|8607
2288|10728
5499|5568
7319|1029
4627|54822
22976|10111
1017|3398
3065|6883
4734|6189
6601|5978
1786|53615
7157|2648
9113|10413
4090|23451
5747|1605
4929|5915
51393|7442
10252|868
10938|5591
5921|309
86|79718
5747|4193
7157|51741
4700|4722
960|573
5467|8202
23394|6601
3654|3315
7532|8451
996|996
1213|4790
9612|8202
8451|8467
10049|10013
5970|8986
5566|1385
2885|6764
6303|8525
4851|5664
2549|5829
6714|4133
1020|351
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
4627|302
26524|7533
5130|9025
4221|25942
25836|5538
51548|2317
324|8658
57332|57332
4087|23557
1213|409
5599|6464
8452|4722
7444|5599
3064|83737
5300|4303
8945|51741
6045|2317
324|598
5591|5052
30827|80335
10013|4615
79791|595
11218|23405
5747|4678
83860|79595
5245|6189
8766|3064
1432|4209
6478|8841
10987|56254
3476|53615
2771|5581
4086|2648
4088|6601
1017|9113
3065|8360
1147|8717
1051|1387
2067|6879
7337|301
3301|4790
1786|30827
3725|7443
2648|6877
5594|7157
58|5879
4088|3727
1453|1855
4831|10856
10987|9097
10006|5296
10987|81620
6809|6809
7428|23032
3667|55023
3643|5580
1958|6647
51366|2932
7532|673
4824|7089
1788|130557
8726|8289
7531|3983
1432|5371
11315|204851
2034|25942
4038|25861
55366|4297
4790|5607
5581|6868
6777|351
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
57634|80314
1810|11091
3065|2969
498|6199
5601|9031
3065|7428
2969|4929
29116|81628
7059|222229
5914|23411
10933|86
29127|4294
5532|7942
9262|351
5530|6257
5594|6640
207|23327
5606|9479
3066|83933
29116|7334
6871|2648
2353|351
1956|6850
939|56913
9063|9063
3065|3297
1196|672
10155|5460
166|6733
2081|9097
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
408|8361
10755|613
10987|8365
4830|983
1616|3276
672|23512
23327|79176
5716|8440
5594|1978
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
311|4282
6879|2118
1457|1965
3685|7040
23411|4092
11091|51562
3091|613
55294|55294
5467|5970
975|6418
5829|84661
4214|10049
51741|5914
5058|10472
2316|7532
367|4193
6907|1499
1855|1499
9063|2908
1385|6722
2068|983
1827|7189
4728|11331
6733|8726
6934|7248
23411|3309
7046|7040
7494|7494
8850|10629
1017|57591
10755|5578
1130|57060
6464|7175
1020|7917
23345|7040
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
7027|1387
8452|8450
81628|79718
10592|25942
1956|5802
54764|57332
84661|87178
208|7249
8805|57332
4700|4724
1487|93986
7494|2648
1956|5604
7431|11143
847|6786
11143|27154
51564|79718
7023|3148
79084|6597
1386|306
10987|79791
10987|7001
5914|5469
22976|51720
22954|29979
2241|2065
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
1969|9525
51377|8361
5516|9448
7428|5580
196|4094
4609|4609
3611|79888
3398|5925
55145|5074
2624|6500
53615|3725
1017|8531
7023|8932
1386|7416
1642|4926
2908|10013
5663|348
8440|23522
3925|5568
409|6714
6879|6879
675|2316
578|7416
11143|8361
3315|5898
23368|672
10013|8359
3309|6667
26524|4851
7528|351
10987|3858
56943|56970
5295|2033
3315|9588
123169|6879
1054|1017
9070|2033
1147|5499
10572|27
7046|4087
10253|10817
23543|3202
9252|2908
5663|7046
5970|595
2885|835
93986|116113
5469|29079
6314|3912
2885|8365
8820|9612
1027|1019
1020|5771
10459|51343
7249|5747
7157|1958
1487|9063
498|93974
1739|23095
351|4609
4851|5928
5727|2683
51065|6188
1616|8364
8440|23043
1874|367
6045|57332
1385|3066
7319|7319
4282|54984
51111|51111
