EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
57154|3309
5300|81628
1855|8312
10206|396
10577|4864
5604|8837
6477|5932
5310|87
55366|23310
149041|7327
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
7917|84292
5469|5469
10014|7037
10672|7046
26227|2885
55832|1832
5879|4627
3309|27000
2074|55832
23405|3329
3915|3912
84687|5499
10905|11253
5335|5921
9516|23327
4869|498
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
8454|6631
153090|8454
7879|57403
5499|5568
7319|1029
118|3398
4627|54822
4771|6895
1017|3398
2885|3329
4734|6189
7157|2648
2734|5966
11060|1605
9113|10413
11034|25824
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
8452|4976
7415|51366
5921|309
5997|2776
5747|4193
7157|51741
4700|4722
3178|2969
14|10076
6045|55759
960|573
648|11171
3654|3315
7532|8451
996|996
7415|1019
1213|4790
4734|7322
9218|4720
10049|10013
2023|3187
3476|79840
26574|1613
166|55072
10458|55971
2537|351
26270|3074
5566|1385
2885|6764
54984|7430
6303|8525
5566|5705
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
4778|5195
3661|64750
6714|4133
1020|351
27316|51340
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
23133|55183
4627|302
26524|7533
5130|9025
4221|25942
124583|124583
6631|10498
7322|115426
57154|3622
3265|8036
10014|27316
5914|6477
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
5599|6464
8452|4722
3064|83737
5300|4303
2885|5930
51377|7295
2730|3665
8945|51741
7531|678
6478|6774
6045|2317
324|598
1937|4193
81559|7322
10013|22985
25855|351
10013|4615
83706|79753
5595|6548
79791|595
57154|3178
11218|23405
8452|7072
5108|55081
3981|1278
10014|3837
8766|3064
1432|4209
6478|8841
5701|5693
6102|1454
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
23640|7186
10987|6631
10399|6774
26058|6631
5594|7157
58|5879
4088|3727
1453|1855
208|9545
4086|58533
4670|6636
10987|9097
22920|55696
10987|81620
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
2132|2132
23020|23020
1958|6647
1432|6774
7415|79058
51366|2932
3958|5781
81542|7295
4824|7089
1191|5444
4651|805
156|5603
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
6257|7415
4038|25861
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
1969|1213
58517|6625
2034|2010
1147|9043
4292|5887
1831|3065
10987|7186
3065|2969
498|6199
5601|9031
26121|10291
3065|7428
7251|4193
29116|81628
8517|22938
7059|222229
4683|3843
5914|23411
24148|58517
26270|3187
81620|51433
3659|4193
27346|6814
83737|51429
8976|4690
29127|4294
5728|6231
6636|84967
9262|351
6502|997
8517|396
2261|5335
23580|10801
8682|8772
3621|7157
9531|51022
5530|6257
5594|6640
207|23327
5606|9479
29116|7334
23263|6194
2353|351
6789|9218
3801|10540
7013|28988
79654|10892
4869|24148
1956|6850
939|56913
4163|10569
8751|7525
1856|8878
3065|3297
23291|10413
10419|84844
10155|5460
7186|10758
396|637
56652|6613
166|6733
1017|3146
4772|8554
2081|9097
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
26227|6453
7415|6500
5966|6500
10755|613
23433|57120
5580|6944
166|11030
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
672|23512
23327|79176
5716|8440
5594|1978
1832|5663
801|6249
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
7094|9898
2771|4691
311|4282
6772|55832
1031|55183
3685|7040
2962|688
23411|4092
8450|23348
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
4214|10049
267|23295
8454|6434
51741|5914
5058|10472
2316|7532
6907|1499
1855|1499
4088|64219
1385|6722
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
23291|7832
1017|57591
7072|5094
5683|5682
2152|2152
10755|5578
1130|57060
6464|7175
1020|7917
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
7027|1387
6789|23085
8452|8450
81628|79718
6944|3276
10592|25942
1956|5802
54764|57332
208|7249
8805|57332
4700|4724
7324|10425
7494|2648
6774|6778
5829|102
10397|6231
1956|5604
23512|51747
3688|7414
5747|7132
2309|57708
4163|23020
847|6786
267|9131
9092|22938
51564|79718
7023|3148
975|4869
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22954|29979
409|10381
7428|1856
1969|9525
10013|6249
3082|5328
8454|4193
5516|9448
7428|5580
396|1967
5601|6470
8450|55832
196|4094
51257|7328
58517|6426
4609|4609
3611|79888
26270|80267
23390|79654
5108|23392
3661|2308
472|6477
3398|5925
6272|10542
8454|29127
55145|5074
4090|7844
3093|7428
3178|3326
207|3178
2624|6500
6733|27316
26270|6426
8945|55759
5879|10928
2334|4690
10131|84844
58|7187
1017|8531
7023|8932
1386|7416
1017|5094
3655|3915
1642|4926
2908|10013
3065|3326
5663|348
7335|331
672|1634
90678|3297
3925|5568
9101|6778
409|6714
4292|9898
675|2316
578|7416
29110|4670
3315|5898
23368|672
9516|29979
3309|6667
26524|4851
7528|351
3837|267
871|7171
4790|8837
2885|51185
7157|6613
6478|8554
10987|3858
5966|801
5295|2033
3315|9588
118|667
1054|1017
1147|5499
