EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
1855|8312
10206|396
5310|87
1432|2004
1432|8945
5469|5469
10014|7037
10672|7046
5879|4627
3309|27000
23405|3329
3915|3912
5335|5921
9516|23327
1499|5494
7319|1029
4627|54822
4771|6895
1017|3398
4734|6189
7157|2648
2734|5966
51393|7442
4609|23085
5921|309
5747|4193
4700|4722
5467|8202
3654|3315
7532|8451
54778|7508
9612|8202
9218|4720
10458|55971
5566|1385
6303|8525
4851|5664
2932|8517
2549|5829
6714|4133
1020|351
6714|5295
4627|302
26524|7533
4221|25942
124583|124583
57154|3622
3265|8036
4087|23557
10458|55740
5603|7157
5599|6464
8452|4722
3064|83737
5300|4303
51377|7295
2730|3665
324|598
1937|4193
10013|22985
10013|4615
83706|79753
5595|6548
79791|595
11218|23405
8452|7072
10856|29110
10014|3837
4086|2648
57154|7186
1017|9113
1147|8717
5594|7157
4086|58533
6809|6809
7428|23032
3667|55023
3643|5580
1958|6647
1432|6774
51366|2932
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
5581|6868
4193|57154
6777|351
2034|2010
3065|2969
5601|9031
3065|7428
4683|3843
5914|23411
3659|4193
9262|351
8517|396
8682|8772
3621|7157
207|23327
23263|6194
2353|351
6789|9218
7013|28988
1956|6850
939|56913
8751|7525
3065|3297
10155|5460
7186|10758
396|637
5052|51
2081|9097
7186|9994
6050|283
472|10155
5295|1969
4193|55967
10755|613
6285|10397
8737|8517
3309|23636
23327|79176
5594|1978
10728|7189
4615|4088
9344|5606
3685|7040
23411|4092
3091|613
5467|5970
2316|7532
1855|1499
1385|6722
2068|983
4436|8517
4728|11331
7187|329
6934|7248
23411|3309
7046|7040
8737|329
7494|7494
4609|3837
23291|7832
7072|5094
10755|5578
1130|57060
1020|7917
5074|6523
4609|2033
1432|1956
1017|3983
6789|23085
8452|8450
1956|5802
208|7249
7494|2648
5829|102
5747|7132
2309|57708
847|6786
7023|3148
2353|5536
1386|306
1540|142678
7189|51135
5914|5469
1278|960
22954|29979
409|10381
7428|5580
196|4094
4609|4609
3398|5925
1386|7416
1017|5094
3655|3915
2908|10013
5663|348
3925|5568
409|6714
675|2316
578|7416
3315|5898
23368|672
9516|29979
26524|4851
7528|351
4790|8837
5295|2033
3315|9588
1054|1017
2683|3728
7046|4087
5663|7046
5970|595
6772|3654
8820|9612
1027|1019
7249|5747
7157|1958
23390|6507
1739|23095
6498|51592
351|4609
1201|51144
51065|6188
1385|3066
7319|7319
4627|8767
6310|55072
57506|6772
5295|3265
5335|6714
56829|351
409|1019
409|5594
3611|2746
7428|1270
7416|7416
8021|87178
351|4763
1051|1054
10379|10379
11331|11218
3265|8315
10728|2065
26585|7533
8202|1147
408|6093
23291|1020
7157|83737
4691|5094
6497|3329
1385|1051
864|4851
10159|23770
6272|54840
8312|7248
6497|4691
5932|5932
3716|6774
7428|6189
3912|43
2064|983
6310|11030
7453|7453
28996|28996
23043|23287
5599|23411
5747|10273
4983|5879
7155|983
5292|6502
6259|2049
5581|8682
5460|5460
3643|8878
10010|9546
9653|128869
4088|5371
7428|1291
2118|2629
65057|51119
1365|5566
4609|8878
9572|351
10381|55023
8452|83695
4193|6872
1020|55083
4086|4853
149428|23557
4087|93649
7531|23476
128|351
1029|598
1936|1937
51026|5119
1984|6386
5693|5683
3661|3843
2782|2534
7186|2081
4193|6597
8767|8517
5925|3065
4292|4728
7319|966
672|2316
5515|4215
4194|351
8751|23636
672|7168
6591|3065
3717|6513
5601|3726
4628|4691
10458|10458
10131|4089
6881|6881
4792|4792
41|41
2316|960
25865|4086
4486|7525
3643|3643
4214|387
3516|55031
2309|9181
1956|14
112398|112398
6548|7132
3661|7187
2074|5424
10159|387
22985|7532
8021|8021
5460|7026
7184|3309
8452|2730
3845|8945
3091|6714
2023|43
7428|6513
5580|7037
11331|6189
54778|7188
3925|5603
1499|4771
6794|79155
1432|572
5536|10672
2010|4000
56957|79155
3845|351
57506|6714
836|9191
3956|2969
23236|6711
23411|9611
5747|6714
7528|29844
2321|5335
4609|5601
4000|9031
1540|4646
10253|10252
9611|10155
3655|351
1017|16
334|5578
27086|7157
2033|9500
4086|7508
8837|4088
7531|6885
5599|3297
409|4691
7001|2956
4087|5601
7161|81620
2316|4000
5566|5568
6386|8408
8239|9020
8837|7157
998|23580
10892|7189
9146|23636
836|637
9255|351
8452|23770
1499|604
847|351
7398|7398
324|4646
27086|27086
11128|10623
10013|2932
2734|4792
8945|10277
25942|5970
2908|2782
51366|7164
6714|1072
2908|5598
353376|51135
57154|3716
7168|7184
5316|6929
2011|23303
5371|5300
4292|8930
79155|1147
11284|23287
7335|10273
8772|8772
10580|4609
6468|22948
10163|8976
26060|3397
3726|672
57142|6714
7186|8772
8452|3251
7132|5879
3163|2908
672|5970
10856|6502
4860|7157
4700|4728
3654|8772
253980|387
2353|2962
8452|51119
3315|7157
3092|5966
5295|153090
1385|818
5598|7531
8525|3265
2033|7392
6648|7001
10273|7186
4734|6198
578|598
672|6597
10014|9588
329|329
2277|8754
6881|2648
8878|9611
2033|4094
1956|7531
7295|23636
5594|5925
10856|9020
11124|11124
2023|3066
1017|7533
5599|3725
604|6597
23368|2064
28996|8717
6929|2033
409|6772
5530|998
476|6188
7319|23304
2778|60626
28996|3065
3065|5087
1027|7531
4087|4090
9445|197131
9612|1051
23133|5914
2034|11331
4609|128239
149428|149428
1540|7189
23263|6210
4221|4221
207|2033
302|351
3309|7186
11315|4722
3065|5914
835|4193
10766|10766
351|1191
1977|7189
2549|6464
91|57154
4092|4734
3309|3398
7184|9255
2023|6885
8517|5515
2033|208
10014|5094
55366|22985
4790|7528
8315|8315
10783|10783
2335|5683
7057|7422
10342|6714
3309|4691
4627|7126
7186|7531
11124|3611
4734|1020
7189|56957
8945|3182
1032|595
9451|9451
8312|28996
7205|5747
1540|10013
51026|998
5074|5371
662|351
3329|3688
5664|320
79594|207
5728|6386
23327|7334
2033|5371
1017|55636
6774|4086
23705|6386
10628|3065
3654|10273
54602|2534
939|7187
3667|5291
497661|6189
672|9093
5108|10458
3621|3066
2081|7132
1017|7168
5728|5728
7013|396
25942|51564
208|842
4627|64428
7013|1936
9500|9500
5970|9093
83737|5460
4609|23318
5300|6647
3725|408
5530|572
6774|3066
2969|4792
4089|4790
472|79791
5578|7832
8625|11331
408|7533
29110|3665
7188|4217
672|1874
3092|9516
598|842
409|4214
5594|7132
4609|3066
10381|7018
11171|11218
207|6789
2335|16
3309|5728
5581|7416
7532|5295
6188|6194
1386|22948
11284|351
4851|9253
4683|2956
51377|29844
2033|3516
10725|5335
1072|5052
4700|7917
1956|5594
5300|2280
23633|3838
80762|5728
5295|3717
2768|5578
51701|51701
5664|6717
5594|8649
4087|476
23542|10939
4627|81844
23291|8517
4700|4710
7132|7187
1936|5716
2734|4790
4193|5932
153090|207
1977|10273
6198|983
5422|7157
54602|4734
64428|351
1017|6711
8751|6714
4780|10155
10856|26060
3726|334
8452|22948
5802|197131
2625|5469
207|8682
5292|5300
1432|6464
7178|7178
1386|7532
6774|5970
7013|55971
4691|7416
6722|5970
1432|55031
7048|7189
3065|4609
6497|23411
409|6733
8829|8829
8737|54476
4824|10116
7186|7295
1385|7157
2023|8767
3716|3667
1936|5295
11331|6210
10342|5603
196|9612
7186|7525
54106|7096
672|2969
8452|488
11218|9612
8945|25937
409|7531
3655|6464
4194|2033
3306|5693
26524|7532
1386|7171
8945|4193
2962|3838
10758|7335
7132|5295
6194|7428
2064|6774
396|6714
3579|23770
1385|6196
7525|9846
3837|3838
23390|5295
4790|1191
26060|3065
4609|2956
4217|11315
4193|10206
10626|351
5025|23534
6275|6275
2335|4691
1499|3065
5025|9653
7048|1616
5728|7157
10155|51592
389|7189
1072|2023
2068|2068
6615|8945
5594|3845
10342|25836
8451|7184
29844|29844
8452|23636
6210|9020
51119|7419
207|5578
23411|406
54476|7100
27429|9113
7508|2071
8451|6188
1977|3837
323|538
55600|55600
2534|23028
207|25998
8697|983
55366|56957
1051|7157
2768|9826
1739|4215
4000|1499
55366|23513
6548|6885
3064|3708
1072|476
4089|5898
2045|2782
51026|966
6497|6188
5601|207
5594|6464
4000|4000
6188|7186
2309|1499
334|5601
409|10273
1147|5970
2734|5970
5598|7157
1017|8450
394|5829
409|1072
2534|3655
1147|8239
8452|476
672|405
1017|2950
572|665
9612|1874
5119|5119
5595|8021
11315|8772
23043|6885
1969|7046
4853|3516
7168|7171
7159|80829
672|7013
2335|11331
23291|51366
23236|5594
9500|23633
208|4486
7531|27018
7531|9846
3064|1499
8795|80762
79594|79594
3725|667
3622|25942
4792|5300
4088|23592
4088|9191
4609|8985
5598|5371
8945|9612
7531|7040
4133|87
51564|51564
581|2074
10014|6885
4000|23633
3315|5568
6794|2011
3685|7057
5530|5728
6929|7391
3064|51100
10783|6198
3661|10522
2353|5300
5581|581
2898|6386
637|578
6885|23085
7335|22954
207|4194
6850|7189
9270|351
4204|6497
3265|51196
351|1072
5578|7157
6502|7528
5300|1017
8738|7448
7157|7508
23327|1613
6772|58533
10758|7189
54820|983
10210|5879
10273|4215
11171|3364
5594|3091
5594|2950
7023|672
7319|4193
6502|1017
23263|23405
5621|55696
5728|10381
23476|23210
5595|7421
10939|351
4771|9368
6733|7163
5587|3725
10580|5747
3665|10155
4609|4780
2316|2778
5580|2931
1017|302
324|1936
10131|25824
92140|10210
26524|7159
5911|5911
1956|7186
7157|10273
3516|8473
396|3182
861|861
10818|10253
387|5566
7531|9181
5599|56940
2033|11171
5300|5914
9146|10174
391|4089
114609|3716
5868|5868
51026|27032
29965|29979
26524|324
7531|8239
1017|3925
4087|3665
1017|675
9611|861
1017|85440
3315|5566
3065|8820
5516|5515
11124|23291
8451|8945
23263|6189
4771|6386
4088|57669
4000|8021
491|5578
7168|7168
1017|5595
57154|6210
8717|8737
2782|4215
3516|5087
10672|9826
8517|10892
10580|8751
4609|7157
10014|6188
7189|998
10013|8239
3725|6872
3654|22954
10783|10935
3065|10155
5879|3840
3516|9612
10755|6513
5566|9218
5796|5829
4086|10273
4000|665
11186|7132
5335|54541
1029|4691
7168|29844
3065|6872
3064|4790
51026|54407
23291|3838
4296|5300
2746|7189
6885|8517
5581|6774
3309|6711
3654|9500
51119|10277
9146|7422
23327|4133
2022|7043
7453|3838
4644|5873
51196|5333
4609|8604
10460|55740
1191|8462
309|7416
29979|3280
207|208
11326|4763
51701|4303
3065|57708
1977|3329
148022|7189
23291|2932
1956|10527
8517|7178
9500|11030
387|5879
5601|5601
3659|2648
1616|91404
5594|5970
10856|5970
324|6275
2316|6711
9218|6210
1718|51752
1017|4646
51592|8202
10155|8517
488|8717
4215|3654
8451|4771
5566|6722
3611|6513
7408|4038
5568|8671
1977|23191
4609|7531
4087|1855
4088|10010
11331|5970
5469|2648
148022|29979
2736|6497
2033|2624
4088|672
7334|10210
6929|7421
5598|3728
128|405
2335|3309
3725|3065
23411|3066
10818|2549
4627|7168
5621|5621
8878|5580
207|8915
23291|4780
8930|8772
1386|4292
408|1909
8451|4790
396|5578
9097|93100
2768|351
6647|7335
861|5371
8767|8915
4734|2629
4091|4734
7532|3621
23139|7533
1027|7532
27086|93986
2316|5966
613|9846
23405|23411
4628|4628
4824|579
7001|351
29979|961
598|23770
3661|8651
5295|5921
7334|10273
3838|8450
6868|1739
3099|29979
4609|10273
8239|1499
10527|8517
55740|5594
6714|7157
472|7189
4217|6885
10155|382
8451|23405
8878|842
1958|5307
1958|3725
2023|309
5978|25942
5176|5566
5536|5536
8451|2782
7189|6714
23236|2776
10758|10758
1017|3148
23542|5606
22821|351
7419|11331
3397|2626
208|2309
6498|9611
4609|1051
8452|56829
4215|4646
1874|983
5578|7532
5898|5333
11315|57669
8671|8671
3643|5578
2624|5371
1739|320
613|7157
3064|5295
3685|1969
6711|7532
2033|3622
29072|7157
8517|10616
1278|2335
2065|4734
23291|22954
23139|7186
1956|8301
57154|4615
5925|6670
4088|1499
5074|5074
4790|1499
6615|3065
2335|506
8717|7186
613|5879
1020|3925
3984|9113
1956|29110
836|836
3364|5683
10728|2908
1017|6714
6464|302
2316|1613
4646|7132
4091|57154
5291|5728
4790|29110
23327|91
2626|5469
6623|5599
5796|5797
100|2908
1936|5603
5371|6772
6196|3725
1855|83737
9372|7917
207|1786
4215|9361
23411|6188
672|983
23043|6648
55072|55072
79840|79840
8452|604
5830|949
8239|8517
4133|5566
1499|4221
14|3297
3611|6558
23291|7532
4627|3728
5599|3726
57506|7186
6934|2033
3315|3925
10273|3306
1020|87
55971|7157
5595|6868
6259|9445
2625|4193
1147|4792
672|196
196|6714
114609|114609
3398|5599
10580|5829
6670|7402
7186|7716
5601|23542
1051|5598
4214|3092
29843|29843
4087|4091
7013|29115
1017|3309
23770|5530
28996|2033
55705|6895
23327|2011
23542|8650
7157|6794
7423|7423
2782|2776
4087|7178
4217|1616
23028|23028
23291|54880
7157|8878
3837|3843
3726|6303
3837|4089
2932|1978
2064|5781
29117|4609
5578|7037
8452|55342
8452|2010
23405|6188
26524|9361
329|1956
3667|613
409|302
4204|25942
5966|8239
9218|351
8985|8985
5796|5796
55159|2734
5970|3066
6886|6886
3309|5603
64854|84687
5108|54862
2534|836
5879|998
10131|3329
5595|5599
22954|7531
10818|10580
5693|8767
4627|3092
4292|3837
3838|8517
5921|2065
7157|5371
8451|7072
80829|8451
3661|3661
7168|8517
1956|3309
207|6886
3275|6885
83737|79176
7531|4194
1432|6711
351|43
10755|87
309|7419
6285|6386
983|2305
25884|652
7391|7155
4087|8239
2119|5566
7186|79594
10206|8517
396|5566
10193|351
5663|7001
5829|613
1956|51564
4615|7100
2932|7428
4486|6714
2932|4853
1386|2335
6885|5536
4193|10527
340061|340061
7159|2033
7161|2033
8473|8473
4194|5925
7157|9611
3838|351
4609|8036
1386|1984
2353|4775
2648|3665
7161|3066
4792|329
6468|5683
1386|25824
4627|5074
60626|60626
5728|4628
9218|7416
578|581
2534|9826
1718|3265
8878|3091
8408|8408
2033|5970
6670|6772
2932|1786
8945|11186
3182|162989
1956|7171
7013|60626
3688|5581
7157|604
9253|8737
7040|1616
2736|1385
6615|2033
7132|7186
4088|51592
5594|8202
55366|55159
3716|6850
51455|7157
2023|7416
2131|10131
8450|5351
2321|5747
6310|51701
9372|1499
983|23411
2931|5311
3685|5594
6464|87
491|1739
10572|3925
9846|207
4214|4628
2280|4092
7528|6929
11120|3156
1019|7917
3399|7248
1017|4628
10062|5914
2316|85458
3654|6774
8416|351
208|836
133746|4193
23770|11047
7186|84901
6733|80829
11284|11218
8202|595
4090|4221
5598|6929
9097|10397
1191|1191
3265|10522
3065|4824
57045|652
3516|351
6597|3516
3675|8754
4615|5052
4851|3065
4627|6275
3643|3665
8452|4720
5578|998
51377|3040
5581|5581
6789|9113
1019|7525
2064|23542
1874|5108
5898|5515
6272|6272
51701|6774
5781|1499
8976|23433
9097|11047
51026|3956
5087|6929
2023|4282
3654|5580
2011|2932
3309|8517
2908|3065
6597|4780
23291|4193
7161|4734
6498|5371
4215|6711
1019|10131
3064|5515
1432|23770
351|348
5580|23499
5217|6093
5515|6777
2305|6774
8452|4076
1613|1616
5925|4609
7416|7419
3309|6885
7398|3315
2335|7525
5603|6188
5966|8517
8945|4780
2335|4089
2932|8473
2932|2932
