EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
5310|87
5110|7077
149041|7327
1432|2004
10664|3146
56254|51322
11051|3066
1432|8945
5469|5469
10014|7037
10672|7046
2624|161882
23081|3065
5879|4627
695|498
8775|8675
23405|3329
3915|3912
10933|3837
10905|11253
5335|5921
9516|23327
4869|498
1019|1457
672|2355
2316|71
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
153090|8454
7879|57403
22955|8467
10987|8607
513|509
84661|10565
5499|5568
7319|1029
118|3398
4627|54822
22976|10111
4771|6895
51194|1810
1017|3398
2885|3329
3065|6883
4734|6189
6601|5978
1786|53615
7157|2648
2734|5966
11060|1605
11034|25824
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
7415|51366
5921|309
86|79718
5747|4193
23363|8607
4700|4722
14|10076
960|573
5467|8202
648|11171
3654|3315
4627|3710
7415|1019
54778|7508
1647|983
6772|9559
9612|8202
9218|4720
10049|10013
5970|8986
9978|3312
3476|79840
26574|1613
10458|55971
2537|351
26270|3074
5566|1385
2885|6764
3320|5871
5062|5683
6303|8525
6461|6714
7157|5110
5566|5705
6210|79084
4851|5664
2932|8517
2549|5829
4778|5195
3661|64750
6714|4133
1020|351
5516|3476
10325|64121
5333|801
6714|5295
5871|6416
26276|351
23390|8675
4627|302
23363|4361
5130|9025
124583|124583
57154|3622
3265|8036
5914|6477
2040|2040
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
10458|55740
55743|6596
3717|3320
5603|7157
5599|6464
8452|4722
3065|3320
7444|5599
3064|83737
5300|4303
2885|5930
51377|7295
6208|6223
1022|2068
2730|3665
7531|678
5579|960
114609|695
324|598
1937|4193
10013|22985
54556|8454
25855|351
6917|2962
30827|80335
10013|4615
83706|79753
5595|6548
79791|595
11218|23405
5747|4678
7415|5245
8452|7072
5108|55081
5245|6189
3981|1278
10856|29110
10014|3837
8766|3064
5663|4846
1153|7094
5701|5693
6102|1454
10987|56254
3476|53615
2771|5581
4086|2648
57154|7186
201294|4000
4088|6601
1017|9113
3065|8360
1147|8717
1051|1387
2067|6879
7337|301
7184|10399
23363|81
1786|30827
23640|7186
8725|55929
3725|7443
10399|6774
2648|6877
5594|7157
58|5879
4088|3727
1453|1855
208|9545
4831|10856
8243|23476
4086|58533
2034|56897
10987|9097
22920|55696
23363|3276
7132|8363
6809|6809
7428|23032
3667|55023
3643|5580
23560|6189
5728|2047
23020|23020
1958|6647
444|5154
1432|6774
7415|79058
23363|7341
51366|2932
514|93974
3958|5781
81542|7295
6733|9648
8503|695
2935|382
1788|130557
1191|5444
4651|805
2185|6774
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
6257|7415
55366|4297
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
8837|868
2034|2010
1147|9043
4292|5887
1831|3065
10987|7186
2547|3064
2243|5581
57634|80314
6886|2547
1810|11091
3065|2969
5601|9031
3065|7428
7251|4193
4683|3843
5914|23411
10933|86
3659|4193
83737|51429
26259|23363
8976|4690
29127|4294
5532|7942
9262|351
6502|997
3320|1019
8517|396
23580|10801
8682|8772
9693|554313
3621|7157
9531|51022
5530|6257
5579|983
3315|23363
207|23327
5606|9479
3066|83933
29116|7334
9218|5245
23263|6194
6871|2648
2353|351
6789|9218
7013|28988
79654|10892
1956|6850
939|56913
23515|54476
8751|7525
1856|8878
207|3551
3065|3297
1196|672
10155|5460
7186|10758
396|637
56652|6613
1017|3146
1956|2274
112869|9910
2081|9097
695|506
2335|5976
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
408|8361
7415|6500
5966|6500
10755|613
79784|54623
23433|57120
10987|8365
4176|7337
28988|5610
4830|983
1616|3276
8737|8517
3309|23636
672|23512
23327|79176
5716|8440
1832|5663
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
2335|9775
4616|983
7094|9898
2771|4691
4331|2967
311|4282
6879|2118
4700|9519
1457|1965
3685|7040
23411|4092
11091|51562
509|9551
3091|613
604|9170
7414|10381
55294|55294
5467|5970
22985|51504
5829|84661
4214|10049
267|23295
2316|7532
6907|1499
1855|1499
1385|6722
2068|983
4436|8517
4728|11331
5290|6772
7187|329
6733|8726
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
4609|3837
8850|10629
23291|7832
1017|57591
4170|3312
7072|5094
5683|5682
2335|10432
2162|2335
10755|5578
1130|57060
1020|7917
6275|23774
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
6613|9219
6789|23085
51451|5516
3190|7157
1956|5802
7804|10755
54764|57332
84661|87178
208|7249
8805|57332
4700|4724
7324|10425
1487|93986
6774|6778
5829|102
3320|8473
1956|5604
3688|7414
7431|11143
5747|7132
2309|57708
4163|23020
847|6786
11143|27154
3320|1613
267|9131
51564|79718
8078|5320
7023|3148
975|4869
2274|10522
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
2241|2065
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
1969|9525
51377|8361
8454|4193
5516|9448
7428|5580
396|1967
5601|6470
196|4094
4609|4609
3611|79888
26270|80267
23390|79654
5108|23392
3661|2308
472|6477
3398|5925
6272|10542
8454|29127
55145|5074
4090|7844
2624|6500
5879|10928
53615|3725
58|7187
1017|8531
27005|9101
1386|7416
55294|29886
1017|5094
3655|3915
1642|4926
2908|10013
3065|3326
5663|348
7335|331
8440|23522
3925|5568
9101|6778
409|6714
6879|6879
4292|9898
675|2316
2208|3687
578|7416
11143|8361
3315|5898
23368|672
9516|29979
10013|8359
3309|6667
7528|351
3837|267
871|7171
4790|8837
2885|51185
7157|6613
10987|3858
56943|56970
3312|4791
5966|801
5295|2033
3315|9588
123169|6879
118|667
2060|2534
1054|1017
9070|2033
1147|5499
4067|836
10196|7415
7321|8239
2683|3728
10572|27
7046|4087
1642|6772
1020|3326
9252|2908
5663|7046
5970|595
2885|835
23580|55752
10956|10488
6314|3912
26270|5705
6772|3654
6714|6778
11104|51750
2885|8365
8820|9612
1027|1019
10459|51343
1956|7327
7249|5747
801|5724
7157|1958
498|93974
1739|23095
25932|5966
7419|509
6498|51592
8295|8454
9775|4089
351|4609
10013|3320
4851|5928
7251|9146
8099|9463
51322|7094
51065|6188
1616|8364
8440|23043
6045|57332
1385|3066
7319|7319
1432|81
51111|51111
7428|9821
11052|4076
4627|8767
10919|6015
2107|8894
6314|5705
1499|8850
6310|55072
5879|8411
57506|6772
5295|3265
7532|1198
5335|6714
405|9978
56829|351
409|1019
409|5594
10111|4691
5886|9648
509|7416
1017|7915
2054|8675
3315|6667
2885|6189
7428|1270
150684|5966
3146|3148
3326|7186
7416|7416
861|1387
4085|4085
51548|22948
8726|1072
8021|87178
328|1642
10672|2185
56970|8464
1601|1855
351|4763
2885|6237
409|3312
1051|1054
6667|23636
10379|10379
26994|9372
53615|80312
5906|396
57154|2547
11331|11218
3265|8315
10728|2065
8202|1147
408|6093
2023|4643
23512|10397
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
10645|805
79813|83852
1385|1051
5716|3320
23429|9191
10075|1738
3320|1457
4790|4791
6497|79718
864|4851
476|509
10159|23770
6272|54840
51474|55589
4976|664
311|7001
4000|4926
9531|3326
808|8717
4869|497661
8312|7248
10933|672
4216|5604
6497|4691
22800|5900
3190|5599
3312|5217
11052|23020
3099|6720
123169|7319
8726|10801
8726|1198
56957|27338
2185|309
29110|3551
4085|6189
6045|7528
7428|6189
847|3295
5609|9479
11124|10196
3912|43
7415|118
2064|983
3276|1153
6310|11030
4734|6500
7157|959
7453|7453
28996|28996
6601|7251
5579|5601
23043|23287
54107|351
2192|10252
2208|2534
3273|7132
5599|23411
196|9978
5300|55201
5747|10273
83547|83547
4983|5879
9531|4175
5310|9564
7155|983
5292|6502
4091|1487
79885|10049
695|2782
26270|4830
1457|3065
4067|8517
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
664|7052
3643|8878
1386|10972
4791|6500
10629|27097
148281|8567
10010|9546
10987|1153
4790|801
27248|51009
4067|3356
23512|3983
5595|6667
3312|7416
4176|4176
2207|665
5879|7410
10075|32
4088|5371
8891|8531
672|8367
8945|994
8726|5879
7428|1291
1017|7415
408|498
998|4294
2118|2629
4792|5610
26272|26272
5914|23512
1365|5566
4211|5090
4609|8878
9572|351
5604|2887
4869|3956
5579|7037
10381|55023
8452|83695
11059|4778
4193|6872
2355|3925
928|961
3299|3297
6045|23020
5970|9131
1432|8841
5499|1454
23512|6045
5603|4216
1020|55083
4086|4853
5536|5930
149428|23557
4087|93649
648|4830
7323|4214
207|150684
4163|54205
7531|23476
128|351
1029|598
3320|405
1936|1937
7528|1387
6792|23499
6275|331
27|10152
515|7189
29110|26994
522|539
1984|6386
9531|4678
10600|2353
6883|9913
10856|602
9252|1387
10664|351
9545|351
4088|57680
9618|11059
5693|5683
3661|3843
5058|5879
4627|1601
3476|22948
2782|2534
4665|6602
8841|11331
23054|1387
10419|121504
7186|2081
3476|4282
4193|6597
25898|5429
8767|8517
7159|301
5925|3065
1017|539
4292|4728
373|7324
1457|9646
1616|4629
7327|267
7319|966
5515|3551
1432|994
672|2316
4087|6601
7321|4214
8454|55904
1956|808
23414|5928
5515|4215
4194|351
4609|8454
3315|3476
509|514
1499|6500
8751|23636
672|7168
3064|4294
6591|3065
5608|5970
1017|55689
3717|6513
5601|3726
1030|7041
2885|7532
2885|966
3717|5954
1717|3326
4628|4691
10458|10458
8841|2874
10131|4089
7917|51548
5058|10174
10114|1616
311|306
6881|6881
1017|2896
7415|81
9531|10174
4792|4792
3066|8359
998|9230
22955|22955
1432|58508
2316|960
10381|2885
25865|4086
4486|7525
4869|2034
3065|9070
80335|11091
3320|26058
1647|4616
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
65018|7052
5724|5747
2309|9181
1956|14
2771|302
801|58533
112398|112398
1017|5604
6548|7132
5683|7415
3661|7187
26270|7531
23566|351
5928|6602
1499|10498
10159|387
22985|7532
8021|8021
5594|5213
5062|6194
7879|5245
3635|6464
7703|22955
5460|7026
51701|8454
7184|3309
3065|5929
8452|2730
2931|4077
6386|27284
3845|8945
602|79718
578|7337
3091|6714
989|5966
2023|43
1956|7443
7415|572
54974|51100
26130|22821
7428|6513
1956|27
8726|1788
5580|7037
2355|80204
5976|81542
3958|351
4690|6655
11331|6189
3551|8945
54778|7188
9618|1499
3925|5603
1499|4771
6794|79155
1457|55145
2274|7157
1432|572
7879|9114
55752|7189
3309|5682
5536|10672
2280|1487
51548|3306
1029|3320
6045|801
6733|5930
4216|6711
2010|4000
56957|79155
150684|331
23363|23363
373|5296
4790|71
3845|351
8841|7155
57506|6714
836|9191
5886|5701
6850|2207
3956|2969
23236|6711
55366|71
23411|9611
8850|2547
5747|6714
7528|29844
2321|5335
4609|5601
4000|9031
1387|7157
1540|4646
10253|10252
8878|444
4627|3709
9611|10155
9577|10342
3655|351
1017|16
2885|26999
334|5578
7324|4214
11104|3320
402|23568
27086|7157
2033|9500
4086|7508
387893|5928
5728|331
1642|5928
4436|8243
8837|4088
26994|11060
5499|6500
5936|2034
7324|4734
7531|6885
23191|3312
3622|64750
1017|1603
11160|22937
5599|3297
409|4691
7001|2956
116143|5499
2241|8503
4087|5601
11091|6883
472|6240
2316|4000
5566|5568
6386|8408
8239|9020
3320|16
8837|7157
998|23580
7531|805
10892|7189
3315|81
1457|9049
9146|23636
22985|51755
5395|9131
7415|27338
836|637
498|514
148022|10498
8454|1153
23291|3551
23363|7919
9255|351
8452|23770
5062|6500
1499|604
847|351
7398|7398
324|4646
58508|79813
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8878|5701
8945|10277
11091|6601
509|1956
2908|2782
1965|836
9252|8370
3611|8607
51366|7164
4000|1636
5524|22948
10987|23318
6714|1072
200576|207
2908|5598
353376|51135
115426|4170
7168|7184
5607|2023
5213|5211
4478|4853
3837|5245
5316|6929
29979|2060
3309|10542
2011|23303
5585|5585
10629|6874
5371|5300
4292|8930
79155|1147
11284|23287
7335|10273
8452|8367
8772|8772
11218|6813
23326|27097
2885|5530
3654|9618
2896|51701
7844|7415
1027|8454
6874|6877
10580|4609
373|84919
9611|6602
10163|8976
26060|3397
805|818
3726|672
151636|3717
57142|6714
7186|8772
4763|9519
5451|351
8452|3251
56943|6881
6613|6613
7132|5879
3163|2908
4609|5701
58|7094
672|5970
5906|3065
51592|8861
1647|7917
10856|6502
4860|7157
6241|7251
2060|9146
6883|8467
5058|6615
3297|4831
7157|1487
4700|4728
3840|7052
3654|8772
23295|4734
253980|387
2353|2962
6464|6223
2811|7532
8452|51119
522|93974
6929|8295
3315|7157
5908|9757
1643|2547
8613|351
23327|997
331|3635
539|9551
6850|5296
11059|7323
3064|2885
3092|5966
3326|3312
5295|153090
1385|818
1457|4205
983|3146
6208|351
8726|4627
3320|6871
5598|7531
8525|3265
4088|8850
8452|22836
6648|7001
23557|8943
79577|1499
10273|7186
7536|3190
9775|10494
578|598
672|6597
10014|9588
26270|391
329|329
2277|8754
6045|10527
4724|4710
27429|4976
6881|2648
6601|6872
8878|9611
9531|5721
29110|498
10458|26999
2033|4094
1956|7531
64783|7919
6915|14
54556|3309
7295|23636
5594|5925
10856|9020
54872|351
51474|4067
515|509
5976|6188
409|3326
4292|9131
55294|9978
7132|808
11124|11124
5341|5580
2023|3066
1487|5058
10155|6778
2885|85477
6500|8517
57154|5705
2885|5747
5341|7046
90780|207
5781|2185
7041|4088
3065|7431
5599|3725
79577|3320
604|6597
9646|10579
3280|3320
23363|5094
1956|8813
3635|613
54623|9646
4163|8517
9230|5333
23368|2064
1956|8892
10856|10902
20|6667
2534|4690
5610|5610
28996|8717
54880|84759
6929|2033
10488|6515
409|6772
1956|2771
648|6733
5530|998
476|6188
3146|5578
10253|2885
7319|23304
5871|7186
28996|3065
672|51451
3065|5087
1027|7531
4000|2547
7323|2060
9474|8772
4087|4090
9445|197131
207|5579
3476|6613
4628|8766
9612|1051
8036|10075
4627|4791
51026|11160
23133|5914
9527|4905
51564|6907
2034|11331
1454|8312
55352|8365
4609|128239
149428|149428
23162|9479
1540|7189
23263|6210
4221|4221
5871|2547
7879|8766
2023|48
84447|4627
351|2192
10580|5062
8726|1936
207|2033
55294|4644
6733|29116
302|351
2889|2885
2889|6655
2534|27154
57154|7431
3309|7186
4218|10938
11315|4722
3065|5914
835|4193
23392|8517
6733|79576
29789|10419
10766|10766
7067|8841
4193|79813
351|1191
4218|7037
2549|6464
91|57154
10014|2806
4092|4734
6722|9252
3309|3398
7184|9255
2023|6885
4086|8850
10933|71
53615|8467
9025|10600
8517|5515
10075|3066
408|8360
6310|9898
4176|5925
1642|6502
3727|4089
3202|9463
3300|538
7132|8366
1457|23338
403|197131
8454|4691
6667|9846
2033|208
4294|27
1017|5976
4790|5062
2885|3635
4690|323
10014|5094
55366|22985
4790|7528
8315|8315
10783|10783
2908|7251
2335|5683
4780|5579
1147|805
7057|7422
3320|780
10342|6714
64786|5868
5874|54843
3309|4691
51377|1832
4627|7126
29979|9559
64805|3709
7186|7531
1965|8891
11124|3611
4734|1020
26270|7037
7189|56957
