EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
1855|8312
10206|396
5604|8837
6477|5932
5310|87
55366|23310
149041|7327
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
6045|84248
5469|5469
10014|7037
10672|7046
26227|2885
6602|64599
55832|1832
23081|3065
5879|4627
3309|27000
7514|2308
2074|55832
10189|2072
6733|249
23405|3329
3915|3912
84687|5499
10933|3837
10905|11253
5335|5921
1290|780
4869|498
1019|1457
672|2355
2316|71
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
153090|8454
7879|57403
22955|8467
10987|8607
2288|10728
84661|10565
5499|5568
7319|1029
4627|54822
22976|10111
51194|1810
1017|3398
2885|3329
3065|6883
1857|10482
6601|5978
1786|53615
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
10252|868
7415|51366
5921|309
86|79718
5747|4193
23363|8607
7157|51741
14|10076
1385|4286
10482|23210
5467|8202
648|11171
3654|3315
7514|23636
7532|8451
996|996
7415|1019
1213|4790
54778|7508
1647|983
4734|7322
203068|4691
9612|8202
8451|8467
10049|10013
2072|3014
5970|8986
3476|79840
166|55072
10458|55971
26270|3074
5566|1385
2885|6764
54984|7430
6303|8525
6461|6714
5566|5705
4851|5664
2932|8517
2549|5829
4778|5195
3171|1832
3661|64750
55183|79228
6714|4133
1020|351
5516|3476
10325|64121
7358|983
6714|5295
5871|6416
23133|55183
4627|302
23363|4361
4221|25942
124583|124583
4171|4850
7322|115426
57154|3622
3265|8036
5914|6477
51548|2317
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
5599|6464
7444|5599
3064|83737
5300|4303
2885|5930
51377|7295
8945|51741
7531|678
6478|6774
6045|2317
324|598
81559|7322
10013|22985
57122|7514
54556|8454
30827|80335
10013|4615
83706|79753
79791|595
4171|1500
5747|4678
7415|5245
8452|7072
3981|1278
10856|29110
10014|3837
8766|3064
1432|4209
6478|8841
5701|5693
6102|1454
10987|56254
3476|53615
2771|5581
4086|2648
7322|26994
57154|7186
9099|9361
4088|6601
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
1786|30827
23640|7186
3725|7443
10399|6774
2648|6877
5594|7157
58|5879
4088|3727
1453|1855
4831|10856
8243|23476
4086|58533
10987|9097
22920|55696
23363|3276
10987|81620
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
2132|2132
1958|6647
444|5154
1432|6774
7415|79058
23363|7341
51366|2932
3958|5781
4824|7089
1788|130557
2185|6774
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
1026|3066
6257|7415
4038|25861
55366|4297
4790|5607
672|79035
6772|3326
5581|6868
4193|57154
6777|351
9984|7402
8837|868
1969|1213
2034|2010
1147|9043
10482|5119
5532|3313
4292|5887
1831|3065
10987|7186
2547|3064
57634|80314
6886|2547
1810|11091
3065|2969
498|6199
5601|9031
3065|7428
7251|4193
7059|222229
4683|3843
5914|23411
10933|86
81620|51433
10482|6711
3659|4193
83737|51429
8976|4690
29127|4294
6502|997
8517|396
23580|10801
3621|7157
5530|6257
7514|10856
3315|23363
5594|6640
5606|9479
4171|4214
3066|83933
29116|7334
9218|5245
23263|6194
6871|2648
2353|351
6789|9218
3801|10540
7013|28988
79654|10892
1956|6850
939|56913
23515|54476
1856|8878
3065|3297
23291|10413
1196|672
10155|5460
7186|10758
396|637
56652|6613
166|6733
5052|51
5429|203068
7514|56243
1956|2274
112869|9910
2081|9097
6050|283
472|10155
5295|1969
5970|7052
26227|6453
7415|6500
5966|6500
10755|613
23433|57120
5580|6944
28988|5610
166|11030
4830|983
1616|3276
8737|8517
3309|23636
672|23512
5716|8440
5594|1978
1832|5663
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
7514|6772
4616|983
2771|4691
5599|3014
6772|55832
6879|2118
1457|1965
1031|55183
3685|7040
23411|4092
11091|51562
8450|23348
3091|613
604|9170
7414|10381
55294|55294
57154|203068
5467|5970
4851|51434
5829|84661
4214|10049
267|23295
51741|5914
5058|10472
2316|7532
472|9126
6907|1499
1855|1499
4088|64219
1385|6722
2068|983
1827|7189
4436|8517
5290|6772
7187|329
6733|8726
6934|7248
240|5594
23411|3309
1856|7126
10482|5578
7046|7040
8737|329
55142|3065
7494|7494
4609|3837
8850|10629
23291|7832
7072|5094
2335|10432
10755|5578
1130|57060
6464|7175
4686|9092
1020|7917
6275|23774
5074|6523
9564|5770
408|5745
7227|7341
5499|6502
4609|2033
1432|1956
1017|3983
6613|9219
7027|1387
4171|1200
6789|23085
8452|8450
165918|3014
6944|3276
10592|25942
1956|5802
54764|57332
84661|87178
208|7249
8805|57332
7514|54623
7324|10425
1487|93986
7494|2648
5829|102
1956|5604
1030|7709
3688|7414
7431|11143
11260|8546
5747|7132
6045|79228
2309|57708
847|6786
11143|27154
51564|79718
7023|3148
975|4869
2274|10522
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
2241|2065
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
8452|10482
3014|309
8454|4193
5516|9448
7428|5580
396|1967
5601|6470
8450|55832
196|4094
7227|998
51257|7328
4609|4609
3611|79888
26270|80267
23390|79654
5108|23392
3661|2308
472|6477
3398|5925
8454|29127
55145|5074
4090|7844
3093|7428
2624|6500
5879|10928
53615|3725
58|7187
1017|8531
27005|9101
7023|8932
1386|7416
1017|5094
3655|3915
1642|4926
2908|10013
3065|3326
5663|348
1026|7295
90678|3297
8440|23522
3925|5568
409|6714
6879|6879
675|2316
578|7416
3315|5898
9516|29979
3309|6667
26524|4851
7528|351
3837|267
8792|9846
4790|8837
2885|51185
7157|6613
56943|56970
10856|1785
5295|2033
123169|6879
3014|10111
1054|1017
9070|2033
1147|5499
7321|8239
2683|3728
6733|55832
1785|6386
7046|4087
1642|6772
10253|10817
1020|3326
9252|2908
5663|7046
5970|595
93986|116113
23580|55752
10956|10488
6314|3912
8452|9126
26270|5705
6772|3654
8820|9612
1027|1019
1020|5771
10459|51343
1956|7327
1191|11130
8517|51256
7249|5747
7157|1958
498|93974
1739|23095
6498|51592
8295|8454
351|4609
4851|5928
5727|2683
10818|4915
8440|23043
6045|57332
1385|3066
7319|7319
4282|54984
51111|51111
7428|9821
11052|4076
23291|1213
4627|8767
10919|6015
65057|23154
6314|5705
1499|8850
6310|55072
57506|6772
5295|3265
7532|1198
5335|6714
5058|3014
405|9978
56829|351
409|1019
409|5594
10111|4691
1017|7915
4171|10013
3315|6667
3611|2746
150684|5966
3326|7186
7416|7416
861|1387
55612|51119
4085|4085
8726|1072
8021|87178
3313|351
10672|2185
56970|8464
7375|7046
11130|9183
1601|1855
351|4763
6478|10869
2885|6237
51434|1387
1051|1054
6667|23636
10379|10379
26994|9372
53615|80312
5906|396
57154|2547
7514|9867
7514|9219
3265|8315
10728|2065
149041|7332
8202|1147
408|6093
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
79813|83852
1385|1051
4790|4791
6497|79718
864|4851
10159|23770
472|79035
1627|667
4000|4926
4869|497661
8312|7248
10933|672
4216|5604
6497|4691
11051|1627
22800|5900
5932|5932
84321|80145
11073|4683
123169|7319
8726|10801
8726|1198
23263|23451
56957|27338
472|10444
2185|309
6045|7528
847|3295
5609|9479
3912|43
5590|842
3485|7018
2064|983
11060|7322
3276|1153
6310|11030
4734|6500
7453|7453
28996|28996
6601|7251
23043|23287
54107|351
60485|26524
2192|10252
4000|261726
5599|23411
5156|23759
196|9978
5300|55201
5245|1627
5747|10273
83547|83547
7013|4171
4983|5879
1457|3014
65057|1627
5310|9564
7155|983
5292|6502
2132|6623
4091|1487
51257|57120
79885|10049
26270|4830
1457|3065
581|255488
2885|3313
6259|2049
1856|3309
5460|5460
10010|1213
2885|3983
664|7052
3643|8878
7325|9025
4791|6500
7326|10616
10629|27097
8649|5770
10010|9546
10987|1153
27248|51009
408|1213
23512|3983
5595|6667
5879|7410
10075|32
4088|5371
8891|8531
8726|5879
83548|115106
7428|1291
1017|7415
408|498
998|4294
2118|2629
4792|5610
10036|6597
65057|51119
26272|26272
5914|23512
9793|9793
1365|5566
4609|8878
9572|351
5604|2887
7325|7703
4869|3956
10381|55023
8452|83695
11059|4778
4193|6872
2355|3925
928|961
3299|3297
2317|10540
1432|8841
1785|6453
5499|1454
23512|6045
5603|4216
7919|79228
1020|55083
4086|4853
5536|5930
4087|93649
648|4830
7323|4214
207|150684
7531|23476
128|351
1029|598
7528|1387
6792|23499
3801|91949
27|10152
51026|5119
29110|26994
1984|6386
90678|90678
10600|2353
6883|9913
2309|5884
9252|1387
10664|351
4088|57680
9618|11059
7322|9025
3661|3843
5058|5879
4627|1601
6241|29945
23126|10459
2782|2534
4665|6602
25842|5499
8841|11331
23481|23481
4609|9968
7186|2081
3476|4282
4193|6597
25898|5429
8767|8517
65057|677
64219|8078
7159|301
5925|3065
7375|10075
373|7324
3399|10817
1457|9646
1616|4629
54926|396
11091|23309
7327|267
7319|966
672|2316
5925|996
4087|6601
7321|4214
8454|55904
23414|5928
5515|4215
4194|351
4609|8454
3315|3476
1499|6500
8751|23636
672|7168
3064|4294
6591|3065
5608|5970
9184|3837
1017|55689
5601|3726
261726|5516
1030|7041
2885|7532
2885|966
4171|3306
3717|5954
1717|3326
79866|6500
4628|4691
10458|10458
6640|128
8841|2874
25942|7468
7917|51548
5058|10174
10114|1616
6881|6881
1017|2896
4792|4792
1017|4171
998|9230
23039|8517
22955|22955
1432|58508
2316|960
10458|10006
10381|2885
25865|4086
4869|2034
3065|9070
80335|11091
22920|9126
7410|23126
1647|4616
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
65018|7052
2309|9181
1956|14
2771|302
5204|7716
1017|5604
3661|7187
26270|7531
5928|6602
1499|10498
2074|5424
10159|387
22985|7532
8021|8021
5594|5213
5062|6194
7879|5245
7703|22955
5460|7026
51701|8454
7184|3309
3065|5929
3672|5771
2931|4077
3845|8945
578|7337
3091|6714
989|5966
1956|7443
7415|572
26130|22821
1649|1051
996|1026
1956|27
8726|1788
5580|7037
3958|351
4690|6655
54778|7188
9618|1499
3925|5603
1499|4771
10482|6275
4214|2317
3643|5771
6794|79155
1457|55145
2274|7157
1432|572
26001|9040
7879|5119
7328|5970
8726|7175
55752|7189
5536|10672
2280|1487
51548|3306
9693|3832
6733|5930
5701|7514
4216|6711
2010|4000
56957|79155
23363|23363
81847|7322
4790|71
3845|351
8841|7155
57506|6714
5886|5701
3832|79718
3956|2969
23236|6711
55366|71
10482|54107
23411|9611
8850|2547
5747|6714
2321|5335
4609|5601
4000|9031
1387|7157
1540|4646
10253|10252
8878|444
9611|10155
9577|10342
3655|351
1017|16
2885|26999
334|5578
7324|4214
7514|9646
27086|7157
28988|8924
2033|9500
4086|7508
387893|5928
996|29945
1642|5928
4436|8243
8837|4088
57154|10540
26994|11060
5499|6500
5936|2034
7324|4734
7531|6885
3622|64750
5599|3297
409|4691
7001|2956
116143|5499
9968|9968
996|51434
2241|8503
4087|5601
57187|23392
7161|81620
11091|6883
472|6240
2316|4000
5566|5568
1627|85458
6386|8408
8239|9020
8837|7157
7531|7514
998|23580
10892|7189
51619|26001
22882|22882
4163|6801
22985|51755
7415|27338
836|637
148022|10498
4088|23214
8454|1153
23363|7919
9255|351
8452|23770
5062|6500
1499|604
847|351
7398|7398
324|4646
58508|79813
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8878|5701
8945|10277
11091|6601
25942|5970
2908|2782
1965|836
2317|7415
9690|7321
1026|5578
3611|8607
51366|7164
4000|1636
7421|1026
10987|23318
6714|1072
4171|30844
6696|3688
65123|58493
2908|5598
353376|51135
7323|55159
7168|7184
5213|5211
3837|5245
5316|6929
2011|23303
5585|5585
1026|208
9079|51564
7531|10036
10629|6874
5371|5300
4292|8930
79155|1147
7335|10273
8772|8772
23326|27097
2885|5530
3654|9618
2896|51701
7844|7415
1027|8454
6874|6877
10580|4609
10460|3832
9611|6602
10163|8976
4193|6659
6840|2040
3726|672
151636|3717
57142|6714
7186|8772
5451|351
8452|3251
56943|6881
6613|6613
7132|5879
55832|10664
6647|55681
4609|5701
672|5970
5906|3065
51592|8861
1647|7917
10856|6502
5371|3087
4860|7157
6241|7251
9126|2956
648|10270
26524|222484
324|9126
64783|9690
6883|8467
5058|6615
3297|4831
7157|1487
10477|10477
4171|23633
3840|7052
3654|8772
23295|4734
253980|387
8452|51119
6929|8295
3315|7157
5908|9757
1643|2547
8613|351
8607|6944
11059|7323
3064|2885
7514|392
5295|153090
1385|818
1457|4205
51741|26999
8726|4627
6199|3276
54962|4171
5598|7531
8525|3265
3481|11030
4088|8850
166|166
2033|7392
8452|22836
51619|7844
6648|7001
23557|8943
79577|1499
10273|7186
4088|55958
4734|6198
578|598
672|6597
26270|391
329|329
2277|8754
8651|7283
6045|10527
30844|90678
6881|2648
6601|6872
8878|9611
4193|23451
29110|498
5287|6464
10458|26999
8563|80145
2033|4094
1956|7531
64783|7919
54556|3309
7295|23636
5594|5925
10856|9020
84321|7402
7536|79228
409|3326
5728|1399
51141|29979
55294|9978
7322|8454
4171|7323
11124|11124
5204|10629
1487|5058
1130|9968
6500|8517
57154|5705
2885|5747
90780|207
6045|8451
5781|2185
7041|4088
3065|7431
5599|3725
604|6597
4171|10381
9646|10579
23363|5094
81929|10482
3875|5590
54623|9646
4163|8517
9230|5333
7514|26130
1956|8892
10856|10902
2534|4690
219771|79084
5610|5610
3488|3837
7514|10801
28996|8717
54880|84759
6929|2033
409|6772
1956|2771
648|6733
10188|998
5530|998
203068|4215
10253|2885
7319|23304
2288|10869
4214|3093
55284|55159
5871|7186
28996|3065
203068|8085
3065|5087
1027|7531
4000|2547
10787|4690
9474|8772
4087|4090
3476|6613
4628|8766
9612|1051
8036|10075
4627|4791
51026|11160
23133|5914
51564|6907
2034|11331
1454|8312
4609|128239
23162|9479
1540|7189
9219|9690
7375|3956
4221|4221
5871|2547
7879|8766
1627|3728
84447|4627
8450|7089
3087|10006
351|2192
10580|5062
8726|1936
207|2033
55294|4644
8450|8531
6733|29116
302|351
2889|2885
8243|10592
2889|6655
2534|27154
57154|7431
3309|7186
3065|5914
23392|8517
6733|79576
10766|10766
7067|8841
4193|79813
351|1191
1977|7189
2549|6464
91|57154
6199|4076
10014|2806
203068|6904
4092|4734
6722|9252
6714|10657
3309|3398
7184|9255
4086|8850
10933|71
53615|8467
9025|10600
8517|5515
10075|3066
1213|7132
6453|5204
1642|6502
2932|23451
3727|4089
3300|538
1457|23338
403|197131
10116|9978
8454|4691
6667|9846
2033|208
4294|27
4790|5062
4690|323
10014|5094
5300|5770
1026|351
55366|22985
4790|7528
83737|10477
7023|9575
8315|8315
10783|10783
2908|7251
10014|55832
6478|51196
7514|2932
7057|7422
5879|752
10342|6714
64786|5868
3309|4691
5338|5580
51377|1832
4627|7126
7186|7531
1965|8891
11124|3611
4734|1020
5536|7514
26270|7037
7189|56957
8945|3182
1876|2145
1032|595
9451|9451
7415|9230
10987|5580
8312|28996
7205|5747
10987|6194
4297|25942
1540|10013
5594|5791
6256|406
54431|9695
55746|672
51026|998
6729|7518
