EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
5300|81628
1855|8312
10206|396
5604|8837
5310|87
1432|2004
1432|8945
5469|5469
10014|7037
10672|7046
26227|2885
2624|161882
5879|4627
23405|3329
3915|3912
5335|5921
9516|23327
1650|3703
672|2355
1499|5494
3275|6256
3566|9655
5499|5568
7319|1029
118|3398
4627|54822
4771|6895
1017|3398
2885|3329
7157|2648
2734|5966
11034|25824
5747|1605
51393|7442
4609|23085
8452|4976
5921|309
5747|4193
960|573
648|11171
3654|3315
54778|7508
9218|4720
10049|10013
3476|79840
10458|55971
2537|351
5566|1385
2885|6764
6303|8525
4851|5664
2932|8517
2549|5829
6714|4133
1020|351
5516|3476
5333|801
6714|5295
5871|6416
4627|302
124583|124583
57154|3622
3265|8036
4087|23557
10458|55740
5603|7157
5599|6464
3064|83737
5300|4303
2730|3665
7531|678
324|598
1937|4193
10013|22985
25855|351
10013|4615
83706|79753
8452|7072
3981|1278
10856|29110
2771|5581
4086|2648
57154|7186
1017|9113
3065|8360
1147|8717
7337|301
5594|7157
4088|3727
208|9545
4086|58533
10987|9097
7132|8363
6809|6809
7428|23032
3643|5580
1958|6647
1432|6774
2185|6774
7531|3983
7132|9093
1432|5371
4790|5607
5581|6868
4193|57154
6777|351
2034|2010
1147|9043
1831|3065
10987|7186
3065|2969
5601|9031
3065|7428
5914|23411
3659|4193
8976|4690
5532|7942
6502|997
8517|396
8682|8772
9531|51022
5530|6257
207|23327
5606|9479
23263|6194
2353|351
6789|9218
1956|6850
939|56913
23515|54476
1856|8878
3065|3297
1196|672
10155|5460
7186|10758
6386|6804
6050|283
5295|1969
4193|55967
408|8361
10755|613
10987|8365
8737|8517
3309|23636
5716|8440
10728|7189
4615|4088
9344|5606
4616|983
2771|4691
311|4282
3685|7040
23411|4092
10488|362
3091|613
55294|55294
5467|5970
4214|10049
2316|7532
1855|1499
1385|6722
2068|983
4436|8517
5290|6772
7187|329
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
1017|57591
7072|5094
10755|5578
1020|7917
5499|6502
4609|2033
1432|1956
1017|3983
6789|23085
1956|5802
208|7249
4700|4724
7494|2648
5829|102
1956|5604
5747|7132
2309|57708
847|6786
975|6804
2353|5536
1386|306
7189|51135
10987|7001
5914|5469
1278|960
22954|29979
409|10381
7428|1856
1969|9525
51377|8361
5516|9448
7428|5580
396|1967
196|4094
4609|4609
3661|2308
3398|5925
6272|10542
1017|8531
1386|7416
1017|5094
3655|3915
2908|10013
5663|348
7335|331
3925|5568
409|6714
675|2316
578|7416
3315|5898
9516|29979
10013|8359
3309|6667
7528|351
4790|8837
10987|3858
5966|801
5295|2033
3315|9588
118|667
1054|1017
1147|5499
10572|27
7046|4087
5663|7046
5970|595
6772|3654
2885|8365
8820|9612
1027|1019
7249|5747
7157|1958
1739|23095
25932|5966
6498|51592
351|4609
8440|23043
1385|3066
7319|7319
7428|9821
4627|8767
6310|55072
57506|6772
5295|3265
5335|6714
56829|351
409|1019
409|5594
2054|27230
3315|6667
7428|1270
7416|7416
10672|2185
351|4763
1051|1054
6667|23636
10379|10379
3265|8315
10728|2065
149041|7332
408|6093
7157|83737
4691|5094
6497|3329
1857|79753
1385|1051
864|4851
10159|23770
6272|54840
4976|664
311|7001
4000|4926
808|8717
8312|7248
4216|5604
6497|4691
2185|309
847|3295
5609|9479
3912|43
2064|983
3276|1153
7453|7453
28996|28996
6804|8773
23043|23287
5599|23411
5300|55201
4983|5879
7155|983
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
3643|8878
1386|10972
148281|8567
10010|9546
10987|1153
310|7157
4790|801
5595|6667
4088|5371
8891|8531
672|8367
998|4294
2118|2629
1365|5566
4609|8878
9572|351
8452|83695
2355|3925
1432|8841
5603|4216
4086|4853
4087|93649
128|351
1029|598
1936|1937
6275|331
11124|1650
9545|351
5693|5683
5058|5879
3476|22948
5170|5604
3476|4282
4193|6597
8767|8517
5925|3065
7319|966
672|2316
1956|808
5515|4215
4194|351
3315|3476
8751|23636
672|7168
3064|4294
6591|3065
5608|5970
5601|3726
2885|7532
2885|966
4628|4691
10458|10458
8841|2874
10131|4089
5058|10174
311|306
2534|7080
9531|10174
4792|4792
3066|8359
2316|960
1650|6194
10381|2885
25865|4086
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
2309|9181
1956|14
2771|302
801|58533
112398|112398
1017|5604
3661|7187
10159|387
22985|7532
5460|7026
7184|3309
8452|2730
3845|8945
578|7337
3091|6714
2023|43
1649|1051
1956|27
5580|7037
3603|7205
54778|7188
9618|1499
3925|5603
1499|4771
6794|79155
1432|572
5536|10672
2010|4000
56957|79155
3845|351
8841|7155
57506|6714
3956|2969
23411|9611
5747|6714
2321|5335
4609|5601
4000|9031
10253|10252
9611|10155
9577|10342
3655|351
334|5578
27086|7157
4086|7508
5728|331
8837|4088
5936|2034
7531|6885
1017|1603
5599|3297
409|4691
7001|2956
4087|5601
2316|4000
5566|5568
6386|8408
8239|9020
8837|7157
998|23580
7531|805
10892|7189
9146|23636
9255|351
8452|23770
1499|604
847|351
7398|7398
324|4646
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8945|10277
10987|23318
6714|1072
2908|5598
353376|51135
7168|7184
5607|2023
5316|6929
3309|10542
2011|23303
5585|5585
5371|5300
79155|1147
11284|23287
8452|8367
8772|8772
2885|5530
3654|9618
10580|4609
10163|8976
805|818
3726|672
57142|6714
7186|8772
8452|3251
7132|5879
3163|2908
672|5970
10856|6502
4860|7157
5058|6615
4700|4728
3654|8772
23295|4734
253980|387
2353|2962
8452|51119
3315|7157
23327|997
6850|5296
3064|2885
5295|153090
1385|818
5598|7531
8525|3265
6648|7001
23557|8943
578|598
672|6597
10014|9588
329|329
2277|8754
4724|4710
27429|4976
8878|9611
2033|4094
1956|7531
5594|5925
10856|9020
8452|1798
7132|808
11124|11124
2023|3066
2885|85477
2885|5747
5781|2185
3065|7431
5599|3725
604|6597
1956|8813
1956|8892
2534|4690
28996|8717
6929|2033
409|6772
1956|2771
648|6733
5530|998
10253|2885
5871|7186
28996|3065
1027|7531
10787|4690
4087|4090
9612|1051
4609|128239
23162|9479
23263|6210
4221|4221
2023|48
84447|4627
207|2033
55294|4644
302|351
57154|7431
3309|7186
3065|5914
6733|79576
10766|10766
7067|8841
351|1191
4218|7037
2549|6464
4092|4734
3309|3398
7184|9255
2023|6885
8517|5515
408|8360
3727|4089
7132|8366
6667|9846
2033|208
4294|27
4690|323
10014|5094
4790|7528
8315|8315
10783|10783
2335|5683
1147|805
7057|7422
10342|6714
3309|4691
4627|7126
7186|7531
4734|1020
7189|56957
8945|3182
1032|595
9451|9451
10987|5580
8312|28996
7205|5747
10987|6194
51026|998
6667|5599
5074|5371
1386|3875
5911|9448
5058|961
3329|3688
5664|320
79594|207
5728|6386
23327|7334
2033|5371
1017|55636
6774|4086
23705|6386
10628|3065
10987|5052
54602|2534
939|7187
23411|6720
3667|5291
1649|1386
672|9093
5108|10458
1017|7168
581|331
5728|5728
7186|8204
9479|5599
208|842
4627|64428
5970|9093
2590|6210
1017|10972
8841|4790
83737|5460
5499|25998
4609|23318
5300|6647
3725|408
5530|572
6774|3066
2969|4792
4089|4790
5578|7832
7132|8367
23414|3065
29110|3665
7188|4217
672|1874
598|842
409|4214
5594|7132
2335|3936
4609|3066
4055|9618
10381|7018
207|6789
5499|23189
7536|7332
7046|9043
3309|5728
5581|7416
7532|5295
1386|22948
11284|351
4851|9253
2033|3516
7186|9821
2033|8359
10725|5335
1072|5052
4700|7917
1956|5594
5499|8493
5300|2280
9611|2874
80762|5728
5295|3717
4218|7917
2768|5578
51701|51701
5664|6717
4087|476
23542|10939
4627|81844
4700|4710
7132|7187
1936|5716
2734|4790
153090|207
54106|81622
54602|4734
64428|351
8751|6714
4780|10155
1196|6386
3726|334
2004|2885
8452|22948
6885|9448
805|805
10497|6804
3295|6648
801|8767
2625|5469
207|8682
1432|6464
7178|7178
1386|7532
6774|5970
4691|7416
6722|5970
1432|55031
7048|7189
3065|4609
6497|23411
409|6733
8829|8829
8737|54476
10987|6464
1385|7157
2023|8767
358|5578
29979|51499
1936|5295
2885|8366
10342|5603
196|9612
54106|7096
672|2969
9612|8841
8204|10014
6667|4609
8452|488
3065|8362
8945|25937
409|7531
5585|7186
1856|387
3655|6464
4194|2033
1386|7171
7132|8294
8945|4193
10758|7335
7132|5295
6194|7428
2064|6774
3476|93100
396|6714
8452|7431
23390|5295
4790|1191
4609|2956
4217|11315
4193|10206
10626|351
7186|801
6794|1967
2316|5499
6275|6275
2335|4691
1499|3065
5728|7157
10155|51592
3065|8367
389|7189
7337|302
1072|2023
2068|2068
6615|8945
5594|3845
328|382
5058|572
8452|23636
6210|9020
51119|7419
207|5578
2885|302
8452|3858
8452|8531
10049|351
9821|6497
54476|7100
27429|9113
7508|2071
5829|2185
323|538
331|836
5058|7431
2534|23028
1153|27339
207|25998
5335|2885
5580|7431
1051|7157
2768|9826
5154|6667
1739|4215
55201|567
10014|8364
4000|1499
3064|3708
10987|351
1072|476
4089|5898
4087|4976
6667|7171
51026|966
85365|22872
5601|207
5594|6464
5578|7431
4000|4000
2309|1499
334|5601
10856|2885
5830|5828
1147|5970
2734|5970
331|7332
5598|7157
311|302
55715|23028
801|8878
409|1072
2534|3655
1147|8239
84168|5609
8452|476
672|405
1017|2950
572|665
9612|1874
11315|8772
23043|6885
1969|7046
4853|3516
10987|8364
7168|7171
2885|10342
5991|5991
7050|3725
23236|5594
5728|5608
10755|54910
208|4486
7531|9846
3064|1499
8795|80762
79594|79594
3725|667
4792|5300
4088|23592
4609|8985
5598|5371
8945|9612
7531|7040
10987|6597
4215|8359
4133|87
51564|51564
581|2074
10014|6885
3315|5568
6794|2011
3685|7057
5530|5728
6929|7391
648|8531
3064|51100
121504|3309
2353|5300
5581|581
2898|6386
6885|23085
6929|805
8452|805
51377|8360
7335|22954
207|4194
4792|26259
2908|7337
7337|5914
6850|7189
7334|331
9270|351
4204|6497
3265|51196
351|1072
5578|7157
6502|7528
5300|1017
7157|7508
6772|58533
10758|7189
9821|4217
54820|983
11171|3364
5594|3091
5594|2950
7319|4193
6502|1017
23263|23405
5296|351
5728|10381
5595|7421
6272|1967
10939|351
4771|9368
5587|3725
10580|5747
3665|10155
3858|3848
4609|4780
5580|5170
2316|2778
5580|2931
1017|302
324|1936
10131|25824
5911|5911
1956|7186
3516|8473
396|3182
861|861
10818|10253
387|5566
7531|9181
5599|56940
2033|11171
5300|5914
9146|10174
391|4089
51026|27032
29965|29979
4690|8646
358|7248
1856|79753
7531|8239
5413|6804
1017|3925
4087|3665
1605|5295
1017|675
9611|861
1017|85440
2308|23411
1909|4170
3315|5566
3065|8820
5516|5515
648|4691
10014|5499
4771|6386
4088|57669
491|5578
7168|7168
328|27339
1017|5595
57154|6210
8717|8737
10672|9826
8517|10892
10580|8751
4609|7157
7189|998
10013|8239
25855|10049
3654|22954
10783|10935
51474|3956
3065|10155
3516|9612
3603|5594
5566|9218
5796|5829
4000|665
11186|7132
2534|54206
3667|5170
4296|5604
5335|54541
4193|4218
1029|4691
5604|5604
3875|10049
3064|4790
5970|3557
5915|6095
4296|5300
2746|7189
6885|8517
5581|6774
51119|10277
5621|81628
9146|7422
23327|4133
2022|7043
4644|5873
51196|5333
4609|8604
10460|55740
83737|2885
309|7416
29979|3280
207|208
11326|4763
51701|4303
11034|10542
3065|57708
5290|10049
10769|5265
148022|7189
6416|83737
328|328
8517|7178
387|5879
5601|5601
3659|2648
5594|5970
10856|5970
324|6275
9218|6210
11124|8359
328|3364
1718|51752
3775|3775
1017|4646
9531|5831
7188|91949
10155|8517
488|8717
9531|51499
4215|3654
1856|5578
5566|6722
7408|4038
4609|7531
4087|1855
4088|10010
2885|7080
8567|8567
5469|2648
148022|29979
2736|6497
2033|2624
4088|672
9618|4627
5599|310
6929|7421
128|405
2335|3309
3725|3065
595|801
64783|7536
23411|3066
648|801
10818|2549
4627|7168
5621|5621
8878|5580
207|8915
5829|57630
408|1909
396|5578
9097|93100
2768|351
6647|7335
861|5371
8767|8915
3364|5423
4734|2629
4091|4734
1027|7532
2335|8773
27086|93986
2316|5966
613|9846
2023|23509
23405|23411
3983|81628
2885|5921
4628|4628
7001|351
29979|961
598|23770
1857|11284
3661|8651
5295|5921
553115|553115
6868|1739
9821|5747
10114|8772
8239|1499
55740|5594
6714|7157
4217|6885
10155|382
8878|842
60485|9113
4215|801
573|8841
1958|5307
1958|3725
2023|309
5176|5566
7334|51283
408|1856
2771|4215
5609|4217
5536|5536
84447|7917
7189|6714
1650|7132
10787|10163
23236|2776
10758|10758
1017|3148
23542|5606
22821|351
2885|2316
3397|2626
23162|5604
7431|1936
208|2309
6498|9611
4609|1051
8452|56829
4215|4646
1874|983
5578|7532
5898|5333
11315|57669
3643|5578
2624|5371
409|805
3066|8361
1029|6667
1739|320
7531|8359
613|7157
5604|5595
3064|5295
23390|311
121504|4214
3685|1969
2033|3622
2885|5654
8452|8364
29072|7157
8517|10616
1278|2335
7337|5660
4214|6416
6874|6874
1845|1956
5290|8525
2065|4734
23139|7186
1956|8301
57154|4615
207|5140
5925|6670
4088|1499
4771|5058
5074|5074
7186|331
4790|1499
6615|3065
2335|506
8717|7186
613|5879
1020|3925
5371|8841
3984|9113
5058|57154
1956|29110
836|836
4218|5871
3364|5683
10728|2908
1017|6714
6464|302
4646|7132
9618|23028
1650|51065
51474|22800
4091|57154
5291|5728
4790|29110
2626|5469
6623|5599
3667|2885
5796|5797
100|2908
4214|8361
1936|5603
5371|6772
1855|83737
9372|7917
4215|9361
11120|8879
672|983
408|554313
23043|6648
55072|55072
79840|79840
8452|604
5830|949
8239|8517
51377|3858
4133|5566
1499|4221
6667|7040
14|3297
4616|5608
5599|3726
57506|7186
6934|2033
9611|7376
3315|3925
1020|87
55971|7157
5595|6868
2625|4193
3981|2950
1956|8893
1147|4792
3643|55715
672|196
196|6714
114609|114609
3398|5599
10987|7205
10580|5829
5608|5608
121504|4215
6670|7402
7186|7716
5601|23542
331|10572
1051|5598
2277|57448
9618|4216
4087|4091
1017|3309
23770|5530
3727|7528
28996|2033
25855|4790
4646|801
23327|2011
23542|8650
301|5581
6256|1499
7157|6794
7423|7423
4087|7178
23028|23028
7157|8878
3726|6303
3309|4690
2064|5781
5578|7037
6647|11034
8452|2010
3476|8239
329|1956
7157|4331
3667|613
2023|2771
27|2885
409|302
5966|8239
9218|351
8985|8985
5796|5796
5970|3066
10165|8890
6886|6886
3309|5603
5108|54862
2534|836
2885|2934
5879|998
10131|3329
5595|5599
22954|7531
10818|10580
5693|8767
694|3276
5914|8841
11171|48
7337|6647
5921|2065
7157|5371
3661|3661
7168|8517
1956|3309
207|6886
331|842
3275|6885
4734|27
7531|4194
2885|5716
81628|9819
351|43
3276|7189
10755|87
309|7419
983|2305
9821|8567
55715|5921
7391|7155
2908|573
4087|8239
2119|5566
7186|79594
10206|8517
396|5566
1017|2308
5663|7001
5829|613
7050|5371
1956|51564
3925|5058
4615|7100
595|8841
2932|7428
4486|6714
2932|4853
1386|2335
23414|3066
6885|5536
340061|340061
7161|2033
8473|8473
4194|5925
7157|9611
4609|8036
2353|4775
3066|328
2648|3665
