EntrezGeneID1|EntrezGeneID2
5300|81628
1855|8312
9775|5978
55366|23310
1432|2004
11051|3066
1432|8945
5469|5469
10672|7046
5879|4627
23405|3329
5335|5921
4869|498
1019|1457
2316|71
2885|2887
1499|5494
3275|6256
513|509
5499|5568
7319|1029
4627|54822
22976|10111
6492|3320
1017|3398
2885|3329
1660|23405
7157|2648
2734|5966
9113|10413
5747|1605
51393|7442
7415|51366
5921|309
5997|2776
5747|4193
7157|51741
3654|3315
7532|8451
996|996
56897|5424
7415|1019
1213|4790
8451|8467
10049|10013
2537|351
5566|1385
2885|6764
3320|5871
54984|7430
6303|8525
4851|5664
2549|5829
1020|351
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
2063|2063
4627|302
23363|4361
4221|25942
2040|2040
324|8658
10488|638
4087|23557
3717|3320
5603|7157
1213|409
5599|6464
3065|3320
7444|5599
3064|83737
5300|4303
1022|2068
2730|3665
8945|51741
324|598
10013|22985
10013|4615
5595|6548
79791|595
8452|7072
5108|55081
3981|1278
10856|29110
8766|3064
1432|4209
6478|8841
5701|5693
2771|5581
4086|2648
1017|9113
7184|10399
3725|7443
5594|7157
58|5879
4088|3727
1453|1855
4831|10856
2034|56897
10987|9097
10987|81620
6809|6809
3667|55023
3643|5580
23020|23020
1958|6647
51366|2932
514|93974
4824|7089
4651|805
156|5603
7428|4176
1432|5371
2034|25942
6257|7415
4038|25861
4790|5607
5581|6868
6777|351
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
3065|2969
498|6199
5601|9031
3065|7428
7059|222229
5914|23411
3659|4193
83737|51429
29127|4294
6502|997
3320|1019
7273|7416
5530|6257
3315|23363
5594|6640
207|23327
5606|9479
2353|351
3801|10540
1956|6850
939|56913
23515|54476
3065|3297
10155|5460
166|6733
1956|2274
2081|9097
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
10755|613
23433|57120
4830|983
23327|79176
5594|1978
1832|5663
10728|7189
1454|5664
4615|4088
