EntrezGeneID1|EntrezGeneID2
57154|3309
5879|23568
5300|81628
1855|8312
10206|396
10577|4864
5604|8837
6477|5932
10801|9217
5310|87
55366|23310
149041|7327
6259|5591
1432|2004
10664|3146
56254|51322
11051|3066
1432|8945
246184|51434
55294|29079
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
6602|64599
6772|7852
396|226
55832|1832
23081|3065
5879|4627
3309|27000
7514|2308
2074|55832
23405|3329
3915|3912
5335|5921
5894|598
4869|498
672|2355
2885|2887
1499|5494
3275|6256
153090|8454
22955|8467
9146|90390
6871|10025
10987|8607
2288|10728
5499|5568
7319|1029
4627|54822
4771|6895
1017|3398
2885|3329
3065|6883
4734|6189
6601|5978
1786|53615
1660|23405
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
5747|1605
51160|613
11236|3638
51393|7442
10252|868
8452|4976
10938|5591
5921|309
86|79718
5747|4193
7157|51741
4700|4722
14|10076
960|573
5467|8202
648|11171
3654|3315
7514|23636
996|996
1213|4790
54778|7508
4734|7322
9612|8202
8451|8467
10049|10013
5970|8986
3476|79840
26574|1613
166|55072
10458|55971
2537|351
26270|3074
5566|1385
2885|6764
54984|7430
5062|5683
6303|8525
6461|6714
6210|79084
4851|5664
2549|5829
4778|5195
3171|1832
3661|64750
6714|4133
1020|351
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
23133|55183
4627|302
26524|7533
5130|9025
4221|25942
7322|115426
57154|3622
3265|8036
1017|6120
5914|6477
51548|2317
2040|2040
324|8658
57332|57332
10488|638
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
5599|6464
8452|4722
3064|83737
5300|4303
2885|5930
51377|7295
2730|3665
8945|51741
7531|678
6478|6774
6045|2317
324|598
5591|5052
1937|4193
81559|7322
10013|22985
54556|8454
25855|351
30827|80335
10013|4615
5595|6548
79791|595
11218|23405
5747|4678
8452|7072
5245|6189
3981|1278
10856|29110
1432|4209
6478|8841
10987|56254
3476|53615
2771|5581
4086|2648
7322|26994
57154|7186
4088|6601
1017|9113
1147|8717
1051|1387
2067|6879
7337|301
7184|10399
3301|4790
1786|30827
23640|7186
8725|55929
10399|6774
2648|6877
5594|7157
58|5879
4088|3727
1453|1855
226|226
4831|10856
4086|58533
10006|5296
10987|81620
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
2132|2132
1958|6647
444|5154
1432|6774
6732|8531
51366|2932
3958|5781
81542|7295
4824|7089
1788|130557
1191|5444
4651|805
2185|6774
8726|8289
156|5603
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
4038|25861
55366|4297
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
8837|868
1969|1213
2034|2010
1147|9043
5532|3313
1831|3065
10987|7186
2547|3064
57634|80314
6886|2547
1810|11091
3065|2969
498|6199
5601|9031
3065|7428
7251|4193
29116|81628
7059|222229
5914|23411
6598|55636
10933|86
81620|51433
3659|4193
83737|51429
8976|4690
29127|4294
5532|7942
9262|351
6502|997
2261|5335
23580|10801
8682|8772
9531|51022
5530|6257
7514|10856
5594|6640
207|23327
5606|9479
3066|83933
29116|7334
23263|6194
6871|2648
2353|351
3801|10540
7013|28988
79654|10892
1956|6850
939|56913
9063|9063
23515|54476
8751|7525
3065|3297
23291|10413
1196|672
10155|5460
396|637
166|6733
1017|3146
5052|51
7514|56243
4772|8554
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
26227|6453
5966|6500
10755|613
23433|57120
5580|6944
166|11030
4830|983
1616|3276
3309|23636
672|23512
23327|79176
5716|8440
5594|1978
1832|5663
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
7514|6772
4616|983
6732|5170
2771|4691
311|4282
6772|55832
6879|2118
1031|55183
3685|7040
23411|4092
11091|51562
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
5829|84661
4214|10049
267|23295
51741|5914
5058|10472
6907|1499
1855|1499
9063|2908
4088|64219
1385|6722
2068|983
1827|7189
4728|11331
5290|6772
7187|329
6733|8726
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
8850|10629
23291|7832
1017|57591
7072|5094
2335|10432
10755|5578
1130|57060
6464|7175
1020|7917
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
7027|1387
8452|8450
81628|79718
6944|3276
10592|25942
1956|5802
54764|57332
84661|87178
208|7249
8805|57332
7514|54623
4700|4724
7324|10425
1487|93986
7494|2648
6774|6778
5829|102
1956|5604
3688|7414
7431|11143
5747|7132
847|6786
11143|27154
51564|79718
7023|3148
975|4869
79084|6597
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
1969|9525
5460|5478
8454|4193
5516|9448
7428|5580
396|1967
5601|6470
8450|55832
196|4094
51257|7328
4609|4609
3611|79888
3661|2308
472|6477
3398|5925
6272|10542
5352|23039
8454|29127
55145|5074
4090|7844
3093|7428
2624|6500
53615|3725
58|7187
1017|8531
27005|9101
7023|8932
1017|5094
3655|3915
5515|658
1642|4926
2908|10013
3065|3326
5663|348
7335|331
672|1634
90678|3297
8440|23522
3925|5568
9101|6778
409|6714
6879|6879
675|2316
23368|672
3309|6667
26524|4851
7528|351
8792|9846
871|7171
4790|8837
2885|51185
4323|7040
6478|8554
10987|3858
56943|56970
10856|1785
5966|801
5295|2033
3315|9588
123169|6879
1054|1017
9070|2033
5224|5223
1147|5499
7321|8239
2683|3728
6733|55832
1785|6386
10572|27
7046|4087
1642|6772
10253|10817
23543|3202
1020|3326
9252|2908
5663|7046
5970|595
2885|835
93986|116113
5469|29079
23580|55752
10956|10488
6314|3912
6772|3654
6714|6778
156|31
8820|9612
1027|1019
10459|51343
1956|7327
1191|11130
7249|5747
7157|1958
1487|9063
498|93974
25932|5966
6498|51592
8295|8454
351|4609
4851|5928
7251|9146
10241|3142
5727|2683
54541|55183
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
4282|54984
51111|51111
7428|9821
11052|4076
23291|1213
4627|8767
10919|6015
5925|5894
1499|8850
6310|55072
57506|6772
5295|3265
5335|6714
405|9978
56829|351
409|1019
409|5594
1017|7915
3315|6667
2885|6189
3611|2746
7428|1270
150684|5966
3146|3148
3326|7186
861|1387
4085|4085
51548|22948
8726|1072
8021|87178
328|1642
3313|351
10672|2185
56970|8464
7375|7046
8651|2261
11130|9183
1601|1855
351|4763
51434|1387
1051|1054
6667|23636
10379|10379
26994|9372
53615|80312
57154|2547
11331|11218
7514|9867
7514|9219
3265|8315
10728|2065
149041|7332
8202|1147
408|6093
23476|9440
23512|10397
23236|5591
23291|1020
3309|811
8445|9821
7157|83737
4691|5094
6497|3329
79813|83852
1385|1051
23429|9191
3297|5591
4790|4791
6497|79718
864|4851
10159|23770
6272|54840
1627|667
4976|664
311|7001
4000|4926
9531|3326
808|8717
8312|7248
10933|672
4216|5604
10413|7533
6497|4691
11051|1627
5932|5932
3099|6720
123169|7319
8726|10801
23263|23451
472|10444
2185|309
4085|6189
6045|7528
7428|6189
847|3295
5609|9479
3912|43
5590|842
2064|983
11060|7322
3276|1153
6310|11030
4734|6500
7453|7453
28996|28996
9282|29079
5591|1147
6601|7251
23043|23287
54107|351
60485|26524
2192|10252
5599|23411
196|9978
5300|55201
5245|1627
5747|10273
65057|1627
7155|983
5292|6502
4091|1487
51257|57120
9440|7157
79885|10049
26270|4830
581|255488
2885|3313
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
664|7052
7325|9025
4791|6500
7326|10616
10629|27097
10987|1153
310|7157
4790|801
9653|128869
408|1213
23512|3983
5595|6667
5879|7410
10075|32
4088|5371
8891|8531
8726|5879
7428|1291
408|498
998|4294
2118|2629
4952|1213
65057|51119
26272|26272
5914|23512
1365|5566
9572|351
5604|2887
7325|7703
4869|3956
10381|55023
8452|83695
11059|4778
4193|6872
2355|3925
928|961
3299|3297
2317|10540
1432|8841
1785|6453
5499|1454
23512|6045
5603|4216
1020|55083
4086|4853
4087|93649
648|4830
8260|57048
382|5226
7323|4214
207|150684
7531|23476
128|351
1029|598
7528|1387
27|10152
29110|26994
1984|6386
9531|4678
90678|90678
10600|2353
6883|9913
8450|808
9252|1387
10664|351
4088|57680
9618|11059
5693|5683
7322|9025
5058|5879
4627|1601
6241|29945
3476|22948
23126|10459
2782|2534
4665|6602
8841|11331
23481|23481
23054|1387
4609|9968
4090|654
5170|5604
7186|2081
3476|4282
4193|6597
25898|5429
65057|677
7159|301
5925|3065
4292|4728
7375|10075
373|7324
3399|10817
1616|4629
54926|396
11091|23309
7327|267
7319|966
672|2316
5925|996
4087|6601
7321|4214
8454|55904
1956|808
23414|5928
4194|351
4609|8454
3315|3476
1499|6500
8751|23636
3066|3301
672|7168
3064|4294
6591|3065
5608|5970
10542|55183
1017|55689
3717|6513
5601|3726
2885|966
3717|5954
1717|3326
4628|4691
10458|10458
6640|128
8841|2874
10131|4089
25942|7468
7917|51548
5058|10174
10114|1616
311|306
6881|6881
1017|2896
9531|10174
4792|4792
22955|22955
1432|58508
2316|960
79885|3301
10458|10006
8726|1660
10381|2885
25865|4086
4486|7525
4869|2034
3065|9070
80335|11091
7410|23126
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
65018|7052
2309|9181
226|2739
1956|14
2771|302
801|58533
5204|7716
112398|112398
1017|5604
6548|7132
3661|7187
26270|7531
5928|6602
1499|10498
1760|5894
2074|5424
10159|387
8021|8021
1660|5970
5594|5213
5062|6194
7703|22955
5460|7026
51701|8454
7184|3309
3065|5929
8452|2730
2931|4077
3845|8945
578|7337
3091|6714
989|5966
2023|43
54974|51100
7428|6513
1649|1051
9063|3725
1956|27
8726|1788
5580|7037
3958|351
11331|6189
9618|1499
3925|5603
1499|4771
4214|2317
1432|572
26001|9040
7328|5970
8726|7175
226|6648
55752|7189
2280|1487
51548|3306
6045|801
6733|5930
2010|4000
150684|331
373|5296
81847|7322
3845|351
8841|7155
57506|6714
836|9191
3832|79718
3956|2969
23411|9611
8850|2547
5747|6714
7528|29844
2321|5335
4772|7157
4609|5601
4000|9031
1387|7157
1540|4646
10253|10252
9611|10155
3655|351
1017|16
2885|26999
334|5578
7324|4214
7514|9646
27086|7157
2200|7040
28988|8924
2033|9500
4086|7508
387893|5928
996|29945
5728|331
1642|5928
8837|4088
57154|10540
26994|11060
5499|6500
5936|2034
7324|4734
7531|6885
3622|64750
1017|1603
5599|3297
409|4691
7001|2956
116143|5499
9968|9968
996|51434
4087|5601
7161|81620
11091|6883
472|6240
3685|4323
2316|4000
1660|64783
5566|5568
1627|85458
6386|8408
8837|7157
55681|6189
7531|7514
998|23580
7531|805
10892|7189
51619|26001
22882|22882
9146|23636
4163|6801
836|637
148022|10498
4088|23214
8454|1153
9255|351
8452|23770
5062|6500
1499|604
847|351
7398|7398
324|4646
58508|79813
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8945|10277
11091|6601
25942|5970
2908|2782
9690|7321
3611|8607
51366|7164
4000|1636
10987|23318
6714|1072
2908|5598
4323|6714
29079|29110
7323|55159
26060|5590
115426|4170
7168|7184
5607|2023
5213|5211
5316|6929
3309|10542
2011|23303
5585|5585
9079|51564
10629|6874
5371|5300
4292|8930
11284|23287
7335|10273
8772|8772
5894|3301
23326|27097
2885|5530
3654|9618
2896|51701
1027|8454
6874|6877
10580|4609
10460|3832
373|84919
6468|22948
9611|6602
10163|8976
26060|3397
11140|6294
6840|2040
805|818
3726|672
151636|3717
57142|6714
7186|8772
5451|351
8452|3251
56943|6881
7132|5879
55832|10664
3163|2908
6647|55681
672|5970
51592|8861
10856|6502
81929|22948
4860|7157
6241|7251
2885|6294
648|10270
26524|222484
64783|9690
6883|8467
5058|6615
3297|4831
7157|1487
4700|4728
10477|10477
3654|8772
23295|4734
253980|387
2353|2962
673|369
8452|51119
6929|8295
3315|7157
1643|2547
8613|351
23327|997
8607|6944
1386|9063
6850|5296
11059|7323
4086|9862
3064|2885
3092|5966
5295|153090
1385|818
983|3146
51741|26999
8726|4627
6199|3276
1499|1660
5598|7531
8525|3265
4088|8850
166|166
2033|7392
51619|7844
6648|7001
2494|5566
79577|1499
10273|7186
4088|55958
4734|6198
578|598
672|6597
10014|9588
26270|391
329|329
2277|8754
4724|4710
30844|90678
27429|4976
6881|2648
6601|6872
5289|1627
9531|5721
4193|23451
29110|498
5287|6464
10458|26999
2033|4094
1956|7531
54556|3309
7295|23636
5594|5925
54872|351
409|3326
5728|1399
51141|29979
55294|9978
7322|8454
7132|808
3516|3569
2023|3066
5204|10629
1487|5058
1130|9968
10155|6778
2885|5747
2261|55819
90780|207
1017|7533
6045|8451
5781|2185
3065|7431
5599|3725
604|6597
9646|10579
29079|10540
4734|9962
1956|8813
3875|5590
54623|9646
23368|2064
1956|8892
10856|10902
2534|4690
3622|5931
219771|79084
7514|10801
