EntrezGeneID1|EntrezGeneID2
5300|81628
1855|8312
5604|8837
5310|87
55366|23310
1432|2004
5469|5469
10672|7046
26227|2885
5879|4627
3309|27000
3915|3912
5335|5921
1650|3703
672|2355
3275|6256
7319|1029
4627|54822
1017|3398
7157|2648
5747|1605
51393|7442
8452|4976
5921|309
5747|4193
14|10076
960|573
3654|3315
7532|8451
996|996
7415|1019
6118|7508
8451|8467
10049|10013
2072|3014
3476|79840
2537|351
5566|1385
2885|6764
54984|7430
6303|8525
55759|55759
4851|5664
2549|5829
6714|4133
1020|351
5516|3476
5333|801
6714|5295
5871|6416
2063|2063
4627|302
23363|4361
6789|259230
4221|25942
3265|8036
6934|7520
4087|23557
1213|409
5599|6464
3064|83737
5300|4303
324|598
25855|351
10013|4615
5595|6548
79791|595
3981|1278
4086|2648
1017|9113
5594|7157
58|5879
4088|3727
10987|9097
10987|81620
6809|6809
7428|23032
3643|5580
3958|5781
4651|805
7531|3983
1432|5371
11315|204851
2034|25942
6257|7415
672|79035
5581|6868
6777|351
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
2547|3064
3065|2969
5601|9031
3065|7428
5914|23411
9531|51022
5530|6257
3315|23363
5594|6640
207|23327
5606|9479
23263|6194
2353|351
3801|10540
7013|28988
1956|6850
939|56913
1196|672
2648|7520
396|637
1956|2274
6050|283
5295|1969
5970|7052
4193|55967
3309|23636
23327|79176
5594|1978
1832|5663
4615|4088
6118|1832
9344|5606
4616|983
311|4282
5599|3014
3685|7040
23411|4092
7414|10381
55294|55294
5467|5970
4214|10049
5058|10472
1855|1499
1385|6722
2068|983
1827|7189
6934|7248
23411|3309
1856|7126
7046|7040
1017|57591
10755|5578
6464|7175
4609|2033
1432|1956
1017|3983
8452|8450
165918|3014
10592|25942
1956|5802
208|7249
4700|4724
5829|102
1956|5604
3688|7414
847|6786
7023|3148
2274|10522
10987|79791
6118|1956
10987|7001
5914|5469
1278|960
22954|29979
409|10381
7428|1856
