EntrezGeneID1|EntrezGeneID2
57154|3309
5879|23568
5300|81628
1855|8312
5604|8837
10801|9217
5310|87
6259|5591
1432|2004
10664|3146
56254|51322
11051|3066
1432|8945
55294|29079
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
6602|64599
6772|7852
23081|3065
5879|4627
7514|2308
23405|3329
3915|3912
5335|5921
5894|598
4869|498
672|2355
2885|2887
1499|5494
3275|6256
22955|8467
9146|90390
6871|10025
10987|8607
2288|10728
7319|1029
4627|54822
4771|6895
1017|3398
2885|3329
3065|6883
4734|6189
6601|5978
1786|53615
1660|23405
7157|2648
2734|5966
9113|10413
4090|23451
5747|1605
51393|7442
10252|868
8452|4976
10938|5591
86|79718
5747|4193
7157|51741
4700|4722
960|573
5467|8202
3654|3315
9612|8202
10049|10013
5970|8986
3476|79840
26574|1613
10458|55971
2537|351
5566|1385
2885|6764
5062|5683
6461|6714
6210|79084
4851|5664
2549|5829
4778|5195
6714|4133
1020|351
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
4627|302
26524|7533
2040|2040
324|8658
57332|57332
10488|638
10458|55740
5603|7157
5599|6464
8452|4722
3064|83737
5300|4303
51377|7295
2730|3665
8945|51741
7531|678
6478|6774
324|598
5591|5052
1937|4193
10013|22985
25855|351
30827|80335
10013|4615
5595|6548
11218|23405
5747|4678
8452|7072
5245|6189
3981|1278
10856|29110
1432|4209
6478|8841
10987|56254
3476|53615
4086|2648
57154|7186
4088|6601
1017|9113
1147|8717
1051|1387
2067|6879
7337|301
7184|10399
3301|4790
1786|30827
8725|55929
10399|6774
2648|6877
5594|7157
4088|3727
1453|1855
226|226
4831|10856
10006|5296
6809|6809
7428|23032
3667|55023
3643|5580
23560|6189
2132|2132
1958|6647
444|5154
1432|6774
51366|2932
3958|5781
81542|7295
4824|7089
4651|805
2185|6774
8726|8289
156|5603
7531|3983
7132|9093
1432|5371
11315|204851
4038|25861
55366|4297
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
8837|868
2034|2010
1147|9043
5532|3313
1831|3065
10987|7186
2547|3064
57634|80314
6886|2547
1810|11091
3065|2969
5601|9031
3065|7428
7251|4193
5914|23411
6598|55636
10933|86
3659|4193
83737|51429
8976|4690
29127|4294
5532|7942
9262|351
8682|8772
9531|51022
7514|10856
207|23327
5606|9479
3066|83933
6871|2648
2353|351
1956|6850
939|56913
9063|9063
23515|54476
3065|3297
1196|672
10155|5460
166|6733
1017|3146
5052|51
7514|56243
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
5966|6500
10755|613
166|11030
4830|983
1616|3276
672|23512
23327|79176
5716|8440
1832|5663
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
7514|6772
4616|983
6732|5170
311|4282
6879|2118
3685|7040
23411|4092
11091|51562
3091|613
7414|10381
55294|55294
5467|5970
5829|84661
4214|10049
51741|5914
6907|1499
1855|1499
9063|2908
1385|6722
2068|983
4728|11331
5290|6772
6733|8726
6934|7248
240|5594
23411|3309
7046|7040
7494|7494
8850|10629
1017|57591
7072|5094
2335|10432
10755|5578
1130|57060
1020|7917
5074|6523
4609|2033
1432|1956
1017|3983
81628|79718
1956|5802
54764|57332
84661|87178
208|7249
8805|57332
7514|54623
4700|4724
1487|93986
7494|2648
6774|6778
5829|102
1956|5604
3688|7414
7431|11143
5747|7132
847|6786
11143|27154
51564|79718
7023|3148
975|4869
79084|6597
1386|306
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
1969|9525
5460|5478
5516|9448
7428|5580
5601|6470
196|4094
4609|4609
3661|2308
3398|5925
6272|10542
5352|23039
55145|5074
2624|6500
53615|3725
7023|8932
1017|5094
3655|3915
2908|10013
3065|3326
5663|348
8440|23522
3925|5568
409|6714
6879|6879
23368|672
3309|6667
26524|4851
7528|351
871|7171
4790|8837
6478|8554
10987|3858
56943|56970
5966|801
5295|2033
3315|9588
123169|6879
1054|1017
9070|2033
2683|3728
10572|27
7046|4087
1642|6772
23543|3202
1020|3326
9252|2908
5663|7046
5970|595
2885|835
93986|116113
5469|29079
6314|3912
6772|3654
6714|6778
156|31
8820|9612
1027|1019
7249|5747
7157|1958
1487|9063
498|93974
25932|5966
6498|51592
351|4609
4851|5928
7251|9146
10241|3142
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
51111|51111
7428|9821
11052|4076
4627|8767
10919|6015
5925|5894
1499|8850
57506|6772
5295|3265
5335|6714
56829|351
409|1019
409|5594
1017|7915
3315|6667
2885|6189
3611|2746
7428|1270
3146|3148
3326|7186
861|1387
51548|22948
8726|1072
8021|87178
328|1642
3313|351
10672|2185
56970|8464
1601|1855
351|4763
1051|1054
10379|10379
53615|80312
57154|2547
11331|11218
7514|9219
3265|8315
10728|2065
149041|7332
8202|1147
408|6093
23476|9440
23512|10397
23236|5591
3309|811
8445|9821
7157|83737
4691|5094
6497|3329
79813|83852
1385|1051
23429|9191
3297|5591
4790|4791
6497|79718
864|4851
10159|23770
6272|54840
1627|667
4976|664
311|7001
9531|3326
808|8717
8312|7248
10933|672
4216|5604
10413|7533
6497|4691
11051|1627
123169|7319
8726|10801
6045|7528
7428|6189
5609|9479
3912|43
5590|842
2064|983
3276|1153
6310|11030
4734|6500
7453|7453
28996|28996
9282|29079
5591|1147
6601|7251
23043|23287
54107|351
60485|26524
2192|10252
5599|23411
5300|55201
5245|1627
65057|1627
7155|983
4091|1487
9440|7157
79885|10049
581|255488
2885|3313
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
664|7052
4791|6500
10629|27097
10987|1153
310|7157
4790|801
9653|128869
23512|3983
5595|6667
10075|32
4088|5371
8726|5879
7428|1291
408|498
998|4294
2118|2629
65057|51119
5914|23512
1365|5566
9572|351
5604|2887
10381|55023
8452|83695
4193|6872
2355|3925
928|961
3299|3297
1432|8841
23512|6045
5603|4216
1020|55083
4086|4853
4087|93649
648|4830
7531|23476
128|351
1029|598
7528|1387
9531|4678
10600|2353
6883|9913
9252|1387
10664|351
4088|57680
5693|5683
5058|5879
4627|1601
3476|22948
2782|2534
4665|6602
8841|11331
23054|1387
4609|9968
5170|5604
7186|2081
3476|4282
4193|6597
65057|677
7159|301
5925|3065
4292|4728
1616|4629
7319|966
4087|6601
1956|808
23414|5928
4194|351
3315|3476
1499|6500
3066|3301
672|7168
3064|4294
6591|3065
5608|5970
1017|55689
5601|3726
2885|966
4628|4691
10458|10458
8841|2874
10131|4089
7917|51548
5058|10174
10114|1616
311|306
6881|6881
1017|2896
9531|10174
4792|4792
22955|22955
1432|58508
79885|3301
10458|10006
8726|1660
10381|2885
25865|4086
4869|2034
3065|9070
80335|11091
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
65018|7052
226|2739
5204|7716
112398|112398
1017|5604
6548|7132
3661|7187
5928|6602
1499|10498
1760|5894
10159|387
8021|8021
1660|5970
5594|5213
5062|6194
7703|22955
5460|7026
7184|3309
3065|5929
8452|2730
2931|4077
578|7337
3091|6714
989|5966
2023|43
54974|51100
1649|1051
9063|3725
1956|27
8726|1788
5580|7037
3958|351
11331|6189
9618|1499
3925|5603
1499|4771
1432|572
226|6648
55752|7189
2280|1487
6045|801
2010|4000
8841|7155
57506|6714
836|9191
23411|9611
8850|2547
5747|6714
7528|29844
2321|5335
4609|5601
4000|9031
1387|7157
1540|4646
10253|10252
9611|10155
3655|351
1017|16
2885|26999
334|5578
7324|4214
7514|9646
27086|7157
2033|9500
4086|7508
387893|5928
5728|331
1642|5928
8837|4088
5936|2034
7324|4734
7531|6885
1017|1603
5599|3297
409|4691
7001|2956
9968|9968
4087|5601
11091|6883
472|6240
1660|64783
5566|5568
1627|85458
8837|7157
55681|6189
7531|7514
7531|805
10892|7189
4163|6801
836|637
148022|10498
4088|23214
9255|351
8452|23770
5062|6500
1499|604
847|351
7398|7398
324|4646
58508|79813
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8945|10277
11091|6601
2908|2782
3611|8607
51366|7164
10987|23318
6714|1072
2908|5598
29079|29110
7168|7184
5607|2023
5213|5211
5316|6929
3309|10542
2011|23303
5585|5585
9079|51564
5371|5300
4292|8930
11284|23287
8772|8772
5894|3301
23326|27097
3654|9618
2896|51701
10580|4609
6468|22948
9611|6602
10163|8976
11140|6294
3726|672
151636|3717
57142|6714
7186|8772
8452|3251
56943|6881
7132|5879
3163|2908
6647|55681
672|5970
51592|8861
10856|6502
4860|7157
6241|7251
2885|6294
26524|222484
6883|8467
5058|6615
3297|4831
7157|1487
4700|4728
3654|8772
2353|2962
673|369
8452|51119
6929|8295
3315|7157
1643|2547
8613|351
1386|9063
6850|5296
4086|9862
3064|2885
3092|5966
5295|153090
983|3146
51741|26999
8726|4627
1499|1660
5598|7531
4088|8850
166|166
2033|7392
6648|7001
2494|5566
79577|1499
578|598
672|6597
10014|9588
2277|8754
4724|4710
27429|4976
6881|2648
6601|6872
4193|23451
29110|498
10458|26999
2033|4094
1956|7531
54556|3309
5594|5925
409|3326
5728|1399
51141|29979
7132|808
3516|3569
2023|3066
5204|10629
1487|5058
1130|9968
10155|6778
2885|5747
90780|207
1017|7533
5781|2185
3065|7431
5599|3725
604|6597
9646|10579
4734|9962
54623|9646
23368|2064
1956|8892
10856|10902
2534|4690
219771|79084
7514|10801
28996|8717
54880|84759
6929|2033
409|6772
648|6733
476|6188
3146|5578
10253|2885
7319|23304
5871|7186
28996|3065
3065|5087
1027|7531
4000|2547
10787|4690
9474|8772
4087|4090
9612|1051
4627|4791
4843|10728
23133|5914
51564|6907
2034|11331
1454|8312
4609|128239
149428|149428
23162|9479
1540|7189
4221|4221
5871|2547
2023|48
1627|3728
84447|4627
351|2192
10580|5062
207|2033
55294|4644
302|351
2889|2885
2534|27154
57154|7431
3309|7186
11315|4722
3065|5914
835|4193
6733|79576
10766|10766
7067|8841
4193|79813
2023|5478
351|1191
2549|6464
91|57154
4092|4734
6722|9252
3309|3398
7184|9255
2023|6885
4086|8850
53615|8467
9025|10600
10075|3066
1642|6502
2932|23451
3727|4089
9968|29079
6667|9846
2033|208
4294|27
4790|5062
4690|323
10014|5094
55366|22985
4790|7528
8315|8315
10783|10783
2908|7251
2335|5683
1147|805
6478|51196
7514|2932
7057|7422
3309|4691
51377|1832
23028|5931
7186|7531
4734|1020
8945|3182
1032|595
9451|9451
9967|9969
10987|5580
8312|28996
10987|6194
1540|10013
5631|51119
4088|9862
2962|6882
6667|5599
5074|5371
662|351
2040|5568
5911|9448
5058|961
3329|3688
79594|207
23327|7334
2033|5371
1017|55636
4163|8260
6774|4086
5581|1832
1959|6722
54556|6502
5352|23075
10628|3065
4830|6095
10987|5052
675|79184
4869|2023
3958|871
2131|2132
939|7187
11052|6601
29110|4791
8841|5087
23411|6720
3667|5291
5058|5894
1649|1386
672|9093
5108|10458
2081|7132
1017|7168
1385|9063
9252|4790
10062|54556
581|331
8726|23435
2648|4830
5728|5728
4170|8658
3275|30827
10938|8539
9479|5599
208|842
4627|64428
9500|9500
5970|9093
51429|51429
23186|23028
7514|55681
10919|7157
10919|58508
4831|25824
8841|4790
9913|9440
2969|5928
83737|5460
10006|1399
4609|23318
4869|4869
5300|6647
3725|408
6774|3066
2969|4792
1627|4644
1030|8099
4089|4790
10006|868
5578|7832
408|7533
23414|3065
29110|3665
8452|23451
79577|58508
598|842
6722|80314
409|4214
5594|7132
51231|7251
2335|3936
4609|3066
29127|51773
10381|7018
207|6789
51720|79184
7046|9043
4193|51548
3313|7189
2335|16
3309|5728
6188|6194
1386|22948
11284|351
4851|9253
79084|4086
4683|2956
51377|29844
2033|3516
7186|9821
10725|5335
1072|5052
4700|7917
2071|8850
1956|5594
1387|1385
672|285464
5300|2280
4088|1601
4297|5364
4170|637
9611|2874
80762|5728
5295|3717
2004|5204
2768|5578
51701|51701
5460|3146
4843|9093
989|9025
4087|476
7337|7324
23542|10939
54556|57634
4627|81844
324|1454
4700|4710
7132|7187
27097|6871
2734|4790
85363|22954
153090|207
473|2033
30844|158
7514|2309
64428|351
23429|7528
5300|1642
7428|2896
8751|6714
4780|10155
3726|334
2004|2885
23326|6871
9444|9444
8452|22948
6885|9448
805|805
801|8767
2625|5469
207|8682
9093|10498
868|148022
1429|1429
1432|6464
7178|7178
6774|5970
7013|55971
10014|4830
6722|5970
1432|55031
7048|7189
3065|4609
5591|8467
6497|23411
409|6733
8829|8829
8737|54476
10494|6801
7186|7295
10987|6464
1385|7157
1454|4040
2023|8767
358|5578
8850|8295
29979|51499
5781|79577
11331|6210
196|9612
54106|7096
672|2969
9612|8841
6667|4609
5170|3611
11218|9612
8945|25937
409|7531
5585|7186
156|2782
4609|7852
7514|5936
1856|387
3655|6464
7157|5931
392255|659
4194|2033
3720|10919
1386|7171
8945|4193
23411|22933
7132|5295
112939|54880
6194|7428
2064|6774
3476|93100
1387|604
3579|23770
1385|6196
8452|7431
