EntrezGeneID1|EntrezGeneID2
1855|8312
5604|8837
10801|9217
5310|87
1432|2004
11051|3066
1432|8945
5469|5469
10672|7046
5879|4627
7412|16
23405|3329
3915|3912
5335|5921
4869|498
4627|54822
4771|6895
2885|3329
5747|4193
3654|3315
10049|10013
10458|55971
4851|5664
2549|5829
4627|302
2040|2040
10488|638
1213|409
3064|83737
324|598
10013|4615
7184|10399
5594|7157
6809|6809
1788|130557
1432|5371
11315|204851
5581|6868
7412|2782
8837|868
1969|1213
1147|9043
1831|3065
3065|2969
3065|7428
5914|23411
6598|55636
83737|51429
8976|4690
5532|7942
9531|51022
1956|6850
939|56913
3065|3297
6050|283
5295|1969
4193|55967
7412|4627
4830|983
1832|5663
4615|4088
3685|7040
23411|4092
3091|613
55294|55294
5467|5970
4214|10049
7412|4691
1855|1499
2068|983
4728|11331
5290|6772
6934|7248
23411|3309
7046|7040
4609|2033
1432|1956
5829|102
1956|5604
3688|7414
5747|7132
79084|6597
5914|5469
7428|1856
5970|7412
196|4094
4609|4609
3661|2308
3398|5925
55145|5074
3655|3915
5663|348
3309|6667
5295|2033
3315|9588
2683|3728
7412|3040
7046|4087
5663|7046
5970|595
93986|116113
6772|3654
7249|5747
498|93974
7428|9821
4627|8767
57506|6772
5295|3265
409|5594
3315|6667
408|6093
3309|811
7157|83737
6497|3329
864|4851
4976|664
8312|7248
6497|4691
3912|43
2064|983
7453|7453
28996|28996
581|255488
5581|8682
1856|3309
408|1213
5595|6667
4088|5371
7428|1291
408|498
3299|3297
1020|55083
4087|93649
648|4830
1029|598
10600|2353
2782|2534
4193|6597
5925|3065
672|7168
2885|966
3717|5954
4628|4691
10458|10458
10131|4089
6881|6881
9531|10174
4792|4792
4869|2034
3643|3643
4214|387
9577|7157
8440|10458
112398|112398
5594|5213
7184|3309
54974|51100
1499|4771
1432|572
55752|7189
2321|5335
2885|26999
27086|7157
2033|9500
5728|331
8837|4088
409|4691
8837|7157
10892|7189
836|637
1499|604
324|4646
27086|27086
10013|2932
7412|4628
7168|7184
5213|5211
5316|6929
3309|10542
11284|23287
10580|4609
10163|8976
3726|672
7132|5879
6647|55681
672|5970
4860|7157
3297|4831
4700|4728
3315|7157
6850|5296
3064|2885
5295|153090
6648|7001
672|6597
10014|9588
2277|8754
9531|5721
29110|498
10458|26999
2033|4094
5594|5925
51141|29979
2885|5747
90780|207
3065|7431
604|6597
2534|4690
6929|2033
409|6772
648|6733
10253|2885
28996|3065
6401|5747
10787|4690
2034|11331
4609|128239
84447|4627
207|2033
2889|2885
3309|7186
3065|5914
2549|6464
4092|4734
3309|3398
7184|9255
1213|7132
7057|7422
3309|4691
4734|1020
1032|595
9451|9451
8312|28996
5074|5371
3329|3688
2033|5371
5581|1832
10628|3065
581|331
5728|5728
10938|8539
4627|64428
9500|9500
51429|51429
4831|25824
4609|23318
4869|4869
3725|408
2969|4792
409|4214
5594|7132
2335|3936
4609|3066
207|6789
7046|9043
2335|16
3309|5728
2033|3516
7186|9821
1072|5052
1956|5594
4170|637
80762|5728
5295|3717
5594|8649
4700|4710
153090|207
30844|158
7428|2896
2004|2885
2625|5469
207|8682
868|148022
1429|1429
1432|6464
7013|55971
10014|4830
6722|5970
7048|7189
3065|4609
6497|23411
409|6733
8829|8829
29979|51499
672|2969
6667|4609
1856|387
3655|6464
4194|2033
8945|4193
7132|5295
6194|7428
4217|11315
2335|4691
1499|3065
5728|7157
2068|2068
6615|8945
328|382
207|5578
2885|302
10935|5720
9821|6497
408|55681
331|836
10848|10848
1278|7450
5335|2885
1051|7157
5154|6667
5018|5018
7430|8767
4000|1499
55366|23513
3064|3708
4087|4976
6667|7171
5594|6464
5578|7431
4000|4000
1147|5970
5598|7157
409|1072
2534|3655
672|405
572|665
1969|7046
6240|648
26999|10163
7168|7171
4691|55681
672|7013
2335|11331
595|896
7050|3725
23236|5594
3064|1499
7412|6194
79084|4824
5598|5371
116113|4830
51564|51564
581|2074
4830|4830
10014|6885
6794|2011
3685|7057
6929|7391
3064|51100
3661|10522
5581|581
207|4194
4792|26259
4089|5268
6850|7189
4204|6497
5578|7157
6502|7528
3661|6737
9821|4217
5594|3091
5594|2950
4869|23411
5587|3725
10580|5747
4609|4780
10488|6890
10131|25824
1956|7186
6732|5478
861|861
10818|10253
391|4089
5868|5868
6732|8440
2308|23411
1909|4170
3065|8820
5213|8301
648|4691
4088|57669
491|5578
7168|7168
408|5478
4609|7157
7189|998
6885|1213
25855|10049
4163|9255
5796|5829
4000|665
5335|54541
1029|4691
5604|5604
25923|498
10600|10600
3654|9500
1956|2040
2022|7043
8613|8613
83737|2885
6015|7157
29979|3280
11326|4763
5371|4869
5290|10049
148022|7189
328|328
7412|7414
387|5879
5594|5970
54974|54974
4609|79084
7013|54974
1718|51752
9531|5831
9531|51499
1856|5578
1213|613
4087|1855
11331|5970
148022|29979
2736|6497
2033|2624
4088|672
4831|4831
5598|3728
128|405
2335|3309
3725|3065
23411|3066
10818|2549
6732|3915
4627|7168
5621|5621
207|8915
408|1909
861|5371
8767|8915
27086|93986
23405|23411
7057|811
498|9255
56652|7168
2885|5921
4628|4628
4824|579
29979|961
598|23770
1857|11284
3661|8651
5886|29979
5295|5921
6868|1739
9821|5747
2534|868
4217|6885
7430|5954
3329|498
868|5295
408|1856
5175|5295
10787|10163
5970|5451
3397|2626
4609|1051
11315|57669
3643|5578
896|7249
2624|5371
1029|6667
613|7157
5604|5595
6667|1786
3064|5295
2889|4690
9657|1832
4000|4869
3685|1969
29072|7157
1278|2335
1956|8301
5925|6670
4088|1499
5074|5074
7186|331
6615|3065
2335|506
613|5879
1956|29110
836|836
6464|302
4646|7132
5291|5728
2626|5469
51429|1785
5796|5797
7412|11331
5371|6772
1855|83737
207|1786
672|983
5830|949
648|55083
6667|7040
4627|3728
57506|7186
6934|2033
1020|87
55971|7157
5595|6868
2625|4193
1147|4792
672|196
114609|114609
10580|5829
6670|7402
7186|7716
331|10572
1051|5598
2277|57448
28996|2033
7157|6794
7423|7423
1510|1510
3726|6303
6015|7528
7189|7430
3309|4690
5720|5720
2064|5781
2494|1499
409|302
5796|5796
5970|3066
1072|5478
2534|836
5879|998
10131|3329
1785|4831
10818|10580
5693|8767
868|5781
7157|5371
3661|3661
1956|3309
3275|6885
4831|2280
983|2305
6464|2889
7428|9217
5663|7001
7431|57120
5829|613
7050|5371
1956|51564
4089|6470
1072|4831
2932|7428
331|9500
7161|2033
4194|5925
2353|4775
3066|328
7161|3066
4627|5074
5728|4628
10013|5211
1718|3265
8408|8408
7157|10848
2033|5970
6670|6772
5451|7067
2932|1786
1956|7171
3688|5581
7157|604
6615|2033
7132|7186
9657|128239
3091|10399
207|9479
2534|1500
2321|5747
983|23411
3685|5594
6464|87
2885|2885
11051|11052
491|1739
4214|4628
2280|4092
1785|8301
7528|6929
9935|2353
10062|5914
4869|3913
613|8440
4628|4869
23513|4163
2335|4869
5598|6929
1191|1191
3265|10522
3065|4824
2004|4690
57045|652
6597|3516
4615|5052
4851|3065
5578|998
5581|5581
6667|896
5781|1499
648|6597
4869|51065
2335|10801
2885|4163
10399|6772
2011|2932
6597|4780
7412|10935
7161|4734
6498|5371
25923|9217
6597|4869
1432|23770
2885|506
5925|4609
197131|7414
3309|6885
8440|5747
5333|8527
5604|57448
10399|3643
8945|4780
2335|4089
2932|2932
6647|10013
2335|1666
7046|2022
25855|3066
302|10399
861|28996
4520|2033
2932|7248
207|1213
4193|7157
2624|5469
3065|5371
5052|9588
11331|3065
408|4734
23770|54583
2033|595
55294|694
57120|3297
2534|1499
4830|4831
2004|5295
7096|7184
116113|116113
5594|2626
1728|4830
3643|382
5290|93974
7428|10253
10580|8440
2625|10014
2885|5621
2335|5829
10488|27031
7189|8408
2033|6598
9531|2549
3801|10152
5594|408
7046|4089
3725|8820
10014|498
306|7157
4869|31
84168|3309
29110|8945
4792|5970
1499|1500
1020|5925
1432|4088
3329|3309
2353|87
