EntrezGeneID1|EntrezGeneID2
1855|8312
1020|351
26276|351
25836|5538
324|598
7337|301
9657|51552
6777|351
4218|117177
60673|2309
2353|351
1855|1499
57617|8411
409|10381
4609|4609
3398|5925
2060|2534
10253|10817
351|4609
5879|8411
864|4851
28996|28996
5599|23411
6259|2049
2885|3983
4647|801
525|950
5601|3726
10381|2885
4609|5601
10253|10252
5538|1509
324|4646
27086|27086
2011|23303
3064|2885
84376|29911
2885|5747
5599|3725
10253|2885
302|351
7057|7422
4734|1020
8312|28996
4851|9253
23542|10939
805|805
8829|8829
7337|302
2060|9253
2885|302
323|538
85365|22872
2309|1499
311|302
2060|2060
5991|5991
3064|1499
3725|667
6794|2011
10939|351
9702|351
5911|5911
10818|10253
23327|4133
4644|5873
4609|8604
808|9657
5601|5601
55742|351
4628|4628
553115|553115
9821|5747
5116|805
409|805
6874|6874
613|5879
1020|3925
6623|5599
5599|3726
3398|5599
5601|23542
4646|801
23327|2011
23542|8650
2736|27148
5538|506
51552|8411
2064|5781
409|302
10165|8890
2885|2934
1499|6654
2353|4775
51141|11047
8408|8408
2736|1385
2931|5311
2885|2885
9935|2353
3516|351
2064|23542
1874|5108
6272|6272
5781|1499
539|8879
2011|2932
140576|3925
2885|506
5925|4609
2932|2932
2534|1499
3092|3092
1020|4205
351|539
9114|539
3725|8820
5599|7536
1020|5925
9140|9474
23411|8890
525|9368
64400|84376
1020|2534
23411|6794
81565|81565
4076|5747
6934|5663
3148|351
4133|2534
5663|5663
4609|8754
2885|539
8575|8575
64400|84067
4750|4750
8204|351
8892|351
23411|1855
2885|5781
8411|8411
8907|29911
7337|79065
51141|51141
2885|324
8312|2931
6272|3295
23043|667
2060|2885
538|540
8312|6498
1385|5991
27086|1523
9821|9474
10096|6812
2624|3725
525|6845
6654|6654
3725|3727
9765|351
2885|351
4609|3516
409|2934
4734|675
351|5663
5747|2064
1855|1856
8301|4646
4133|5048
5663|1499
3728|324
23043|2934
3624|3624
409|8531
2118|6794
23542|79738
5601|10494
2885|498
9935|9935
1020|81565
55740|55740
4734|6548
57617|57617
5879|6548
9657|7057
1499|9821
64400|57617
3295|5599
5538|539
1020|3064
6934|3728
25930|85365
3727|10096
1855|25937
2353|5925
23411|1856
4734|6498
4609|801
4734|10494
4609|9702
2049|2049
6310|27031
84376|84067
23162|5747
2932|4851
1857|1499
9702|29
5601|4775
9140|9821
5599|5599
5108|9657
323|351
9821|6498
1385|28996
10370|5747
5879|5747
10817|5781
4891|4734
23411|8301
9474|9474
1855|1855
598|581
5310|1499
2885|25930
11315|582
26058|4609
10083|10083
5601|5599
6794|2932
8890|8890
1201|1355
498|506
10817|2885
1499|2932
9657|302
11315|581
6845|10228
2932|8531
54806|5601
311|85365
4205|3727
324|4628
23162|5599
7337|23077
4851|5925
10507|5364
8609|351
3984|2534
23411|1857
81565|5048
5747|5310
1027|5599
8890|8893
3251|3251
6654|302
5310|5310
8893|351
1499|5797
22862|351
10507|10507
4609|9353
2932|3725
598|9474
2932|3516
3398|10817
4734|2011
1906|2353
65082|57617
1855|4734
585|5108
6786|7220
7337|351
2548|9253
2885|10165
801|801
23077|4609
8892|8890
2059|5108
182|7057
4851|1499
10253|1476
598|664
3726|4133
1020|27429
5747|351
2309|23411
8894|351
7337|7337
6498|5925
8531|9053
10165|23411
6310|2534
2353|5599
2885|5925
10228|8411
4851|4851
8301|2060
581|2932
6812|351
2934|7408
11315|11315
3074|3074
8312|8312
8893|8894
6812|1020
5925|1523
9657|5048
613|613
3516|4204
2885|5601
27086|4628
1027|4609
3984|351
4205|8546
409|8546
1476|1509
4609|10165
23411|409
2931|1385
9474|29911
2932|5108
3725|491
4647|4133
23598|23598
4609|5538
351|9253
25861|51168
3725|4436
6777|6777
409|23032
5538|10165
5925|4331
51393|51393
2059|2885
4851|182
351|351
311|553115
2534|3728
51510|51510
4644|801
5601|5663
1027|2885
3064|4218
409|801
324|667
57142|539
23162|5601
10818|5781
409|4734
1499|3728
2885|675
3725|5925
6558|6558
84376|84376
1857|25937
1020|3725
1027|1020
324|2011
2885|6654
7337|11047
359|359
3925|5601
1499|25776
23411|5925
4436|4436
3074|6786
2932|5747
9114|498
8650|1499
2353|3295
23043|801
4076|351
3280|3398
23043|808
8312|1856
598|598
10817|2064
5747|5781
1020|1020
2064|6654
1856|1499
598|57142
51330|5879
498|351
5364|2885
6272|22862
3398|2626
23411|1385
3398|3398
3925|5599
23411|2353
23191|23191
8312|1857
1499|864
2064|1499
23043|302
2885|808
675|675
664|664
7220|7220
506|9114
4851|8650
2059|1855
2885|4646
2931|351
5747|3280
5747|79738
2309|5925
10817|10817
1201|10165
525|51510
29|351
10096|2885
9353|9353
5663|1020
4133|4734
23327|4891
6310|9253
5108|582
8650|2060
2932|1385
2626|23414
4609|302
2934|351
9657|3858
3983|29911
29911|29911
4205|667
4734|23043
2059|6654
5797|5797
3064|8408
2885|4133
57142|140576
6548|801
598|85440
8531|9114
2060|3858
2059|51168
8892|8893
1385|3064
506|539
6874|1385
324|324
3064|2118
2932|324
6654|10818
5879|5879
9140|351
3638|51141
2064|2064
2885|4628
28996|4204
23411|9657
324|26058
2353|3727
324|22872
4609|27086
23327|1020
1874|3398
5310|2011
54903|91147
3064|801
1499|9368
6498|6498
5747|5747
2534|613
25861|25861
4851|3516
801|23077
1020|5747
6310|2118
4734|4734
1509|351
2932|3295
23043|5048
5601|3727
2064|2885
9474|23411
2045|2045
2931|3725
351|23542
4609|2931
26058|4076
5747|9140
3728|5663
5781|5781
4646|808
4647|1499
3984|3984
140576|6786
6794|805
1020|1499
9702|2011
301|302
409|409
5310|5311
2534|675
1385|3727
4628|7155
2353|3726
9702|26058
4609|2309
6310|6310
2534|351
92|3624
525|1509
23162|23542
1856|8907
27429|324
801|667
525|9114
8890|8894
8411|9765
5599|4609
11315|598
2934|5747
7057|5155
8301|6812
1856|1856
1499|23411
3280|23411
4133|4133
540|540
1499|5599
1856|8322
3725|351
6794|351
2534|5781
81565|351
10228|1523
2534|2049
3516|1523
2885|3074
1385|1385
1201|10939
1856|5879
6794|6794
9648|9648
117177|582
10253|5781
1020|4609
5873|351
6272|323
5538|498
23327|4851
29911|64400
2932|5781
63971|8907
2534|3073
2353|3725
3728|2064
23542|26276
85365|85365
2353|539
26100|9474
5925|5925
29911|3725
6934|1499
864|3516
3725|6874
4436|7155
5663|598
7337|801
3725|4646
6786|6786
5048|5048
4851|351
2118|351
3064|9474
1856|1857
5311|5311
2885|63971
5116|5108
301|498
4520|8907
4133|351
553115|85365
1856|409
7337|10096
1499|351
57142|57142
613|5925
1385|3725
4851|7155
6310|9114
2118|3725
7337|55742
2131|2131
54806|1855
8892|8531
2931|1499
8204|3725
3725|4609
6654|5781
4734|10252
6548|805
2011|2011
4734|2060
25861|4647
8312|4609
8312|3064
9657|6812
5879|23191
2932|8893
7536|6786
5925|5599
11047|351
6310|8301
311|5879
2885|3858
9657|5781
4864|4864
2931|2931
4851|3714
5311|7220
5155|5155
3516|23598
28996|579
1906|2624
23411|3725
2064|5364
4646|4646
5364|5879
3726|3726
7408|55740
10228|57617
2059|29911
409|808
60673|8408
2534|2534
3727|8604
10252|2885
409|4628
1857|1857
5781|613
3983|351
4205|4205
54806|9657
3725|4734
525|64924
23043|5911
324|506
4436|3728
3725|3725
2353|2353
6654|613
6310|7536
5601|409
8650|351
27429|27429
950|7057
1203|10165
4609|4436
2931|8893
3725|9935
652|652
4609|2932
525|26276
8312|3728
3925|1027
51552|351
9368|9368
9821|60673
6259|23191
7155|7155
3727|5599
324|1499
801|9657
140576|351
23542|5599
1499|5601
4851|25937
6259|1499
409|3984
1906|1906
5599|598
2885|7408
409|8322
23162|23162
353174|6558
5116|801
581|581
23043|6654
5747|2534
324|1856
2932|8312
4609|613
10253|4734
2353|2626
2534|57142
9657|11344
5747|324
1855|5879
27031|27031
4734|5911
3064|6874
3092|3064
54806|5108
4734|2534
23411|23411
9657|805
6934|864
92|92
351|2932
23327|23327
1027|7337
2059|2059
64399|64399
48|351
2932|5663
1385|1499
1855|1857
5879|10083
5663|4851
3064|3064
5879|89781
23411|3727
5599|4775
6654|2534
23043|6548
1130|805
23043|805
1130|801
8829|5155
23542|23542
9048|9048
1499|8312
1490|7422
1385|5663
51141|3728
9657|498
5781|6777
1857|2011
3638|3638
1857|23598
805|4646
2064|8411
10818|2885
9657|8879
5599|351
3725|4205
10939|498
7408|7408
2353|5601
5601|5925
3073|3074
498|539
1856|25937
5925|8575
10817|7408
10817|8650
9657|10381
3728|5310
10494|351
613|2885
1906|3725
27148|27148
8408|9821
27429|351
2885|3295
7337|805
5601|3725
26100|9140
10253|10253
8829|7422
1385|4204
8312|324
7536|7536
2064|85440
3911|6654
55614|8411
7422|7422
5747|667
8322|9368
10083|4647
5925|1874
5601|598
3251|9474
2534|5310
3725|4133
23043|6934
5879|4734
302|498
