EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
1855|8312
10206|396
5604|8837
5310|87
55366|23310
149041|7327
1432|2004
56254|51322
1432|8945
246184|51434
5469|5469
10672|7046
26227|2885
396|226
55832|1832
5879|4627
23405|3329
3915|3912
84687|5499
10905|11253
5335|5921
1650|3703
2885|2887
1499|5494
3275|6256
153090|8454
3566|9655
5499|5568
7319|1029
118|3398
4627|54822
4771|6895
1017|3398
2885|3329
4734|6189
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
5747|1605
51160|613
11236|3638
4609|23085
8452|4976
7415|51366
5747|4193
7157|51741
6045|55759
960|573
648|11171
3654|3315
996|996
1213|4790
4734|7322
10049|10013
3476|79840
26574|1613
166|55072
10458|55971
2537|351
26270|3074
5566|1385
2885|6764
54984|7430
6303|8525
6461|6714
3861|10152
5566|5705
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
3661|64750
6714|4133
1020|351
1308|3655
5516|3476
6714|5295
54583|6478
5871|6416
4627|302
124583|124583
7322|115426
57154|3622
3265|8036
5914|6477
324|8658
57332|57332
4087|23557
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
5599|6464
8452|4722
3064|83737
5300|4303
2885|5930
8945|51741
7531|678
6045|2317
324|598
1937|4193
81559|7322
25855|351
10013|4615
83706|79753
79791|595
11218|23405
8452|7072
3981|1278
1288|351
1432|4209
6478|8841
5701|5693
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
23640|7186
5594|7157
58|5879
1453|1855
208|9545
226|226
4086|58533
10987|9097
10006|5296
6809|6809
752|51474
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
1958|6647
51366|2932
3958|5781
4824|7089
1788|130557
7531|3983
7132|9093
1432|5371
11315|204851
6257|7415
4038|25861
55366|4297
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
1969|1213
2034|2010
1147|9043
4292|5887
1831|3065
10987|7186
3065|2969
5601|9031
3065|7428
7251|4193
5914|23411
3659|4193
8976|4690
29127|4294
5532|7942
9262|351
6502|997
8517|396
2261|5335
8682|8772
5530|6257
5594|6640
5606|9479
29116|7334
23263|6194
2353|351
6789|9218
3801|10540
7013|28988
79654|10892
1956|6850
939|56913
1856|8878
3065|3297
23291|10413
1196|672
10155|5460
7186|10758
166|6733
2081|9097
7186|9994
6050|283
472|10155
5295|1969
5970|7052
7415|6500
5966|6500
10755|613
5580|6944
4830|983
23512|5339
8737|8517
3309|23636
672|23512
5716|8440
1832|5663
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
6772|55832
1031|55183
3685|7040
23411|4092
10488|362
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
4214|10049
267|23295
51741|5914
5058|10472
2316|7532
6907|1499
1855|1499
4088|64219
1385|6722
2068|983
1827|7189
3691|3915
4436|8517
5290|6772
7187|329
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
23291|7832
1017|57591
7072|5094
10755|5578
1130|57060
6464|7175
1020|7917
5074|6523
5499|6502
4609|2033
1432|1956
1017|3983
6789|23085
1956|5802
54764|57332
208|7249
8805|57332
7324|10425
4316|5265
7494|2648
5829|102
1956|5604
3688|7414
5747|7132
2309|57708
51564|79718
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22954|29979
409|10381
7428|1856
8454|4193
5516|9448
7428|5580
396|1967
196|4094
51257|7328
4609|4609
3611|79888
26270|80267
23390|79654
5108|23392
3661|2308
472|6477
3398|5925
6272|10542
8454|29127
55145|5074
4090|7844
3093|7428
2624|6500
8945|55759
58|7187
1017|8531
1386|7416
1017|5094
3655|3915
5515|658
1642|4926
3065|3326
5663|348
7335|331
90678|3297
3925|5568
409|6714
675|2316
578|7416
3315|5898
23368|672
9516|29979
3309|6667
26524|4851
7528|351
4790|8837
2885|51185
7157|6613
5295|2033
118|667
1054|1017
1147|5499
7321|8239
2683|3728
6733|55832
10572|27
7046|4087
1642|6772
10253|10817
1020|3326
5663|7046
23291|55759
5970|595
2885|835
93986|116113
10956|10488
26270|5705
6772|3654
8820|9612
10459|51343
1956|7327
1191|11130
8517|51256
7249|5747
7157|1958
498|93974
1739|23095
6498|51592
351|4609
5727|2683
51322|7094
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
4282|54984
7428|9821
23291|1213
4627|8767
6310|55072
57506|6772
5295|3265
5335|6714
405|9978
56829|351
409|5594
2054|27230
3315|6667
2885|6189
150684|5966
3326|7186
7416|7416
861|1387
55612|51119
4085|4085
328|1642
10672|2185
7375|7046
8651|2261
11130|9183
1601|1855
351|4763
6478|10869
51434|1387
1051|1054
6667|23636
10379|10379
26994|9372
11331|11218
3265|8315
10728|2065
149041|7332
408|6093
23291|1020
3309|811
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
1385|1051
23429|9191
4790|4791
6497|79718
864|4851
10159|23770
51474|55589
1627|667
4976|664
9531|3326
8312|7248
4216|5604
6497|4691
123169|7319
23263|23451
56957|27338
472|10444
4085|6189
6045|7528
7428|6189
5609|9479
3912|43
7415|118
2064|983
11060|7322
4734|6500
7157|959
7453|7453
28996|28996
23043|23287
60485|26524
2192|10252
5599|23411
196|9978
5300|55201
5747|10273
4983|5879
65057|1627
7155|983
26270|4830
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
664|7052
3643|8878
1386|10972
7325|9025
4791|6500
7326|10616
148281|8567
10010|9546
27248|51009
408|1213
23512|3983
5595|6667
4088|5371
8891|8531
7428|1291
1017|7415
408|498
998|4294
2118|2629
65057|51119
26272|26272
5914|23512
1365|5566
4609|8878
9572|351
5604|2887
7325|7703
10381|55023
11059|4778
4193|6872
928|961
3299|3297
2317|10540
1432|8841
5499|1454
23512|6045
5603|4216
1020|55083
4086|4853
5536|5930
149428|23557
4087|93649
648|4830
7323|4214
207|150684
128|351
1029|598
1936|1937
7528|1387
3801|91949
6275|331
11124|1650
27|10152
51026|5119
29110|26994
1984|6386
90678|90678
10600|2353
9545|351
4088|57680
9618|11059
5693|5683
7322|9025
5058|5879
4627|1601
3476|22948
23126|10459
2782|2534
7428|1282
8841|11331
23481|23481
23054|1387
4609|9968
7186|2081
3476|4282
4193|6597
8767|8517
65057|677
64219|8078
7159|301
5925|3065
7375|10075
373|7324
3399|10817
1616|4629
54926|396
7327|267
7319|966
672|2316
5925|996
7321|4214
8454|55904
1948|8892
5515|4215
4609|8454
3315|3476
1499|6500
8751|23636
672|7168
3064|4294
6591|3065
5608|5970
10542|55183
5601|3726
1030|7041
2885|7532
2885|966
3717|5954
1717|3326
4628|4691
10458|10458
6640|128
8841|2874
5058|10174
10114|1616
6881|6881
1017|2896
9531|10174
4792|4792
22955|22955
2316|960
1650|6194
10458|10006
10381|2885
25865|4086
3643|3643
4214|387
9577|7157
8440|10458
65018|7052
2309|9181
226|2739
2771|302
5204|7716
1017|5604
5683|7415
3661|7187
26270|7531
1499|10498
10159|387
5594|5213
7703|22955
5460|7026
51701|8454
7184|3309
3845|8945
578|7337
3091|6714
2023|43
7415|572
1649|1051
1956|27
1286|2335
3958|351
11331|6189
54778|7188
9618|1499
3925|5603
1499|4771
4214|2317
6794|79155
1432|572
26001|9040
7328|5970
226|6648
5536|10672
6733|5930
56957|79155
150684|331
373|5296
81847|7322
3845|351
8841|7155
57506|6714
836|9191
5886|5701
3832|79718
3956|2969
23411|9611
5747|6714
7528|29844
2321|5335
4609|5601
1387|7157
1540|4646
10253|10252
9611|10155
9577|10342
3655|351
1017|16
2885|26999
334|5578
7324|4214
27086|7157
28988|8924
2033|9500
996|29945
5728|331
8837|4088
57154|10540
26994|11060
5499|6500
5936|2034
7324|4734
7531|6885
3622|64750
1017|1603
5599|3297
409|4691
7001|2956
9968|9968
996|51434
4087|5601
5566|5568
1627|85458
6386|8408
8239|9020
8837|7157
55681|6189
998|23580
10892|7189
51619|26001
22882|22882
4163|6801
7415|27338
148022|10498
9255|351
8452|23770
1499|604
324|4646
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8878|5701
8945|10277
2317|7415
9690|7321
51366|7164
10987|23318
6714|1072
353376|51135
7323|55159
115426|4170
7168|7184
5607|2023
5316|6929
3309|10542
2011|23303
9079|51564
5371|5300
4292|8930
79155|1147
7335|10273
8772|8772
2885|5530
3654|9618
2896|51701
7844|7415
1027|8454
10580|4609
10460|3832
6468|22948
10163|8976
3726|672
151636|3717
57142|6714
7186|8772
5451|351
8452|3251
6613|6613
7132|5879
6647|55681
4609|5701
58|7094
672|5970
51592|8861
81929|22948
4860|7157
648|10270
64783|9690
5058|6615
3297|4831
3911|5340
10477|10477
3654|8772
23295|4734
253980|387
2353|2962
8452|51119
1308|5339
3315|7157
5340|3315
8613|351
6850|5296
11059|7323
3064|2885
3092|5966
5295|153090
51741|26999
5598|7531
8525|3265
166|166
51619|7844
6648|7001
23557|8943
79577|1499
10273|7186
4088|55958
5911|5340
578|598
672|6597
26270|391
329|329
2277|8754
27429|4976
6881|2648
8878|9611
9531|5721
4193|23451
29110|498
10458|26999
2033|4094
1956|7531
5594|5925
8452|1798
409|3326
5728|1399
51141|29979
55294|9978
7322|8454
11124|11124
2023|3066
1130|9968
6500|8517
57154|5705
2885|5747
2261|55819
90780|207
5781|2185
7041|4088
3065|7431
5599|3725
604|6597
9646|10579
1956|8813
54623|9646
4163|8517
23368|2064
1956|8892
2534|4690
219771|79084
5979|5979
28996|8717
54880|84759
6929|2033
409|6772
1956|2771
648|6733
10188|998
5530|998
10253|2885
7319|23304
4214|3093
55284|55159
5871|7186
28996|3065
3065|5087
1027|7531
10787|4690
9474|8772
4087|4090
3691|3912
9445|197131
3476|6613
9612|1051
8036|10075
4627|4791
51026|11160
51564|6907
2034|11331
1454|8312
6667|5339
4609|128239
149428|149428
23162|9479
1540|7189
23263|6210
7375|3956
4221|4221
1627|3728
84447|4627
351|2192
207|2033
55294|4644
6733|29116
302|351
2889|2885
57154|7431
3309|7186
1278|7045
11315|4722
3065|5914
835|4193
23392|8517
6733|79576
7067|8841
351|1191
2549|6464
91|57154
4092|4734
3309|3398
7184|9255
2023|6885
9025|10600
8517|5515
10075|3066
1213|7132
1642|6502
2932|23451
3300|538
10116|9978
8454|4691
6667|9846
2033|208
4294|27
4690|323
10014|5094
4790|7528
83737|10477
8315|8315
10783|10783
2335|5683
10014|55832
6478|51196
7057|7422
5879|752
10342|6714
3309|4691
51377|1832
4627|7126
7186|7531
11124|3611
4734|1020
7189|56957
8945|3182
1032|595
9451|9451
10987|5580
8312|28996
7205|5747
10987|6194
196403|196403
1540|10013
54431|9695
51026|998
6667|5599
5074|5371
55284|26001
662|351
11059|7321
1386|3875
5911|9448
5058|961
3329|3688
5664|320
79594|207
5728|6386
2033|5371
1017|55636
6901|4041
5581|1832
672|55284
57506|79654
23705|6386
3516|8454
4830|6095
10987|5052
7013|90678
22801|3688
3654|10273
3958|871
54602|2534
939|7187
6047|6613
29110|4791
8841|5087
3667|5291
497661|6189
1649|1386
672|9093
5108|10458
2081|7132
1017|7168
581|331
2648|4830
5728|5728
4170|8658
997|8454
7013|396
7186|8204
9479|5599
7013|1936
9500|9500
5970|9093
7322|1027
7013|4926
2590|6210
5265|27248
1017|10972
8841|4790
6672|6613
83737|5460
10006|1399
5499|25998
4609|23318
5300|6647
51529|64682
3725|408
5530|572
2932|64750
1942|6613
2969|4792
1627|4644
54984|7013
4089|4790
472|79791
5578|7832
8625|11331
23414|3065
29110|3665
7188|4217
8452|23451
672|1874
3092|9516
51257|997
409|4214
55832|10155
5594|7132
51231|7251
2335|3936
10159|11060
4609|3066
4055|9618
10381|7018
11171|11218
207|6789
3064|3093
11060|997
5499|23189
7536|7332
7046|9043
1831|7341
2335|16
3309|5728
5581|7416
7532|5295
6188|6194
1386|22948
4851|9253
79084|4086
10273|7324
51377|29844
9218|7415
2033|3516
7186|9821
10725|5335
1072|5052
1956|5594
5499|8493
10155|7323
1387|1385
5300|2280
3611|8813
4088|1601
4297|5364
9372|5930
6907|10477
9611|2874
80762|5728
5295|3717
4218|7917
2004|5204
2768|5578
51701|51701
2885|3691
22882|5604
5594|8649
5829|7094
7337|7324
1676|5413
23542|10939
23560|23212
4627|81844
23291|8517
324|1454
115426|1499
7132|7187
1936|5716
10477|4780
2734|4790
153090|207
3091|9978
8878|1500
54106|81622
64219|9101
1017|3832
54602|4734
23429|7528
10051|3981
5300|1642
7428|2896
8751|6714
4780|10155
1196|6386
2549|5979
7328|81847
3726|334
2004|2885
3093|5966
9444|9444
8452|22948
6885|9448
5802|197131
3295|6648
2625|5469
207|8682
9093|10498
6047|7188
7324|6047
324|90678
1432|6464
7415|4926
7178|7178
1386|7532
7013|55971
10956|51009
4691|7416
10014|4830
6722|5970
2889|6574
5747|7041
7048|7189
3065|4609
25847|8697
6497|23411
409|6733
8829|8829
8737|54476
10494|6801
4824|10116
10987|6464
5683|23392
1385|7157
1454|4040
2023|8767
29979|51499
10540|81929
1936|5295
5781|79577
11331|6210
595|996
1192|4292
10342|5603
196|9612
54106|7096
672|2969
9612|8841
8204|10014
6667|4609
11218|9612
8945|25937
409|7531
1856|387
26270|6874
3655|6464
6874|51434
26524|7532
8945|4193
10758|7335
7132|5295
6194|7428
396|6714
1387|604
1385|6196
7415|3329
8452|7431
23390|5295
4790|1191
4609|2956
4217|11315
4193|10206
7157|23481
10273|7415
10626|351
81559|7321
6794|1967
5683|9690
2316|5499
6275|6275
2335|4691
1499|3065
1387|672
5025|9653
10075|5423
6840|4831
7048|1616
5728|7157
10155|51592
9918|64151
1956|5573
389|7189
7337|302
1072|2023
2068|2068
3925|54984
1017|7175
6615|8945
5594|3845
8805|5371
55832|10399
10342|25836
328|382
5058|572
10592|3065
29844|29844
2252|29979
8452|23636
6210|9020
51119|7419
207|5578
7430|9368
2885|302
10935|5720
8452|8531
2260|3717
10273|8078
7703|6015
10049|351
7703|6045
9821|6497
54476|7100
7322|55819
27429|9113
11160|10952
408|55681
1192|8517
2260|4734
811|351
7325|83737
9218|10613
5829|2185
323|538
331|836
5058|7431
10848|10848
2534|23028
23429|6500
150684|2033
207|25998
8697|983
55366|56957
5335|2885
4791|5693
5580|7431
1051|7157
2768|9826
10869|329
1296|1289
54623|56254
5154|6667
23392|23095
23054|22976
1739|4215
51741|3315
55201|567
4780|51322
7430|8767
55366|23513
1786|83852
2335|55832
10987|6189
5705|5693
9978|351
10987|351
1601|1213
1213|7415
4089|5898
4087|4976
2045|2782
51026|966
6497|6188
5601|207
5683|9978
5594|6464
5578|7431
6188|7186
2309|1499
334|5601
409|10273
1147|5970
2353|6613
2734|5970
331|7332
5598|7157
55715|23028
394|5829
409|1072
23028|6880
2534|3655
1147|8239
84168|5609
27338|26271
672|405
1017|2950
572|665
1642|10987
9612|1874
5119|5119
7326|9101
8473|1399
6500|997
11315|8772
23043|6885
1969|7046
4853|3516
26999|10163
6477|331
1627|4771
1601|7048
4691|55681
7159|80829
6045|2734
672|7013
5204|10342
80020|10956
2885|10342
2261|2261
3691|7431
7321|57534
1213|7532
2335|11331
7050|3725
23291|51366
23236|5594
5728|5608
1028|8454
10755|54910
208|4486
