EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
5604|8837
1432|2004
1432|8945
5469|5469
10014|7037
10672|7046
5879|4627
23405|3329
5335|5921
4869|498
1499|5494
4771|6895
2885|3329
2734|5966
5747|1605
4609|23085
10252|868
960|573
5467|8202
648|11171
3654|3315
3476|79840
26574|1613
10458|55971
2885|6764
6461|6714
6210|79084
4851|5664
2932|8517
2549|5829
6714|5295
5871|6416
4627|302
124583|124583
57154|3622
2040|2040
10488|638
4087|23557
5603|7157
5599|6464
3064|83737
5300|4303
324|598
83706|79753
11218|23405
3981|1278
1432|4209
2771|5581
57154|7186
1147|8717
7184|10399
10399|6774
5594|7157
208|9545
4086|58533
6809|6809
3643|5580
23560|6189
1958|6647
1432|6774
2185|6774
7132|9093
1432|5371
4790|5607
6772|3326
5581|6868
8837|868
1147|9043
10987|7186
2547|3064
6886|2547
498|6199
5914|23411
5594|8600
83737|51429
6502|997
8682|8772
5606|9479
6789|9218
1956|6850
939|56913
1856|8878
7186|10758
7186|9994
6050|283
5295|1969
10755|613
4830|983
1616|3276
8737|8517
3309|23636
2826|2885
1832|5663
4615|4088
9344|5606
4616|983
2771|4691
3685|7040
23411|4092
3091|613
55294|55294
5467|5970
4214|10049
267|23295
6907|1499
1385|6722
2068|983
4436|8517
5290|6772
7187|329
23411|3309
7046|7040
8737|329
7072|5094
5683|5682
10755|5578
1130|57060
1020|7917
4609|2033
1432|1956
6789|23085
208|7249
6774|6778
5829|102
1956|5604
3688|7414
5747|7132
2309|57708
975|4869
2353|5536
1386|306
7189|51135
10987|7001
5914|5469
1278|960
7428|1856
7428|5580
5601|6470
196|4094
4609|4609
3661|2308
3398|5925
6272|10542
55145|5074
5663|348
7335|331
409|6714
4292|9898
675|2316
3315|5898
23368|672
4790|8837
5295|2033
9070|2033
2683|3728
7046|4087
1020|3326
5663|7046
5970|595
2885|835
6772|3654
6714|6778
7249|5747
7157|1958
498|93974
6498|51592
10241|3142
51065|6188
7428|9821
4627|8767
57506|6772
5295|3265
5335|6714
409|5594
2054|27230
2885|6189
7428|1270
3146|3148
3326|7186
10672|2185
1051|1054
10379|10379
57154|2547
11331|11218
3265|8315
8202|1147
408|6093
3309|811
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
1385|1051
864|4851
4976|664
9531|3326
4869|497661
4216|5604
6497|4691
7428|6189
5609|9479
2064|983
7157|959
7453|7453
28996|28996
5599|23411
5310|9564
3603|3801
581|255488
5581|8682
1856|3309
5460|5460
3643|8878
1386|10972
148281|8567
4088|5371
7428|1291
408|498
998|4294
2118|2629
4609|8878
4869|3956
3299|3297
1432|8841
5603|4216
1020|55083
4086|4853
149428|23557
648|4830
1029|598
1936|1937
6275|331
10600|2353
5058|5879
3476|22948
8841|11331
7186|2081
3476|4282
8767|8517
7159|301
672|2316
3315|3476
3064|4294
5608|5970
5601|3726
2885|966
4628|4691
10458|10458
8841|2874
5058|10174
10114|1616
6881|6881
9531|10174
4792|4792
2316|960
25865|4086
4869|2034
3643|3643
4214|387
9577|7157
2771|302
3661|7187
1499|10498
10159|387
5594|5213
5460|7026
7184|3309
3091|6714
989|5966
2023|43
54974|51100
5580|7037
11331|6189
3603|7205
11140|8878
54778|7188
9618|1499
3925|5603
1499|4771
6794|79155
1432|572
55752|7189
3309|5682
5536|10672
56957|79155
57506|6714
836|9191
3956|2969
23411|9611
5747|6714
2321|5335
4609|5601
10253|10252
9577|10342
2885|26999
27086|7157
2033|9500
5728|331
8837|4088
5936|2034
5599|3297
409|4691
7001|2956
4087|5601
472|6240
8239|9020
8837|7157
10892|7189
9146|23636
836|637
148022|10498
1499|604
27086|27086
11128|10623
2734|4792
10987|23318
6714|1072
2908|5598
353376|51135
5607|2023
5213|5211
5316|6929
3309|10542
5371|5300
4292|8930
79155|1147
8772|8772
3654|9618
2896|51701
6468|22948
10163|8976
3726|672
57142|6714
7186|8772
7132|5879
672|5970
4860|7157
3297|4831
3654|8772
2353|2962
3315|7157
6850|5296
3064|2885
3092|5966
5295|153090
983|3146
6199|3276
2033|7392
6648|7001
23557|8943
578|598
329|329
2277|8754
27429|4976
8878|9611
9531|5721
7188|11140
29110|498
5287|6464
10458|26999
2033|4094
5594|5925
409|3326
11124|11124
2885|5747
5781|2185
5599|3725
4163|8517
23368|2064
28996|8717
6929|2033
409|6772
1956|2771
648|6733
3146|5578
10253|2885
5871|7186
4087|4090
51564|6907
2034|11331
4609|128239
149428|149428
23162|9479
4221|4221
5871|2547
84447|4627
207|2033
55294|4644
2889|2885
6199|6188
3309|7186
4218|10938
6733|79576
10766|10766
7067|8841
4218|7037
2549|6464
91|57154
10014|2806
3309|3398
7184|9255
2023|6885
2033|208
10014|5094
55366|22985
8315|8315
10783|10783
7057|7422
10342|6714
3309|4691
7189|56957
1032|595
9451|9451
10987|5580
8312|28996
7205|5747
10987|6194
51026|998
5074|5371
1386|3875
5911|9448
5058|961
3329|3688
79594|207
2033|5371
6774|4086
5581|1832
222484|3603
10987|5052
4869|2023
54602|2534
939|7187
23411|6720
3667|5291
497661|6189
672|9093
2081|7132
581|331
5728|5728
10938|8539
9479|5599
7013|1936
9500|9500
5970|9093
51429|51429
8841|4790
83737|5460
4609|23318
4869|4869
5300|6647
3725|408
2969|4792
4089|4790
29110|3665
7188|4217
3092|9516
409|4214
5594|7132
4055|9618
11171|11218
207|6789
7046|9043
3309|5728
6188|6194
1386|22948
79084|4086
4683|2956
2033|3516
7186|9821
10725|5335
1072|5052
1956|5594
672|285464
5300|2280
4170|637
9611|2874
80762|5728
5295|3717
4218|7917
51701|51701
5460|3146
1676|5413
4627|81844
7132|7187
1936|5716
2734|4790
153090|207
8878|1500
54106|81622
30844|158
6198|983
7428|2896
2004|2885
6885|9448
2625|5469
207|8682
9093|10498
868|148022
1429|1429
1432|6464
7178|7178
6774|5970
7013|55971
10014|4830
6722|5970
2889|6574
7048|7189
6497|23411
409|6733
8829|8829
8737|54476
10987|6464
1385|7157
2023|8767
1936|5295
11331|6210
10342|5603
54106|7096
672|2969
1856|387
3655|6464
10758|7335
7132|5295
6194|7428
2064|6774
23390|5295
4790|1191
4609|2956
8202|57591
6275|6275
7048|1616
5728|7157
389|7189
1072|2023
2068|2068
8805|5371
5058|572
29844|29844
6210|9020
207|5578
7430|9368
2885|302
10935|5720
9821|6497
54476|7100
4088|2547
5829|2185
331|836
207|25998
55366|56957
5335|2885
1051|7157
1739|4215
5018|5018
7430|8767
55366|23513
10987|6189
4089|5898
4087|4976
6199|2969
51026|966
6497|6188
5601|207
5594|6464
6188|7186
2309|1499
1147|5970
2734|5970
5598|7157
394|5829
409|1072
2534|3655
1147|8239
672|405
572|665
23043|6885
1969|7046
6240|648
4853|3516
26999|10163
7159|80829
672|7013
6453|8867
2885|10342
5991|5991
23236|5594
6714|868
5728|5608
10755|54910
208|4486
3064|1499
8795|80762
79084|4824
79594|79594
210|8473
4792|5300
4088|23592
4088|9191
5598|5371
51564|51564
4830|4830
10014|6885
3685|7057
3064|51100
10783|6198
23087|85363
3661|10522
2353|5300
5581|581
637|578
6885|23085
1432|9564
4089|5268
6850|7189
7334|331
3265|51196
5578|7157
3661|6737
6772|58533
10758|7189
9821|4217
10210|5879
5594|3091
5594|2950
4869|23411
5595|7421
6199|1072
4771|9368
5587|3725
4609|4780
2316|2778
10488|6890
324|1936
92140|10210
5911|5911
1956|7186
3516|8473
861|861
10818|10253
6714|7430
5599|56940
2033|11171
5300|5914
9146|10174
391|4089
3326|4691
10987|10399
51026|27032
1856|79753
22985|989
4087|3665
1605|5295
9611|861
23542|6199
2023|2947
2308|23411
1909|4170
648|4691
9604|7421
4088|57669
491|5578
1956|11140
57154|6210
8717|8737
8517|10892
4609|7157
10014|6188
5682|10241
7189|998
25855|10049
10783|10935
4163|9255
3603|5594
5796|5829
7157|3146
301|6189
4296|5604
1029|4691
5604|5604
3875|10049
3064|4790
25923|498
10600|10600
4296|5300
2746|7189
6885|8517
5581|6774
29115|55145
3654|9500
1956|2040
9146|7422
2022|7043
4644|5873
51196|5333
8613|8613
83737|2885
207|208
11326|4763
51701|4303
5371|4869
2885|6188
5290|10049
148022|7189
6416|83737
328|328
8517|7178
387|5879
5601|5601
5594|5970
207|6453
54974|54974
324|6275
6737|8517
9218|6210
4609|79084
7013|54974
1385|10498
1718|51752
51592|8202
9531|51499
4215|3654
1856|5578
11140|9361
4088|10010
11331|5970
8567|8567
2736|6497
2033|2624
4088|672
7334|10210
4831|4831
9618|4627
6929|7421
5598|3728
128|405
3725|4209
5395|2534
10818|2549
5621|5621
8878|5580
207|8915
8930|8772
1386|4292
5829|57630
408|1909
11140|983
6647|7335
51592|8805
861|5371
8767|8915
11140|54862
27086|93986
22976|8554
2316|5966
613|9846
6868|8600
23405|23411
7057|811
498|9255
2885|5921
4628|4628
4824|579
3661|8651
5295|5921
6868|1739
9821|5747
3299|5307
2534|868
10114|8772
10399|3326
112939|8841
8239|1499
5929|8085
2023|3326
10399|6188
51026|2040
6714|7157
472|7189
4217|6885
573|8841
26277|23154
1958|5307
1958|3725
8517|11140
6199|3329
7334|51283
3329|498
868|5295
408|1856
2771|4215
5609|4217
5536|5536
84447|7917
7189|6714
23236|2776
10758|10758
23542|5606
2885|2316
5747|9898
3397|2626
23162|5604
208|2309
6498|9611
4609|1051
10076|2771
6778|6778
2885|9564
5898|5333
10241|51564
3643|5578
2547|7178
2624|5371
613|7157
5604|5595
3064|5295
3685|1969
2033|3622
2885|5654
29072|7157
8517|10616
207|8554
4214|6416
1845|1956
5682|11047
23139|7186
57154|4615
207|5140
5925|6670
4088|1499
4771|5058
5074|5074
7186|331
4790|1499
8717|7186
613|5879
1020|3925
5371|8841
5058|57154
1956|29110
836|836
4218|5871
6464|302
2316|1613
9466|6772
4091|57154
5291|5728
4790|29110
2626|5469
3667|2885
1020|4209
5796|5797
100|2908
1936|5603
5371|6772
9372|7917
4215|9361
23411|6188
672|983
23043|6648
55072|55072
79840|79840
5830|949
8239|8517
648|55083
1499|4221
4616|5608
4627|3728
5599|3726
57506|7186
6934|2033
9611|7376
3315|3925
55971|7157
5595|6868
6259|9445
3981|2950
2023|811
1147|4792
3643|55715
3326|9020
672|196
196|6714
114609|114609
3398|5599
10987|7205
5608|5608
7186|7716
5601|23542
331|10572
1051|5598
4214|3092
2277|57448
29843|29843
9618|4216
4087|4091
7013|29115
28996|2033
25855|4790
301|5581
6714|22920
7157|6794
51592|6240
7423|7423
4087|7178
2889|6714
1510|1510
4217|1616
7157|8878
3726|6303
10193|3801
7189|7430
2969|2547
5720|5720
2064|5781
5578|7037
3476|8239
23405|6188
329|1956
3667|613
472|8546
2023|2771
409|302
5966|8239
11331|3326
5796|5796
6886|6886
3309|5603
2534|836
5879|998
5595|5599
694|3276
1613|2885
5914|8841
4627|3092
868|5781
7157|5371
3661|3661
1956|3309
207|6886
10010|11140
3275|6885
2885|5716
4831|2280
3276|7189
9564|5829
983|2305
9821|8567
6464|2889
55715|5921
6885|11140
2908|573
4087|8239
7186|79594
10206|8517
5663|7001
5829|613
1956|51564
4089|6470
3925|5058
1072|4831
4615|7100
595|8841
2932|7428
4486|6714
2932|4853
4437|56957
331|9500
6885|5536
340061|340061
7159|2033
7161|2033
8473|8473
7157|9611
1386|1984
2353|4775
4792|329
6468|5683
4627|5074
5728|4628
11052|8563
6497|3326
578|581
1718|3265
8878|3091
2033|5970
9821|54778
6670|6772
3688|5581
2885|5660
7157|604
7040|1616
2736|1385
7132|7186
4088|51592
5594|8202
3091|10399
207|9479
8554|85363
10782|2885
1832|3875
2534|1500
4216|4216
2321|5747
3717|2185
9372|1499
983|23411
3685|5594
2885|2885
11051|11052
491|1739
10572|3925
9846|207
498|5603
4214|4628
2280|4092
6284|7414
65018|11140
10062|5914
3654|6774
208|836
7186|84901
6733|80829
4628|4869
8202|595
6885|6416
983|3603
23513|4163
10987|5936
5058|90
4090|4221
4296|6416
11326|5609
5598|6929
8773|9341
1191|1191
3265|10522
6720|6720
11140|7189
4615|5052
4627|6275
3643|3665
5578|998
9218|6890
11140|7001
5581|5581
2064|23542
10987|9451
6272|6272
51701|6774
5781|1499
26277|10626
51026|3956
4869|51065
10987|2950
2885|4163
10399|6772
2023|4282
3654|5580
3309|8517
4205|4087
8567|8795
6498|5371
5692|7189
5217|6093
23542|80824
2885|506
2305|6774
10987|7184
1613|1616
5925|4609
3309|6885
5333|8527
5604|57448
10987|6188
5603|6188
10399|3643
5966|8517
1385|55856
8945|4780
2932|8473
2932|2932
4086|8878
10987|3728
7046|2022
10892|8878
51026|9213
25939|983
6720|472
4628|8517
65018|3654
23557|1937
302|10399
10253|7376
9344|5608
861|28996
3326|5747
51026|4216
10014|8473
8878|4780
8878|4077
2624|5469
10987|9898
158|5966
9020|1147
3925|7428
150094|10014
2033|595
55294|694
22976|5371
408|5606
57120|3297
2534|1499
6812|2054
4830|4831
2547|3981
8517|7189
1956|5606
51429|8867
10399|9368
2004|5295
2956|1666
7096|7184
3092|3092
5879|8773
5594|2626
4088|7018
3299|5599
5307|9146
7335|7320
5607|5598
5290|93974
7428|10253
2625|10014
2885|5621
8915|7334
8517|8517
2962|5916
27018|7187
3654|11140
8517|8945
2316|3688
998|9218
91|91
4086|864
10987|1027
9564|7414
3717|5058
1020|4205
79753|5970
3476|6284
6774|5295
9531|2549
5594|408
5606|9043
7046|4089
1385|672
10014|498
1147|5966
2004|8554
208|5728
2321|6774
306|7157
8841|4209
4869|31
4055|10014
54106|7187
5595|9846
409|3276
4790|1147
2023|7067
1432|1385
3605|7189
29110|8945
4792|5970
11331|5936
7013|6672
1499|1500
1020|5925
4831|7335
10014|6189
1432|4088
2889|9846
54476|54476
4216|5606
3329|3309
6461|5335
149041|7334
5594|5594
1386|3801
5796|1956
3275|4869
4086|4221
207|3309
23295|83737
4869|11140
3717|5594
5603|7184
6198|6194
11331|7026
6733|6733
1072|57142
302|6275
5295|5494
9156|5395
1956|641
5058|5580
4953|6303
3875|6199
2539|27236
2629|1718
148022|7188
3309|2081
10399|43
4089|4205
672|10399
8767|8767
5664|5664
3265|3643
84447|5692
6376|6376
5300|5469
10488|10987
7157|79594
2202|7040
5371|9611
6714|6198
5594|5609
4087|3725
1956|6464
54795|5578
3326|5094
7205|7205
598|637
9531|5660
2033|6714
960|2033
2932|208
51026|9218
1432|5829
2316|5335
2947|7189
1072|5300
10014|8239
55715|5747
4091|4615
6498|204851
1020|2534
23411|6794
55075|7046
29072|29072
7132|6714
7376|7376
7046|25805
997|5970
1191|7184
1831|4790
10014|3276
2885|1936
55072|7186
51100|811
6929|1616
9020|11140
23162|54106
1956|5599
7421|861
51065|6194
3688|4831
1051|4209
6774|6885
11331|23560
10399|6189
8517|8878
27236|6774
54778|4087
1956|3956
581|10908
1147|11140
3717|5310
2033|6777
6714|1909
57591|57591
5970|10379
208|3667
10014|4792
27018|4087
6934|5663
975|975
10987|11218
1840|4214
23236|23236
5609|4216
4091|25805
5936|6188
2022|2022
5094|6194
598|1191
23075|4691
6929|6651
8600|8600
6733|1147
573|10049
8795|8717
4088|2908
4088|9611
55294|3297
4869|8878
4851|9092
4089|9611
4086|579
5268|7157
23542|2634
9451|3309
5291|9846
51100|7453
23236|5335
5595|6720
4089|4089
