EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
5879|23568
1855|8312
10206|396
5604|8837
10801|9217
5310|87
6259|5591
1432|2004
11051|3066
1432|8945
5469|5469
10014|7037
10672|7046
26227|2885
10399|920
5501|351
5879|4627
10189|2072
23405|3329
3915|3912
84687|5499
5335|5921
5894|598
4869|498
1499|5494
11051|55696
6729|6729
7879|57403
5499|5568
7319|1029
118|3398
4627|54822
22976|10111
4771|6895
2885|3329
4734|6189
7157|2648
9113|10413
11034|25824
6733|7957
5747|1605
51393|7442
4609|23085
10252|868
10938|5591
5921|309
5747|4193
4700|4722
960|573
5467|8202
3654|3315
1647|983
9612|8202
9218|4720
10049|10013
3476|79840
26574|1613
10458|55971
2537|351
5566|1385
2885|6764
5062|5683
6461|6714
6210|79084
4851|5664
2932|8517
2549|5829
6714|4133
1020|351
5516|3476
6714|5295
5871|6416
5578|920
4627|302
124583|124583
2040|2040
324|8658
23411|5906
10488|638
4087|23557
10458|55740
5603|7157
5496|3925
5599|6464
7444|5599
3064|83737
5300|4303
51377|7295
2730|3665
7531|678
324|598
5591|5052
1937|4193
10013|22985
25855|351
10013|4615
83706|79753
11218|23405
3981|1278
10856|29110
10014|3837
4869|5501
8766|3064
1153|7094
2771|5581
4086|2648
7957|1967
1147|8717
7184|10399
3725|7443
10399|6774
5594|7157
58|5879
4831|10856
10987|9097
22920|55696
6809|6809
7428|23032
3667|55023
3643|5580
23560|6189
1958|6647
1432|6774
51366|2932
7532|673
3958|5781
81542|7295
1191|5444
2185|6774
156|5603
7531|3983
7132|9093
1432|5371
11315|204851
4790|5607
6376|1524
5581|6868
6777|351
9984|7402
8837|868
2034|2010
1147|9043
1831|3065
2335|6387
10987|7186
2547|3064
6886|2547
3065|2969
498|6199
5601|9031
3065|7428
4683|3843
5914|23411
5594|8600
3659|4193
83737|51429
8976|4690
29127|4294
9262|351
6502|997
8517|396
23580|10801
8682|8772
3621|7157
9531|51022
5594|6640
5606|9479
23263|6194
2353|351
6789|9218
1956|6850
939|56913
7013|5496
23515|54476
1856|8878
3065|3297
23291|10413
1196|672
4055|9217
10155|5460
7186|10758
396|637
2081|9097
7186|9994
6050|283
472|10155
5295|1969
4193|55967
26227|6453
10755|613
23433|57120
4830|983
8737|8517
3309|23636
5716|8440
1832|5663
4615|4088
9344|5606
4616|983
7094|9898
2771|4691
5500|3983
1457|1965
3685|7040
23411|4092
3091|613
7414|10381
55294|55294
5467|5970
4214|10049
267|23295
5058|10472
2316|7532
7529|10787
6907|1499
1855|1499
1385|6722
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
6934|7248
23411|3309
7046|7040
8737|329
4609|3837
23291|7832
7072|5094
2162|2335
10755|5578
1130|57060
1020|7917
9564|5770
5499|6502
4609|2033
1432|1956
6789|23085
1956|5802
208|7249
4700|4724
6774|6778
5829|102
1956|5604
3688|7414
5747|7132
2309|57708
5500|1029
847|6786
7023|3148
975|4869
79084|6597
2353|5536
1386|306
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
2241|2065
409|10381
7428|1856
10013|6249
5516|9448
7428|5580
396|1967
5601|6470
196|4094
4609|4609
3661|2308
3398|5925
6272|10542
55145|5074
920|7416
5879|10928
58|7187
1386|7416
3655|3915
2908|10013
5663|348
7335|331
3925|5568
409|6714
4292|9898
675|2316
578|7416
3315|5898
23368|672
7528|351
3837|267
871|7171
4790|8837
5295|2033
3315|9588
118|667
9070|2033
1147|5499
2683|3728
7046|4087
5663|7046
5970|595
2885|835
23580|55752
6772|3654
6714|6778
156|31
8820|9612
1020|5771
7249|5747
7157|1958
498|93974
1739|23095
351|4609
5727|2683
10818|4915
51065|6188
8440|23043
1385|3066
29126|472
7319|7319
7428|9821
55294|5500
11052|4076
4627|8767
5925|5894
6310|55072
57506|6772
5295|3265
7532|1198
5335|6714
56829|351
409|5594
10111|4691
2885|6189
7428|1270
3146|3148
7416|7416
87|6993
8021|87178
10672|2185
351|4763
2885|6237
1051|1054
10379|10379
5906|396
11331|11218
3265|8315
8202|1147
408|6093
2023|4643
23236|5591
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
1385|1051
3717|5795
3297|5591
4790|4791
864|4851
10159|23770
6272|54840
4976|664
4869|497661
8312|7248
4216|5604
6497|4691
84321|80145
56957|27338
409|5518
2185|309
7428|6189
5609|9479
3912|43
5590|842
2064|983
6310|11030
7453|7453
28996|28996
5591|1147
23043|23287
2192|10252
2208|2534
5599|23411
5300|55201
83547|83547
4983|5879
5310|9564
7155|983
5292|6502
3603|3801
1457|3065
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
3643|8878
10010|9546
10987|1153
1956|92609
10533|23411
8569|79155
5879|7410
4088|5371
8891|8531
5496|55696
7428|1291
408|498
998|4294
2118|2629
4792|5610
1365|5566
4609|8878
9572|351
4869|3956
10381|55023
4193|6872
928|961
3299|3297
1432|8841
5603|4216
7919|79228
1020|55083
4086|4853
149428|23557
4087|93649
648|4830
2885|5500
128|351
1029|598
1936|1937
6792|23499
6275|331
10600|2353
10856|602
5693|5683
3661|3843
5058|5879
3476|22948
2782|2534
8841|11331
7186|2081
3476|4282
4193|6597
8767|8517
7159|301
5925|3065
4292|4728
1616|4629
7319|966
4791|5537
5792|8301
672|2316
3315|3476
672|7168
3064|4294
6591|3065
5608|5970
7529|4763
5601|3726
2885|7532
2885|966
4628|4691
10458|10458
6640|128
8841|2874
10131|4089
5058|10174
10114|1616
6881|6881
9531|10174
