EntrezGeneID1|EntrezGeneID2
26039|6597
1855|8312
5604|8837
10672|7046
26227|2885
5879|4627
3309|27000
3275|6256
4627|54822
1017|3398
7157|2648
5747|1605
51393|7442
8452|4976
5921|309
5747|4193
960|573
7532|8451
996|996
2537|351
5566|1385
2885|6764
54984|7430
55759|55759
4851|5664
2549|5829
3171|1832
6714|4133
1020|351
5871|6416
2063|2063
4221|25942
3265|8036
25836|5538
4087|23557
1213|409
5599|6464
3064|83737
5300|4303
324|598
25855|351
79791|595
3981|1278
2771|5581
4086|2648
1017|9113
5594|7157
10987|9097
10987|81620
3667|55023
7531|3983
5581|6868
6777|351
1831|3065
10987|7186
5601|9031
5914|23411
328|6418
5530|6257
5606|9479
23263|6194
3801|10540
7013|28988
1956|6850
396|637
1956|2274
26227|6453
3309|23636
5594|1978
1832|5663
4615|4088
9344|5606
4616|983
3685|7040
23411|4092
7414|10381
55294|55294
975|6418
4214|10049
2316|7532
1855|1499
6934|7248
23411|3309
1856|7126
7046|7040
1017|57591
6464|7175
1017|3983
8452|8450
10592|25942
1956|5802
5829|102
1956|5604
3688|7414
2274|10522
10987|79791
10987|7001
1278|960
409|10381
396|1967
4609|4609
3398|5925
5663|348
3925|5568
409|6714
3309|6667
26524|4851
7046|4087
5663|7046
5970|595
8820|9612
1027|1019
7157|1958
1739|23095
351|4609
1385|3066
4282|54984
4627|8767
409|1019
409|5594
7416|7416
4085|4085
2752|10114
11130|9183
351|4763
6667|23636
3265|8315
408|6093
7157|83737
1385|1051
864|4851
4976|664
8312|7248
23394|23212
4216|5604
5932|5932
5609|9479
2064|983
28996|28996
23043|23287
5599|23411
5300|55201
4983|5879
7155|983
5292|6502
581|255488
6259|2049
5581|8682
1856|3309
2885|3983
408|1213
5595|6667
4088|5371
998|4294
1365|5566
10381|55023
4193|6872
1020|55083
4086|4853
4087|93649
7531|23476
1029|598
5058|5879
23126|10459
23481|23481
3476|4282
4193|6597
5925|3065
5925|996
1948|8892
3066|3301
3064|4294
5608|5970
2885|7532
8841|2874
5058|10174
6881|6881
9531|10174
4792|4792
2316|960
10381|2885
3643|3643
4214|387
9577|7157
3516|55031
2309|9181
1017|5604
10159|387
7184|3309
8452|2730
3091|6714
9618|1499
1499|4771
2274|7157
23363|23363
3845|351
8841|7155
23411|9611
5747|6714
4609|5601
4000|9031
10253|10252
3655|351
1017|16
2885|26999
27086|7157
5728|331
8837|4088
7531|6885
1017|1603
4087|5601
7161|81620
2316|4000
5566|5568
6386|8408
8837|7157
998|23580
836|637
1499|604
324|4646
27086|27086
25942|5970
3309|10542
2011|23303
5371|5300
2885|5530
3654|9618
10460|3832
57142|6714
8452|3251
648|10270
253980|387
8613|351
6850|5296
3064|2885
1385|818
8525|3265
6648|7001
4734|6198
27429|4976
6881|2648
1956|7531
5594|5925
2885|5747
3065|7431
5599|3725
604|6597
1956|8892
1956|2771
648|6733
5530|998
10253|2885
2778|60626
5871|7186
28996|3065
3065|5087
1027|7531
9612|1051
23133|5914
4609|128239
23162|9479
4221|4221
84447|4627
55294|4644
2889|2885
3309|7186
3065|5914
7067|8841
1977|7189
2549|6464
4092|4734
3309|3398
8315|8315
10783|10783
7057|7422
51377|1832
4627|7126
7186|7531
4734|1020
1032|595
9451|9451
8312|28996
10987|6194
196403|196403
6667|5599
5911|9448
5058|961
5664|320
79594|207
5728|6386
1017|55636
6774|4086
5581|1832
23705|6386
10987|5052
8841|5087
23411|6720
3667|5291
581|331
5728|5728
7013|396
9479|5599
208|842
2274|7189
3725|408
6774|3066
6774|26039
54984|7013
472|79791
1019|3832
598|842
409|4214
4609|3066
10381|7018
7046|9043
3309|5728
5581|7416
4851|9253
7186|9821
1956|5594
5300|2280
4170|637
9611|2874
5664|6717
4087|476
23542|10939
23560|23212
5424|891
4193|5932
153090|207
6198|983
5422|7157
1017|3832
10051|3981
2752|2885
6885|9448
207|8682
5292|5300
6774|5970
7048|7189
3065|4609
6497|23411
409|6733
8829|8829
10987|6464
1385|7157
23580|2274
10540|81929
595|996
196|9612
9612|8841
6667|4609
8452|488
409|7531
1856|387
3655|6464
26524|7532
25942|25855
2064|6774
396|6714
1385|6196
8452|7431
4217|11315
7157|23481
6794|1967
1499|3065
5728|7157
4193|467
9918|64151
3925|54984
1017|7175
5594|3845
8451|7184
328|382
10592|3065
8452|23636
7430|9368
10049|351
9821|6497
27429|9113
2274|5991
323|538
331|836
5058|7431
2534|23028
207|25998
8697|983
1051|7157
2768|9826
5154|6667
7430|8767
4000|1499
3064|3708
10987|351
4087|4976
5601|207
5594|6464
4000|4000
2309|1499
334|5601
331|7332
55715|23028
1017|8450
2534|3655
8452|476
1017|2950
9612|1874
5119|5119
23043|6885
4853|3516
26999|10163
6453|8867
5991|5991
10776|351
1213|7532
23236|5594
5728|5608
10755|54910
3064|1499
79594|79594
3725|667
4792|5300
7531|7040
10987|6597
6794|2011
3685|7057
5530|5728
3064|51100
10783|6198
5581|581
2898|6386
6850|7189
10763|7431
4204|6497
3265|51196
5300|1017
9821|4217
54820|983
5594|3091
5594|2950
6502|1017
23263|23405
5296|351
5728|10381
5595|7421
10939|351
4771|9368
2316|2778
5911|5911
1956|7186
10818|10253
387|5566
6714|7430
7531|9181
5599|56940
5300|5914
391|4089
467|7157
983|3832
26524|324
1017|3925
1017|85440
2308|23411
1909|4170
3065|8820
23363|3066
4771|6386
4088|57669
2274|2274
328|27339
1017|5595
3516|5087
10672|9826
2305|23481
4609|7157
7189|998
6885|1213
25855|10049
3725|6872
3516|9612
4000|665
4296|5604
5604|5604
3065|6872
10600|10600
5915|6095
4296|5300
2746|7189
5581|6774
8613|8613
1017|7414
10460|55740
83737|2885
309|7416
207|208
5290|10049
25855|6872
6416|83737
328|328
7431|333
387|5879
5601|5601
5594|5970
207|6453
54463|351
328|3364
3065|23394
3775|3775
1017|4646
9531|51499
8451|4771
7408|4038
1977|23191
4609|7531
4087|1855
8567|8567
2736|6497
9618|4627
6929|7421
3725|3065
23411|3066
10818|2549
5829|57630
408|1909
2768|351
3364|5423
4091|4734
1027|7532
27086|93986
23405|23411
2885|5921
4628|4628
7001|351
6868|1739
9821|5747
55740|5594
1017|2806
6714|7157
472|7189
4217|6885
8451|23405
573|8841
1958|5307
1958|3725
5978|25942
2874|3832
408|1856
5609|4217
7189|6714
23236|2776
23542|5606
22821|351
2885|2316
3397|2626
23162|5604
208|2309
6498|9611
4609|1051
10076|2771
1874|983
11315|57669
2624|5371
1029|6667
1739|320
5604|5595
29072|7157
4214|6416
1845|1956
5290|8525
891|1027
