EntrezGeneID1|EntrezGeneID2
1855|8312
1432|8945
5469|5469
10014|7037
26227|2885
5879|4627
5499|5568
4627|54822
1017|3398
7157|2648
4629|10096
5747|1605
51393|7442
8452|4976
5921|309
960|573
10458|55971
2537|351
5566|1385
4851|5664
2549|5829
6714|4133
1020|351
6714|5295
26276|351
4627|302
25836|5538
4087|23557
10458|55740
324|598
10013|22985
25855|351
10013|4615
5595|6548
5747|4678
1956|29911
4086|2648
1051|1387
7337|301
5594|7157
58|5879
4088|3727
226|226
6809|6809
1958|6647
1432|6774
2185|6774
7531|3983
7132|9093
1432|5371
11315|204851
9657|51552
4038|25861
6772|3326
5581|6868
6777|351
4218|117177
1831|3065
498|6199
5601|9031
5914|23411
6598|55636
9531|51022
5530|6257
60673|2309
5594|6640
207|23327
2353|351
3065|3297
5295|1969
26227|6453
10755|613
4830|983
10728|7189
4615|4088
4700|9519
23411|4092
10488|362
3091|613
55294|55294
5467|5970
5058|10472
1855|1499
1385|6722
2068|983
1827|7189
4728|11331
5290|6772
6934|7248
23411|3309
7046|7040
7494|7494
1017|57591
1020|7917
5499|6502
4609|2033
1432|1956
1017|3983
6944|3276
1956|5802
7494|2648
5747|7132
57617|8411
847|6786
79084|6597
5914|5469
409|10381
1969|9525
196|4094
4609|4609
3611|79888
3661|2308
3398|5925
6272|10542
1017|8531
3065|3326
5663|348
3925|5568
409|6714
3309|6667
7528|351
5295|2033
2060|2534
1147|5499
2683|3728
10572|27
7046|4087
10253|10817
1020|3326
5663|7046
5970|595
6772|3654
8820|9612
7249|5747
7157|1958
498|93974
1739|23095
351|4609
10241|3142
1385|3066
4627|8767
10919|6015
5879|8411
57506|6772
5295|3265
409|5594
7416|7416
861|1387
2752|10114
351|4763
10728|2065
1385|1051
864|4851
6272|54840
4976|664
311|7001
9531|3326
8312|7248
5932|5932
2185|309
847|3295
3912|43
2064|983
28996|28996
23043|23287
5599|23411
4983|5879
7155|983
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
5595|6667
4088|5371
8891|8531
4647|801
408|498
2118|2629
4211|5090
9572|351
525|950
3299|3297
1020|55083
4086|4853
4087|93649
7531|23476
128|351
7528|1387
27|10152
9531|4678
5058|5879
2782|2534
5925|3065
1017|539
3399|10817
1956|808
3661|3815
10542|55183
5601|3726
2885|7532
3717|5954
1717|3326
2752|204851
10458|10458
6640|128
10131|4089
311|306
1017|2896
4792|4792
10381|2885
3643|3643
4214|387
9577|7157
226|2739
6548|7132
22985|7532
5594|5213
5460|7026
7184|3309
8452|2730
3845|8945
3091|6714
1956|27
1499|4771
4214|2317
1432|572
226|6648
60673|5211
3845|351
57506|6714
23411|9611
5747|6714
4609|5601
1387|7157
10253|10252
3655|351
27086|7157
2033|9500
5728|331
8837|4088
1017|1603
5599|3297
4087|5601
5566|5568
8837|7157
7531|805
10892|7189
22882|22882
5538|1509
25930|1956
9140|4170
9255|351
8452|23770
847|351
324|4646
27086|27086
10013|2932
7168|7184
5213|5211
5316|6929
3309|10542
2011|23303
11284|23287
2885|5530
805|818
57142|6714
4763|9519
5451|351
8452|3251
7132|5879
1476|2317
5058|6615
3297|4831
4700|4728
3064|2885
5295|153090
1385|818
6199|3276
6648|7001
4734|6198
84376|29911
5702|2034
10014|9588
27429|4976
6886|54892
29110|498
2033|4094
1956|7531
5594|5925
409|3326
7132|808
2885|5747
90780|207
5781|2185
3065|7431
5599|3725
1956|8892
6929|2033
409|6772
5530|998
525|2782
10253|2885
28996|3065
3065|5087
1027|7531
4087|4090
9612|1051
2034|11331
4609|128239
23162|9479
84447|4627
207|2033
55294|4644
302|351
3065|5914
10766|10766
4218|7037
6199|4076
4092|4734
3309|3398
7184|9255
3727|4089
6667|9846
55366|22985
1147|805
7057|7422
4734|1020
1032|595
9451|9451
8312|28996
6667|5599
5058|961
5664|320
2033|5371
1017|55636
6901|4041
6774|4086
10628|3065
23411|6720
5108|10458
1017|7168
581|331
2648|4830
5728|5728
9479|5599
9500|9500
5970|9093
10919|7157
4831|25824
5499|25998
4609|23318
3725|408
5530|572
6774|3066
23414|3065
409|4214
5594|7132
4609|3066
10381|7018
5451|4331
3309|5728
5581|7416
7532|5295
11284|351
4851|9253
79084|4086
2033|3516
4700|7917
1956|5594
5499|8493
1387|1385
80762|5728
5295|3717
4218|7917
5664|6717
4087|476
23542|10939
4076|7082
4700|4710
153090|207
6198|983
3726|334
2752|2885
805|805
3295|6648
801|8767
2625|5469
207|8682
6774|5970
10014|4830
6722|5970
7048|7189
3065|4609
6497|23411
8829|8829
4824|10116
1385|7157
196|9612
10658|351
8204|10014
6667|4609
8452|488
8945|25937
409|7531
64400|1956
1856|387
7189|5702
3306|5693
7132|5295
2064|6774
8452|7431
4217|11315
10626|351
6794|1967
1499|3065
5025|9653
6840|4831
2060|8867
5728|7157
1956|5573
7337|302
2068|2068
2060|9253
6615|8945
5594|3845
2534|3815
5058|572
2885|302
8452|3858
8452|8531
9821|6497
5829|2185
323|538
5058|7431
10848|10848
2534|23028
207|25998
1051|7157
5154|6667
55366|23513
6714|3815
3064|3708
4087|4976
2045|2782
6667|7171
85365|22872
5601|207
2309|1499
334|5601
1147|5970
311|302
2534|3655
8452|476
1017|2950
572|665
9612|1874
1969|7046
7419|9114
4853|3516
7168|7171
2060|2060
6453|8867
5991|5991
7050|3725
23236|5594
7531|9846
8945|7082
3064|1499
79084|4824
3725|667
4609|8985
8945|9612
7531|7040
581|2074
4830|4830
6794|2011
5530|5728
3064|51100
3661|10522
5581|581
6929|805
8452|805
4089|5268
7337|5914
4204|6497
3265|51196
6502|7528
6720|9412
9821|4217
54820|983
5594|3091
5594|2950
6502|1017
5296|351
5728|10381
23476|23210
5595|7421
6272|1967
10939|351
9702|351
4771|9368
4609|4780
1017|302
8452|84376
10131|25824
5911|5911
3516|8473
861|861
10818|10253
387|5566
1017|3925
1605|5295
1017|675
9611|861
23542|6199
1017|85440
2308|23411
3065|8820
5213|8301
10014|5499
4088|57669
7168|7168
9648|998
405|6901
328|27339
1956|11140
1017|5595
4092|10413
3516|5087
4609|7157
998|51552
7189|998
4163|9255
6654|8775
3516|9612
5796|5829
2534|54206
5581|6774
3654|9500
11331|1717
23327|4133
2022|7043
4644|5873
4609|8604
10460|55740
808|9657
6015|7157
309|7416
10013|4678
148022|7189
328|328
387|5879
5601|5601
5594|5970
207|6453
4609|79084
1718|51752
55742|351
3775|3775
1017|4646
9531|5831
9531|51499
5566|6722
2317|6714
7408|4038
11140|9361
4609|7531
4087|1855
11331|5970
5469|2648
2736|6497
2033|2624
4831|4831
6929|7421
128|405
3725|3065
595|801
23411|3066
10818|2549
4627|7168
5621|5621
207|8915
11140|983
9097|93100
