EntrezGeneID1|EntrezGeneID2
4790|79155
5879|23568
10206|396
5604|8837
5310|87
55366|23310
1432|2004
11051|3066
1432|8945
5469|5469
10014|7037
10672|7046
26227|2885
2624|161882
5501|351
5879|4627
23405|3329
3915|3912
5335|5921
9516|23327
4869|498
1650|3703
1499|5494
11051|55696
6729|6729
7879|57403
3566|9655
5499|5568
118|3398
4627|54822
22976|10111
4771|6895
1017|3398
2885|3329
9113|10413
6733|7957
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
7415|51366
5921|309
960|573
5467|8202
3654|3315
996|996
1213|4790
5501|7415
10049|10013
3476|79840
10458|55971
2537|351
5566|1385
2885|6764
54984|7430
5062|5683
6303|8525
6461|6714
6210|79084
4851|5664
2932|8517
2549|5829
4778|5195
1020|351
5333|801
6714|5295
5871|6416
4627|302
124583|124583
3265|8036
2040|2040
23411|5906
1535|5879
10488|638
4087|23557
10458|55740
5603|7157
1213|409
5496|3925
5599|6464
7444|5599
3064|83737
5300|4303
6208|6223
7531|678
324|598
10013|22985
25855|351
6917|2962
10013|4615
83706|79753
8452|7072
3981|1278
10014|3837
4869|5501
8766|3064
2771|5581
208|2623
7957|1967
1017|9113
3065|8360
1147|8717
7337|301
7184|10399
3725|7443
10399|6774
5594|7157
4088|3727
208|9545
22920|55696
7132|8363
6809|6809
3667|55023
3643|5580
1958|6647
1432|6774
51366|2932
81542|7295
4651|805
2185|6774
7132|9093
1432|5371
6257|7415
4790|5607
5581|6868
6777|351
8837|868
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
2547|3064
6886|2547
3065|2969
498|6199
3065|7428
4683|3843
5914|23411
83737|51429
8976|4690
29127|4294
5532|7942
6502|997
8517|396
23580|10801
8682|8772
9693|554313
3621|7157
5530|6257
207|23327
5606|9479
23263|6194
2353|351
6789|9218
3801|10540
7013|28988
1956|6850
939|56913
7013|5496
1856|8878
3065|3297
23291|10413
1196|672
10155|5460
7186|10758
396|637
1017|3146
7186|9994
6050|283
472|10155
5295|1969
408|8361
26227|6453
23433|57120
10987|8365
28988|5610
4830|983
8737|8517
3309|23636
5716|8440
1832|5663
801|6249
10728|7189
4615|4088
9344|5606
4616|983
2771|4691
311|4282
1457|1965
3685|7040
23411|4092
3091|613
55294|55294
5467|5970
4214|10049
267|23295
7529|10787
1385|6722
4436|8517
5290|6772
7187|329
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
1017|57591
7072|5094
6464|7175
9564|5770
5499|6502
1432|1956
6789|23085
208|7249
6774|6778
5829|102
1956|5604
3688|7414
5747|7132
2309|57708
5500|1029
847|6786
267|9131
975|4869
79084|6597
2353|5536
3383|6208
1386|306
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
2241|2065
7428|1856
10013|6249
7428|5580
396|1967
5601|6470
196|4094
4609|4609
3661|2308
3398|5925
55145|5074
5879|10928
1017|8531
1017|5094
3655|3915
2908|10013
5663|348
7335|331
3925|5568
9101|6778
409|6714
675|2316
3315|5898
10013|8359
3309|6667
3837|267
4790|8837
10987|3858
5966|801
118|667
1054|1017
1147|5499
4067|836
2683|3728
10572|27
7046|4087
5663|7046
5970|595
23580|55752
6772|3654
6714|6778
2885|8365
1020|5771
1191|11130
7249|5747
801|5724
7157|1958
498|93974
25932|5966
351|4609
10818|4915
51065|6188
8440|23043
1385|3066
4282|54984
7428|9821
55294|5500
23291|1213
4627|8767
57506|6772
5295|3265
5335|6714
56829|351
409|5594
10111|4691
1017|7915
3315|6667
7428|1270
3146|3148
4085|4085
8021|87178
10672|2185
11130|9183
351|4763
2885|6237
1051|1054
6667|23636
10379|10379
5906|396
3265|8315
10728|2065
8202|1147
408|6093
2023|4643
23291|1020
3309|811
55696|5936
7157|83737
4691|5094
6497|3329
1857|79753
10645|805
1385|1051
3717|5795
864|4851
51474|55589
4976|664
311|7001
808|8717
4869|497661
8312|7248
4216|5604
6497|4691
22800|5900
56957|27338
409|5518
2185|309
847|3295
5609|9479
3912|43
7415|118
2064|983
7453|7453
28996|28996
2208|2534
5599|23411
83547|83547
5747|2268
4983|5879
5310|9564
5292|6502
1457|3065
4067|8517
581|255488
5581|8682
1856|3309
5460|5460
10010|1213
3643|8878
1386|10972
148281|8567
1956|92609
4790|801
408|1213
5595|6667
5879|7410
4088|5371
8891|8531
672|8367
5496|55696
7428|1291
1017|7415
408|498
998|4294
2118|2629
4792|5610
6737|1043
1365|5566
4609|8878
9572|351
4869|3956
928|961
3299|3297
5970|9131
1432|8841
5603|4216
1020|55083
4086|4853
4087|93649
648|4830
2885|5500
4163|54205
128|351
1029|598
1936|1937
6792|23499
3801|91949
6275|331
11124|1650
51026|5119
10600|2353
9545|351
3661|3843
5058|5879
3476|22948
23126|10459
2782|2534
8841|11331
23481|23481
7186|2081
3476|4282
8767|8517
5925|3065
672|2316
5925|996
1956|808
5515|4215
3315|3476
8751|23636
3064|4294
6591|3065
5608|5970
9184|3837
7529|4763
5601|3726
2885|966
4628|4691
10458|10458
8841|2874
5058|10174
311|306
6881|6881
1017|2896
9531|10174
4792|4792
3066|8359
998|9230
2316|960
1650|6194
25865|4086
4869|2034
7410|23126
3643|3643
4214|387
9577|7157
8440|10458
5724|5747
2309|9181
2771|302
1017|5604
5683|7415
3661|7187
10159|387
8021|8021
5594|5213
5062|6194
5460|7026
7184|3309
3672|5771
5530|5520
2931|4077
3845|8945
3091|6714
989|5966
2023|43
1956|7443
7415|572
54974|51100
26130|22821
1956|27
5580|7037
25865|5774
4690|6655
9618|1499
3925|5603
1499|4771
3643|5771
6794|79155
1457|55145
1432|572
7879|5119
55752|7189
5536|10672
9693|3832
5501|7187
4216|6711
5518|4869
2010|4000
56957|79155
373|5296
3845|351
57506|6714
3956|2969
23236|6711
23411|9611
5747|6714
2321|5335
3717|5782
4609|5601
10253|10252
9611|10155
9577|10342
3655|351
2885|26999
334|5578
10013|22919
2064|3678
402|23568
27086|7157
5728|331
8837|4088
5936|2034
7531|6885
1017|1603
5599|3297
409|4691
7001|2956
4087|5601
2549|5782
472|6240
2316|4000
5566|5568
6386|8408
8837|7157
998|23580
7531|805
10892|7189
9146|23636
22985|51755
5395|9131
7415|27338
836|637
9255|351
1499|604
847|351
27086|27086
11128|10623
10013|2932
6257|10621
10014|7529
2908|2782
1965|836
51366|7164
5524|22948
10987|23318
6714|1072
2908|5598
353376|51135
5607|2023
5213|5211
5316|6929
3309|10542
5371|5300
79155|1147
8452|8367
8772|8772
2885|5530
