EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
1855|8312
5604|8837
6477|5932
5310|87
55366|23310
1432|2004
7014|203245
56254|51322
11051|3066
1432|8945
246184|51434
7917|84292
5469|5469
10014|7037
10672|7046
26227|2885
55832|1832
5879|4627
9968|9412
23405|3329
3915|3912
84687|5499
10905|11253
5335|5921
9516|23327
4869|498
1650|3703
2316|71
2885|2887
1499|5494
3275|6256
11051|55696
8454|6631
153090|8454
2288|10728
5499|5568
7319|1029
4627|54822
22976|10111
1017|3398
2885|3329
4734|6189
3182|8626
1660|23405
7157|2648
2734|5966
11060|1605
9113|10413
4629|10096
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
8452|4976
8233|23451
7415|51366
5921|309
5747|4193
1896|27125
7157|51741
3178|2969
6045|55759
960|573
5467|8202
3654|3315
996|996
1213|4790
1647|983
4734|7322
10049|10013
26574|1613
166|55072
10458|55971
2537|351
26270|3074
3621|5931
5566|1385
2885|6764
54984|7430
3861|10152
5566|5705
55759|55759
4851|5664
2932|8517
2549|5829
3661|64750
6714|4133
1020|351
1308|3655
27316|51340
5516|3476
6714|5295
54583|6478
5871|6416
4627|302
26524|7533
7015|302
5130|9025
124583|124583
6631|10498
7322|115426
10014|27316
25836|5538
5914|6477
2040|2040
324|8658
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
5599|6464
8452|4722
1660|84844
3064|83737
5300|4303
2885|5930
29127|5116
79991|9968
55128|22861
8945|51741
6478|6774
6045|2317
324|598
81559|7322
10013|22985
25855|351
10013|4615
83706|79753
5595|6548
79791|595
57154|3178
11218|23405
5747|4678
8452|7072
5108|55081
3981|1278
10014|3837
1432|4209
6478|8841
5701|5693
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
9099|9361
1017|9113
10163|10096
1147|8717
1051|1387
7337|301
7184|10399
23640|7186
10987|6631
10399|6774
26058|6631
5594|7157
58|5879
1453|1855
208|9545
8454|3868
8243|23476
26270|5538
4670|6636
10987|9097
22920|55696
23363|3276
10006|5296
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
2132|2132
23020|23020
1958|6647
1432|6774
23363|7341
51366|2932
3958|5781
81542|7295
4824|7089
1191|5444
2185|6774
7132|9093
1432|5371
11315|204851
6257|7415
4038|25861
55366|4297
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
1969|1213
58517|6625
2034|2010
1147|9043
4218|117177
4292|5887
1831|3065
10987|7186
8626|10399
3065|2969
5601|9031
26121|10291
3065|7428
7251|4193
8517|22938
4683|3843
5914|23411
24148|58517
328|6418
26270|3187
6598|55636
3659|4193
83737|51429
26259|23363
29127|4294
5532|7942
5728|6231
9262|351
6502|997
8682|8772
3621|7157
5530|6257
3315|23363
5594|6640
207|23327
5606|9479
2885|3868
29116|7334
6789|9218
3801|10540
79654|10892
4869|24148
1956|6850
939|56913
23515|54476
4163|10569
1856|8878
3065|3297
23291|10413
1196|672
10419|84844
10155|5460
7186|10758
56652|6613
166|6733
5052|51
2081|9097
7186|9994
6050|283
472|10155
5295|1969
5970|7052
26227|6453
7415|6500
5966|6500
10755|613
23433|57120
5580|6944
166|11030
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
672|23512
23327|79176
1832|5663
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
6772|55832
1031|55183
3685|7040
8626|10277
23411|4092
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
975|6418
4214|10049
267|23295
8454|6434
51741|5914
29843|142
5058|10472
2316|7532
6907|1499
1855|1499
4088|64219
1385|6722
1660|9020
2068|983
1827|7189
3691|3915
4436|8517
5290|6772
7187|329
6934|7248
23411|3309
1856|7126
7046|7040
25913|3326
8737|329
7494|7494
4609|3837
23291|7832
1017|57591
7072|5094
54386|6672
10755|5578
1130|57060
7536|3187
6464|7175
1020|7917
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
6789|23085
6944|3276
1956|5802
54764|57332
208|7249
8805|57332
7324|10425
7494|2648
5829|102
1956|5604
23512|51747
3688|7414
5747|7132
2309|57708
4163|23020
847|6786
267|9131
51564|79718
80331|10273
7023|3148
975|4869
79084|6597
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22954|29979
409|10381
7428|1856
1147|1410
1969|9525
8454|4193
5516|9448
7428|5580
5601|6470
196|4094
51257|7328
58517|6426
4609|4609
3611|79888
26270|80267
23390|79654
5108|23392
3661|2308
472|6477
3398|5925
6272|10542
1660|3187
8454|29127
55145|5074
3093|7428
3178|3326
207|3178
2624|6500
6733|27316
26270|6426
6667|142
8945|55759
58|7187
1017|8531
7023|8932
1386|7416
1017|5094
3655|3915
1642|4926
2908|10013
3065|3326
5663|348
7335|331
90678|3297
3925|5568
409|6714
675|2316
578|7416
29110|4670
3315|5898
23368|672
9516|29979
3309|6667
26524|4851
7528|351
3837|267
4790|8837
10569|7536
2885|51185
7157|6613
8626|55294
6478|8554
5295|2033
1054|1017
9070|2033
1147|5499
2683|3728
6733|55832
10572|27
7046|4087
1642|6772
1020|3326
5663|7046
23291|55759
5970|595
10181|55183
2885|835
93986|116113
10956|10488
26270|5705
6772|3654
10459|51343
1956|7327
1191|11130
8517|51256
7249|5747
7157|1958
498|93974
1739|23095
25932|5966
6498|51592
351|4609
10241|3142
1201|51144
51322|7094
10818|4915
51065|6188
6045|57332
1385|3066
7319|7319
4282|54984
7428|9821
11052|4076
23291|1213
4627|8767
10919|6015
6310|55072
57506|6772
5295|3265
5335|6714
405|9978
56829|351
409|5594
10111|4691
11338|6189
1017|7915
3315|6667
2885|6189
7428|1270
150684|5966
3326|7186
7416|7416
861|1387
55612|51119
4085|4085
8021|87178
328|1642
10672|2185
5300|11338
7375|7046
11130|9183
1601|1855
351|4763
6478|10869
51434|1387
1051|1054
6667|23636
10379|10379
26994|9372
11331|11218
3265|8315
10728|2065
8202|1147
408|6093
2335|1655
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
1385|1051
23429|9191
10075|1738
4790|4791
6497|79718
864|4851
10159|23770
4976|664
4000|4926
9531|3326
4869|497661
8312|7248
23394|23212
4216|5604
10413|7533
6497|4691
5932|5932
11052|23020
123169|7319
23210|58517
56957|27338
472|10444
2185|309
4085|6189
6045|7528
7014|23499
7428|6189
847|3295
2734|6207
5609|9479
3912|43
2064|983
11060|7322
6310|11030
8621|10381
4734|6500
7453|7453
28996|28996
23043|23287
60485|26524
2192|10252
5599|23411
196|9978
5300|55201
5747|10273
4983|5879
7155|983
2132|6623
51257|57120
26270|4830
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
664|7052
3643|8878
1386|10972
7325|9025
4791|6500
7326|10616
148281|8567
10010|9546
9653|128869
27248|51009
10533|23411
408|1213
23512|3983
5595|6667
23512|6625
11338|3178
5879|7410
10075|32
4088|5371
7428|1291
1017|7415
408|498
998|4294
2118|2629
4952|1213
65057|51119
26272|26272
5914|23512
1365|5566
4211|5090
4609|8878
9572|351
5604|2887
26121|6426
7325|7703
4869|3956
10381|55023
4193|6872
928|961
3299|3297
6045|23020
5970|9131
2317|10540
1432|8841
10291|7919
5499|1454
23512|6045
5603|4216
1020|55083
4086|4853
5536|5930
64858|25913
149428|23557
4087|93649
648|4830
9444|92906
7323|4214
207|150684
4163|54205
128|351
1029|598
7528|1387
3801|91949
6275|331
11124|1650
27|10152
51026|5119
3309|3185
29110|26994
9531|4678
90678|90678
3276|3178
8626|7415
9545|351
4088|57680
9618|11059
7322|9025
3661|3843
5058|5879
4627|1601
6241|29945
23126|10459
6640|7039
8841|11331
23481|23481
23054|1387
4609|9968
7186|2081
3476|4282
4193|6597
8767|8517
65057|677
64219|8078
7159|301
5925|3065
7375|10075
10291|56950
373|7324
1616|4629
7327|267
7319|966
672|2316
5925|996
7321|4214
8454|55904
1948|8892
5515|4215
4194|351
4609|8454
11338|10075
3315|3476
3661|3815
1499|6500
8751|23636
672|7168
3064|4294
6591|3065
5608|5970
10542|55183
9184|3837
5601|3726
497661|6231
2885|7532
2885|966
3717|5954
1717|3326
10291|3611
4628|4691
10458|10458
10537|10013
6640|128
8841|2874
5058|10174
10114|1616
6881|6881
1017|2896
9531|10174
4792|4792
22955|22955
2316|960
1650|6194
10458|10006
55790|55454
10381|2885
25865|4086
4869|2034
3065|9070
7410|23126
1647|4616
3643|3643
4214|387
9577|7157
24148|11338
65018|7052
4597|4597
2771|302
5204|7716
1017|5604
6548|7132
3661|7187
1499|10498
10159|387
22985|7532
8021|8021
11193|9184
1660|5970
5594|5213
7703|22955
5460|7026
51701|8454
7184|3309
3065|5929
3845|8945
578|7337
3091|6714
989|5966
7415|572
54974|51100
1649|1051
1956|27
11193|23451
5580|7037
3958|351
11331|6189
11140|8878
54778|7188
9618|1499
3925|5603
1499|4771
6625|8454
6434|27316
4214|2317
6794|79155
26121|6431
1432|572
26001|9040
7879|5119
7328|5970
55752|7189
5536|10672
6733|5930
4216|6711
2010|4000
56957|79155
150684|331
23363|23363
373|5296
81847|7322
4790|71
3845|351
8841|7155
57506|6714
836|9191
5886|5701
2071|6421
3832|79718
3956|2969
23236|6711
55366|71
23411|9611
5747|6714
7528|29844
2321|5335
4609|5601
4000|9031
1387|7157
1540|4646
6421|5213
10253|10252
9611|10155
9577|10342
3655|351
1017|16
2885|26999
334|5578
3837|6207
7324|4214
1655|51747
27086|7157
2033|9500
996|29945
5728|331
4436|8243
8837|4088
57154|10540
26994|11060
5499|6500
1655|6625
5936|2034
54386|6418
7324|4734
1017|1603
5599|3297
409|4691
7001|2956
9968|9968
996|51434
4087|5601
472|6240
2316|4000
1660|64783
5566|5568
1390|5578
8837|7157
55681|6189
10892|7189
51619|26001
22882|22882
4163|6801
7415|27338
836|637
148022|10498
23363|7919
25930|1956
9255|351
8452|23770
1499|604
847|351
324|4646
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8878|5701
8945|10277
7015|5371
2908|2782
2317|7415
9690|7321
6434|8563
51366|7164
10987|23318
6714|1072
2908|5598
353376|51135
7323|55159
2071|5725
23451|6434
115426|4170
7168|7184
5213|5211
5316|6929
3309|10542
55696|6431
3178|23435
2011|23303
9079|51564
5371|5300
4292|8930
79155|1147
7335|10273
8772|8772
2885|5530
3654|9618
2896|51701
7844|7415
1027|8454
10580|4609
10460|3832
10163|8976
6840|2040
3726|672
151636|3717
57142|6714
7186|8772
4763|9519
5451|351
8452|3251
6613|6613
7132|5879
6647|55681
4609|5701
58|7094
672|5970
51592|8861
3315|3187
1647|7917
4860|7157
6241|7251
648|10270
26524|222484
64783|9690
5058|6615
3297|4831
302|6207
10477|10477
3840|7052
3654|8772
23295|4734
253980|387
23512|10291
8452|51119
4088|1655
1308|5339
3315|7157
8613|351
23327|997
6850|5296
11059|7323
3064|2885
3092|5966
5295|153090
1385|818
11130|1655
51741|26999
3187|7431
1499|1660
166|166
2033|7392
51619|7844
6648|7001
79577|1499
10273|7186
4088|55958
578|598
5702|2034
672|6597
26270|391
329|329
2277|8754
7341|8626
25913|6623
6045|10527
30844|90678
27429|4976
6886|54892
6881|2648
200958|200958
8878|9611
7188|11140
4193|23451
29110|498
10458|26999
2033|4094
23291|27316
5077|1616
64783|7919
7295|23636
5594|5925
54872|351
8452|1798
10569|23028
409|3326
5728|1399
4292|9131
51141|29979
55294|9978
7322|8454
9099|89884
11124|11124
1130|9968
6500|8517
57154|5705
2885|5747
1655|9020
90780|207
1017|7533
5781|2185
3065|7431
5599|3725
604|6597
23363|5094
1956|8813
54623|9646
4163|8517
23368|2064
1956|8892
219771|79084
28996|8717
27339|6434
54880|84759
6929|2033
4609|6625
409|6772
23512|10181
1956|2771
648|6733
10188|998
5530|998
476|6188
10253|2885
7319|23304
2288|10869
4214|3093
55284|55159
5871|7186
3187|51340
28996|3065
3065|5087
22938|5213
6045|6625
11051|51747
9474|8772
7014|4627
3691|3912
9445|197131
3476|6613
3178|5603
4627|4791
51026|11160
6901|80144
51564|6907
2034|11331
1454|8312
23291|10181
6667|5339
4609|128239
149428|149428
23162|9479
1540|7189
11140|10273
54386|23406
7375|3956
4221|4221
84447|4627
351|2192
207|2033
55294|4644
6733|29116
302|351
2889|2885
8243|10592
57154|7431
3309|7186
4218|10938
11315|4722
3065|5914
835|4193
23392|8517
10766|10766
7067|8841
351|1191
4218|7037
1660|58
2549|6464
91|57154
4092|4734
3309|3398
7184|9255
9025|10600
8517|5515
10075|3066
7014|7402
1213|7132
6453|5204
1642|6502
2932|23451
3300|538
10116|9978
8454|4691
6667|9846
2033|208
4294|27
10014|5094
4792|6207
55366|22985
4790|7528
83737|10477
8315|8315
10783|10783
2908|7251
10014|55832
6478|51196
7057|7422
10342|6714
3309|4691
4627|7126
23028|5931
10419|11140
6231|351
11124|3611
4734|1020
26270|7037
7189|56957
8945|3182
1032|595
9451|9451
10987|5580
8312|28996
7205|5747
10987|6194
196403|196403
1540|10013
6256|406
648|142
54431|9695
51026|998
6667|5599
5074|5371
55284|26001
9099|10616
662|351
7159|8626
10419|3065
1647|197131
11059|7321
2040|5568
5911|9448
5058|961
3329|3688
142|10498
5664|320
79594|207
23327|7334
1825|1499
2033|5371
1017|55636
6901|4041
10569|51747
7014|4678
6774|4086
5581|1832
672|55284
57506|79654
3516|8454
10628|3065
4830|6095
10987|5052
7013|90678
7023|54386
3654|10273
3958|871
2131|2132
939|7187
6047|6613
29110|4791
8841|5087
23411|6720
3667|5291
497661|6189
1649|1386
672|9093
5108|10458
3621|3066
2081|7132
1017|7168
7532|5289
581|331
2648|4830
5728|5728
4170|8658
997|8454
3612|5333
7186|8204
10938|8539
9479|5599
84292|10848
208|842
7013|1936
9500|9500
5970|9093
51429|51429
7322|1027
6045|10291
22976|6625
7013|4926
10919|7157
10014|5725
1017|10972
8841|4790
6672|6613
83737|5460
10006|1399
5499|25998
4609|23318
4869|4869
5300|6647
23673|113878
51529|64682
3725|408
5530|572
2932|64750
6774|3066
1942|6613
7186|6426
2969|4792
3708|11160
54984|7013
142|3187
4089|4790
3054|6722
9657|871
472|79791
5578|7832
408|7533
23414|3065
29110|3665
7188|4217
8452|23451
672|1874
3092|9516
3185|51340
598|842
7328|85363
51257|997
409|4214
55832|10155
5594|7132
9070|5705
51231|7251
10159|11060
4609|3066
23363|6434
4055|9618
10381|7018
207|6789
3064|3093
11060|997
7536|7332
7046|9043
1831|7341
2335|16
3309|5728
5581|7416
7532|5295
6188|6194
4194|5705
4851|9253
4194|10111
79084|4086
10273|7324
54205|598
4683|2956
9218|7415
2033|3516
23327|51256
7186|9821
10725|5335
1072|5052
1956|5594
5499|8493
10155|7323
1387|1385
672|285464
5300|2280
3611|8813
23633|3838
4088|1601
4297|5364
4170|637
9372|5930
6907|10477
9611|2874
80762|5728
5295|3717
4218|7917
5211|7094
2004|5204
2768|5578
51701|51701
5911|10212
2885|3691
22882|5604
5664|6717
989|9025
4087|476
5829|7094
7337|7324
1676|5413
23542|10939
23560|23212
4627|81844
23291|8517
324|1454
4076|7082
115426|1499
7132|7187
1936|5716
2734|4790
4193|5932
85363|22954
153090|207
3091|9978
8878|1500
54106|81622
30844|158
23020|4670
