EntrezGeneID1|EntrezGeneID2
4790|79155
154796|7408
57154|3309
5879|23568
1855|8312
10206|396
10577|4864
5604|8837
10801|9217
5310|87
55366|23310
149041|7327
1432|2004
10664|3146
56254|51322
11051|3066
1432|8945
246184|51434
6045|84248
5469|5469
10014|7037
10672|7046
26227|2885
6602|64599
6772|7852
2624|161882
55832|1832
5501|351
23081|3065
5879|4627
2074|55832
10189|2072
6733|249
23405|3329
3915|3912
10933|3837
10905|11253
5335|5921
9516|23327
4869|498
1650|3703
1019|1457
672|2355
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
10197|55689
153090|8454
1387|2623
7879|57403
22955|8467
3566|9655
10987|8607
84661|10565
5499|5568
7319|1029
118|3398
4627|54822
22976|10111
4771|6895
51194|1810
1017|3398
2885|3329
3065|6883
4734|6189
1857|10482
6601|5978
1786|53615
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
9131|3303
11034|25824
6733|7957
5747|1605
51160|613
11236|3638
10482|9525
51393|7442
4609|23085
10252|868
8452|4976
7415|51366
5921|309
86|79718
5747|4193
7157|51741
4700|4722
7322|2060
10482|23210
960|573
5467|8202
23394|6601
648|11171
2208|3689
3654|3315
996|996
7415|1019
1213|4790
9181|10197
54778|7508
5501|7415
4734|7322
9612|8202
9218|4720
10049|10013
115426|5788
5970|8986
9978|3312
3476|79840
26574|1613
166|55072
10458|55971
2537|351
5566|1385
2885|6764
3320|5871
54984|7430
5062|5683
6303|8525
6461|6714
5566|5705
6210|79084
4851|5664
2932|8517
2549|5829
4778|5195
3171|1832
3661|64750
55183|79228
6714|4133
1020|351
5516|3476
10325|64121
5333|801
5720|5696
7358|983
6714|5295
54583|6478
5871|6416
2063|2063
26276|351
23133|55183
4627|302
5130|9025
124583|124583
7322|115426
57154|3622
3265|8036
25836|5538
5914|6477
2040|2040
324|8658
23411|5906
1535|5879
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
3717|3320
7324|11342
5603|7157
1213|409
2212|6464
5496|3925
5599|6464
8452|4722
3065|3320
7444|5599
3064|83737
5300|4303
2885|5930
51377|7295
6208|6223
10482|23568
55128|22861
2730|3665
8945|51741
7531|678
4899|23126
6478|6774
5579|960
324|598
1937|4193
81559|7322
10013|22985
54556|8454
25855|351
6917|2962
30827|80335
10013|4615
10482|22937
83706|79753
5595|6548
79791|595
11218|23405
5747|4678
7415|5245
8452|7072
3965|10325
5108|55081
5245|6189
3981|1278
10856|29110
10014|3837
637|834
4869|5501
8766|3064
1432|4209
5663|4846
6478|8841
1153|7094
5701|5693
6102|1454
10987|56254
3476|53615
2771|5581
4086|2648
208|2623
7957|1967
7322|26994
57154|7186
4088|6601
1017|9113
3065|8360
1147|8717
1051|1387
2067|6879
7337|301
7184|10399
1786|30827
23640|7186
8725|55929
3725|7443
10399|6774
2648|6877
5594|7157
4088|3727
1453|1855
208|9545
4831|10856
26270|5538
4086|58533
10987|9097
22920|55696
10006|5296
7132|8363
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
1958|6647
1432|6774
7415|79058
6732|8531
51366|2932
3958|5781
81542|7295
4824|7089
1788|130557
1191|5444
4651|805
2185|6774
57154|5518
5768|7322
7531|3983
7132|9093
1432|5371
11315|204851
6257|7415
56302|6774
55366|4297
4790|5607
6376|1524
6772|3326
5581|6868
4193|57154
6777|351
9984|7402
8837|868
1969|1213
2034|2010
1147|9043
10482|5119
4292|5887
1831|3065
10987|7186
4843|6742
2547|3064
57634|80314
6886|2547
1810|11091
3065|2969
498|6199
5601|9031
3065|7428
7251|4193
3308|3337
4683|3843
5914|23411
328|6418
6598|55636
1399|4067
