EntrezGeneID1|EntrezGeneID2
57154|3309
1855|8312
10206|396
10577|4864
55366|23310
1432|2004
56254|51322
1432|8945
246184|51434
5469|5469
10672|7046
26227|2885
5879|4627
23405|3329
2885|2887
1499|5494
153090|8454
7319|1029
1017|3398
2885|3329
7157|2648
2734|5966
11060|1605
9113|10413
5747|1605
51160|613
11236|3638
51393|7442
5747|4193
7157|51741
3654|3315
996|996
1213|4790
4734|7322
166|55072
10458|55971
26270|3074
2885|6764
6303|8525
4851|5664
2549|5829
3661|64750
6714|4133
1020|351
5871|6416
4627|302
26524|7533
5130|9025
7322|115426
7917|710
3265|8036
5914|6477
324|8658
57332|57332
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
5599|6464
3064|83737
5300|4303
2885|5930
2730|3665
8945|51741
635|635
81559|7322
10013|4615
8452|7072
3981|1278
1432|4209
6478|8841
10987|56254
4086|2648
7322|26994
57154|7186
1017|9113
1147|8717
1051|1387
23640|7186
5594|7157
1453|1855
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
1958|6647
51366|2932
4824|7089
1191|5444
7531|3983
7132|9093
1432|5371
11315|204851
4038|25861
4790|5607
5581|6868
4193|57154
6777|351
1969|1213
2034|2010
1147|9043
10987|7186
3065|2969
3065|7428
5914|23411
3659|4193
27346|6814
6502|997
2261|5335
5606|9479
29116|7334
23263|6194
7013|28988
79654|10892
1956|6850
939|56913
23515|54476
3065|3297
23291|10413
166|6733
6050|283
5966|6500
10755|613
5580|6944
3309|23636
672|23512
10728|7189
1454|5664
4615|4088
9344|5606
6772|55832
3685|7040
23411|4092
3091|613
55294|55294
5467|5970
4851|51434
267|23295
51741|5914
6907|1499
1855|1499
4088|64219
1385|6722
5290|6772
7187|329
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
23291|7832
10755|5578
6464|7175
1020|7917
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
1956|5802
54764|57332
208|7249
8805|57332
7324|10425
5829|102
1956|5604
5747|7132
51564|79718
79084|6597
1386|306
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22954|29979
409|10381
7428|1856
1969|9525
8454|4193
7428|5580
396|1967
196|4094
51257|7328
4609|4609
3611|79888
3661|2308
472|6477
3398|5925
55145|5074
3093|7428
2624|6500
1642|4926
2908|10013
5663|348
90678|3297
409|6714
675|2316
3309|6667
26524|4851
7528|351
2885|51185
1054|1017
1147|5499
6733|55832
7046|4087
1642|6772
10253|10817
5663|7046
5970|595
93986|116113
10956|10488
6772|3654
8820|9612
10459|51343
1956|7327
1191|11130
7249|5747
7157|1958
498|93974
6498|51592
351|4609
5727|2683
6045|57332
1385|3066
7319|7319
4282|54984
7428|9821
23291|1213
4627|8767
57506|6772
5335|6714
405|9978
56829|351
409|5594
3315|6667
3611|2746
150684|5966
861|1387
4085|4085
7375|7046
11130|9183
1601|1855
351|4763
51434|1387
1051|1054
6667|23636
10379|10379
3265|8315
10728|2065
408|6093
23291|1020
8445|9821
7157|83737
6497|3329
1385|1051
6497|79718
864|4851
10159|23770
8312|7248
4216|5604
10413|7533
6497|4691
123169|7319
472|10444
6045|7528
5609|9479
11060|7322
4734|6500
7453|7453
28996|28996
23043|23287
60485|26524
5599|23411
196|9978
5300|55201
5747|10273
26270|4830
581|255488
6259|2049
1856|3309
5460|5460
2885|3983
7325|9025
7326|10616
408|1213
23512|3983
5595|6667
5879|7410
4088|5371
408|498
998|4294
2118|2629
4952|1213
26272|26272
5914|23512
9572|351
5604|2887
7325|7703
10381|55023
928|961
3299|3297
1432|8841
5499|1454
23512|6045
5603|4216
4086|4853
4087|93649
648|4830
7323|4214
207|150684
128|351
7528|1387
29110|26994
90678|90678
4088|57680
9618|11059
7322|9025
5058|5879
4627|1601
23126|10459
2782|2534
8841|11331
23481|23481
4609|9968
3476|4282
4193|6597
5925|3065
7375|10075
373|7324
54926|396
7327|267
7319|966
672|2316
5925|996
7321|4214
4194|351
4609|8454
3315|3476
1499|6500
3064|4294
6591|3065
5608|5970
2885|966
3717|5954
4628|4691
10458|10458
8841|2874
5058|10174
10114|1616
1017|2896
4792|4792
2316|960
10381|2885
25865|4086
7410|23126
3643|3643
4214|387
5204|7716
1017|5604
3661|7187
26270|7531
1499|10498
10159|387
5460|7026
51701|8454
8452|2730
6386|27284
3845|8945
3091|6714
1649|1051
9618|1499
3925|5603
1499|4771
1432|572
26001|9040
7328|5970
6733|5930
373|5296
81847|7322
3845|351
8841|7155
57506|6714
3832|79718
23411|9611
5747|6714
2321|5335
4609|5601
1387|7157
1540|4646
10253|10252
3655|351
1017|16
334|5578
7324|4214
27086|7157
28988|8924
2033|9500
996|29945
57154|10540
26994|11060
5499|6500
5936|2034
7324|4734
7531|6885
5599|3297
409|4691
9968|9968
996|51434
4087|5601
6386|8408
998|23580
10892|7189
51619|26001
22882|22882
4163|6801
148022|10498
9255|351
8452|23770
1499|604
847|351
324|4646
27086|27086
11128|10623
10013|2932
2734|4792
8945|10277
2908|2782
9690|7321
51366|7164
10987|23318
2908|5598
7323|55159
5316|6929
2011|23303
9079|51564
5371|5300
7335|10273
8772|8772
3654|9618
2896|51701
1027|8454
10460|3832
10163|8976
2954|7186
151636|3717
57142|6714
7186|8772
5451|351
8452|3251
7132|5879
6647|55681
672|5970
51592|8861
4860|7157
648|10270
64783|9690
5058|6615
3297|4831
9133|7048
10477|10477
3654|8772
23295|4734
253980|387
8452|51119
3315|7157
8613|351
6850|5296
11059|7323
3064|2885
5598|7531
8525|3265
166|166
51619|7844
6648|7001
79577|1499
10273|7186
4088|55958
672|6597
26270|391
329|329
2277|8754
29110|498
2033|4094
1956|7531
5594|5925
54872|351
5728|1399
51141|29979
55294|9978
7322|8454
1130|9968
2885|5747
2261|55819
90780|207
1017|7533
3065|7431
5599|3725
604|6597
9646|10579
1956|8813
54623|9646
1956|8892
20|6667
219771|79084
28996|8717
54880|84759
6929|2033
409|6772
208|335
648|6733
10188|998
10253|2885
7319|23304
4214|3093
55284|55159
5871|7186
28996|3065
3065|5087
3638|3156
1027|7531
9474|8772
9612|1051
8036|10075
4843|10728
51564|6907
2034|11331
1454|8312
4609|128239
23162|9479
1540|7189
4221|4221
207|2033
55294|4644
6733|29116
302|351
57154|7431
3309|7186
3065|5914
7067|8841
351|1191
2549|6464
91|57154
4092|4734
3309|3398
9025|10600
10075|3066
1213|7132
1642|6502
3300|538
10116|9978
8454|4691
2033|208
4790|7528
83737|10477
8315|8315
10783|10783
10014|55832
6478|51196
7057|7422
335|5914
3309|4691
4627|7126
7186|7531
4734|1020
9451|9451
10987|5580
8312|28996
10987|6194
1540|10013
6667|5599
5074|5371
55284|26001
9099|10616
11059|7321
5911|9448
5058|961
3329|3688
79594|207
5728|6386
2033|5371
1017|55636
6901|4041
672|55284
57506|79654
23705|6386
3516|8454
10987|5052
7013|90678
3654|10273
54602|2534
939|7187
8841|5087
23411|6720
3667|5291
1649|1386
672|9093
5108|10458
2648|4830
5728|5728
997|8454
3612|5333
7013|396
7186|8204
9479|5599
9500|9500
5970|9093
7322|1027
7013|4926
8841|4790
83737|5460
4609|23318
5300|6647
51529|64682
3725|408
2932|64750
3029|5052
2969|4792
54984|7013
4089|4790
3054|6722
5578|7832
8625|11331
408|7533
23414|3065
29110|3665
51257|997
409|4214
5594|7132
10159|11060
4609|3066
10381|7018
207|6789
3064|3093
11060|997
7046|9043
3309|5728
4851|9253
79084|4086
10273|7324
2033|3516
7186|9821
10725|5335
1956|5594
5499|8493
1387|1385
5300|2280
3611|8813
4088|1601
6907|10477
9611|2874
80762|5728
2004|5204
2768|5578
51701|51701
4843|9093
22882|5604
4087|476
7337|7324
23542|10939
23560|23212
4627|81844
324|1454
115426|1499
7132|7187
10477|4780
2734|4790
153090|207
3091|9978
64219|9101
1017|3832
54602|4734
23429|7528
10051|3981
5300|1642
7428|2896
7328|81847
2004|2885
3093|5966
9444|9444
6885|9448
5802|197131
2625|5469
9093|10498
324|90678
1432|6464
7013|55971
10014|4830
6722|5970
7048|7189
3065|4609
25847|8697
6497|23411
409|6733
8829|8829
8737|54476
10494|6801
4824|10116
1017|2946
10987|6464
1385|7157
1454|4040
10540|81929
5781|79577
595|996
1956|27346
196|9612
54106|7096
672|2969
9612|8841
8204|10014
6667|4609
8945|25937
2065|7410
409|7531
1856|387
5130|6284
3655|6464
4194|2033
8945|4193
6194|7428
396|6714
1387|604
1385|6196
8452|7431
4790|1191
4217|11315
4193|10206
7157|23481
10626|351
81559|7321
6794|1967
2316|5499
1499|3065
1387|672
7048|1616
5728|7157
9918|64151
7337|302
8694|8694
3925|54984
1017|7175
6615|8945
5594|3845
8805|5371
5728|8503
5058|572
10592|3065
8452|23636
207|5578
2885|302
7703|6015
7703|6045
9821|6497
23673|10938
54476|7100
7322|55819
27429|9113
408|55681
7325|83737
323|538
5058|7431
10848|10848
2534|23028
23429|6500
150684|2033
5335|2885
5580|7431
1051|7157
2768|9826
54623|56254
5154|6667
51741|3315
55201|567
4780|51322
55366|23513
9978|351
10987|351
1601|1213
2045|2782
5601|207
5594|6464
5578|7431
334|5601
409|10273
5830|5828
1147|5970
2734|5970
5598|7157
55715|23028
2534|3655
27338|26271
8452|476
672|405
1017|2950
1642|10987
5119|5119
7326|9101
6500|997
11315|8772
23043|6885
1969|7046
4853|3516
1601|7048
4691|55681
6045|2734
672|7013
2261|2261
5991|5991
7050|3725
23291|51366
23236|5594
5728|5608
1028|8454
10755|54910
25898|7157
3064|1499
79084|4824
79594|79594
3725|667
1119|351
4792|5300
7324|79594
4609|8985
5598|5371
8945|9612
7531|7040
928|3688
10987|6597
116113|4830
7334|26994
10413|10273
51564|51564
7013|57680
4830|4830
10014|6885
6794|2011
3685|7057
649|8646
3064|51100
26270|10592
3661|10522
5581|581
8697|246184
7335|22954
207|4194
4089|5268
2908|7337
324|6801
6500|79176
7337|5914
6850|7189
4204|6497
3265|51196
5578|7157
6502|7528
3661|6737
5300|1017
23291|3054
335|9971
9821|4217
10210|5879
5594|3091
5594|2950
10938|55236
7319|4193
10498|6597
64750|7321
6502|1017
23263|23405
5296|351
4843|6500
5728|10381
5595|7421
10939|351
2494|1385
9702|351
4771|9368
5587|3725
4609|4780
23291|57680
2316|2778
1017|302
92140|10210
5911|5911
1956|7186
7157|10273
861|861
10818|10253
7531|9181
5599|56940
5300|5914
391|4089
5868|5868
26524|324
1017|3925
4087|3665
23291|997
7322|29979
1017|675
675|23047
9611|861
1017|85440
2308|23411
3065|8820
246184|4085
1601|1856
648|4691
9604|7421
10014|5499
4771|6386
4088|57669
491|5578
405|6901
1017|5595
4092|10413
8717|8737
3516|5087
10672|9826
2305|23481
4609|7157
998|51552
7189|998
1387|7533
6885|1213
1453|1499
3654|22954
10783|10935
4163|9255
3516|9612
11060|7321
472|55183
7410|6733
4086|10273
11186|7132
2534|54206
51119|283489
4296|5604
6045|1104
1029|4691
5604|5604
3064|4790
22900|57680
51619|23295
10600|10600
4296|5300
2746|7189
3654|9500
11331|1717
51119|10277
3315|9978
8454|26234
28996|7089
56254|1030
5371|23512
7328|11236
2022|7043
1399|5747
4644|5873
51196|5333
8613|8613
6259|1495
10460|55740
83737|2885
7325|6477
6015|7157
29979|3280
207|208
11326|4763
51701|4303
148022|7189
23291|2932
6416|83737
2941|5578
648|9968
64682|51592
387|5879
5601|5601
3659|2648
5594|5970
10075|11186
1104|7375
4609|79084
1385|10498
1718|51752
3054|3725
1017|4646
1029|150684
1500|1454
1856|5578
7408|4038
25898|1027
7324|7324
4609|7531
1213|613
4087|1855
11331|5970
55284|9025
57332|2033
8567|8567
5469|2648
148022|29979
2736|6497
2033|2624
57332|80829
4088|672
7334|10210
4831|4831
9618|4627
6929|7421
128|405
1454|1855
3725|4209
3725|3065
54926|7322
23411|3066
10818|2549
9646|80829
5621|5621
207|8915
23291|4780
166|2885
2885|1399
5829|57630
408|1909
11343|9388
396|5578
2768|351
6647|7335
51592|8805
861|5371
8767|8915
4734|2629
23139|7533
3611|5058
27086|93986
2316|5966
7161|10413
2304|23513
23405|23411
498|9255
26994|165918
4628|4628
10206|7322
4824|579
7001|351
29979|961
4851|55832
5879|8396
4790|7175
7334|10273
6868|1739
23512|2010
9821|5747
4609|10273
3299|5307
26270|949
55284|54708
10114|8772
9040|8454
81847|7321
55740|5594
26270|3832
6714|7157
472|7189
613|1399
4217|6885
4851|3054
4088|8881
3643|8503
60485|9113
5727|1956
1958|5307
1958|3725
29882|51433
2874|3832
3329|498
408|1856
1840|151636
996|51433
5609|4217
