EntrezGeneID1|EntrezGeneID2
57154|3309
5879|23568
1855|8312
10206|396
5604|8837
6477|5932
5310|87
55366|23310
6259|5591
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
579|7091
55294|29079
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
6602|64599
1994|23405
55832|1832
23081|3065
5879|4627
3309|27000
2074|55832
27159|54820
23405|3329
3915|3912
10905|11253
5335|5921
5894|598
4869|498
1019|1457
2885|2887
1499|5494
3275|6256
10197|55689
153090|8454
22955|8467
9146|90390
6871|10025
10987|8607
2288|10728
5499|5568
7319|1029
1994|151636
118|3398
4627|54822
22976|10111
1017|3398
2885|3329
3065|6883
4734|6189
6601|5978
1786|53615
1660|23405
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
11034|25824
5747|1605
51160|613
2885|10492
11236|3638
51393|7442
5747|273
10252|868
8452|4976
10938|5591
7415|51366
5921|309
86|79718
5747|4193
23363|8607
7157|51741
4700|4722
14|10076
960|573
5467|8202
23394|6601
648|11171
3654|3315
7532|8451
996|996
7415|1019
1213|4790
9181|10197
4734|7322
9612|8202
8451|8467
10049|10013
5970|8986
3476|79840
26574|1613
166|55072
10458|55971
2537|351
26270|3074
5566|1385
2885|6764
54984|7430
6303|8525
5566|5705
4851|5664
2549|5829
4778|5195
3171|1832
3661|64750
6714|4133
1020|351
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
23133|55183
4627|302
23363|4361
26524|7533
4221|25942
7322|115426
57154|3622
3265|8036
1994|387893
25836|5538
5914|6477
51548|2317
3192|79084
2040|2040
324|8658
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
1994|7168
5599|6464
8452|4722
7444|5599
3064|83737
5300|4303
2885|5930
2730|3665
8945|51741
6478|6774
6045|2317
324|598
5591|5052
81559|7322
10013|22985
54556|8454
25855|351
30827|80335
10013|4615
5595|6548
79791|595
11218|23405
5747|4678
7415|5245
8452|7072
83860|79595
5245|6189
3981|1278
1994|6873
10856|29110
1956|29911
1432|4209
6478|8841
5701|5693
10987|56254
3476|53615
2771|5581
4086|2648
7322|26994
57154|7186
4088|6601
1017|9113
1147|8717
1051|1387
2067|6879
7337|301
7184|10399
3301|4790
23363|81
1786|30827
23640|7186
3725|7443
9146|25777
10399|6774
2648|6877
5594|7157
8678|112869
58|5879
4088|3727
1453|1855
4831|10856
26270|5538
1660|23345
4086|58533
10987|9097
23363|3276
10006|5296
10987|81620
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
2132|2132
1958|6647
1432|6774
7415|79058
23363|7341
51366|2932
7532|673
6733|9648
4824|7089
1788|130557
4651|805
2185|6774
8726|8289
156|5603
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
6257|7415
4088|4904
4038|25861
55366|4297
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
8837|868
1969|1213
2034|2010
1147|9043
4292|5887
1831|3065
10987|7186
5371|6926
2243|5581
57634|80314
1810|11091
3065|2969
498|6199
5601|9031
3065|7428
7251|4193
7059|222229
5914|23411
328|6418
1994|9261
10933|86
81620|51433
3659|4193
83737|51429
26259|23363
8976|4690
29127|4294
5532|7942
9262|351
6502|997
114088|5747
2261|5335
1994|6944
23580|10801
8682|8772
9531|51022
5530|6257
60673|2309
3315|23363
5594|6640
207|23327
5606|9479
3066|83933
29116|7334
23263|6194
6871|2648
2353|351
3801|10540
1457|273
7013|28988
79654|10892
1956|6850
939|56913
9063|9063
23515|54476
4824|7091
8751|7525
3065|3297
23291|10413
1196|672
5515|84634
10155|5460
396|637
56652|6613
166|6733
5052|51
1994|3688
4157|5603
1956|2274
2081|9097
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
26227|6453
7415|6500
5966|6500
10755|613
23433|57120
5580|6944
1994|7046
28988|5610
273|5530
4830|983
1616|3276
3309|23636
672|23512
23327|79176
5716|8440
5594|1978
1832|5663
801|6249
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
311|4282
6772|55832
6879|2118
4700|9519
1457|1965
1031|55183
3685|7040
23411|4092
11091|51562
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
975|6418
5829|84661
4214|10049
267|23295
51741|5914
5058|10472
2316|7532
6907|1499
1855|1499
9063|2908
4088|64219
1385|6722
2068|983
1827|7189
4728|11331
5290|6772
7187|329
6733|8726
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
8850|10629
23291|7832
1017|57591
7072|5094
2335|10432
10755|5578
1130|57060
6464|7175
1020|7917
23345|7040
5074|6523
5499|6502
4609|2033
1432|1956
10492|29127
1017|3983
6613|9219
7027|1387
8452|8450
6944|3276
10592|25942
1956|5802
54764|57332
84661|87178
208|7249
8805|57332
4700|4724
7324|10425
1487|93986
7494|2648
5829|102
1956|5604
3688|7414
7431|11143
5747|7132
847|6786
11143|27154
51564|79718
80331|10273
10492|3182
7023|3148
975|4869
2274|10522
79084|6597
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
2241|2065
409|10381
10765|6601
5610|1660
11091|9219
10919|9219
7428|1856
1969|9525
10013|6249
796|796
6199|3192
8454|4193
5516|9448
7428|5580
396|1967
5601|6470
8450|55832
196|4094
3192|3182
51257|7328
4609|4609
3611|79888
26270|80267
5108|23392
3661|2308
472|6477
10492|10381
3398|5925
6272|10542
8454|29127
55145|5074
4090|7844
3093|7428
2624|6500
53615|3725
4904|5245
58|7187
1017|8531
27005|9101
7023|8932
1386|7416
1017|5094
3655|3915
3192|7184
1642|4926
2908|10013
3065|3326
5663|348
7335|331
90678|3297
8440|23522
3925|5568
409|6714
6879|6879
675|2316
578|7416
10492|23499
23368|672
3309|6667
26524|4851
7528|351
4790|8837
2885|51185
7157|6613
1994|7334
10987|3858
56943|56970
10856|1785
5966|801
5295|2033
3315|9588
123169|6879
118|667
1054|1017
9070|2033
1147|5499
7321|8239
2683|3728
6733|55832
1785|6386
10572|27
7046|4087
1642|6772
10253|10817
23543|3202
1020|3326
9252|2908
5663|7046
5970|595
2885|835
93986|116113
5469|29079
23580|55752
10956|10488
6314|3912
26270|5705
6772|3654
156|31
8820|9612
1027|1019
10459|51343
1956|7327
1191|11130
2243|5590
7249|5747
7157|1958
1487|9063
498|93974
1739|23095
25932|5966
6498|51592
8295|8454
10492|6194
351|4609
4851|5928
7251|9146
1201|51144
5727|2683
10818|4915
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
1432|81
4282|54984
51111|51111
7428|9821
11052|4076
23291|1213
4627|8767
10919|6015
65057|23154
4760|595
6314|5705
5925|5894
1499|8850
6310|55072
57506|6772
5295|3265
7532|1198
5335|6714
405|9978
56829|351
409|1019
409|5594
10111|4691
5886|9648
1017|7915
3315|6667
2885|6189
3611|2746
7428|1270
150684|5966
3326|7186
7416|7416
861|1387
55612|51119
4085|4085
8726|1072
328|1642
2752|10114
10672|2185
56970|8464
7375|7046
8651|2261
11130|9183
1601|1855
351|4763
6478|10869
51434|1387
1051|1054
6667|23636
10379|10379
26994|9372
53615|80312
11331|11218
7533|1198
3265|8315
10728|2065
8202|1147
408|6093
23476|9440
23236|5591
23291|1020
3309|811
8445|9821
7157|83737
4691|5094
6497|3329
10645|805
79813|83852
1385|1051
23429|9191
10075|1738
3297|5591
6497|79718
864|4851
10159|23770
6272|54840
51474|55589
1627|667
4976|664
311|7001
4000|4926
9531|3326
808|8717
8312|7248
10933|672
23394|23212
4216|5604
10413|7533
6497|4691
11051|1627
5932|5932
3099|6720
123169|7319
8726|10801
8726|1198
23263|23451
1994|648
472|10444
2185|309
4085|6189
6045|7528
1994|27154
7428|6189
847|3295
5609|9479
3912|43
7415|118
5590|842
3485|7018
2064|983
11060|7322
1994|1457
3276|1153
4734|6500
7453|7453
28996|28996
9282|29079
5591|1147
6601|7251
1457|7448
23043|23287
54107|351
60485|26524
5599|23411
196|9978
5300|55201
5245|1627
5747|10273
4983|5879
65057|1627
7155|983
5292|6502
2132|6623
4091|1487
51257|57120
9440|7157
79885|10049
26270|4830
1457|3065
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
664|7052
7325|9025
7326|10616
10629|27097
10987|1153
4790|801
9653|128869
27248|51009
408|1213
23512|3983
5595|6667
10075|32
4088|5371
8891|8531
8726|5879
7428|1291
1017|7415
408|498
998|4294
2118|2629
4792|5610
65057|51119
26272|26272
5914|23512
1365|5566
4211|5090
9572|351
5604|2887
7325|7703
4869|3956
10381|55023
11059|4778
4193|6872
928|961
3299|3297
2317|10540
1432|8841
1785|6453
5499|1454
23512|6045
5603|4216
1020|55083
4086|4853
149428|23557
4087|93649
4157|55023
648|4830
7323|4214
207|150684
7531|23476
128|351
1029|598
7528|1387
6792|23499
27|10152
29110|26994
1984|6386
9531|4678
90678|90678
10600|2353
6883|9913
8450|808
9252|1387
10664|351
1994|3066
4088|57680
9618|11059
7322|9025
1509|34
5058|5879
4627|1601
6241|29945
23126|10459
2782|2534
4665|6602
1994|3516
8841|11331
23481|23481
23054|1387
4609|9968
7186|2081
3476|4282
4193|6597
65057|677
64219|8078
7159|301
5925|3065
1017|539
4292|4728
7375|10075
373|7324
3399|10817
6299|23368
1457|9646
1616|4629
54926|396
11091|23309
7327|267
7319|966
672|2316
1994|6194
5925|996
4087|6601
7321|4214
8454|55904
1956|808
23414|5928
5515|4215
4609|8454
3315|3476
1499|6500
8751|23636
3066|3301
672|7168
3064|4294
6591|3065
284217|6288
5608|5970
10542|55183
1017|55689
3717|6513
5601|3726
2885|7532
1994|5928
2885|966
3717|5954
1717|3326
2752|204851
4628|4691
10458|10458
10188|273
6640|128
8841|2874
10131|4089
25942|7468
7917|51548
5058|10174
10114|1616
311|306
6881|6881
1017|2896
7415|81
9531|10174
4792|4792
22955|22955
1432|58508
2316|960
79885|3301
10458|10006
8726|1660
10381|2885
25865|4086
4869|2034
3065|9070
80335|11091
3643|3643
51141|10213
4214|387
9577|7157
3516|55031
5626|84661
8440|10458
65018|7052
2309|9181
1956|14
2771|302
801|58533
5204|7716
1017|5604
6548|7132
3661|7187
26270|7531
5928|6602
5626|54926
1499|10498
1760|5894
2074|5424
10159|387
22985|7532
1660|5970
5594|5213
5062|6194
1017|273
7703|22955
5460|7026
51701|8454
7184|3309
3065|5929
8452|2730
2931|4077
6386|27284
3845|8945
578|7337
3091|6714
989|5966
1956|7443
7415|572
54974|51100
7428|6513
1649|1051
9063|3725
1956|27
8726|1788
5580|7037
11331|6189
9618|1499
3925|5603
1499|4771
4214|2317
816|64754
185|3717
1457|55145
2274|7157
1432|572
26001|9040
1994|57646
7328|5970
8726|7175
2534|2263
55752|7189
2280|1487
51548|3306
6045|801
6733|5930
1201|5591
60673|5211
2010|4000
150684|331
23363|23363
373|5296
81847|7322
3845|351
8841|7155
57506|6714
836|9191
5886|5701
3832|79718
3956|2969
23411|9611
5747|6714
7528|29844
1994|10193
2321|5335
4609|5601
4000|9031
1387|7157
1540|4646
10253|10252
9611|10155
3655|351
1017|16
2885|26999
334|5578
7324|4214
10013|22919
402|23568
27086|7157
28988|8924
2033|9500
387893|5928
996|29945
5728|331
1642|5928
4760|5594
8837|4088
57154|10540
26994|11060
5499|6500
5936|2034
10213|10197
7324|4734
7531|6885
3622|64750
1017|1603
5599|3297
409|4691
7001|2956
116143|5499
9968|9968
996|51434
4087|5601
7161|81620
11091|6883
472|6240
2316|4000
1660|64783
5566|5568
1627|85458
6386|8408
8837|7157
55681|6189
998|23580
7531|805
10892|7189
3315|81
51619|26001
22882|22882
9146|23636
4163|6801
22985|51755
7415|27338
836|637
5538|1509
148022|10498
8454|1153
9140|4170
9255|351
8452|23770
5062|6500
1499|604
847|351
324|4646
58508|79813
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
156|4157
8945|10277
11091|6601
25942|5970
2908|2782
1965|836
2317|7415
9690|7321
3611|8607
51366|7164
4000|1636
10642|4691
10987|23318
6714|1072
6696|3688
2908|5598
29079|29110
7323|55159
185|6714
26060|5590
115426|4170
7168|7184
5213|5211
5316|6929
3309|10542
2011|23303
5585|5585
9079|51564
10629|6874
5371|5300
4292|8930
11284|23287
7335|10273
8772|8772
5894|3301
23326|27097
2885|5530
3654|9618
2896|51701
7844|7415
1027|8454
6874|6877
10580|4609
10460|3832
373|84919
9611|6602
10163|8976
26060|3397
6840|2040
805|818
3726|672
151636|3717
57142|6714
7186|8772
4763|9519
5451|351
8452|3251
56943|6881
6613|6613
7132|5879
55832|10664
1476|2317
6647|55681
10075|10213
4609|5701
672|5970
51592|8861
1994|9695
10856|6502
4860|7157
1994|26258
6241|7251
2885|6294
648|10270
26524|222484
64783|9690
6883|8467
5058|6615
3297|4831
7157|1487
4700|4728
10477|10477
3654|8772
23295|4734
253980|387
673|369
8452|51119
6929|8295
11331|4904
3315|7157
