EntrezGeneID1|EntrezGeneID2
4790|79155
5879|23568
5300|81628
1855|8312
10206|396
5604|8837
5310|87
1432|2004
11051|3066
1432|8945
55294|29079
5469|5469
10672|7046
26227|2885
5501|351
5879|4627
23405|3329
3915|3912
5335|5921
9516|23327
4985|5578
4869|498
2885|2887
1499|5494
3275|6256
11051|55696
9146|90390
2288|10728
5499|5568
118|3398
4627|54822
1017|3398
2885|3329
4734|6189
7157|2648
9113|10413
6733|7957
5747|1605
51393|7442
4609|23085
8452|4976
5921|309
5747|4193
7157|51741
5618|3717
960|573
5467|8202
3654|3315
1213|4790
9612|8202
26574|1613
166|55072
10458|55971
2537|351
5566|1385
2885|6764
6303|8525
4851|5664
2932|8517
2549|5829
3171|1832
6714|4133
1020|351
5333|801
6714|5295
54583|6478
5871|6416
4627|302
26524|7533
124583|124583
3265|8036
2040|2040
324|8658
10488|638
4087|23557
10458|55740
5603|7157
1213|409
5496|3925
5599|6464
8452|4722
3064|83737
5300|4303
51377|7295
2730|3665
8945|51741
6478|6774
324|598
25855|351
83706|79753
5595|6548
11218|23405
8452|7072
5245|6189
10014|3837
4869|5501
6478|8841
2771|5581
4086|2648
7957|1967
1017|9113
1147|8717
7337|301
7184|10399
3301|4790
10399|6774
5594|7157
4088|3727
1453|1855
10987|9097
22920|55696
7428|23032
3667|55023
3643|5580
23560|6189
1958|6647
1432|6774
51366|2932
81542|7295
4824|7089
4651|805
156|5603
7531|3983
7132|9093
1432|5371
11315|204851
4038|25861
4790|5607
5581|6868
6777|351
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
3065|2969
498|6199
5601|9031
3065|7428
5914|23411
29079|8878
3659|4193
83737|51429
8976|4690
5532|7942
9262|351
6502|997
8517|396
23580|10801
8682|8772
3621|7157
207|23327
5606|9479
9218|5245
23263|6194
2353|351
6789|9218
7013|28988
1956|6850
939|56913
9063|9063
7013|5496
1856|8878
3065|3297
23291|10413
7186|10758
396|637
166|6733
2081|9097
7186|9994
6050|283
5295|1969
5970|7052
26227|6453
10755|613
166|11030
4830|983
8737|8517
3309|23636
5716|8440
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
311|4282
5500|3983
3685|7040
23411|4092
3091|613
7414|10381
55294|55294
5467|5970
4214|10049
267|23295
51741|5914
2316|7532
7529|10787
6907|1499
1855|1499
9063|2908
1385|6722
2068|983
4436|8517
5290|6772
7187|329
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
23291|7832
1017|57591
10755|5578
1130|57060
1020|7917
5074|6523
5499|6502
4609|2033
1432|1956
1017|3983
6789|23085
81628|79718
1956|5802
208|7249
7494|2648
5829|102
1956|5604
3688|7414
5747|7132
2309|57708
5500|1029
847|6786
51564|79718
975|4869
79084|6597
2353|5536
1386|306
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
409|10381
7428|1856
1969|9525
7428|5580
396|1967
5601|6470
196|4094
4609|4609
3661|2308
3398|5925
6272|10542
55145|5074
1017|8531
1386|7416
3655|3915
5663|348
7335|331
3925|5568
409|6714
675|2316
578|7416
23368|672
9516|29979
3309|6667
26524|4851
3837|267
4790|8837
10987|3858
5966|801
5295|2033
118|667
1054|1017
1147|5499
2683|3728
1785|6386
7046|4087
1642|6772
23543|3202
5663|7046
5970|595
2885|835
5469|29079
23580|55752
6772|3654
156|31
8820|9612
1020|5771
7249|5747
7157|1958
498|93974
1739|23095
25932|5966
351|4609
1201|51144
51065|6188
8440|23043
1385|3066
7428|9821
55294|5500
11052|4076
23291|1213
4627|8767
6310|55072
57506|6772
5295|3265
5335|6714
56829|351
4897|23499
409|5594
1017|7915
3315|6667
2885|6189
3611|2746
7428|1270
7416|7416
55612|51119
8021|87178
328|1642
1601|1855
351|4763
1051|1054
6667|23636
10379|10379
11331|11218
3265|8315
10728|2065
8202|1147
408|6093
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
6497|3329
1857|79753
1385|1051
6497|79718
864|4851
4976|664
311|7001
808|8717
4869|497661
8312|7248
4216|5604
10413|7533
6497|4691
409|5518
7428|6189
847|3295
5609|9479
3912|43
2064|983
6310|11030
7453|7453
28996|28996
9282|29079
23043|23287
60485|26524
5599|23411
5300|55201
5747|10273
4983|5879
7155|983
9440|7157
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
664|7052
3643|8878
10010|9546
1956|92609
310|7157
1896|23566
4790|801
408|1213
5595|6667
5879|7410
4088|5371
8891|8531
5496|55696
7428|1291
408|498
998|4294
2118|2629
1365|5566
4211|5090
4609|8878
9572|351
5604|2887
4869|3956
10381|55023
928|961
3299|3297
1432|8841
1785|6453
5499|1454
5603|4216
1020|55083
4086|4853
149428|23557
4087|93649
648|4830
2885|5500
128|351
1029|598
6275|331
1984|6386
10600|2353
4088|57680
3661|3843
5058|5879
4627|1601
2782|2534
8841|11331
4609|9968
5170|5604
7186|2081
3476|4282
4193|6597
8767|8517
7159|301
5925|3065
5792|8301
672|2316
1956|808
4194|351
3315|3476
3066|3301
672|7168
3064|4294
6591|3065
5608|5970
7529|4763
5601|3726
2885|7532
2885|966
4628|4691
10458|10458
8841|2874
5058|10174
10114|1616
311|306
6881|6881
1017|2896
9531|10174
4792|4792
2316|960
10381|2885
25865|4086
4869|2034
3643|3643
4214|387
9577|7157
8440|10458
65018|7052
2309|9181
2771|302
5204|7716
112398|112398
1017|5604
6548|7132
3661|7187
23566|351
3163|3778
1499|10498
10159|387
8021|8021
5594|5213
7879|5245
5460|7026
7184|3309
8452|2730
3672|5771
5530|5520
2931|4077
3845|8945
578|7337
3091|6714
989|5966
54974|51100
1649|1051
9063|3725
25865|5774
11331|6189
9618|1499
3925|5603
1499|4771
3643|5771
6794|79155
1432|572
55752|7189
5536|10672
5501|7187
4216|6711
5518|4869
2010|4000
56957|79155
3845|351
8841|7155
57506|6714
836|9191
3956|2969
23236|6711
23411|9611
5747|6714
2321|5335
3717|5782
4609|5601
4000|9031
1540|4646
10253|10252
9577|10342
3655|351
1017|16
2885|26999
334|5578
27086|7157
2033|9500
5728|331
8837|4088
5936|2034
7531|6885
1017|1603
5599|3297
409|4691
7001|2956
9968|9968
4087|5601
2549|5782
472|6240
2316|4000
5566|5568
6386|8408
8837|7157
55681|6189
998|23580
7531|805
10892|7189
9146|23636
4163|6801
836|637
148022|10498
9255|351
1499|604
847|351
324|4646
27086|27086
11128|10623
8945|10277
10014|7529
2908|2782
51366|7164
4000|1636
