EntrezGeneID1|EntrezGeneID2
26039|6597
1855|8312
10577|4864
6259|5591
1432|2004
7917|84292
5469|5469
10672|7046
5879|4627
23405|3329
3275|6256
4627|54822
1017|3398
2885|3329
4734|6189
7157|2648
2734|5966
9113|10413
51393|7442
8233|23451
5747|4193
3178|2969
6045|55759
3654|3315
10458|55971
5566|1385
55759|55759
4851|5664
3171|1832
6714|4133
1020|351
27316|51340
4627|302
6631|10498
10014|27316
1017|6120
324|8658
4087|23557
5603|7157
5599|6464
8452|4722
5591|5052
5595|6548
11218|23405
5747|4678
8452|7072
3981|1278
1432|4209
2771|5581
1017|9113
1051|1387
5594|7157
226|226
4670|6636
10006|5296
6809|6809
3667|55023
3643|5580
23560|6189
2132|2132
23020|23020
1958|6647
1432|6774
7532|673
3958|5781
2185|6774
340061|23516
156|5603
1432|5371
11315|204851
5581|6868
6777|351
58517|6625
3065|2969
5601|9031
26121|10291
3065|7428
5914|23411
24148|58517
6598|55636
3659|4193
5532|7942
5728|6231
9262|351
5530|6257
207|23327
1956|6850
939|56913
23515|54476
3065|3297
1196|672
10419|84844
2081|9097
7186|9994
6050|283
10755|613
5580|6944
1832|5663
4615|4088
2771|4691
1031|55183
3685|7040
23411|4092
3091|613
55294|55294
2316|7532
6907|1499
1855|1499
1385|6722
5290|6772
6934|7248
7046|7040
10755|5578
1130|57060
1020|7917
5074|6523
4609|2033
1432|1956
6045|5289
1956|5802
10397|6231
1956|5604
3688|7414
5747|7132
847|6786
1386|306
7189|51135
5914|5469
1278|960
1969|9525
7428|5580
196|4094
58517|6426
4609|4609
207|3178
6733|27316
1386|7416
3655|3915
5663|348
409|6714
675|2316
578|7416
29110|4670
3315|5898
23368|672
7528|351
1054|1017
9070|2033
5224|5223
2683|3728
5591|9785
10572|27
7046|4087
5663|7046
10181|55183
2885|835
6772|3654
8820|9612
7249|5747
7157|1958
1739|23095
351|4609
54541|55183
51065|6188
1385|3066
4627|8767
57506|6772
5335|6714
56829|351
409|5594
2054|27230
11338|6189
3315|6667
2885|6189
5058|5592
7416|7416
861|1387
2752|10114
10672|2185
351|4763
1051|1054
10379|10379
408|6093
23236|5591
6497|3329
1385|1051
3297|5591
4790|4791
864|4851
8312|7248
6497|4691
5932|5932
23210|58517
2185|309
6045|7528
7428|6189
2734|6207
5590|842
7453|7453
28996|28996
23043|23287
5599|23411
4983|5879
2132|6623
5460|5460
1386|10972
9653|128869
10533|23411
5595|6667
11338|3178
5879|7410
4088|5371
408|498
998|4294
1365|5566
9572|351
26121|6426
4193|6872
6045|23020
10291|7919
1020|55083
149428|23557
382|5226
7531|23476
128|351
7528|1387
27|10152
9545|351
5058|5879
23054|1387
7186|2081
4193|6597
1017|539
1616|4629
672|2316
4194|351
3064|4294
6591|3065
5601|3726
2885|7532
2885|966
2752|204851
4628|4691
10458|10458
10114|1616
1017|2896
4792|4792
22955|22955
2316|960
10458|10006
55790|55454
3065|9070
3643|3643
24148|11338
4597|4597
2771|302
112398|112398
1017|5604
6548|7132
3661|7187
1499|10498
1760|5894
5594|5213
5062|6194
7703|22955
5460|7026
3065|5929
3091|6714
1956|27
11193|23451
3958|351
1499|4771
6434|27316
26121|6431
1432|572
3845|351
57506|6714
836|9191
2071|6421
23411|9611
5747|6714
7528|29844
2321|5335
4609|5601
4000|9031
1387|7157
6421|5213
3655|351
2885|26999
334|5578
1655|51747
1655|6625
5936|2034
7531|6885
1017|1603
5599|3297
409|4691
7001|2956
4087|5601
2316|4000
5566|5568
10892|7189
22882|22882
148022|10498
1499|604
847|351
324|4646
11128|10623
6257|10621
2734|4792
2908|5598
2071|5725
23451|6434
5213|5211
5316|6929
3178|23435
9079|51564
4292|8930
8772|8772
2885|5530
2896|51701
10163|8976
3726|672
57142|6714
7186|8772
8452|3251
7132|5879
3163|2908
672|5970
3315|3187
4860|7157
5058|6615
156|824
302|6207
3654|8772
23295|4734
673|369
4088|1655
3315|7157
8613|351
23327|997
6850|5296
3064|2885
3092|5966
1385|818
5598|7531
5702|2034
672|6597
4193|23451
29110|498
10458|26999
2033|4094
1956|7531
64783|7919
54872|351
8452|1798
10569|23028
5728|1399
51141|29979
2885|5747
5781|2185
5599|3725
604|6597
1956|8813
20|6667
28996|8717
27339|6434
6929|2033
4609|6625
409|6772
1956|2771
648|6733
5530|998
476|6188
10253|2885
3187|51340
28996|3065
3065|5087
22938|5213
1027|7531
6045|6625
9612|1051
3178|5603
4627|4791
51564|6907
149428|149428
4221|4221
351|2192
207|2033
55294|4644
302|351
2889|2885
11315|4722
3065|5914
835|4193
2549|6464
4092|4734
2932|23451
6667|9846
4294|27
4790|5062
4792|6207
4790|7528
10783|10783
7057|7422
51377|1832
7186|7531
6231|351
4734|1020
9451|9451
8312|28996
196403|196403
6667|5599
5074|5371
662|351
10419|3065
5058|961
3329|3688
5664|320
79594|207
2033|5371
1017|55636
6901|4041
10569|51747
5581|1832
3958|871
2131|2132
939|7187
29110|4791
23411|6720
3667|5291
5058|5894
5108|10458
2081|7132
7532|5289
5728|5728
3612|5333
4627|64428
6045|10291
22976|6625
10014|5725
1017|10972
10006|1399
4609|23318
23673|113878
3725|408
5530|572
6774|3066
7186|6426
2969|4792
6774|26039
4089|4790
5578|7832
29110|3665
8452|23451
3185|51340
5594|7132
4609|3066
207|6789
5581|7416
6188|6194
4851|9253
4683|2956
51377|29844
2926|539
2033|3516
10725|5335
1956|5594
1387|1385
672|285464
80762|5728
4218|7917
51701|51701
5911|10212
22882|5604
5664|6717
4087|476
1676|5413
4627|81844
4076|7082
7132|7187
2734|4790
4193|5932
23020|4670
64428|351
7428|2896
3726|334
2004|2885
2752|2885
2625|5469
1429|1429
1432|6464
1386|7532
6774|5970
7013|55971
4691|7416
6722|5970
7048|7189
3065|4609
6497|23411
409|6733
8829|8829
8737|54476
1017|2946
1385|7157
196|9612
10658|351
54106|7096
1017|3187
672|2969
6667|4609
8452|488
11218|9612
409|7531
7189|5702
7428|92906
5130|6284
3655|6464
4194|2033
6194|7428
1387|604
1385|6196
4609|2956
10626|351
10978|7082
51340|23020
1499|3065
1387|672
5025|9653
7048|1616
5728|7157
5591|2969
8694|8694
2068|2068
5594|3845
8805|5371
5728|8503
6231|6189
5058|572
29844|29844
207|5578
7430|9368
2885|302
1655|10291
7703|6015
10049|351
7703|6045
54476|7100
27429|9113
323|538
2534|23028
207|25998
6733|10212
5335|2885
1051|7157
5154|6667
23054|22976
7430|8767
4000|1499
6548|6885
3064|3708
4089|5898
4609|23020
6497|6188
5601|207
5594|6464
4000|4000
6188|7186
