EntrezGeneID1|EntrezGeneID2
1855|8312
1432|2004
1432|8945
7917|84292
5469|5469
10672|7046
5879|4627
23405|3329
4869|498
2885|2887
3275|6256
4627|54822
1017|3398
2885|3329
4734|6189
7157|2648
2734|5966
9113|10413
51393|7442
8233|23451
10938|5591
5747|4193
3178|2969
6045|55759
3654|3315
10458|55971
55759|55759
4851|5664
3171|1832
1020|351
27316|51340
4627|302
6631|10498
10014|27316
1017|6120
2040|2040
324|8658
10488|638
4087|23557
5603|7157
5599|6464
8452|4722
5591|5052
5595|6548
11218|23405
5747|4678
8452|7072
3981|1278
1432|4209
2771|5581
1017|9113
1147|8717
1051|1387
7184|10399
10399|6774
5594|7157
208|9545
226|226
4670|6636
10006|5296
6809|6809
3667|55023
3643|5580
23560|6189
2132|2132
23020|23020
1958|6647
1432|6774
7532|673
3958|5781
1191|5444
340061|23516
156|5603
1432|5371
11315|204851
56302|6774
55366|4297
5581|6868
6777|351
58517|6625
1147|9043
5601|9031
26121|10291
5914|23411
24148|58517
6598|55636
3659|4193
5532|7942
5728|6231
9262|351
8682|8772
207|23327
4869|24148
1956|6850
939|56913
23515|54476
4163|10569
10419|84844
2081|9097
7186|9994
6050|283
10755|613
23433|57120
5580|6944
1832|5663
4615|4088
2771|4691
1031|55183
3685|7040
23411|4092
3091|613
55294|55294
5467|5970
267|23295
2316|7532
6907|1499
1855|1499
5290|6772
6934|7248
7046|7040
7494|7494
10755|5578
1130|57060
1020|7917
5074|6523
4609|2033
1432|1956
6045|5289
208|7249
7494|2648
10397|6231
1956|5604
3688|7414
5747|7132
4163|23020
847|6786
975|4869
79084|6597
1386|306
7189|51135
5914|5469
1278|960
1969|9525
7428|5580
5601|6470
196|4094
58517|6426
4609|4609
3398|5925
55145|5074
207|3178
6733|27316
8945|55759
1386|7416
3655|3915
5663|348
675|2316
578|7416
29110|4670
3315|5898
23368|672
7528|351
1054|1017
9070|2033
5224|5223
2683|3728
5591|9785
7046|4087
5663|7046
5970|595
10181|55183
2885|835
6772|3654
156|31
7249|5747
7157|1958
498|93974
1739|23095
351|4609
54541|55183
51065|6188
4627|8767
5925|5894
57506|6772
56829|351
409|5594
2054|27230
11338|6189
1017|7915
3315|6667
2885|6189
7416|7416
861|1387
2752|10114
351|4763
1051|1054
10379|10379
11331|11218
408|6093
23236|5591
6497|3329
3297|5591
4790|4791
864|4851
8312|7248
6497|4691
5932|5932
11052|23020
3099|6720
23210|58517
6045|7528
7428|6189
2734|6207
7453|7453
28996|28996
5591|1147
5599|23411
4983|5879
2132|6623
5581|8682
5460|5460
1386|10972
9653|128869
10533|23411
5595|6667
11338|3178
5879|7410
4088|5371
7428|1291
408|498
998|4294
2118|2629
1365|5566
9572|351
5604|2887
26121|6426
4193|6872
3299|3297
6045|23020
10291|7919
1020|55083
149428|23557
4087|93649
648|4830
9444|92906
128|351
7528|1387
9545|351
5058|5879
23054|1387
7186|2081
4193|6597
1017|539
1616|4629
672|2316
4194|351
672|7168
3064|4294
3717|6513
5601|3726
2885|7532
2885|966
2752|204851
4628|4691
10458|10458
10114|1616
6881|6881
1017|2896
4792|4792
22955|22955
2316|960
10458|10006
55790|55454
4869|2034
3643|3643
24148|11338
2771|302
112398|112398
1017|5604
6548|7132
3661|7187
1499|10498
1760|5894
5594|5213
5062|6194
7703|22955
5460|7026
2931|4077
3845|8945
989|5966
54974|51100
7428|6513
11193|23451
3958|351
11331|6189
1499|4771
6434|27316
26121|6431
1432|572
226|6648
55752|7189
3845|351
836|9191
2071|6421
23411|9611
7528|29844
2321|5335
4609|5601
4000|9031
1387|7157
6421|5213
3655|351
2885|26999
334|5578
1655|51747
27086|7157
2033|9500
1655|6625
5936|2034
1017|1603
5599|3297
409|4691
7001|2956
4087|5601
472|6240
2316|4000
5566|5568
10892|7189
22882|22882
836|637
148022|10498
9255|351
1499|604
847|351
324|4646
27086|27086
11128|10623
2734|4792
8945|10277
2071|5725
26060|5590
23451|6434
7168|7184
5213|5211
5316|6929
3178|23435
9079|51564
4292|8930
8772|8772
2885|5530
2896|51701
10580|4609
10163|8976
26060|3397
3726|672
7186|8772
8452|3251
7132|5879
672|5970
3315|3187
4860|7157
5058|6615
3297|4831
156|824
302|6207
3654|8772
23295|4734
673|369
4088|1655
3315|7157
8613|351
23327|997
6850|5296
3064|2885
3092|5966
6648|7001
5702|2034
672|6597
6881|2648
4193|23451
29110|498
10458|26999
2033|4094
64783|7919
5594|5925
54872|351
5728|1399
51141|29979
2885|5747
