EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
57154|3309
5879|23568
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
10801|9217
5310|87
1432|2004
10664|3146
56254|51322
11051|3066
1432|8945
55294|29079
5469|5469
10014|7037
10672|7046
26227|2885
6602|64599
1994|23405
5501|351
23081|3065
5879|4627
3309|27000
9968|9412
23405|3329
3915|3912
84687|5499
10933|3837
5335|5921
9516|23327
4869|498
672|2355
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
7879|57403
22955|8467
9146|90390
6871|10025
10987|8607
513|509
2288|10728
84661|10565
5499|5568
7319|1029
1994|151636
118|3398
4627|54822
22976|10111
4771|6895
51194|1810
1017|3398
2885|3329
3065|6883
4734|6189
6601|5978
1786|53615
1660|23405
7157|2648
9113|10413
4090|23451
6733|7957
5747|1605
2885|10492
51393|7442
4609|23085
10252|868
8452|4976
5921|309
86|79718
5747|4193
7157|51741
14|10076
960|573
5467|8202
23394|6601
3654|3315
7532|8451
56897|5424
9612|8202
8451|8467
10049|10013
5970|8986
3476|79840
26574|1613
166|55072
10458|55971
2537|351
5566|1385
2885|6764
3320|5871
6303|8525
6461|6714
6210|79084
4851|5664
2932|8517
2549|5829
4778|5195
6714|4133
1020|351
1308|3655
10325|64121
5333|801
6714|5295
54583|6478
5871|6416
3054|3320
2063|2063
4627|302
26524|7533
5130|9025
4221|25942
124583|124583
3265|8036
1994|387893
25836|5538
51548|2317
3192|79084
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
10458|55740
3717|3320
5603|7157
5496|3925
5599|6464
8452|4722
3065|3320
3064|83737
5300|4303
51377|7295
1022|2068
2730|3665
8945|51741
7531|678
6478|6774
6045|2317
324|598
1937|4193
10013|22985
25855|351
30827|80335
10013|4615
83706|79753
79791|595
11218|23405
5747|4678
8452|7072
5245|6189
3981|1278
1994|6873
10856|29110
10014|3837
4869|5501
8766|3064
3486|960
6478|8841
1153|7094
6102|1454
10987|56254
3476|53615
2771|5581
4086|2648
7957|1967
57154|7186
9099|9361
4088|6601
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
3301|4790
1786|30827
8725|55929
10399|6774
2648|6877
5594|7157
58|5879
4088|3727
1453|1855
208|9545
5595|1645
4831|10856
2034|56897
10987|9097
22920|55696
10006|5296
10987|81620
6809|6809
7428|23032
3667|55023
3643|5580
23560|6189
23020|23020
1958|6647
444|5154
1432|6774
6732|8531
51366|2932
514|93974
3958|5781
81542|7295
4824|7089
1788|130557
1191|5444
4651|805
8726|8289
57154|5518
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
4088|4904
55366|4297
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
8837|868
2034|2010
1147|9043
1831|3065
2023|2171
10987|7186
2547|3064
57634|80314
6886|2547
1810|11091
3065|2969
498|6199
1994|5906
5601|9031
3065|7428
7251|4193
4683|3843
5914|23411
328|6418
6598|55636
1994|9261
10933|86
29079|8878
3659|4193
27346|6814
83737|51429
8976|4690
29127|4294
5532|7942
9262|351
6502|997
3320|1019
8517|396
23580|10801
8682|8772
3621|7157
5530|6257
5594|6640
207|23327
5606|9479
3192|8517
64324|2063
3066|83933
29116|7334
9218|5245
23263|6194
6871|2648
2353|351
6789|9218
7013|28988
1956|6850
939|56913
9063|9063
7013|5496
23515|54476
8751|7525
1856|8878
3065|3297
23291|10413
4055|9217
10155|5460
7186|10758
396|637
166|6733
1017|3146
1994|3688
23512|92609
112869|9910
2081|9097
2335|5976
7186|9994
6050|283
472|10155
5295|1969
5970|7052
26227|6453
5966|6500
10755|613
79784|54623
23433|57120
9702|2171
1994|7046
4176|7337
166|11030
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
672|23512
23327|79176
5716|8440
5594|1978
1832|5663
801|6249
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
2335|9775
4616|983
6732|5170
2771|4691
4331|2967
311|4282
5500|3983
6879|2118
3685|7040
2962|688
7919|9063
23411|4092
11091|51562
509|9551
8450|23348
3091|613
7414|10381
55294|55294
5467|5970
975|6418
5829|84661
4214|10049
267|23295
51741|5914
5058|10472
2316|7532
7529|10787
6907|1499
1855|1499
9063|2908
1385|6722
1660|9020
2068|983
1827|7189
3691|3915
4436|8517
5290|6772
7187|329
6733|8726
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
8850|10629
23291|7832
1017|57591
4170|3312
7072|5094
2335|10432
10755|5578
1130|57060
1020|7917
6275|23774
5074|6523
5499|6502
4609|2033
1432|1956
10492|29127
6045|5289
1017|3983
7027|1387
6789|23085
8452|8450
1956|5802
54764|57332
84661|87178
208|7249
8805|57332
1487|93986
7494|2648
6774|6778
5829|102
3320|8473
1956|5604
3688|7414
7431|11143
5747|7132
2309|57708
5500|1029
4163|23020
847|6786
11143|27154
3320|1613
51564|79718
80331|10273
10492|3182
7023|3148
975|4869
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
1969|9525
10013|6249
6199|3192
5460|5478
7428|5580
396|1967
5601|6470
196|4094
3192|3182
4609|4609
3611|79888
3661|2308
10492|10381
3398|5925
6272|10542
55145|5074
2624|6500
5879|10928
53615|3725
4904|5245
58|7187
1017|8531
27005|9101
7023|8932
1386|7416
1017|5094
3655|3915
3192|7184
1642|4926
2908|10013
3065|3326
5663|348
7335|331
8440|23522
3925|5568
9101|6778
409|6714
