EntrezGeneID1|EntrezGeneID2
26039|6597
1855|8312
5469|5469
10014|7037
5879|4627
23405|3329
5335|5921
4627|54822
7157|2648
51393|7442
5921|309
2537|351
5566|1385
4851|5664
3171|1832
6714|4133
1020|351
6714|5295
2063|2063
4087|23557
5603|7157
2730|3665
324|598
2771|5581
4086|2648
5594|7157
7428|23032
3643|5580
2185|6774
7531|3983
5581|6868
6777|351
3065|7428
1956|6850
3065|3297
5295|1969
1832|5663
4615|4088
7414|10381
55294|55294
5467|5970
2316|7532
1855|1499
1385|6722
6934|7248
10755|5578
1956|5802
3688|7414
79084|6597
1386|306
7189|51135
5914|5469
409|10381
796|796
7428|5580
3398|5925
55145|5074
1386|7416
5663|348
3925|5568
409|6714
675|2316
2683|3728
5970|595
8820|9612
498|93974
1739|23095
1385|3066
4627|8767
5295|3265
5335|6714
56829|351
409|5594
7428|1270
7416|7416
10672|2185
351|4763
1051|1054
10379|10379
408|6093
6497|3329
1385|1051
864|4851
8312|7248
2185|309
3912|43
28996|28996
23043|23287
4983|5879
6259|2049
4088|5371
408|498
2118|2629
1365|5566
1020|55083
4086|4853
5058|5879
2782|2534
5925|3065
6591|3065
25865|4086
3643|3643
3661|7187
10159|387
22985|7532
3845|8945
3091|6714
5580|7037
3925|5603
1499|4771
3845|351
57506|6714
5747|6714
3655|351
334|5578
27086|7157
7531|6885
5566|5568
10892|7189
9255|351
1499|604
324|4646
27086|27086
11128|10623
2908|2782
2011|23303
8772|8772
57142|6714
7186|8772
4860|7157
3297|4831
3315|7157
8613|351
5295|153090
1385|818
2277|8754
29110|498
1956|7531
5594|5925
5781|2185
604|6597
1956|2771
5530|998
2778|60626
28996|3065
1027|7531
9612|1051
55294|4644
3309|7186
3065|5914
10766|10766
10014|2806
4092|4734
3309|3398
55366|22985
585|796
7057|7422
51377|1832
7186|7531
4734|1020
9451|9451
8312|28996
5074|5371
5058|961
3329|3688
5664|320
6774|4086
5581|1832
4830|6095
3667|5291
2648|4830
5728|5728
9500|9500
3725|408
5530|572
6774|3066
6774|26039
4089|4790
5578|7832
29110|3665
598|842
10381|7018
3309|5728
5581|7416
7532|5295
4851|9253
79084|4086
10725|5335
1956|5594
80762|5728
5295|3717
5664|6717
23542|10939
4627|81844
153090|207
7428|2896
3726|334
2625|5469
1386|7532
6774|5970
10014|4830
6722|5970
7048|7189
409|6733
8829|8829
8737|54476
1385|7157
54106|7096
409|7531
3655|6464
6194|7428
2064|6774
10626|351
1499|3065
5728|7157
5594|3845
5058|572
51119|7419
207|5578
7430|9368
10049|351
54476|7100
323|538
2534|23028
207|25998
1051|7157
7430|8767
55366|23513
3064|3708
2045|2782
5594|6464
2309|1499
1147|5970
2534|3655
11315|8772
23043|6885
4853|3516
6453|8867
5991|5991
23236|5594
7531|9846
3064|1499
79084|4824
3725|667
8945|9612
7531|7040
51564|51564
4830|4830
10014|6885
3315|5568
6794|2011
5530|5728
3661|10522
5581|581
4089|5268
6850|7189
4204|6497
3265|51196
5578|7157
5594|3091
5594|2950
5728|10381
5595|7421
10939|351
4771|9368
5587|3725
2316|2778
5911|5911
1956|7186
3516|8473
861|861
387|5566
6714|7430
391|4089
4087|3665
9611|861
3315|5566
3065|8820
4088|57669
491|5578
7189|998
4163|9255
3516|9612
1192|7067
3064|4790
5915|6095
2746|7189
5581|6774
2022|7043
8613|8613
10460|55740
309|7416
11326|4763
148022|7189
387|5879
3659|2648
5594|5970
207|6453
54463|351
3065|23394
5566|6722
7408|4038
4087|1855
11331|5970
5469|2648
2736|6497
4831|4831
3725|3065
5621|5621
207|8915
408|1909
861|5371
8767|8915
4734|2629
1027|7532
27086|93986
2316|5966
498|9255
4628|4628
5295|5921
6868|1739
55740|5594
6714|7157
472|7189
26277|23154
5176|5566
3329|498
7189|6714
23236|2776
23542|5606
22821|351
7419|11331
6498|9611
10076|2771
5578|7532
11315|57669
1956|2288
3643|5578
2624|5371
1739|320
4831|6418
3064|5295
29072|7157
2065|4734
23139|7186
1956|8301
207|5140
5925|6670
4088|1499
4771|5058
5074|5074
4790|1499
1020|3925
1956|29110
836|836
5291|5728
4790|29110
2626|5469
100|2908
5580|57048
23043|6648
5830|949
1192|382
4133|5566
4627|3728
57506|7186
3315|3925
5595|6868
3981|2950
114609|114609
23542|8650
6714|22920
7157|6794
7423|7423
2782|2776
2889|6714
23028|23028
7189|7430
2064|5781
5578|7037
5970|3066
340061|4864
6886|6886
3309|5603
2534|836
5879|998
5921|2065
7157|5371
3661|3661
1956|3309
207|6886
4831|2280
351|43
309|7419
2782|5058
6464|2889
2908|573
1956|51564
3925|5058
4615|7100
2932|7428
2932|4853
340061|340061
8473|8473
7157|9611
2648|3665
7161|3066
4627|5074
60626|60626
8861|5925
5728|4628
8408|8408
3688|5581
7157|604
9253|8737
2736|1385
2534|1500
3717|2185
491|1739
9846|207
498|5603
2280|4092
11120|3156
6284|7414
2316|85458
8416|351
7186|84901
23513|4163
3265|10522
3065|4824
6720|6720
57045|652
3516|351
6597|3516
3675|8754
4851|3065
3643|3665
5578|998
5581|5581
2064|23542
6272|6272
5781|1499
26277|10626
2011|2932
2908|3065
6310|6720
7161|4734
6498|5371
351|348
5217|6093
7416|7419
3309|6885
2932|8473
2932|2932
2902|5747
6720|472
10460|84282
5211|5568
2902|5581
861|28996
472|2767
2932|7248
10014|8473
2624|5469
3065|5371
54820|81565
11331|3065
3925|7428
408|4734
22976|5371
408|5606
2534|1499
4830|4831
23230|2534
1956|5606
5594|2626
4088|7018
2011|65018
5578|2902
3643|382
2625|10014
408|3984
7189|8408
2316|3688
4086|864
3717|5058
6774|5295
3801|10152
5594|408
3725|8820
10014|498
1147|5966
23028|5925
306|7157
54106|7187
5595|9846
4790|1147
29110|8945
3845|5268
1499|1500
1020|5925
2889|9846
54476|54476
16|4436
64802|351
3329|3309
207|334
5307|57048
5594|5594
1386|3801
51377|6418
207|3309
3717|5594
5364|5335
11331|7026
6733|6733
5568|572
1192|4163
5058|5580
5566|6714
8767|8767
5664|5664
3265|3643
6376|6376
5566|6310
55366|26058
6777|16
5371|9611
4087|3725
1956|6464
54795|5578
2316|5335
11128|3065
1020|2534
29072|29072
1386|488
207|7531
4087|3065
81565|81565
4076|5747
23162|54106
2011|7531
7428|11315
7421|861
3688|4831
6774|6885
11331|23560
4204|9611
3717|5310
6714|1909
5970|10379
11315|6647
6934|5663
23236|23236
60626|10672
2022|2022
3148|351
5566|7157
3675|1969
6733|1147
4133|2534
573|10049
2065|5295
4088|2908
4088|9611
54820|7532
55294|3297
4089|9611
