EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
57154|3309
6498|7329
5879|23568
1855|8312
10206|396
10577|4864
5604|8837
6477|5932
10801|9217
5310|87
55366|23310
149041|7327
6259|5591
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
6045|84248
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
6772|7852
10399|920
2624|161882
396|226
55832|1832
5501|351
5879|4627
2074|55832
9968|9412
10189|2072
23405|3329
3915|3912
10905|11253
5335|5921
9516|23327
5894|598
4869|498
1650|3703
1019|1457
672|2355
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
153090|8454
7879|57403
10482|6612
2288|10728
5499|5568
7319|1029
1676|9958
118|3398
4627|54822
22976|10111
4771|6895
1017|3398
2885|3329
4734|6189
1857|10482
1660|23405
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
6733|7957
5747|1605
51160|613
11236|3638
10482|9525
51393|7442
4609|23085
10252|868
8452|4976
10938|5591
7415|51366
5747|4193
7157|51741
9049|64581
4700|4722
7322|2060
1385|4286
10482|23210
960|573
5467|8202
648|11171
3654|3315
996|996
7415|1019
1213|4790
54778|7508
5501|7415
4734|7322
9612|8202
9218|4720
10049|10013
7874|7874
3476|79840
26574|1613
166|55072
10458|55971
2537|351
26270|3074
3621|5931
5566|1385
2885|6764
54984|7430
5062|5683
6303|8525
6461|6714
3480|3643
5566|5705
6210|79084
4851|5664
2932|8517
2549|5829
4778|5195
3171|1832
3661|64750
55183|79228
6714|4133
1020|351
5516|3476
10325|64121
5333|801
7358|983
6714|5295
54583|6478
5871|6416
5578|920
26276|351
4627|302
26524|7533
5130|9025
124583|124583
7322|115426
57154|3622
3265|8036
1017|6120
25836|5538
5914|6477
2040|2040
324|8658
23411|5906
1535|5879
57332|57332
10488|638
4087|23557
6500|26234
7128|3832
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
2212|6464
5496|3925
5599|6464
8452|4722
7444|5599
3064|83737
5300|4303
2885|5930
51377|7295
6208|6223
10482|23568
2730|3665
8945|51741
7531|678
6478|6774
324|598
5591|5052
1937|4193
81559|7322
10013|22985
25855|351
6917|2962
10013|4615
10482|22937
83706|79753
5595|6548
79791|595
11218|23405
5747|4678
8452|7072
3965|10325
5108|55081
3981|1278
10856|29110
10014|3837
1956|29911
8764|7431
4869|5501
8766|3064
1432|4209
6478|8841
1153|7094
5701|5693
6102|1454
10987|56254
2771|5581
4086|2648
7957|1967
7322|26994
57154|7186
9099|9361
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
3301|4790
23640|7186
3725|7443
10399|6774
5594|7157
4088|3727
1453|1855
208|9545
226|226
4831|10856
26270|5538
4086|58533
10987|9097
22920|55696
10006|5296
6809|6809
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
1958|6647
1432|6774
7415|79058
51366|2932
7532|673
3958|5781
81542|7295
6733|9648
4824|7089
7874|3431
1788|130557
1191|5444
4651|805
2185|6774
57154|5518
156|5603
7531|3983
7132|9093
1432|5371
11315|204851
6257|7415
55366|4297
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
9984|7402
8837|868
1969|1213
2034|2010
1147|9043
10482|5119
4292|5887
1831|3065
10987|7186
7874|4193
2547|3064
6886|2547
3065|2969
498|6199
5601|9031
3065|7428
2878|34
7251|4193
1642|6612
4683|3843
5914|23411
6598|55636
1399|4067
10482|6711
3659|4193
27346|6814
83737|51429
8976|4690
29127|4294
9262|351
6502|997
8517|396
23580|10801
8682|8772
3621|7157
9531|51022
5530|6257
60673|2309
641|7329
207|23327
5606|9479
29116|7334
23263|6194
3480|5580
2353|351
6789|9218
3801|10540
7013|28988
79654|10892
1956|6850
939|56913
9063|9063
7013|5496
23515|54476
8751|7525
1856|8878
207|3551
3065|3297
23291|10413
1196|672
4055|9217
7874|23405
10155|5460
7186|10758
396|637
10856|7874
56652|6613
166|6733
1017|3146
5052|51
23512|92609
10055|16
2081|9097
7529|51599
6688|1788
3480|10399
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
26227|6453
7415|6500
3480|8314
5966|6500
10755|613
23433|57120
5580|6944
28988|5610
166|11030
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
672|23512
2826|2885
23327|79176
5716|8440
5594|1978
1832|5663
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
7094|9898
51588|3661
2771|4691
3030|51
311|4282
5500|3983
6772|55832
1457|1965
1031|55183
3685|7040
7919|9063
23411|4092
3091|613
604|9170
7414|10381
55294|55294
5467|5970
4851|51434
4214|10049
267|23295
51741|5914
2316|7532
7529|10787
6907|1499
1855|1499
9063|2908
4088|64219
1385|6722
1660|9020
2068|983
7128|79155
4436|8517
4728|11331
5290|6772
7187|329
6934|7248
240|5594
23411|3309
1856|7126
10482|5578
7046|7040
8737|329
7494|7494
4609|3837
23291|7832
1017|57591
7072|5094
5683|5682
10755|5578
1130|57060
6464|7175
4686|9092
1020|7917
5074|6523
9564|5770
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
6789|23085
3190|7157
6944|3276
1956|5802
54764|57332
208|7249
8805|57332
4700|4724
7324|10425
7494|2648
6774|6778
5829|102
1956|5604
1030|7709
3688|7414
11260|8546
5747|7132
6045|79228
2309|57708
5500|1029
57617|8411
847|6786
267|9131
51564|79718
975|4869
7917|9958
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
2241|2065
409|10381
5610|1660
7428|1856
