EntrezGeneID1|EntrezGeneID2
5300|81628
1855|8312
9775|5978
10577|4864
5604|8837
1432|2004
11051|3066
1432|8945
5469|5469
10672|7046
5879|4627
3309|27000
23405|3329
3915|3912
5335|5921
4869|498
1019|1457
672|2355
3275|6256
513|509
2288|10728
7319|1029
4627|54822
22976|10111
4771|6895
6492|3320
1017|3398
2885|3329
4734|6189
1660|23405
7157|2648
9113|10413
5747|1605
51393|7442
8452|4976
5921|309
5747|4193
4700|4722
960|573
5467|8202
3654|3315
56897|5424
1647|983
9612|8202
8451|8467
10049|10013
26574|1613
10458|55971
2537|351
5566|1385
2885|6764
3320|5871
5062|5683
6303|8525
6210|79084
55759|55759
4851|5664
2549|5829
1020|351
5516|3476
5333|801
6714|5295
5871|6416
3054|3320
23133|55183
4627|302
4221|25942
25836|5538
2040|2040
10488|638
3717|3320
5599|6464
8452|4722
3065|3320
7444|5599
3064|83737
5300|4303
1022|2068
324|598
1937|4193
25855|351
10013|4615
79791|595
11218|23405
5747|4678
3981|1278
10856|29110
5701|5693
4086|2648
9099|9361
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
3725|7443
5594|7157
58|5879
4088|3727
4831|10856
8243|23476
2034|56897
10987|81620
6809|6809
23560|6189
23020|23020
514|93974
3958|5781
1191|5444
7428|4176
7132|9093
1432|5371
11315|204851
2034|25942
4038|25861
5581|6868
6777|351
2034|2010
1147|9043
1831|3065
10987|7186
8626|10399
3065|2969
3065|7428
7251|4193
29116|81628
5914|23411
328|6418
6598|55636
83737|51429
5532|7942
9262|351
3320|1019
8682|8772
9531|51022
5530|6257
5594|6640
207|23327
5606|9479
2353|351
1956|6850
939|56913
23515|54476
3065|3297
1196|672
10155|5460
7186|9994
6050|283
472|10155
5295|1969
4193|55967
4176|7337
4830|983
23327|79176
5594|1978
1832|5663
10728|7189
4615|4088
9344|5606
4616|983
4331|2967
311|4282
1457|1965
1031|55183
3685|7040
8626|10277
23411|4092
509|9551
3091|613
