EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
261726|5537
9869|121504
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
5310|87
55366|23310
5110|7077
6259|5591
1432|2004
7014|203245
10664|3146
56254|51322
11051|3066
1432|8945
55294|29079
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
6602|64599
2624|161882
5501|351
23081|3065
5879|4627
3309|27000
9968|9412
23405|3329
3915|3912
84687|5499
10933|3837
5335|5921
9516|23327
5894|598
4869|498
1650|3703
1019|1457
672|2355
4361|2237
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
7879|57403
22955|8467
11030|167153
9146|90390
81847|7520
6871|10025
8856|8856
10987|8607
513|509
2288|10728
84661|10565
5499|5568
7319|1029
118|3398
4627|54822
22976|10111
4771|6895
6492|3320
51194|1810
1017|3398
2885|3329
3065|6883
4734|6189
6601|5978
1786|53615
7157|2648
2734|5966
9113|10413
4090|23451
9131|3303
11034|25824
6733|7957
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
10938|5591
7415|51366
5921|309
86|79718
5747|4193
23363|8607
1896|27125
7157|51741
4700|4722
5618|3717
14|10076
7083|4953
6045|55759
960|573
5467|8202
23394|6601
648|11171
3654|3315
7532|8451
996|996
56897|5424
7415|1019
1213|4790
1270|3646
54778|7508
5501|7415
1647|983
9612|8202
8945|63967
9218|4720
8451|8467
10049|10013
2072|3014
5970|8986
3476|79840
26574|1613
166|55072
10458|55971
2537|351
5566|1385
2885|6764
3320|5871
54984|7430
23532|121504
5062|5683
6303|8525
6461|6714
3480|3643
7157|5110
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
4778|5195
4171|7520
6714|4133
1020|351
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
26276|351
23133|55183
4627|302
23363|4361
26524|7533
7015|302
5130|9025
4221|25942
124583|124583
57154|3622
3265|8036
25836|5538
51548|2317
2040|2040
324|8658
6934|7520
23411|5906
57332|57332
54464|7538
10488|638
4087|23557
10458|55740
3717|3320
6829|10498
5603|7157
1213|409
5496|3925
5599|6464
8452|4722
3065|3320
7444|5599
3064|83737
5300|4303
51377|7295
79991|9968
6208|6223
1022|2068
2730|3665
8945|51741
7531|678
6478|6774
6045|2317
324|598
5591|5052
1937|4193
10013|22985
25855|351
6917|2962
30827|80335
10013|4615
83706|79753
5595|6548
79791|595
4171|1500
79991|23186
11218|23405
5747|4678
7415|5245
8452|7072
5108|55081
5245|6189
3981|1278
10856|29110
10014|3837
4869|5501
8766|3064
1432|4209
6478|8841
1153|7094
5701|5693
6102|1454
10987|56254
3476|53615
2771|5581
4086|2648
7957|1967
57154|7186
25913|7531
4088|6601
1017|9113
8850|142
3065|8360
1147|8717
1051|1387
2067|6879
8452|192669
7337|301
7184|10399
3301|4790
23363|81
1786|30827
8725|55929
3725|7443
10399|6774
2648|6877
5594|7157
58|5879
4088|3727
1453|1855
208|9545
5595|1645
4831|10856
8243|23476
7520|5494
4086|58533
3303|5704
1545|7363
2034|56897
10987|9097
22920|55696
23363|3276
10006|5296
10987|81620
7132|8363
6809|6809
752|51474
7428|23032
3667|55023
3643|5580
23560|6189
23020|23020
1958|6647
1432|6774
7415|79058
51366|2932
51547|23077
7532|673
514|93974
3958|5781
81542|7295
23291|3791
2935|382
4824|7089
1788|130557
1191|5444
4651|805
2185|6774
8726|8289
57154|5518
156|5603
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
1026|3066
6257|7415
9657|51552
22916|51755
4038|25861
55366|4297
4790|5607
672|79035
5581|6868
4193|57154
6777|351
9984|7402
8837|868
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
5371|6926
2547|3064
192670|10728
57634|80314
6886|2547
1810|11091
3065|2969
498|6199
5601|9031
3065|7428
2878|34
23293|4116
7251|4193
7059|222229
4683|3843
332|3014
5914|23411
328|6418
3646|5058
6598|55636
10933|86
29079|8878
3659|4193
83737|51429
26259|23363
8976|4690
29127|4294
5532|7942
56915|253980
9262|351
51547|23481
6502|997
3320|1019
8517|396
23580|10801
10987|26986
8682|8772
9693|554313
3621|7157
9531|51022
5530|6257
3315|23363
5594|6640
207|23327
26523|8890
5606|9479
4171|4214
3066|83933
9218|5245
23263|6194
6871|2648
3480|5580
2353|351
6789|9218
3801|10540
7013|28988
1956|6850
939|56913
9063|9063
7013|5496
23515|54476
7919|26986
8751|7525
1856|8878
3065|3297
23291|10413
1196|672
4171|8360
10155|5460
7186|10758
2146|8539
2648|7520
396|637
166|6733
1017|3146
5052|51
1956|2274
23512|92609
112869|9910
2081|9097
7529|51599
2335|5976
3480|10399
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
408|8361
26227|6453
7415|6500
3480|8314
5966|6500
10755|613
79784|54623
26986|23020
23433|57120
10987|8365
5580|6944
4176|7337
28988|5610
166|11030
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
672|23512
23327|79176
5716|8440
5594|1978
1832|5663
801|6249
8856|6257
10728|7189
1454|5664
4615|4088
9344|5606
2335|9775
7083|7157
4616|983
7094|9898
25913|5110
2771|4691
7083|7249
4331|2967
311|4282
5599|3014
5500|3983
6879|2118
4700|9519
1457|1965
1031|55183
3685|7040
5108|6829
7919|9063
23411|4092
11091|51562
509|9551
8450|23348
3091|613
604|9170
7414|10381
55294|55294
5467|5970
22985|51504
975|6418
5829|84661
4214|10049
267|23295
51741|5914
29843|142
5058|10472
3014|5496
2316|7532
7529|10787
367|4193
472|9126
6907|1499
4116|23020
7363|7923
1855|1499
9063|2908
1385|6722
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
6733|8726
6934|7248
240|5594
1977|26986
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
8850|10629
23291|7832
1017|57591
4170|3312
7072|5094
2335|10432
54386|6672
10755|5578
1130|57060
6464|7175
7014|9967
4686|9092
1020|7917
6275|23774
5074|6523
9564|5770
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
7027|1387
4171|1200
6789|23085
2146|4116
51451|5516
8452|8450
165918|3014
6944|3276
10592|25942
1956|5802
7014|3996
54764|57332
84661|87178
208|7249
8805|57332
4700|4724
1487|93986
4316|5265
7494|2648
6774|6778
5829|102
3320|8473
1956|5604
3688|7414
7431|11143
5747|7132
2309|57708
5500|1029
4163|23020
847|6786
11143|27154
3320|1613
267|9131
51564|79718
80331|10273
3320|1026
7023|3148
975|4869
2274|10522
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
10256|114822
5914|5469
1278|960
22976|51720
22954|29979
2241|2065
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
1969|9525
10013|6249
51377|8361
3014|309
51741|5784
5516|9448
7428|5580
396|1967
5601|6470
196|4094
4609|4609
3611|79888
3661|2308
2060|3304
3398|5925
6272|10542
55145|5074
2624|6500
6667|142
8945|55759
5879|10928
53615|3725
58|7187
1017|8531
317|3320
27005|9101
7023|8932
1386|7416
1017|5094
3655|3915
1642|4926
2908|10013
5663|348
7335|331
1026|7295
1017|2146
8440|23522
3925|5568
9101|6778
409|6714
6879|6879
4292|9898
675|2316
578|7416
11143|8361
5883|63967
3315|5898
23368|672
9516|29979
4171|92609
10013|8359
3309|6667
26524|4851
7528|351
3837|267
5728|3303
871|7171
4790|8837
10987|3858
56943|56970
3312|4791
5966|801
5295|2033
3315|9588
123169|6879
118|667
984|5906
2060|2534
3014|10111
1054|1017
9070|2033
1147|5499
10196|7415
5300|26986
2683|3728
10572|27
7046|4087
1642|6772
10253|10817
23543|3202
9252|2908
5663|7046
23291|55759
5970|595
192669|11331
2885|835
93986|116113
5469|29079
23580|55752
6314|3912
8452|9126
6772|3654
6714|6778
11104|51750
156|31
2885|8365
8820|9612
1027|1019
1020|5771
10459|51343
1191|11130
7249|5747
7157|1958
332|836
1487|9063
3303|4627
498|93974
1739|23095
25932|5966
7419|509
6498|51592
9775|4089
351|4609
10013|3320
4851|5928
7251|9146
1201|51144
27257|2746
5727|2683
54541|55183
51322|7094
10818|4915
51065|6188
1616|8364
8440|23043
1874|367
6045|57332
1385|3066
7319|7319
1432|81
4282|54984
51111|51111
7428|9821
55294|5500
11052|4076
23291|1213
4627|8767
10919|6015
65057|23154
2107|8894
5925|5894
1499|8850
51141|3303
6310|55072
5879|8411
57506|6772
5295|3265
7532|1198
5335|6714
5058|3014
10735|9126
56829|351
409|1019
409|5594
2054|27230
10111|4691
509|7416
1017|7915
4171|10013
3315|6667
2885|6189
51547|5591
3611|2746
7428|1270
3146|3148
7416|7416
861|1387
4085|4085
51548|22948
8726|1072
8021|87178
328|1642
10672|2185
56970|8464
5426|26986
51547|55759
11130|9183
1601|1855
351|4763
2885|6237
409|3312
1051|1054
6667|23636
10379|10379
53615|80312
5906|396
57154|2547
11331|11218
7533|1198
3265|8315
10728|2065
149041|7332
1653|1978
8202|1147
408|6093
2023|4643
23476|9440
23512|10397
23236|5591
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
10645|805
79813|83852
7421|984
1385|1051
5716|3320
23429|9191
4171|6208
10075|1738
3320|1457
3297|5591
4790|4791
6497|79718
864|4851
476|509
10159|23770
472|79035
6272|54840
51474|55589
1627|667
4976|664
1026|7376
311|7001
4000|4926
808|8717
4869|497661
8312|7248
10933|672
23394|23212
4216|5604
10413|7533
6497|4691
11051|1627
22800|5900
5932|5932
3312|5217
11052|23020
3099|6720
11073|4683
868|5753
10256|8315
123169|7319
8726|10801
8726|1198
23263|23451
5395|63967
56957|27338
409|5518
2185|309
4085|6189
6045|7528
7014|23499
7428|6189
847|3295
5609|9479
11124|10196
3912|43
7415|118
5590|842
2064|983
3276|1153
23411|367
6310|11030
4734|6500
7453|7453
28996|28996
9282|29079
5591|1147
6601|7251
23043|23287
54107|351
60485|26524
2192|10252
4000|261726
5599|23411
5300|55201
5245|1627
5747|10273
83547|83547
7013|4171
4983|5879
1457|3014
9531|4175
65057|1627
5310|9564
7155|983
638|10385
5292|6502
4091|1487
3603|3801
9440|7157
79885|10049
1457|3065
581|255488
8452|8883
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
664|7052
3643|8878
1386|10972
4791|6500
10629|27097
148281|8567
10010|9546
10987|1153
1956|92609
4790|801
9653|128869
6199|3303
51547|2186
10533|23411
408|1213
8569|79155
23512|3983
5595|6667
3312|7416
4176|4176
5879|7410
10075|32
4088|5371
8891|8531
672|8367
8726|5879
5496|55696
7428|1291
1017|7415
408|498
998|4294
2118|2629
4792|5610
4952|1213
65057|51119
26272|26272
5914|23512
1365|5566
4211|5090
4609|8878
9572|351
8394|9369
5604|2887
4869|3956
10381|55023
8452|83695
4193|6872
2355|3925
928|961
3299|3297
6045|23020
5580|846
5970|9131
2317|10540
1432|8841
5108|54464
3556|3654
121504|142
5499|1454
23512|6045
5603|4216
1020|55083
4086|4853
6714|367
64858|25913
149428|23557
4087|93649
648|4830
2885|5500
7014|5352
4163|54205
7531|23476
128|351
1029|598
9092|9939
3320|405
1936|1937
7528|1387
6792|23499
3801|91949
6275|331
11124|1650
27|10152
515|7189
51026|5119
522|539
1984|6386
9531|4678
10600|2353
6883|9913
2309|5884
8450|808
9252|1387
10664|351
9545|351
4088|57680
5693|5683
3661|3843
5058|5879
4627|1601
3476|22948
23126|10459
2782|2534
4665|6602
7014|4176
1545|54490
8841|11331
23481|23481
23054|1387
4609|9968
5170|5604
10419|121504
7186|2081
3476|4282
4193|6597
8767|8517
65057|677
7159|301
5925|3065
1017|539
4292|4728
2932|367
373|7324
3399|10817
1457|9646
1616|4629
11091|23309
7319|966
4791|5537
5792|8301
672|2316
5925|996
4087|6601
1948|8892
1956|808
23414|5928
5515|4215
4194|351
3315|3476
509|514
3661|3815
1499|6500
8751|23636
3066|3301
672|7168
3064|4294
6591|3065
284217|6288
5608|5970
10542|55183
9184|3837
1017|55689
3791|5921
3717|6513
7529|4763
5601|3726
261726|5516
2885|7532
2885|966
4171|3306
3717|5954
4628|4691
10458|10458
6640|128
8841|2874
10131|4089
3312|27000
25942|7468
7917|51548
5058|10174
10114|1616
311|306
6881|6881
1017|2896
7415|81
9531|10174
4792|4792
3066|8359
1017|4171
998|9230
22955|22955
1432|58508
1022|9794
2316|960
1650|6194
79885|3301
10458|10006
10381|2885
25865|4086
4486|7525
4869|2034
3065|9070
80335|11091
2547|7014
22920|9126
3320|26058
7410|23126
1647|4616
192669|26523
3643|3643
4214|387
9577|7157
1956|5753
3516|55031
8440|10458
65018|7052
2309|9181
4597|4597
9412|9282
4686|9775
1956|14
2771|302
801|58533
5204|7716
112398|112398
1017|5604
6548|7132
5683|7415
3661|7187
5928|6602
1499|10498
1760|5894
2074|5424
10159|387
22985|7532
8021|8021
5594|5213
5062|6194
7879|5245
7703|22955
5460|7026
7184|3309
3065|5929
8452|2730
3672|5771
5530|5520
2931|4077
6386|27284
3845|8945
51547|56829
578|7337
3091|6714
989|5966
2023|43
1956|7443
7415|572
54974|51100
26130|22821
7428|6513
1649|1051
9063|3725
996|1026
1956|27
8726|1788
5580|7037
25865|5774
2355|80204
5976|81542
3958|351
4690|6655
11331|6189
3603|7205
54778|7188
9618|1499
3925|5603
1499|4771
5496|7919
4214|2317
816|64754
185|3717
7538|7533
3643|5771
6794|79155
1457|55145
2274|7157
1432|572
7879|5119
8726|7175
7879|9114
2534|2263
55752|7189
5536|10672
2280|1487
51548|3306
1029|3320
9693|3832
6045|801
5501|7187
4216|6711
1201|5591
5518|4869
2010|4000
56957|79155
23363|23363
373|5296
3845|351
8841|7155
57506|6714
836|9191
3832|79718
3956|2969
6829|6827
23236|6711
5518|3312
23411|9611
8850|2547
5747|6714
7528|29844
2321|5335
3717|5782
5501|7171
4609|5601
4000|9031
1387|7157
11034|6280
1540|4646
10253|10252
3480|11331
9611|10155
9577|10342
3655|351
1017|16
2885|26999
6895|9412
26986|6189
334|5578
7324|4214
11104|3320
10013|22919
402|23568
27086|7157
2033|9500
4086|7508
387893|5928
5728|331
1642|5928
4436|8243
8837|4088
57154|10540
5499|6500
5936|2034
54386|6418
4173|8450
7324|4734
7531|6885
23191|3312
1017|1603
5599|3297
409|4691
5742|9536
7001|2956
116143|5499
9968|9968
2241|8503
4087|5601
7014|5424
8943|984
2549|5782
7161|81620
11091|6883
472|6240
2316|4000
5566|5568
1627|85458
6386|8408
8239|9020
3320|16
1390|5578
8837|7157
55681|6189
998|23580
7531|805
10892|7189
3315|81
22882|22882
1457|9049
9146|23636
4163|6801
22985|51755
5395|9131
7415|27338
836|637
498|514
148022|10498
23363|7919
9255|351
8452|23770
51547|54464
5062|6500
1499|604
847|351
7398|7398
324|4646
58508|79813
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8878|5701
8945|10277
11091|6601
509|1956
7015|5371
10014|7529
25942|5970
2908|2782
1965|836
2317|7415
9252|8370
1026|5578
3611|8607
51366|7164
22916|4686
4000|1636
7159|8883
7421|1026
5524|22948
10987|23318
6714|1072
4171|30844
509|5265
65123|58493
2908|5598
353376|51135
29079|29110
1487|3303
185|6714
26060|5590
302|3646
7168|7184
5607|2023
5213|5211
3837|5245
5316|6929
29979|2060
3309|10542
2011|23303
5585|5585
1026|208
3556|5295
9079|51564
