EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
1855|8312
10206|396
5604|8837
5310|87
1432|2004
1432|8945
5469|5469
10014|7037
10672|7046
2624|161882
5879|4627
23405|3329
3915|3912
5335|5921
2885|2887
1499|5494
118|3398
4627|54822
4771|6895
1017|3398
2885|3329
2734|5966
9113|10413
5747|1605
51393|7442
4609|23085
10252|868
5921|309
7412|8775
7157|51741
648|11171
3654|3315
10049|10013
3476|79840
166|55072
10458|55971
2885|6764
6303|8525
6461|6714
6210|79084
4851|5664
2932|8517
2549|5829
1020|351
6714|5295
54583|6478
5871|6416
4627|302
124583|124583
57154|3622
3265|8036
324|8658
4087|23557
10458|55740
5603|7157
5599|6464
3064|83737
5300|4303
6208|6223
8945|51741
7531|678
6478|6774
324|598
10013|22985
6917|2962
10013|4615
83706|79753
8452|7072
3981|1278
1432|4209
6478|8841
208|2623
57154|7186
1017|9113
3065|8360
1147|8717
7337|301
5594|7157
1453|1855
208|9545
4086|58533
10987|9097
7132|8363
6809|6809
3643|5580
1958|6647
444|5154
1432|6774
51366|2932
4824|7089
2185|6774
7132|9093
1432|5371
11315|204851
4790|5607
5581|6868
6777|351
7412|2782
8837|868
2034|2010
1147|9043
10987|7186
2547|3064
6886|2547
3065|2969
5601|9031
3065|7428
5914|23411
8976|4690
5532|7942
8517|396
5606|9479
23263|6194
2353|351
6789|9218
1956|6850
939|56913
1856|8878
3065|3297
10155|5460
7186|10758
166|6733
1017|3146
6050|283
472|10155
5295|1969
408|8361
10755|613
10987|8365
7412|4627
28988|5610
8737|8517
3309|23636
5716|8440
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
3676|3182
3685|7040
23411|4092
3091|613
55294|55294
5467|5970
4214|10049
7412|4691
51741|5914
2316|7532
6907|1499
1855|1499
4436|8517
7187|329
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
7072|5094
5683|5682
10755|5578
1432|1956
6789|23085
208|7249
7412|6223
6774|6778
5829|102
1956|5604
3688|7414
5747|7132
2309|57708
51564|79718
79084|6597
2353|5536
7412|8359
1386|306
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
7428|1856
3676|2316
5970|7412
7428|5580
196|4094
4609|4609
3611|79888
3661|2308
3398|5925
55145|5074
1017|8531
1386|7416
1017|5094
3655|3915
5663|348
3925|5568
9101|6778
409|6714
675|2316
3315|5898
10013|8359
3309|6667
26524|4851
7528|351
4790|8837
1054|1017
2683|3728
7412|3040
7046|4087
1642|6772
5663|7046
5970|595
6772|3654
6714|6778
2885|8365
7249|5747
7157|1958
498|93974
1739|23095
6498|51592
351|4609
1201|51144
8440|23043
7428|9821
4627|8767
10919|6015
6310|55072
57506|6772
5295|3265
5335|6714
56829|351
409|5594
3315|6667
7428|1270
3146|3148
7416|7416
10672|2185
1601|1855
351|4763
1051|1054
6667|23636
10379|10379
57154|2547
3265|8315
408|6093
3309|811
7157|83737
4691|5094
6497|3329
1857|79753
6497|79718
864|4851
10159|23770
51474|55589
8312|7248
4216|5604
6497|4691
2185|309
5609|9479
3912|43
7453|7453
28996|28996
23043|23287
60485|26524
5599|23411
4983|5879
5310|9564
1856|3309
5460|5460
3643|8878
1386|10972
148281|8567
10010|9546
5595|6667
2207|665
4088|5371
672|8367
408|498
998|4294
2118|2629
4792|5610
1365|5566
4609|8878
9572|351
5604|2887
3299|3297
1432|8841
5603|4216
1020|55083
4086|4853
648|4830
128|351
1029|598
1936|1937
9545|351
4088|57680
5058|5879
4627|1601
3476|22948
2782|2534
8841|11331
4609|9968
3476|4282
8767|8517
5925|3065
672|2316
5515|4215
3315|3476
3661|3815
8751|23636
3064|4294
6591|3065
5608|5970
5601|3726
2885|7532
2885|966
3717|5954
4628|4691
10458|10458
8841|2874
5058|10174
1017|2896
4792|4792
3066|8359
2316|960
25865|4086
3643|3643
4214|387
8440|10458
2309|9181
5204|7716
1017|5604
3661|7187
1499|10498
10159|387
22985|7532
5460|7026
3845|8945
3091|6714
2023|43
1649|1051
5580|7037
54778|7188
9618|1499
3925|5603
1499|4771
6794|79155
1432|572
3309|5682
5536|10672
56957|79155
3845|351
8841|7155
57506|6714
6850|2207
3956|2969
23411|9611
5747|6714
2321|5335
4609|5601
1540|4646
10253|10252
8878|444
9611|10155
3655|351
2885|26999
27086|7157
8837|4088
5936|2034
7531|6885
5599|3297
409|4691
7001|2956
9968|9968
4087|5601
5566|5568
6386|8408
8239|9020
1390|5578
8837|7157
998|23580
10892|7189
9146|23636
4163|6801
148022|10498
9255|351
8452|23770
1499|604
324|4646
27086|27086
11128|10623
10013|2932
2734|4792
7412|4628
51366|7164
10987|23318
6714|1072
353376|51135
5607|2023
5316|6929
868|3815
5371|5300
79155|1147
8452|8367
8772|8772
2885|5530
3654|9618
2896|51701
10580|4609
6468|22948
10163|8976
3726|672
57142|6714
7186|8772
4763|9519
5451|351
7132|5879
6647|55681
672|5970
51592|8861
3676|9218
4860|7157
5058|6615
3297|4831
3654|8772
253980|387
2353|2962
6464|6223
8452|51119
3315|7157
8613|351
3064|2885
5295|153090
6208|351
51741|26999
5598|7531
8525|3265
166|166
6648|7001
23557|8943
672|6597
329|329
2277|8754
3676|4282
3676|3146
8878|9611
29110|498
10458|26999
1956|7531
5594|5925
11124|11124
2023|3066
1130|9968
10155|6778
2885|5747
90780|207
5781|2185
3065|7431
5599|3725
604|6597
4163|8517
1956|8892
2534|4690
219771|79084
5610|5610
28996|8717
409|6772
648|6733
5530|998
3146|5578
10253|2885
5871|7186
28996|3065
1027|7531
10787|4690
9474|8772
4087|4090
51564|6907
2034|11331
1454|8312
4609|128239
23162|9479
1540|7189
23263|6210
4221|4221
5871|2547
55294|4644
302|351
2889|2885
57154|7431
3309|7186
3065|5914
6733|79576
10766|10766
7067|8841
351|1191
4218|7037
2549|6464
91|57154
3309|3398
2023|6885
8517|5515
408|8360
7132|8366
6667|9846
4690|323
10014|5094
55366|22985
4790|7528
8315|8315
10783|10783
2335|5683
6478|51196
7057|7422
10342|6714
3309|4691
4627|7126
7186|7531
11124|3611
7189|56957
8945|3182
9451|9451
10987|5580
8312|28996
7205|5747
10987|6194
1540|10013
51026|998
6667|5599
5074|5371
1386|3875
5911|9448
5058|961
3329|3688
5664|320
79594|207
5728|6386
1017|55636
8452|5610
6774|4086
5581|1832
23705|6386
10987|5052
54602|2534
939|7187
1649|1386
672|9093
5728|5728
7186|8204
9479|5599
9500|9500
5970|9093
10919|7157
1017|10972
8841|4790
83737|5460
4609|23318
5300|6647
3725|408
5530|572
6774|3066
2969|4792
1030|8099
4089|4790
114609|5610
8625|11331
7132|8367
23414|3065
29110|3665
7188|4217
672|1874
409|4214
5594|7132
4609|3066
4055|9618
207|6789
7046|9043
3309|5728
5581|7416
7532|5295
1386|22948
79084|4086
4683|2956
7186|9821
10725|5335
1072|5052
1956|5594
5300|2280
4088|1601
9611|2874
80762|5728
5295|3717
2004|5204
2768|5578
51701|51701
5460|3146
5664|6717
2623|3065
4627|81844
324|1454
7132|7187
1936|5716
2734|4790
153090|207
8878|1500
54106|81622
5300|1642
7428|2896
8751|6714
4780|10155
4214|6208
2004|2885
8452|22948
6885|9448
3295|6648
2625|5469
9093|10498
3815|8651
868|148022
1432|6464
7178|7178
1386|7532
6774|5970
4691|7416
10014|4830
6722|5970
2889|6574
7048|7189
3065|4609
6497|23411
409|6733
8829|8829
8737|54476
4824|10116
10987|6464
1454|4040
2023|8767
1936|5295
2885|8366
11331|6210
10342|5603
3676|5568
10658|351
54106|7096
672|2969
8204|10014
6667|4609
8452|488
3065|8362
8945|25937
409|7531
6223|351
1856|387
3655|6464
26524|7532
7132|8294
10758|7335
7132|5295
6194|7428
2064|6774
396|6714
3579|23770
8452|7431
23390|5295
4790|1191
4609|2956
4217|11315
10626|351
6275|6275
2335|4691
4286|2353
1499|3065
10919|4690
5728|7157
10155|51592
3676|7531
3065|8367
389|7189
7337|302
1072|2023
6615|8945
5594|3845
10342|25836
2534|3815
5058|572
8452|23636
6210|9020
51119|7419
207|5578
7430|9368
2885|302
10935|5720
8452|8531
10049|351
9821|6497
54476|7100
408|55681
4088|2547
811|351
5829|2185
323|538
5058|7431
10848|10848
207|25998
55366|56957
5335|2885
5580|7431
1230|1969
1051|7157
2768|9826
5154|6667
23054|22976
1739|4215
51741|3315
10014|8364
7430|8767
55366|23513
6714|3815
3064|3708
10987|351
4089|5898
51026|966
5601|207
5594|6464
5578|7431
2309|1499
5830|5828
1147|5970
2734|5970
5598|7157
409|1072
2534|3655
1147|8239
84168|5609
672|405
2205|2207
1017|2950
572|665
1642|10987
11315|8772
23043|6885
1969|7046
4853|3516
26999|10163
10987|8364
1601|7048
4691|55681
5204|10342
2885|10342
2335|11331
595|896
7050|3725
23236|5594
6714|868
5728|5608
10755|54910
208|4486
7531|9846
3064|1499
7412|6194
8795|80762
79084|4824
79594|79594
4792|5300
4088|23592
4609|8985
5598|5371
7531|7040
10987|6597
4215|8359
51564|51564
4830|4830
10014|6885
4048|23411
3315|5568
3685|7057
5530|5728
648|8531
121504|3309
3661|10522
2353|5300
5581|581
2898|6386
6885|23085
1432|9564
4792|26259
4089|5268
324|6801
7337|5914
6850|7189
9270|351
4204|6497
3265|51196
351|1072
5578|7157
5300|1017
6772|58533
10758|7189
9821|4217
5594|3091
5594|2950
10498|6597
23263|23405
7412|7334
5595|7421
4771|9368
5587|3725
10580|5747
3665|10155
4609|4780
2316|2778
10488|6890
1017|302
324|1936
5911|5911
1956|7186
51741|3728
3516|8473
396|3182
861|861
10818|10253
387|5566
10487|10487
6714|7430
7531|9181
7412|7072
5599|56940
5300|5914
9146|10174
391|4089
5868|5868
51026|27032
26524|324
1856|79753
7531|8239
1017|3925
4087|3665
1605|5295
1017|675
9611|861
2308|23411
3315|5566
9146|10919
1601|1856
648|4691
4771|6386
4088|57669
491|5578
1017|5595
57154|6210
4092|10413
8717|8737
2782|4215
10672|9826
8517|10892
10580|8751
4609|7157
7189|998
10013|8239
1453|1499
10783|10935
51474|3956
4163|9255
3065|10155
5566|9218
5796|5829
7157|3146
11186|7132
4296|5604
1029|4691
5604|5604
3875|10049
3064|4790
22900|57680
4296|5300
6885|8517
5581|6774
3654|9500
28996|7089
9146|7422
2022|7043
4644|5873
51196|5333
8613|8613
1017|7414
83737|2885
6015|7157
309|7416
207|208
11326|4763
51701|4303
3065|57708
148022|7189
6416|83737
648|9968
8517|7178
7412|7414
387|5879
5601|5601
5594|5970
324|6275
9218|6210
11124|8359
4609|79084
5566|6223
1017|4646
5682|7337
1500|1454
10155|8517
488|8717
4215|3654
1856|5578
5566|6722
1017|811
4609|7531
4087|1855
4088|10010
11331|5970
8567|8567
2736|6497
7412|8362
4088|672
4831|4831
9618|4627
6929|7421
5598|3728
128|405
1454|1855
3725|4209
2335|3309
3725|3065
5395|2534
64783|7536
23411|3066
10818|2549
5621|5621
8878|5580
207|8915
166|2885
1386|4292
5829|57630
408|1909
396|5578
2768|351
6647|7335
7412|6208
861|5371
8767|8915
1027|7532
2335|8773
3676|8368
3611|5058
27086|93986
2316|5966
7161|10413
613|9846
23405|23411
7057|811
498|9255
2885|5921
4628|4628
4824|579
7001|351
598|23770
3661|8651
5295|5921
6868|1739
5460|6223
9821|5747
3299|5307
2534|868
2054|6857
10114|8772
8239|1499
55740|5594
6714|7157
472|7189
4217|6885
10155|382
60485|9113
26277|23154
7430|5954
1958|5307
1958|3725
2023|309
5176|5566
3329|498
868|5295
408|1856
5609|4217
5536|5536
7189|6714
3676|8294
10787|10163
23236|2776
10758|10758
4780|4778
1017|3148
23542|5606
22821|351
2885|2316
7419|11331
5970|5451
3397|2626
23162|5604
7431|1936
208|2309
6498|9611
4609|1051
6778|6778
896|351
8452|56829
4215|4646
5578|7532
2885|9564
5898|5333
11315|57669
3643|5578
896|7249
2547|7178
2624|5371
3066|8361
1029|6667
1739|320
7531|8359
613|7157
5604|5595
3064|5295
2889|4690
121504|4214
3685|1969
2885|5654
8452|8364
29072|7157
8517|10616
1278|2335
7337|5660
4214|6416
6874|6874
1845|1956
5682|11047
4209|8751
23139|7186
57154|4615
5925|6670
4088|1499
4771|5058
5074|5074
4790|1499
6615|3065
2335|506
8717|7186
613|5879
1020|3925
5371|8841
5058|57154
1956|29110
836|836
4218|5871
3280|7089
1017|6714
6464|302
4646|7132
51474|22800
4091|57154
5291|5728
4790|29110
2626|5469
6623|5599
1020|4209
5796|5797
7412|11331
4214|8361
1936|5603
5371|6772
1855|83737
11120|8879
408|554313
23043|6648
55072|55072
79840|79840
8452|604
5830|949
8239|8517
648|55083
1499|4221
6667|7040
4616|5608
4627|3728
5599|3726
57506|7186
9611|7376
3315|3925
1020|87
55971|7157
5595|6868
1601|153090
3981|2950
2023|811
1956|8893
10152|51741
1147|4792
3643|55715
672|196
196|6714
114609|114609
3398|5599
240|23405
10987|7205
10580|5829
5608|5608
6801|3315
121504|4215
6670|7402
7186|7716
5601|23542
1051|5598
2277|57448
9618|4216
4087|4091
1017|3309
23770|5530
1454|8313
301|5581
6714|22920
7157|6794
7423|7423
3676|7037
2782|2776
4087|7178
2889|6714
1510|1510
7157|8878
3726|6303
6015|7528
28996|6478
7189|7430
2969|2547
3309|4690
5720|5720
2064|5781
5578|7037
8452|55342
6647|11034
5610|7188
8452|2010
3476|8239
329|1956
472|8546
3267|54476
409|302
5966|8239
9218|351
8985|8985
5796|5796
5970|3066
6886|6886
3309|5603
2534|836
166|2623
2885|2934
5879|998
5595|5599
10818|10580
694|3276
5914|8841
868|5781
7412|8370
7337|6647
7157|5371
3661|3661
1956|3309
207|6886
2885|5716
4831|2280
351|43
3276|7189
10755|87
309|7419
9564|5829
9821|8567
2782|5058
6464|2889
55715|5921
1738|8945
4087|8239
7186|79594
10206|8517
396|5566
1017|2308
5663|7001
7431|57120
5829|613
7050|5371
1956|51564
3925|5058
1072|4831
4615|7100
595|8841
2932|7428
4486|6714
2932|4853
4437|56957
3065|10919
1386|2335
23414|3066
6885|5536
340061|340061
8473|8473
7157|9611
4609|8036
2353|4775
7161|3066
4792|329
6468|5683
4627|5074
8861|5925
5728|4628
9218|7416
2534|9826
8878|3091
8408|8408
2885|1729
7157|10848
9821|54778
6670|6772
648|51474
5451|7067
8945|11186
3688|5581
2885|5660
3676|3688
7157|604
6223|7419
7132|7186
4088|51592
207|9479
10782|2885
408|8364
2023|7416
1832|3875
2534|1500
4216|4216
2321|5747
3717|2185
6310|51701
9372|1499
3685|5594
6464|87
2885|2885
1540|84231
491|1739
9846|207
498|5603
4214|4628
2280|4092
7528|6929
6284|7414
1017|4628
7337|1739
9935|2353
10062|5914
8517|5204
2316|85458
3654|6774
8416|351
208|836
23770|11047
613|8440
7186|84901
6733|80829
5682|253980
2885|8367
1454|8239
6885|8361
6885|6416
1390|6874
324|54764
23513|4163
10987|5936
5058|90
4090|4221
4296|6416
7412|3956
11326|5609
5598|6929
8773|9341
6907|8359
1191|1191
3265|10522
3065|4824
2004|4690
57045|652
3516|351
6597|3516
3675|8754
10580|2185
4615|5052
4851|3065
4627|6275
4790|5451
10919|5371
3643|3665
5578|998
9218|6890
7067|8204
5581|5581
6789|9113
6667|896
2064|23542
10987|9451
5898|5515
51701|6774
5781|1499
26277|10626
648|6597
