EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
1855|8312
10206|396
5604|8837
55366|23310
56254|51322
1432|8945
55294|29079
5469|5469
10014|7037
10672|7046
26227|2885
6602|64599
396|226
23081|3065
5879|4627
23405|3329
10933|3837
5335|5921
672|2355
2885|2887
1499|5494
3275|6256
6729|6729
7879|57403
22955|8467
9146|90390
6871|10025
10987|8607
2288|10728
84661|10565
5499|5568
7319|1029
4627|54822
51194|1810
1017|3398
2885|3329
3065|6883
6601|5978
1786|53615
7157|2648
2734|5966
9113|10413
4090|23451
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
5921|309
86|79718
5747|4193
7157|51741
14|10076
960|573
5467|8202
648|11171
3654|3315
996|996
1213|4790
9612|8202
5970|8986
3476|79840
166|55072
10458|55971
2537|351
5566|1385
2885|6764
4851|5664
2932|8517
2549|5829
6714|4133
1020|351
6714|5295
54583|6478
5871|6416
23133|55183
26524|7533
5130|9025
124583|124583
57154|3622
3265|8036
1017|6120
324|8658
23411|5906
57332|57332
4087|23557
10458|55740
1213|409
5599|6464
3064|83737
51377|7295
8945|51741
7531|678
6478|6774
5579|960
324|598
10013|22985
25855|351
30827|80335
10013|4615
5747|4678
3981|1278
10856|29110
10014|3837
8766|3064
1432|4209
6478|8841
6102|1454
10987|56254
3476|53615
2771|5581
4086|2648
57154|7186
4088|6601
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
3301|4790
1786|30827
10399|6774
2648|6877
5594|7157
1453|1855
226|226
4831|10856
4086|58533
10987|9097
10006|5296
3667|55023
2132|2132
1432|6774
51366|2932
81542|7295
4824|7089
1788|130557
8726|8289
7531|3983
7132|9093
1432|5371
11315|204851
4038|25861
55366|4297
4790|5607
5581|6868
4193|57154
6777|351
8837|868
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
57634|80314
1810|11091
498|6199
5601|9031
5914|23411
10933|86
29079|8878
3659|4193
83737|51429
8976|4690
29127|4294
6502|997
8517|396
8682|8772
3621|7157
5530|6257
5579|983
5606|9479
3066|83933
9218|5245
23263|6194
6871|2648
2353|351
6789|9218
7013|28988
1956|6850
9063|9063
8751|7525
1856|8878
3065|3297
23291|10413
10155|5460
7186|10758
396|637
5052|51
112869|9910
472|10155
5295|1969
26227|6453
5966|6500
10755|613
23433|57120
166|11030
4830|983
1616|3276
8737|8517
3309|23636
672|23512
5716|8440
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
6879|2118
3685|7040
23411|4092
11091|51562
3091|613
3065|2737
55294|55294
5467|5970
5829|84661
51741|5914
2316|7532
367|4193
6907|1499
1855|1499
9063|2908
1385|6722
4436|8517
5290|6772
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
8850|10629
23291|7832
1017|57591
10755|5578
6464|7175
1020|7917
6275|23774
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
6789|23085
6944|3276
1956|5802
54764|57332
208|7249
1487|93986
7494|2648
5829|102
1956|5604
7431|11143
5747|7132
2309|57708
23291|2737
11143|27154
79084|6597
2353|5536
1540|142678
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
409|10381
10765|6601
11091|9219
10919|9219
396|1967
196|4094
4609|4609
3611|79888
3661|2308
3398|5925
6272|10542
55145|5074
2624|6500
5879|10928
53615|3725
1017|8531
27005|9101
1642|4926
2908|10013
5663|348
7335|331
8440|23522
3925|5568
409|6714
6879|6879
675|2316
9516|29979
3309|6667
26524|4851
7528|351
4790|8837
56943|56970
5295|2033
123169|6879
9070|2033
5224|5223
1147|5499
2683|3728
7046|4087
1642|6772
23543|3202
9252|2908
5663|7046
5970|595
93986|116113
5469|29079
6314|3912
6772|3654
8820|9612
1027|1019
10459|51343
7249|5747
7157|1958
1487|9063
498|93974
1739|23095
6498|51592
351|4609
4851|5928
5727|2683
54541|55183
8440|23043
6045|57332
1385|3066
7319|7319
4282|54984
51111|51111
23291|1213
4627|8767
10919|6015
1499|8850
6310|55072
57506|6772
5295|3265
5335|6714
409|1019
409|5594
3315|6667
3611|2746
7416|7416
861|1387
4085|4085
8726|1072
328|1642
56970|8464
11130|9183
1601|1855
351|4763
2885|6237
6667|23636
53615|80312
5906|396
3265|8315
10728|2065
8202|1147
408|6093
23476|9440
23512|10397
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
6497|3329
1857|79753
79813|83852
1385|1051
10075|1738
6497|79718
864|4851
10159|23770
1627|667
4976|664
4000|4926
8312|7248
10933|672
4216|5604
10413|7533
22800|5900
3099|6720
123169|7319
23263|23451
6045|7528
5609|9479
3912|43
2064|983
23411|367
6310|11030
4734|6500
28996|28996
9282|29079
5579|5601
23043|23287
54107|351
60485|26524
5599|23411
5300|55201
5245|1627
83547|83547
4983|5879
65057|1627
5310|9564
7155|983
2132|6623
4091|1487
9440|7157
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
3643|8878
10629|27097
10010|9546
9653|128869
408|1213
23512|3983
5595|6667
5879|7410
4088|5371
8891|8531
8726|5879
408|498
998|4294
2118|2629
4952|1213
65057|51119
5914|23512
1365|5566
4211|5090
4609|8878
9572|351
5604|2887
5579|7037
10381|55023
4193|6872
2355|3925
3299|3297
1432|8841
5499|1454
23512|6045
1020|55083
4086|4853
6714|367
4087|93649
648|4830
382|5226
7531|23476
128|351
1029|598
7528|1387
6275|331
51026|5119
9531|4678
10600|2353
6883|9913
9252|1387
10664|351
4088|57680
3661|3843
5058|5879
4627|1601
23126|10459
2782|2534
4665|6602
8841|11331
23481|23481
4609|9968
5170|5604
3476|4282
4193|6597
8767|8517
65057|677
5925|3065
2932|367
373|7324
7319|966
672|2316
5925|996
4087|6601
23414|5928
5515|4215
4194|351
3315|3476
3661|3815
1499|6500
8751|23636
3066|3301
3064|4294
6591|3065
5608|5970
10542|55183
9184|3837
1017|55689
3717|6513
5601|3726
2885|7532
2885|966
3717|5954
10458|10458
8841|2874
7917|51548
5058|10174
10114|1616
6881|6881
1017|2896
9531|10174
4792|4792
998|9230
22955|22955
1432|58508
2316|960
79885|3301
10458|10006
10381|2885
25865|4086
3065|9070
80335|11091
7410|23126
3643|3643
4214|387
9577|7157
8440|10458
2309|9181
226|2739
1956|14
112398|112398
1017|5604
5928|6602
1499|10498
10159|387
22985|7532
8021|8021
5594|5213
7879|5245
7703|22955
5460|7026
7184|3309
3065|5929
3845|8945
3091|6714
26130|22821
1649|1051
9063|3725
8726|1788
4690|6655
54778|7188
9618|1499
1499|4771
6794|79155
1432|572
7879|5119
8726|7175
226|6648
5536|10672
2280|1487
51548|3306
9693|3832
4216|6711
2010|4000
56957|79155
373|5296
3845|351
8841|7155
57506|6714
3832|79718
23236|6711
23411|9611
5747|6714
4609|5601
4000|9031
1387|7157
1540|4646
10253|10252
9611|10155
9577|10342
3655|351
1017|16
334|5578
7324|4214
402|23568
27086|7157
2033|9500
387893|5928
5728|331
1642|5928
8837|4088
57154|10540
5499|6500
5936|2034
7324|4734
7531|6885
1017|1603
5599|3297
116143|5499
9968|9968
4087|5601
11091|6883
2316|4000
5566|5568
1627|85458
6386|8408
8239|9020
1390|5578
8837|7157
998|23580
10892|7189
22882|22882
9146|23636
4163|6801
836|637
148022|10498
9255|351
8452|23770
1499|604
324|4646
58508|79813
27086|27086
10013|2932
2734|4792
11091|6601
2908|2782
3611|8607
51366|7164
10987|23318
5170|5579
6714|1072
2908|5598
29079|29110
5213|5211
3837|5245
5316|6929
3309|10542
2011|23303
5585|5585
868|3815
10629|6874
5371|5300
79155|1147
8772|8772
23326|27097
2885|5530
3654|9618
2896|51701
6874|6877
10580|4609
10460|3832
9611|6602
10163|8976
26060|3397
3726|672
151636|3717
57142|6714
7186|8772
4763|9519
5451|351
8452|3251
56943|6881
7132|5879
3163|2908
672|5970
5906|3065
51592|8861
10856|6502
4860|7157
2885|6294
648|10270
6883|8467
5058|6615
3297|4831
7157|1487
3654|8772
23295|4734
253980|387
8452|51119
6929|8295
3315|7157
5908|9757
8613|351
8607|6944
6850|5296
4086|9862
3064|2885
5295|153090
1385|818
8726|4627
6199|3276
5598|7531
8525|3265
4088|8850
166|166
2033|7392
8452|22836
6648|7001
23557|8943
79577|1499
4734|6198
672|6597
329|329
2277|8754
6045|10527
27429|4976
6881|2648
6601|6872
5289|1627
8878|9611
4193|23451
29110|498
5287|6464
2033|4094
1956|7531
54556|3309
7295|23636
5594|5925
10856|9020
54872|351
5728|1399
51141|29979
11124|11124
5204|10629
1487|5058
1130|9968
6500|8517
2885|5747
90780|207
1017|7533
3065|7431
5599|3725
604|6597
9646|10579
29079|10540
1956|8813
54623|9646
4163|8517
1956|8892
5733|8893
10856|10902
2534|4690
219771|79084
28996|8717
54880|84759
6929|2033
409|6772
1956|2771
5530|998
10253|2885
7319|23304
5871|7186
28996|3065
3065|5087
1027|7531
10787|4690
9474|8772
4087|4090
207|5579
4628|8766
9612|1051
8036|10075
4843|10728
23133|5914
2034|11331
1454|8312
4609|128239
23162|9479
1540|7189
4221|4221
7879|8766
1627|3728
84447|4627
8726|1936
207|2033
55294|4644
2889|2885
2889|6655
2534|27154
57154|7431
3309|7186
3065|5914
10766|10766
7067|8841
4193|79813
2549|6464
91|57154
6199|4076
4092|4734
6722|9252
3309|3398
7184|9255
4086|8850
53615|8467
9025|10600
8517|5515
10075|3066
1213|7132
6453|5204
1642|6502
2932|23451
9968|29079
6667|9846
2033|208
4690|323
55366|22985
4790|7528
8315|8315
10783|10783
6478|51196
7057|7422
10342|6714
64786|5868
4627|7126
367|10399
7186|7531
11124|3611
4734|1020
7189|56957
8945|3182
1032|595
9451|9451
9967|9969
8312|28996
7205|5747
10987|6194
1540|10013
6256|406
4088|9862
51026|998
6729|7518
6667|5599
5074|5371
5911|9448
5058|961
3329|3688
5664|320
79594|207
5728|6386
2033|5371
1017|55636
6901|4041
6774|4086
10159|8766
54556|6502
10628|3065
4830|6095
10987|5052
675|79184
2131|2132
54602|2534
8841|5087
23411|6720
3667|5291
672|9093
5108|10458
3621|3066
7532|5289
1385|9063
9252|4790
10062|54556
581|331
2648|4830
5728|5728
4170|8658
3275|30827
7013|396
7186|8204
9479|5599
4627|64428
7013|1936
9500|9500
5970|9093
51429|51429
23186|23028
7013|4926
10919|7157
10919|58508
8841|4790
9913|9440
83737|5460
10006|1399
5499|25998
4609|23318
3725|408
5530|572
6774|3066
1627|4644
54984|7013
4089|4790
10006|868
5578|7832
8625|11331
408|7533
23299|23299
1019|3832
23414|3065
7188|4217
8452|23451
79577|58508
6722|80314
409|4214
5594|7132
4609|3066
29127|51773
4055|9618
367|8204
10381|7018
207|6789
51720|79184
7046|9043
4193|51548
3309|5728
5581|7416
7532|5295
4851|9253
79084|4086
2033|3516
7186|9821
1072|5052
1956|5594
5499|8493
3837|9862
1387|1385
5300|2280
3611|8813
23633|3838
4088|1601
4297|5364
4170|637
9611|2874
80762|5728
5295|3717
2768|5578
51701|51701
4843|9093
22882|5604
5664|6717
26060|367
7337|7324
23542|10939
23560|23212
54556|57634
23291|8517
324|1454
10270|10856
27097|6871
8085|367
1936|5716
2734|4790
153090|207
8878|1500
473|2033
1627|818
79631|573
6198|983
10928|92
1017|3832
54602|4734
64428|351
23429|7528
10051|3981
1017|6711
5300|1642
8751|6714
10856|26060
3726|334
23326|6871
6885|9448
3295|6648
8766|9727
2625|5469
207|8682
9093|10498
3815|8651
868|148022
8788|5664
1432|6464
6774|5970
7013|55971
10014|4830
6722|5970
2889|6574
7048|7189
3065|4609
6497|23411
8829|8829
10494|6801
4824|10116
7186|7295
10987|6464
7132|5579
1385|7157
1454|4040
8850|8295
29979|51499
10540|81929
1936|5295
5781|79577
595|996
9564|1399
196|9612
10658|351
7186|7525
54106|7096
5289|10155
9612|8841
8204|10014
6667|4609
8452|488
5170|3611
8945|25937
2065|7410
409|7531
5585|7186
1856|387
5130|6284
3655|6464
5733|657
1856|7525
4194|2033
3720|10919
26524|7532
8945|4193
5525|8313
10758|7335
23411|22933
7132|5295
2064|6774
396|6714
1387|604
1385|6196
7525|9846
3837|3838
8452|7431
23390|5295
26060|3065
6314|9913
4217|11315
8202|57591
4193|10206
7157|23481
10626|351
23049|8607
6794|1967
5025|23534
2316|5499
6275|6275
1499|3065
1387|672
10919|4690
5025|9653
10075|5423
7048|1616
5728|7157
10155|51592
8467|9031
9918|64151
389|7189
3925|54984
1017|7175
6615|8945
5594|3845
10342|25836
5728|8503
328|382
2534|3815
5058|572
10592|3065
51562|2648
8452|23636
51119|7419
207|5578
8452|8531
23411|406
7703|6015
7703|6045
9821|6497
27429|9113
408|55681
811|351
23028|53615
55696|9092
8726|3148
323|538
55600|55600
331|836
5058|7431
5579|55072
10848|10848
10499|3091
2534|23028
10919|1487
23429|6500
207|25998
6883|9219
5908|11124
8697|983
55366|56957
5335|2885
1051|7157
2768|9826
54623|56254
23028|6883
5154|6667
1739|4215
51741|3315
55201|567
4000|1499
55366|23513
1786|83852
6714|3815
3064|3708
10987|351
1601|1213
4087|4976
2045|2782
51026|966
5601|207
10592|7030
5594|6464
5578|7431
4000|4000
2309|1499
334|5601
10856|2885
1147|5970
2734|5970
5598|7157
55715|23028
394|5829
409|1072
23028|6880
2534|3655
1147|8239
5525|6464
672|405
1017|2950
572|665
1642|10987
5119|5119
8473|1399
6500|997
5595|8021
11315|8772
5585|5929
23043|6885
2931|1495
7879|1072
1969|7046
4853|3516
6256|6602
1627|4771
51562|9670
1601|7048
6045|2734
672|7013
5204|10342
51548|10592
6453|8867
2885|10342
3065|8467
5991|5991
1213|7532
595|896
7050|3725
23291|51366
23236|5594
6714|868
5728|5608
9500|23633
10755|54910
8850|8464
7531|9846
3064|1499
8607|8467
8795|80762
79084|4824
79594|79594
3725|667
9219|3066
1119|351
29079|23085
4792|5300
4088|23592
7324|79594
10075|1936
4609|8985
5598|5371
8945|9612
7531|7040
2889|5908
10987|6597
116113|4830
7013|57680
23512|8467
8301|55589
4830|4830
10014|6885
4000|23633
3476|5579
4048|23411
3315|5568
54556|10856
27005|10616
6794|2011
3685|7057
5530|5728
6237|5900
6929|7391
649|8646
648|8531
6601|86
3064|51100
10783|6198
58508|11091
3661|10522
2353|5300
5581|581
2898|6386
6885|23085
1432|9564
79577|1788
30827|84661
25796|3612
207|367
7335|22954
207|4194
4089|5268
2908|7337
324|6801
7337|5914
6850|7189
7334|331
4204|6497
3265|51196
351|1072
5578|7157
6502|7528
4088|79595
5300|1017
6772|58533
10758|7189
9821|4217
54820|983
2771|3837
5594|3091
5594|2950
6872|8295
7319|4193
4824|5928
10498|6597
6502|1017
23263|23405
5296|351
8766|9230
5621|55696
4843|6500
5728|10381
23476|23210
5595|7421
8089|9025
8452|11091
6272|1967
10939|351
6199|1072
11091|29127
4771|9368
5587|3725
10580|5747
8452|6877
10025|6257
57332|8531
23291|57680
2316|2778
324|1936
5911|5911
1956|7186
51741|3728
7525|23299
3516|8473
396|3182
3832|4297
5733|51738
1432|8850
861|861
2997|351
10818|10253
387|5566
10487|10487
7531|9181
80335|9757
5599|56940
2033|11171
23543|29117
3622|6601
8697|6874
5300|5914
9146|10174
391|4089
1810|112869
10987|10399
983|3832
5868|5868
51026|27032
4690|8646
26524|324
1856|79753
7531|8239
1017|3925
