EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
6631|9775
5300|81628
51755|6434
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
5310|87
55366|23310
5110|7077
6259|5591
1432|2004
10664|3146
11051|3066
4343|8237
1432|8945
55294|29079
7917|84292
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
2624|161882
396|226
5501|351
5879|4627
3309|27000
23405|3329
3915|3912
5335|5921
9516|23327
7529|3831
5894|598
4869|498
1650|3703
1019|1457
672|2355
2316|71
2885|2887
5159|4040
1499|5494
3275|6256
11051|55696
6729|6729
7879|57403
22955|8467
9146|90390
513|509
2288|10728
84661|10565
5499|5568
7319|1029
6423|10296
1676|9958
118|3398
4627|54822
22976|10111
4771|6895
6492|3320
1017|3398
2885|3329
10419|291
4734|6189
1660|23405
7157|2648
2734|5966
9113|10413
4090|23451
4629|10096
6733|7957
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
8233|23451
10938|5591
7415|51366
5921|309
5747|4193
7157|51741
4700|4722
3178|2969
14|10076
6045|55759
960|573
5467|8202
648|11171
3654|3315
7532|8451
996|996
56897|5424
7415|1019
1213|4790
54778|7508
5501|7415
1647|983
9612|8202
9218|4720
8451|8467
10049|10013
7874|7874
2023|3187
3476|79840
26574|1613
166|55072
10458|55971
2537|351
3621|5931
5566|1385
2885|6764
3320|5871
54984|7430
5062|5683
6303|8525
6461|6714
7157|5110
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
4778|5195
3171|1832
6714|4133
1020|351
27316|51340
4343|2202
5516|3476
10325|64121
5333|801
6714|5295
54583|6478
5871|6416
2063|2063
26276|351
23133|55183
4627|302
23363|4361
26524|7533
5130|9025
4221|25942
124583|124583
6631|10498
57154|3622
3265|8036
10014|27316
1017|6120
5747|4756
2040|2040
324|8658
23411|5906
10488|638
4087|23557
10458|55740
1153|22938
3717|3320
1153|51747
5603|7157
1213|409
5496|3925
5599|6464
8452|4722
3065|3320
1660|84844
7444|5599
3064|83737
5300|4303
29127|5116
51377|7295
6208|6223
1022|2068
2730|3665
8945|51741
7531|678
4899|23126
6478|6774
6045|2317
324|598
635|635
5591|5052
1937|4193
10013|22985
25855|351
6917|2962
30827|80335
10013|4615
83706|79753
5595|6548
79791|595
57154|3178
11218|23405
7415|5245
8452|7072
5108|55081
5245|6189
3981|1278
10856|29110
10014|3837
4869|5501
8766|3064
1432|4209
6478|8841
1153|7094
5701|5693
6102|1454
2771|5581
4086|2648
7957|1967
57154|7186
9099|9361
1017|9113
10163|10096
1147|8717
1051|1387
8452|192669
7337|301
7184|10399
3301|4790
1786|30827
3725|7443
9146|25777
10987|6631
10399|6774
26058|6631
5594|7157
58|5879
4088|3727
1453|1855
208|9545
226|226
4831|10856
1660|23345
4086|58533
2034|56897
4670|6636
10987|9097
22920|55696
23363|3276
10006|5296
10987|81620
6809|6809
7428|23032
3667|55023
3643|5580
23560|6189
23451|51593
23020|23020
1958|6647
4086|655
444|5154
1432|6774
7415|79058
51366|2932
2113|3146
7532|673
514|93974
3958|5781
2113|2908
81542|7295
23291|3791
2935|382
4824|7089
7874|3431
1788|130557
1191|5444
4651|805
2185|6774
8726|8289
57154|5518
156|5603
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
6257|7415
4038|25861
55366|4297
4790|5607
672|79035
6772|3326
5581|6868
4193|57154
6777|351
8837|868
1969|1213
58517|6625
2034|2010
655|657
1147|9043
4218|117177
1831|3065
10987|7186
7874|4193
2547|3064
192670|10728
6886|2547
3065|2969
498|6199
5601|9031
26121|10291
3065|7428
29116|81628
8517|22938
3398|7849
7059|222229
4683|3843
27161|5976
5914|23411
24148|58517
29079|8878
3659|4193
27346|6814
83737|51429
26259|23363
8976|4690
4343|5868
29127|4294
5532|7942
3185|9757
5728|6231
6636|84967
9262|351
6502|997
51593|6434
29890|8237
3320|1019
8517|396
23580|10801
8682|8772
4343|26469
3621|7157
9531|51022
5530|6257
51593|6431
3315|23363
5594|6640
207|23327
26523|8890
5606|9479
64324|2063
29116|7334
9218|5245
23263|6194
2353|351
6789|9218
3801|10540
7013|28988
4869|24148
1956|6850
939|56913
9063|9063
7013|5496
23515|54476
4163|10569
8751|7525
1856|8878
3065|3297
23291|10413
1196|672
7874|23405
10419|84844
10155|5460
7186|10758
396|637
10856|7874
166|6733
1017|3146
5052|51
1956|2274
23512|92609
2081|9097
7529|51599
2335|5976
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
26227|6453
10755|613
23433|57120
9775|11168
5580|6944
23451|4343
4176|7337
28988|5610
166|11030
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
672|23512
23327|79176
5716|8440
5594|1978
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
2335|9775
4616|983
2771|4691
4331|2967
311|4282
5500|3983
4700|9519
2915|6002
1457|1965
1031|55183
3685|7040
7919|9063
23411|4092
509|9551
8450|23348
3091|613
7414|10381
55294|55294
5467|5970
22985|51504
5829|84661
4214|10049
267|23295
51741|5914
5058|10472
2316|7532
7529|10787
6907|1499
1855|1499
9063|2908
60626|2775
1385|6722
1660|9020
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
2690|5780
6733|8726
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
23291|7832
1017|57591
4170|3312
7072|5094
5683|5682
10755|5578
1130|57060
7536|3187
6464|7175
1020|7917
23345|7040
5074|6523
9564|5770
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
7027|1387
6789|23085
51451|5516
8452|8450
81628|79718
6944|3276
10592|25942
1956|5802
22955|8834
1153|26121
84661|87178
208|7249
4700|4724
7494|2648
6774|6778
5829|102
10397|6231
3320|8473
1956|5604
23512|51747
5925|7849
3688|7414
5747|7132
2309|57708
5500|1029
4163|23020
847|6786
3320|1613
267|9131
9092|22938
51564|79718
1660|89941
7023|3148
975|4869
2274|10522
7917|9958
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
2241|2065
409|10381
3831|9043
5610|1660
7428|1856
1969|9525
5516|9448
7428|5580
396|1967
5601|6470
196|4094
58517|6426
4609|4609
3611|79888
7159|3308
3661|2308
3398|5925
6272|10542
1660|3187
55145|5074
3178|3326
207|3178
6733|27316
4343|4722
8945|55759
5879|10928
2334|4690
10131|84844
58|7187
1017|8531
27005|9101
7023|8932
1386|7416
1017|5094
3655|3915
1642|4926
2908|10013
3065|3326
5663|348
7335|331
3925|5568
9101|6778
409|6714
675|2316
578|7416
8452|3308
29110|4670
3315|5898
23368|672
9516|29979
3309|6667
26524|4851
7528|351
3837|267
27161|4720
4343|6522
871|7171
4790|8837
10569|7536
6478|8554
10987|3858
56943|56970
10856|1785
3312|4791
5966|801
5295|2033
3315|9588
118|667
2060|2534
1054|1017
9070|2033
5224|5223
1147|5499
10196|7415
9218|10452
2683|3728
5591|9785
7430|9221
1785|6386
10572|27
7046|4087
1642|6772
10253|10817
23543|3202
1020|3326
5663|7046
23291|55759
5970|595
10181|55183
192669|11331
2885|835
93986|116113
5469|29079
23580|55752
6314|3912
6772|3654
6714|6778
11104|51750
156|31
8820|9612
1027|1019
1020|5771
10459|51343
1191|11130
7249|5747
11168|9967
7157|1958
94|7040
498|93974
1739|23095
25932|5966
7419|509
6498|51592
9775|4089
351|4609
10013|3320
4851|5928
10241|3142
1201|51144
8099|9463
5727|2683
54541|55183
10818|4915
51065|6188
8440|23043
1385|3066
7319|7319
4282|54984
51111|51111
7428|9821
55294|5500
11052|4076
23291|1213
4627|8767
9804|10452
10919|6015
2107|8894
5925|5894
6310|55072
5501|27316
5879|8411
57506|6772
5295|3265
7532|1198
5335|6714
1956|5864
56829|351
409|1019
409|5594
2054|27230
10111|4691
11338|6189
509|7416
1017|7915
3315|6667
2885|6189
3611|2746
7428|1270
4343|375790
3146|3148
3326|7186
7416|7416
861|1387
55612|51119
4085|4085
8726|1072
8021|87178
328|1642
2752|10114
10672|2185
56970|8464
5300|11338
7375|7046
7874|11140
11130|9183
1601|1855
351|4763
2885|6237
409|3312
10165|291
1051|1054
6667|23636
10379|10379
5906|396
57154|2547
11331|11218
7533|1198
3265|8315
10728|2065
149041|7332
3516|7874
1653|1978
8202|1147
408|6093
2023|4643
2335|1655
23476|9440
23512|10397
23236|5591
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
10645|805
79813|83852
1385|1051
5716|3320
3320|1457
3297|5591
4790|4791
6497|79718
22938|51593
3185|23543
864|4851
476|509
10159|23770
472|79035
6272|54840
4976|664
311|7001
4000|4926
9531|3326
808|8717
4869|497661
8312|7248
4216|5604
10413|7533
6497|4691
22800|5900
5932|5932
3716|6774
3312|5217
11052|23020
3099|6720
9804|7416
11073|4683
23210|58517
8726|10801
8726|1198
23263|23451
409|5518
2185|309
4085|6189
6045|7528
7428|6189
847|3295
2734|6207
5609|9479
11124|10196
3912|43
7415|118
5590|842
2064|983
64854|219333
3276|1153
6310|11030
8621|10381
7453|7453
28996|28996
9282|29079
5591|1147
23043|23287
60485|26524
2192|10252
5599|23411
5300|55201
83547|83547
4983|5879
9531|4175
5310|9564
7155|983
5292|6502
9440|7157
1457|3065
7818|7067
581|255488
23363|51593
6259|2049
5581|8682
1856|3309
5460|5460
2885|7010
10010|1213
2885|3983
664|7052
3643|8878
1386|10972
8649|5770
148281|8567
10010|9546
10987|1153
1956|92609
310|7157
4790|801
9653|128869
23435|3320
408|1213
8569|79155
23512|3983
5595|6667
23512|6625
3312|7416
11338|3178
4176|4176
5879|7410
4088|5371
8891|8531
8726|5879
5496|55696
7428|1291
1017|7415
408|498
998|4294
2118|2629
4792|5610
4952|1213
65057|51119
5914|23512
1365|5566
4211|5090
4609|8878
9572|351
5604|2887
26121|6426
4869|3956
10381|55023
8452|83695
4193|6872
2355|3925
928|961
3299|3297
6045|23020
5970|9131
2317|10540
1432|8841
10291|7919
1785|6453
5499|1454
23512|6045
5603|4216
1020|55083
4086|4853
149428|23557
4087|93649
648|4830
9444|92906
2885|5500
382|5226
24148|9967
4163|54205
7531|23476
128|351
1029|598
3320|405
1936|1937
7528|1387
6792|23499
3801|91949
6275|331
11124|1650
29102|4670
27|10152
515|7189
51026|5119
3309|3185
522|539
1984|6386
3276|3178
10600|2353
8450|808
10664|351
9545|351
4088|57680
3396|10476
5518|2303
5693|5683
3661|3843
5058|5879
4627|1601
3476|22948
23126|10459
4343|1728
2782|2534
7428|1282
26191|5159
8841|11331
23481|23481
23054|1387
4609|9968
5170|5604
7186|2081
3476|4282
4193|6597
8767|8517
23363|9221
65057|677
7159|301
5925|3065
1017|539
4292|4728
10291|56950
3399|10817
1616|4629
11091|23309
4343|9146
7319|966
4791|5537
5792|8301
672|2316
10569|22948
5925|996
1948|8892
1956|808
23414|5928
5515|4215
4194|351
3315|3476
509|514
8751|23636
3066|3301
672|7168
79035|6742
3064|4294
6591|3065
2302|5991
5608|5970
10542|55183
351|5864
9184|3837
3791|5921
3717|6513
7529|4763
5601|3726
497661|6231
2885|7532
2885|966
4609|7019
29789|3308
3717|5954
1717|3326
10291|3611
2752|204851
4628|4691
10458|10458
6640|128
8841|2874
10131|4089
3312|27000
25942|7468
5058|10174
10114|1616
311|306
6881|6881
24148|4343
1017|2896
9531|10174
4792|4792
9531|58478
998|9230
22955|22955
1432|58508
1022|9794
2316|960
1650|6194
10458|10006
4710|9804
8726|1660
10381|2885
25865|4086
4486|7525
6310|3308
4869|2034
3065|9070
80335|11091
3320|26058
7410|23126
1647|4616
192669|26523
3643|3643
4214|387
4036|7094
9577|7157
3516|55031
8440|10458
2624|7490
24148|11338
65018|7052
2309|9181
226|2739
1956|14
2771|302
801|58533
5204|7716
112398|112398
1017|5604
6548|7132
5683|7415
3661|7187
7390|2730
1499|10498
1760|5894
2074|5424
10159|387
22985|7532
8021|8021
2023|6207
11193|9184
1660|5970
5594|5213
5062|6194
7879|5245
7703|22955
5460|7026
7184|3309
3065|5929
8452|2730
3672|5771
5530|5520
2931|4077
6386|27284
3845|8945
578|7337
3091|6714
989|5966
2023|43
1956|7443
7415|572
54974|51100
26130|22821
7428|6513
1649|1051
4086|9958
9063|3725
1956|27
11193|23451
8726|1788
5580|7037
25865|5774
2355|80204
5976|81542
3958|351
4690|6655
55669|891
11331|6189
2302|80204
11140|8878
54778|7188
9618|1499
3925|5603
1499|4771
6434|27316
5496|7919
4214|2317
185|3717
3643|5771
6794|79155
1457|55145
2274|7157
26121|6431
1432|572
3178|3858
7879|5119
8726|7175
226|6648
7879|9114
55752|7189
3309|5682
5536|10672
1029|3320
9693|3832
6045|801
5501|7187
4216|6711
1201|5591
5518|4869
2010|4000
56957|79155
23363|23363
373|5296
4790|71
3845|351
8841|7155
57506|6714
836|9191
2071|6421
3832|79718
3956|2969
2113|5339
23236|6711
55366|71
10105|10277
5518|3312
23411|9611
5747|6714
7528|29844
2321|5335
3717|5782
5501|7171
4609|5601
4000|9031
1387|7157
1540|4646
6421|5213
10253|10252
8878|444
9611|10155
9577|10342
3655|351
1017|16
2885|26999
51593|3312
334|5578
3837|6207
11104|3320
4670|5906
1295|57048
2064|3678
402|23568
1655|51747
27086|7157
2200|7040
2033|9500
4086|7508
387893|5928
5728|331
1642|5928
8837|4088
57154|10540
1655|6625
5936|2034
4173|8450
7531|6885
23191|3312
1017|1603
5599|3297
409|4691
5742|9536
7001|2956
116143|5499
9968|9968
2241|8503
4087|5601
2549|5782
7161|81620
472|6240
2316|4000
1660|64783
5566|5568
6386|8408
8239|9020
3320|16
1153|9785
8837|7157
55681|6189
998|23580
7531|805
10892|7189
22882|22882
5159|5728
1457|9049
9146|23636
4163|6801
22985|51755
5395|9131
836|637
498|514
7332|3308
148022|10498
23363|7919
25930|1956
9255|351
8452|23770
1499|604
847|351
7398|7398
324|4646
58508|79813
27086|27086
11128|10623
3320|3178
10013|2932
8726|9221
6257|10621
2734|4792
8878|5701
8945|10277
509|1956
10014|7529
25942|5970
2908|2782
1965|836
2317|7415
6434|8563
51366|7164
29127|51593
5524|22948
10987|23318
6714|1072
6696|3688
65123|58493
2908|5598
353376|51135
29079|29110
2926|7818
57154|3716
185|6714
2071|5725
26060|5590
23451|6434
7168|7184
5607|2023
5213|5211
3837|5245
5316|6929
29979|2060
3309|10542
55696|6431
3178|23435
2011|23303
5585|5585
9079|51564
5371|5300
4292|8930
79155|1147
7529|3983
11284|23287
8772|8772
5894|3301
229|229
2885|5530
3654|9618
2896|51701
10580|4609
5500|1613
10494|5783
4343|11171
10460|3832
373|84919
6468|22948
10163|8976
26060|3397
11140|6294
6840|2040
805|818
3726|672
57142|6714
7186|8772
4763|9519
3308|5928
5451|351
8452|3251
56943|6881
7132|5879
1476|2317
3163|2908
6647|55681
4609|5701
58|7094
672|5970
5906|3065
51592|8861
3315|3187
1647|7917
11331|4343
10856|6502
81929|22948
4860|7157
5496|29079
2885|6294
2060|9146
648|10270
26524|222484
5058|6615
3297|4831
156|824
11338|51755
302|6207
4700|4728
3840|7052
1195|5500
3654|8772
23295|4734
253980|387
23512|10291
2353|2962
6464|6223
673|369
8452|51119
522|93974
6929|8295
4088|1655
3315|7157
5908|9757
