EntrezGeneID1|EntrezGeneID2
4790|79155
154796|7408
26039|6597
57154|3309
6498|7329
5879|23568
6631|9775
261726|5537
9869|121504
5300|81628
51755|6434
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
6477|5932
10801|9217
4914|4292
5310|87
55366|23310
5110|7077
149041|7327
6259|5591
1432|2004
7014|203245
10664|3146
56254|51322
11051|3066
4343|8237
1432|8945
246184|51434
579|7091
55294|29079
7917|84292
5469|5469
10014|7037
7533|5062
10672|7046
1457|10772
26227|2885
6602|64599
6772|7852
1994|23405
23543|6311
595|5000
2624|161882
396|226
55832|1832
5501|351
23081|3065
5879|4627
3309|27000
7514|2308
6733|11035
2074|55832
7412|16
351|2258
2932|9627
9968|9412
10189|2072
355|8837
27159|54820
10921|10197
8775|8675
5936|83939
23405|3329
3915|3912
6262|5500
84687|5499
8914|5111
10933|3837
10905|11253
5335|5921
55729|7532
9516|23327
7529|3831
4985|5578
5894|598
4869|498
1650|3703
1019|1457
672|2355
2316|71
4361|2237
2885|2887
5626|27327
53981|6883
1499|5494
3275|6256
11051|55696
3480|55816
6729|6729
8454|6631
10197|55689
153090|8454
7879|57403
22955|8467
11030|167153
11004|3796
9146|90390
81847|7520
6871|10025
10987|8607
4914|375056
513|509
2288|10728
84661|10565
5499|5568
7319|1029
1994|151636
6423|10296
1676|9958
1734|1734
118|3398
4627|54822
22976|10111
4771|6895
6492|3320
51194|1810
1017|3398
156|5602
2885|3329
3065|6883
10419|291
4734|6189
6601|5978
1786|53615
1660|23405
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
9131|3303
11034|25824
4137|4741
9212|3192
4629|10096
6733|7957
5747|1605
4929|5915
3356|2912
51160|613
2885|10492
11236|3638
51393|7442
4609|23085
5747|273
5501|5111
10252|868
8452|4976
9585|54407
8233|23451
10938|5591
348|56172
7415|51366
5921|309
86|79718
7412|8775
5747|4193
57403|259173
23363|8607
1896|27125
2890|5580
7157|51741
4700|4722
7322|2060
5618|3717
3178|2969
14|10076
6045|55759
960|573
5467|8202
23394|6601
648|11171
3654|3315
7514|23636
7532|8451
996|996
56897|5424
7415|1019
1213|4790
9181|10197
1270|3646
54778|7508
11035|2288
5501|7415
6118|7508
1647|983
4734|7322
203068|4691
1917|9040
6772|9559
841|23774
9612|8202
9218|4720
8451|8467
6198|8667
2645|51291
5582|5587
10049|10013
7874|7874
2072|3014
2023|3187
1951|4690
5970|8986
9978|3312
3476|79840
26574|1613
166|55072
10458|55971
2537|351
8740|8834
26270|3074
3621|5931
5566|1385
55183|7336
1137|29979
23503|29911
2885|6764
3320|5871
54984|7430
23532|121504
57616|60561
2033|2115
5062|5683
6303|8525
6461|6714
3861|10152
3480|3643
7157|5110
5566|5705
6210|79084
355|7329
329|84708
2932|6622
55759|55759
4851|5664
2932|8517
2549|5829
4778|5195
3171|1832
3661|64750
55183|79228
4171|7520
6714|4133
975|27335
1020|351
27316|51340
121504|9682
4343|2202
5516|3476
10325|64121
5333|801
5720|5696
7358|983
6714|5295
54583|6478
5871|6416
57514|7046
3054|3320
2063|2063
8851|351
26276|351
23133|55183
23390|8675
4627|302
23363|4361
6789|259230
4914|7919
26524|7533
3692|7416
5130|9025
4221|25942
124583|124583
4171|4850
6631|10498
6622|55031
7322|115426
6732|4116
57154|3622
3265|8036
10014|27316
27086|23314
10912|51588
1994|387893
1017|6120
25836|5538
5914|6477
51548|2317
3192|79084
23363|4747
2040|2040
324|8658
6934|7520
23411|5906
26747|9201
57332|57332
54464|7538
2146|11059
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
55743|6596
1153|22938
10474|23028
3717|3320
55755|10524
7324|11342
6829|10498
