EntrezGeneID1|EntrezGeneID2
26039|6597
57154|3309
5879|23568
5300|81628
1855|8312
10206|396
5604|8837
5310|87
6259|5591
1432|2004
1432|8945
55294|29079
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
396|226
5879|4627
23405|3329
3915|3912
5335|5921
5894|598
672|2355
3275|6256
153090|8454
9146|90390
2288|10728
7319|1029
118|3398
4627|54822
1017|3398
2885|3329
7157|2648
11060|1605
5747|1605
51393|7442
8452|4976
7415|51366
5921|309
5747|4193
14|10076
960|573
3654|3315
7415|1019
9181|10197
10049|10013
2537|351
5566|1385
2885|6764
6303|8525
5566|5705
55759|55759
4851|5664
2549|5829
6714|4133
1020|351
5516|3476
5333|801
6714|5295
5871|6416
2063|2063
8851|351
4627|302
3265|8036
5914|6477
324|8658
4087|23557
6500|26234
5603|7157
5599|6464
3064|83737
5300|4303
2730|3665
324|598
5591|5052
10013|22985
25855|351
10013|4615
5595|6548
79791|595
7415|5245
8452|7072
3981|1278
10856|29110
2771|5581
4086|2648
57154|7186
1017|9113
7184|10399
3301|4790
23640|7186
10399|6774
5594|7157
58|5879
4088|3727
1453|1855
226|226
10987|9097
6809|6809
7428|23032
3643|5580
1432|6774
23363|7341
51366|2932
7532|673
4651|805
2185|6774
156|5603
7531|3983
1432|5371
11315|204851
6257|7415
4790|5607
5581|6868
4193|57154
6777|351
5048|1641
2034|2010
1147|9043
1831|3065
10987|7186
3065|2969
5601|9031
3065|7428
5914|23411
3659|4193
26259|23363
6502|997
8682|8772
9531|51022
5530|6257
3315|23363
5594|6640
207|23327
5606|9479
2353|351
7013|28988
79654|10892
1956|6850
939|56913
9063|9063
23515|54476
3065|3297
1196|672
1956|2274
6050|283
5295|1969
5970|7052
4193|55967
7415|6500
5966|6500
3309|23636
23327|79176
5716|8440
1832|5663
801|6249
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
311|4282
3685|7040
23411|4092
7414|10381
55294|55294
5467|5970
4214|10049
267|23295
5058|10472
2316|7532
6907|1499
1855|1499
9063|2908
1385|6722
2068|983
1827|7189
4728|11331
7187|329
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
23291|7832
1017|57591
7072|5094
1020|7917
5074|6523
4609|2033
1432|1956
1017|3983
81628|79718
1956|5802
208|7249
4700|4724
7494|2648
5829|102
1956|5604
3688|7414
847|6786
51564|79718
2274|10522
1386|306
10987|79791
7189|51135
10987|7001
5914|5469
1278|960
22954|29979
409|10381
3831|9043
7428|1856
1969|9525
10013|6249
8454|4193
5516|9448
7428|5580
396|1967
196|4094
4609|4609
3611|79888
26270|80267
5108|23392
3661|2308
472|6477
3398|5925
4090|7844
2624|6500
8945|55759
58|7187
1017|8531
1386|7416
1017|5094
3655|3915
2908|10013
3065|3326
5663|348
3925|5568
409|6714
675|2316
578|7416
3309|6667
7528|351
4790|8837
2885|51185
7157|6613
