EntrezGeneID1|EntrezGeneID2
26039|6597
57154|3309
1855|8312
6477|5932
5310|87
1432|2004
56254|51322
1432|8945
246184|51434
7917|84292
5469|5469
10672|7046
26227|2885
5879|4627
3309|27000
5335|5921
8454|6631
7319|1029
118|3398
4627|54822
1017|3398
4734|6189
7157|2648
11060|1605
5747|1605
51393|7442
7415|51366
5921|309
5747|4193
3178|2969
7532|8451
996|996
7415|1019
4734|7322
2537|351
5566|1385
54984|7430
6303|8525
5566|5705
4851|5664
6714|4133
1020|351
27316|51340
2063|2063
4627|302
5130|9025
7322|115426
10014|27316
25836|5538
324|8658
57332|57332
4087|23557
6500|26234
7322|23295
7324|11342
1213|409
5599|6464
8452|4722
3064|83737
5300|4303
2885|5930
324|598
81559|7322
5595|6548
79791|595
57154|3178
11218|23405
8452|7072
5701|5693
2771|5581
4086|2648
7322|26994
57154|7186
1017|9113
7337|301
7184|10399
23640|7186
10399|6774
26058|6631
1453|1855
26270|5538
4670|6636
7428|23032
3667|55023
57154|10188
23560|6189
2132|2132
23020|23020
1432|6774
7415|79058
51366|2932
1191|5444
7531|3983
1432|5371
11315|204851
2034|25942
5581|6868
4193|57154
6777|351
1969|1213
58517|6625
4292|5887
3065|2969
5601|9031
26121|10291
3065|7428
7251|4193
24148|58517
26270|3187
81620|51433
5728|6231
6636|84967
9262|351
6502|997
114088|5747
207|23327
29116|7334
79654|10892
1956|6850
939|56913
10419|84844
2081|9097
7186|9994
6050|283
26227|6453
7415|6500
672|23512
23327|79176
5716|8440
10075|3326
1454|5664
2771|4691
3685|7040
55294|55294
4851|51434
975|6418
267|23295
8454|6434
2316|7532
6907|1499
1855|1499
4088|64219
1385|6722
2068|983
6934|7248
7046|7040
8737|329
23291|7832
7072|5094
10755|5578
1130|57060
6464|7175
1020|7917
4609|2033
1432|1956
6045|5289
1017|3983
8452|8450
10592|25942
1956|5802
54764|57332
208|7249
8805|57332
7324|10425
23512|51747
51564|79718
80331|10273
22954|29979
409|10381
1969|9525
10013|6249
8454|4193
8450|55832
51257|7328
58517|6426
4609|4609
26270|80267
23390|79654
5108|23392
472|6477
3398|5925
3093|7428
3178|3326
207|3178
2624|6500
6733|27316
26270|6426
2334|4690
1017|5094
2908|10013
3065|3326
5663|348
3925|5568
409|6714
675|2316
578|7416
23368|672
26524|4851
2885|51185
7157|6613
118|667
1054|1017
6733|55832
10572|27
7046|4087
1020|3326
5663|7046
2885|835
10956|10488
26270|5705
8820|9612
1027|1019
10459|51343
1956|7327
1191|11130
7249|5747
1739|23095
6498|51592
351|4609
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
1432|81
4282|54984
23291|1213
4627|8767
6310|55072
5335|6714
409|1019
11338|6189
2885|6189
7428|1270
3326|7186
7416|7416
4085|4085
5300|11338
7375|7046
11130|9183
1601|1855
351|4763
1051|1054
3265|8315
408|6093
23291|1020
7157|83737
4691|5094
