EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
57154|3309
1855|8312
10206|396
10577|4864
5604|8837
6477|5932
1432|2004
56254|51322
1432|8945
246184|51434
5469|5469
10672|7046
26227|2885
5879|4627
3309|27000
351|2258
5335|5921
9516|23327
1650|3703
2885|2887
1499|5494
3275|6256
6729|6729
153090|8454
7879|57403
7319|1029
118|3398
4771|6895
6492|3320
1017|3398
7157|2648
11060|1605
9113|10413
5747|1605
51160|613
11236|3638
4609|23085
8452|4976
7415|51366
5747|4193
7157|51741
960|573
3654|3315
7532|8451
996|996
7415|1019
4734|7322
166|55072
2537|351
26270|3074
5566|1385
2885|6764
3320|5871
6303|8525
5566|5705
4851|5664
2932|8517
2549|5829
3661|64750
6714|4133
1020|351
5516|3476
5333|801
6714|5295
5871|6416
4627|302
6789|259230
4221|25942
124583|124583
7322|115426
25836|5538
5914|6477
324|8658
23411|5906
57332|57332
4087|23557
6500|26234
7322|23295
3717|3320
7324|11342
5599|6464
3065|3320
3064|83737
5300|4303
2885|5930
51377|7295
8945|51741
6478|6774
324|598
1937|4193
81559|7322
10013|4615
79791|595
10014|3837
8766|3064
6478|8841
5701|5693
6102|1454
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
1017|9113
1147|8717
7184|10399
23640|7186
10399|6774
5594|7157
4088|3727
1453|1855
208|9545
26270|5538
10987|9097
10987|81620
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
2132|2132
1958|6647
1432|6774
51366|2932
1191|5444
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
6257|7415
4038|25861
4790|5607
5581|6868
4193|57154
2034|2010
1147|9043
4292|5887
10987|7186
3065|2969
5601|9031
3065|7428
7251|4193
4683|3843
5914|23411
81620|51433
83737|51429
29127|4294
6502|997
3320|1019
8517|396
3621|7157
5530|6257
207|23327
5606|9479
29116|7334
23263|6194
2353|351
6789|9218
79654|10892
1956|6850
939|56913
1856|8878
23291|10413
10155|5460
7186|10758
396|637
56652|6613
166|6733
5052|51
23512|92609
6050|283
472|10155
5295|1969
26227|6453
7415|6500
5966|6500
10755|613
23433|57120
166|11030
8737|8517
3309|23636
672|23512
23327|79176
5594|1978
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
311|4282
3685|7040
23411|4092
8450|23348
3091|613
55294|55294
4851|51434
975|6418
267|23295
51741|5914
2316|7532
6907|1499
1855|1499
4088|64219
1385|6722
4436|8517
7187|329
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
23291|7832
1020|7917
1432|1956
1017|3983
6789|23085
8452|8450
1956|5802
54764|57332
208|7249
8805|57332
7324|10425
7494|2648
3320|8473
1956|5604
5747|7132
51564|79718
80331|10273
2353|5536
10987|79791
1540|142678
10987|7001
5914|5469
22954|29979
409|10381
7428|1856
1969|9525
8454|4193
5516|9448
7428|5580
396|1967
8450|55832
196|4094
51257|7328
4609|4609
3611|79888
26270|80267
23390|79654
5108|23392
3661|2308
472|6477
3398|5925
8454|29127
4090|7844
3093|7428
2624|6500
5879|10928
7023|8932
1017|5094
2908|10013
3065|3326
5663|348
3925|5568
409|6714
675|2316
578|7416
8452|3308
3315|5898
9516|29979
3309|6667
26524|4851
7528|351
3837|267
4790|8837
2885|51185
7157|6613
10987|3858
5966|801
118|667
7321|8239
9218|10452
2683|3728
6733|55832
7046|4087
1020|3326
5663|7046
5970|595
26270|5705
8820|9612
1027|1019
5025|9517
10459|51343
1956|7327
8517|51256
7249|5747
7157|1958
1739|23095
25932|5966
6498|51592
351|4609
10013|3320
6045|57332
1385|3066
7319|7319
1432|81
7428|9821
4627|8767
9804|10452
6310|55072
5295|3265
5335|6714
409|1019
409|5594
2054|27230
3315|6667
3611|2746
7428|1270
150684|5966
3326|7186
7416|7416
4085|4085
7375|7046
1601|1855
351|4763
6478|10869
2885|6237
10165|291
6667|23636
26994|9372
5906|396
3265|8315
10728|2065
408|6093
23291|1020
3309|811
55696|5936
7157|83737
4691|5094
1857|79753
5716|3320
6497|79718
864|4851
10159|23770
1627|667
4976|664
311|7001
808|8717
8312|7248
4216|5604
6497|4691
5932|5932
3099|6720
9804|7416
123169|7319
56957|27338
472|10444
6045|7528
5609|9479
7415|118
2064|983
11060|7322
6310|11030
4734|6500
7453|7453
28996|28996
23043|23287
5599|23411
196|9978
5300|55201
5747|10273
83547|83547
4983|5879
65057|1627
7155|983
5292|6502
2132|6623
51257|57120
7818|7067
581|255488
6259|2049
1856|3309
5460|5460
2885|3983
3643|8878
7325|9025
7326|10616
148281|8567
10010|9546
1956|92609
4790|801
27248|51009
23512|3983
5879|7410
4088|5371
1017|7415
998|4294
2118|2629
26272|26272
5914|23512
4211|5090
4609|8878
5604|2887
7325|7703
10381|55023
4193|6872
1432|8841
23512|6045
1020|55083
4086|4853
5536|5930
7323|4214
207|150684
7531|23476
1029|598
1936|1937
11124|1650
27|10152
51026|5119
29110|26994
90678|90678
8450|808
9545|351
4088|57680
9618|11059
5693|5683
7322|9025
3661|3843
5058|5879
4627|1601
3476|22948
2782|2534
4609|9968
5170|5604
3476|4282
4193|6597
8767|8517
64219|8078
5925|3065
4292|4728
7375|10075
373|7324
54926|396
7327|267
7319|966
672|2316
5925|996
7321|4214
8454|55904
1956|808
5515|4215
4609|8454
3315|3476
1499|6500
8751|23636
3064|4294
6591|3065
5608|5970
5601|3726
2885|7532
2885|966
4609|7019
3717|5954
1717|3326
4628|4691
8841|2874
5058|10174
10114|1616
311|306
