EntrezGeneID1|EntrezGeneID2
57154|3309
1855|8312
10206|396
149041|7327
56254|51322
11051|3066
1432|8945
246184|51434
5469|5469
10014|7037
10672|7046
26227|2885
55832|1832
5879|4627
7514|2308
23405|3329
3915|3912
1019|1457
672|2355
2316|71
2885|2887
1499|5494
153090|8454
5499|5568
7319|1029
4627|54822
22976|10111
1017|3398
2885|3329
7157|2648
11060|1605
9113|10413
5747|1605
11236|3638
51393|7442
5747|4193
7157|51741
14|10076
5467|8202
7514|23636
996|996
54778|7508
1647|983
4734|7322
9612|8202
10049|10013
3476|79840
166|55072
26270|3074
5566|1385
2885|6764
4851|5664
2549|5829
3171|1832
6714|4133
1020|351
6714|5295
5871|6416
4627|302
23363|4361
7322|115426
3265|8036
5914|6477
2040|2040
324|8658
57332|57332
4087|23557
6500|26234
7322|23295
7324|11342
5599|6464
7444|5599
3064|83737
5300|4303
2885|5930
8945|51741
7531|678
6478|6774
324|598
81559|7322
10013|22985
10013|4615
79791|595
3981|1278
1432|4209
6478|8841
10987|56254
4086|2648
7322|26994
57154|7186
9099|9361
1017|9113
1147|8717
1051|1387
7337|301
23640|7186
3725|7443
10399|6774
5594|7157
58|5879
4088|3727
1453|1855
10987|9097
6468|8454
7428|23032
3667|55023
57154|10188
444|5154
1432|6774
51366|2932
3958|5781
4824|7089
1788|130557
2185|6774
7531|3983
1432|5371
11315|204851
4790|5607
5581|6868
4193|57154
6777|351
2034|2010
1147|9043
5532|3313
10987|7186
5601|9031
3065|7428
5914|23411
3659|4193
83737|51429
29127|4294
6502|997
23580|10801
5530|6257
5606|9479
29116|7334
23263|6194
7013|28988
79654|10892
1956|6850
23515|54476
23291|10413
1196|672
10155|5460
396|637
5052|51
7514|56243
1956|2274
2081|9097
472|10155
5295|1969
5970|7052
26227|6453
28988|5610
3309|23636
672|23512
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
5599|3014
1457|1965
3685|7040
23411|4092
604|9170
7414|10381
55294|55294
5467|5970
4851|51434
4214|10049
267|23295
51741|5914
2316|7532
6907|1499
1855|1499
4088|64219
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
10755|5578
1020|7917
5499|6502
4609|2033
1432|1956
1017|3983
165918|3014
1956|5802
54764|57332
208|7249
8805|57332
7514|54623
7324|10425
7494|2648
1956|5604
3688|7414
7023|3148
975|4869
2274|10522
10987|79791
1540|142678
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
2241|2065
409|10381
7428|1856
8454|4193
396|1967
5601|6470
196|4094
51257|7328
4609|4609
3611|79888
472|6477
3398|5925
8454|29127
4090|7844
3093|7428
2624|6500
1017|8531
7023|8932
3655|3915
1642|4926
2908|10013
5663|348
3925|5568
409|6714
675|2316
3309|6667
26524|4851
7528|351
2885|51185
5295|2033
3014|10111
1147|5499
7321|8239
2683|3728
7046|4087
10253|10817
5663|7046
5970|595
23580|55752
10459|51343
1956|7327
7249|5747
7157|1958
1739|23095
6498|51592
351|4609
5727|2683
6045|57332
1385|3066
7319|7319
7428|9821
11052|4076
4627|8767
6310|55072
5295|3265
7532|1198
5335|6714
5058|3014
409|1019
409|5594
1017|7915
7416|7416
861|1387
4085|4085
8021|87178
3313|351
10672|2185
7375|7046
1601|1855
351|4763
51434|1387
6667|23636
7514|9867
3265|8315
10728|2065
149041|7332
8202|1147
408|6093
23291|1020
3309|811
8445|9821
7157|83737
6497|3329
1385|1051
4790|4791
6497|79718
864|4851
10159|23770
4000|4926
8312|7248
4216|5604
123169|7319
472|10444
6045|7528
847|3295
5609|9479
3912|43
2064|983
11060|7322
4734|6500
28996|28996
23043|23287
60485|26524
2192|10252
4000|261726
5599|23411
5156|23759
196|9978
5300|55201
5747|10273
4983|5879
1457|3014
5310|9564
7155|983
5292|6502
51257|57120
1457|3065
581|255488
2885|3313
6259|2049
1856|3309
5460|5460
2885|3983
7325|9025
4791|6500
7326|10616
23512|3983
5595|6667
10075|32
4088|5371
8891|8531
7428|1291
998|4294
26272|26272
5914|23512
1365|5566
5604|2887
7325|7703
10381|55023
8452|83695
4193|6872
2355|3925
928|961
1432|8841
5499|1454
23512|6045
1020|55083
4086|4853
4087|93649
7323|4214
207|150684
1029|598
7528|1387
6792|23499
3801|91949
27|10152
1984|6386
90678|90678
2309|5884
4088|57680
9618|11059
7322|9025
5058|5879
4627|1601
6241|29945
2782|2534
8841|11331
4609|9968
7186|2081
3476|4282
4193|6597
5925|3065
7375|10075
373|7324
3399|10817
1457|9646
1616|4629
54926|396
7327|267
7319|966
672|2316
5925|996
7321|4214
8454|55904
5515|4215
4194|351
4609|8454
1499|6500
8751|23636
672|7168
3064|4294
6591|3065
5608|5970
5601|3726
2885|7532
2885|966
3717|5954
8841|2874
5058|10174
10114|1616
6881|6881
2316|960
10381|2885
25865|4086
4869|2034
1647|4616
3643|3643
9577|7157
65018|7052
2309|9181
1956|14
1017|5604
26270|7531
1499|10498
22985|7532
8021|8021
5594|5213
5062|6194
5460|7026
51701|8454
3845|8945
3091|6714
1956|7443
1649|1051
1956|27
3958|351
9618|1499
1499|4771
2274|7157
26001|9040
7328|5970
55752|7189
2010|4000
23363|23363
81847|7322
4790|71
3845|351
8841|7155
55366|71
23411|9611
5747|6714
2321|5335
4609|5601
4000|9031
1387|7157
1540|4646
10253|10252
9611|10155
3655|351
1017|16
2885|26999
334|5578
7324|4214
7514|9646
27086|7157
28988|8924
2033|9500
4086|7508
996|29945
4436|8243
26994|11060
5499|6500
5936|2034
7324|4734
7531|6885
7001|2956
9968|9968
996|51434
4087|5601
472|6240
2316|4000
5566|5568
6386|8408
7531|7514
998|23580
10892|7189
51619|26001
22882|22882
4163|6801
22985|51755
148022|10498
4088|23214
8452|23770
5062|6500
1499|604
847|351
324|4646
27086|27086
10013|2932
8945|10277
2908|2782
9690|7321
51366|7164
10987|23318
6714|1072
7323|55159
5213|5211
5316|6929
2011|23303
5371|5300
4292|8930
7335|10273
2885|5530
3654|9618
4193|6659
3726|672
151636|3717
57142|6714
5451|351
8452|3251
672|5970
51592|8861
1647|7917
4860|7157
26524|222484
5058|6615
10477|10477
23295|4734
8613|351
11059|7323
3064|2885
5295|153090
1385|818
1457|4205
51741|26999
8525|3265
166|166
2033|7392
51619|7844
6648|7001
23557|8943
79577|1499
10273|7186
4088|55958
4734|6198
672|6597
26270|391
329|329
30844|90678
6881|2648
5287|6464
2033|4094
1956|7531
7295|23636
5594|5925
51141|29979
55294|9978
7322|8454
2885|5747
90780|207
5781|2185
3065|7431
5599|3725
604|6597
54623|9646
1956|8892
5610|5610
7514|10801
28996|8717
54880|84759
6929|2033
10188|998
5530|998
10253|2885
7319|23304
4214|3093
55284|55159
5871|7186
28996|3065
3065|5087
4087|4090
9612|1051
8036|10075
4627|4791
2034|11331
1454|8312
4609|128239
23162|9479
1540|7189
4221|4221
351|2192
207|2033
55294|4644
302|351
2889|2885
57154|7431
3309|7186
3065|5914
10766|10766
7067|8841
351|1191
2549|6464
91|57154
6199|4076
4092|4734
3309|3398
9025|10600
10075|3066
6453|5204
1642|6502
3727|4089
3300|538
10116|9978
6667|9846
2033|208
4294|27
4790|5062
55366|22985
4790|7528
83737|10477
7023|9575
8315|8315
10014|55832
6478|51196
7514|2932
7057|7422
4627|7126
7186|7531
1965|8891
4734|1020
26270|7037
8945|3182
1032|595
9451|9451
8312|28996
10987|6194
1540|10013
6667|5599
55284|26001
9099|10616
1647|197131
11059|7321
2040|5568
5911|9448
5058|961
3329|3688
5664|320
79594|207
5728|6386
2033|5371
1017|55636
8452|5610
6774|4086
5581|1832
672|55284
23705|6386
6774|9261
3516|8454
10628|3065
10987|5052
7013|90678
675|79184
3654|10273
3958|871
54602|2534
8841|5087
3667|5291
672|9093
1017|7168
5728|5728
997|8454
7013|396
7186|8204
9479|5599
9500|9500
5970|9093
51429|51429
7514|55681
7013|4926
8841|4790
2274|7189
83737|5460
4609|23318
4869|4869
51529|64682
3725|408
2932|64750
6774|3066
1030|8099
4089|4790
472|79791
114609|5610
7923|84869
8625|11331
23414|3065
7328|85363
51257|997
409|4214
55832|10155
10159|11060
4609|3066
10381|7018
207|6789
3064|3093
11060|997
51720|79184
7536|7332
7046|9043
3313|7189
3309|5728
5581|7416
7532|5295
4851|9253
4194|10111
10273|7324
4683|2956
2033|3516
7186|9821
1072|5052
1956|5594
10155|7323
1387|1385
5300|2280
4088|1601
10188|9564
6907|10477
9611|2874
80762|5728
5295|3717
2768|5578
51701|51701
22882|5604
5594|8649
989|9025
7337|7324
23542|10939
4627|81844
324|1454
115426|1499
2734|4790
85363|22954
153090|207
3091|9978
1786|5883
30844|158
7514|51160
6198|983
64219|9101
54602|4734
7514|2309
23429|7528
5300|1642
8751|6714
1196|6386
7328|81847
3726|334
9444|9444
6885|9448
5802|197131
3295|6648
2625|5469
9093|10498
324|90678
6045|1965
1429|1429
5292|5300
1432|6464
6774|5970
7048|7189
3065|4609
25847|8697
6497|23411
8829|8829
8737|54476
10494|6801
4824|10116
7186|7295
10987|6464
1385|7157
1454|4040
23580|2274
29979|51499
5781|79577
595|996
196|9612
9612|8841
8204|10014
6667|4609
8945|25937
409|7531
7514|5936
26270|6874
3655|6464
6874|51434
4194|2033
26524|7532
8945|4193
112939|54880
6194|7428
2064|6774
396|6714
1387|604
8452|7431
4790|1191
9170|9826
4609|2956
4217|11315
4193|10206
10626|351
81559|7321
6794|1967
2316|5499
1499|3065
1387|672
5025|9653
7048|1616
5728|7157
3014|3073
10155|51592
7337|302
6615|8945
5594|3845
8805|5371
55832|10399
8452|23636
207|5578
7430|9368
2885|302
8452|8531
7703|6015
10049|351
7703|6045
9821|6497
23673|10938
7322|55819
408|55681
811|351
2274|5991
7325|83737
5829|2185
323|538
5058|7431
10848|10848
2534|23028
23429|6500
150684|2033
8697|983
5335|2885
54778|2274
1051|7157
2768|9826
54623|56254
5154|6667
1739|4215
5018|5018
7430|8767
4000|1499
55366|23513
10111|2648
1432|1457
9978|351
10987|351
2045|2782
5601|207
5594|6464
5578|7431
4000|4000
7321|4683
2309|1499
334|5601
409|10273
5830|5828
1147|5970
2734|5970
55715|23028
394|5829
409|1072
2534|3655
1147|8239
27338|26271
1017|2950
1642|10987
7326|9101
6500|997
5595|8021
23043|6885
1969|7046
6240|648
4853|3516
26999|10163
1601|7048
222663|222663
6045|2734
672|7013
7514|7126
6453|8867
10155|5062
5991|5991
7050|3725
23291|51366
23214|23636
23236|5594
5728|5608
10755|54910
7531|9846
25898|7157
3064|1499
79594|79594
3725|667
210|8473
23512|31
4088|23592
7324|79594
4609|8985
8945|9612
7531|7040
928|3688
10987|6597
7334|26994
8454|1019
10413|10273
7013|57680
10014|6885
1457|11052
4048|23411
1457|672
6794|2011
3685|7057
5530|5728
649|8646
648|8531
5581|581
2898|6386
1432|9564
79577|1788
8697|246184
7335|22954
207|4194
4089|5268
2908|7337
324|6801
6500|79176
7337|5914
6850|7189
4204|6497
5883|2956
3265|51196
351|1072
5578|7157
6502|7528
5300|1017
23291|3054
7157|7508
9821|4217
54820|983
10210|5879
10273|4215
5594|3091
5594|2950
7023|672
4869|23411
10938|55236
7319|4193
10498|6597
64750|7321
6502|1017
7514|9253
23263|23405
5728|10381
10116|5883
408|1457
7514|1454
5595|7421
10939|351
6199|1072
9702|351
4771|9368
5587|3725
57332|8531
23291|57680
2316|2778
7514|8893
1017|302
1832|4791
92140|10210
5911|5911
1956|7186
7157|10273
51741|3728
3516|8473
396|3182
861|861
10818|10253
10487|10487
6714|7430
7531|9181
5599|56940
3925|4643
8697|6874
5300|5914
391|4089
10987|10399
5868|5868
29965|29979
26524|324
7531|8239
22985|989
1017|3925
1605|5295
23291|997
7322|29979
1017|675
26270|10155
9611|861
23542|6199
1495|8527
1017|85440
2308|23411
246184|4085
23363|3066
1601|1856
5213|8301
9604|7421
10014|5499
4771|6386
4088|57669
4000|8021
491|5578
7168|7168
2274|2274
1017|5595
4092|10413
8717|8737
2782|4215
3516|5087
10672|9826
4609|7157
998|51552
7189|998
4000|9040
10013|8239
3725|6872
1453|1499
3654|22954
3065|10155
1387|8092
6654|8775
3516|9612
11060|7321
472|55183
5796|5829
4086|10273
2534|54206
1965|9521
4296|5604
27252|58
5604|5604
3065|6872
23759|51755
3064|4790
51619|23295
10600|10600
64682|983
5915|6095
4296|5300
6929|9261
5581|6774
3654|9500
11331|1717
8454|26234
28996|7089
1956|2040
56254|1030
7514|8202
5371|23512
7328|11236
2022|7043
4644|5873
8613|8613
6259|1495
1017|7414
83737|2885
7325|6477
