EntrezGeneID1|EntrezGeneID2
5879|23568
1855|8312
10577|4864
5604|8837
5310|87
55366|23310
1432|8945
55294|29079
5469|5469
10014|7037
10672|7046
5501|351
5879|4627
9968|9412
23405|3329
3915|3912
2885|2887
1499|5494
3275|6256
9146|90390
2288|10728
5499|5568
4627|54822
4771|6895
1017|3398
2885|3329
5747|1605
10252|868
8452|4976
14|10076
960|573
5467|8202
3654|3315
996|996
1213|4790
9612|8202
3476|79840
2537|351
5566|1385
2885|6764
6210|79084
4851|5664
2549|5829
1020|351
6714|5295
5871|6416
3265|8036
4087|23557
5603|7157
1213|409
5496|3925
5599|6464
3064|83737
5300|4303
7531|678
324|598
25855|351
5747|4678
8452|7072
3981|1278
8766|3064
3486|960
1147|8717
1051|1387
7337|301
3301|4790
9146|25777
5594|7157
58|5879
10987|9097
3667|55023
3643|5580
1958|6647
1432|6774
51366|2932
1191|5444
2185|6774
1432|5371
4790|5607
5581|6868
6777|351
8837|868
1969|1213
1147|9043
1831|3065
10987|7186
498|6199
5601|9031
5914|23411
6598|55636
5532|7942
8682|8772
5530|6257
5594|6640
5606|9479
23263|6194
7013|28988
1956|6850
9063|9063
7013|5496
23515|54476
3065|3297
23291|10413
1196|672
396|637
7529|51599
5295|1969
5970|7052
5580|6944
4830|983
3309|23636
5716|8440
5594|1978
10728|7189
4615|4088
9344|5606
4616|983
3685|7040
55294|55294
5467|5970
4214|10049
5058|10472
1855|1499
9063|2908
1385|6722
1827|7189
6934|7248
23411|3309
1856|7126
7046|7040
7494|7494
1017|57591
7072|5094
10755|5578
6464|7175
23345|7040
5499|6502
4609|2033
1432|1956
208|7249
5829|102
1956|5604
5500|1029
79084|6597
7189|51135
10987|7001
5914|5469
1278|960
1969|9525
196|4094
4609|4609
3661|2308
3398|5925
55145|5074
58|7187
1017|8531
1386|7416
1017|5094
3655|3915
5663|348
3925|5568
409|6714
3309|6667
4790|8837
5295|2033
1054|1017
1147|5499
10572|27
7046|4087
23543|3202
5663|7046
5970|595
5469|29079
1020|5771
1191|11130
7249|5747
7157|1958
498|93974
1739|23095
351|4609
8440|23043
1874|367
1385|3066
4282|54984
55294|5500
23291|1213
4627|8767
5295|3265
56829|351
409|5594
3315|6667
7416|7416
861|1387
4085|4085
10672|2185
11130|9183
351|4763
1051|1054
6667|23636
10379|10379
3265|8315
8202|1147
408|6093
23476|9440
23291|1020
3309|811
8445|9821
7157|83737
6497|3329
1385|1051
864|4851
10159|23770
4976|664
8312|7248
4216|5604
10413|7533
5932|5932
409|5518
5609|9479
3912|43
2064|983
23411|367
28996|28996
9282|29079
23043|23287
5599|23411
4983|5879
9440|7157
581|255488
5581|8682
1856|3309
5460|5460
664|7052
1956|92609
408|1213
4088|5371
408|498
998|4294
2118|2629
5604|2887
2317|10540
1432|8841
5603|4216
4086|4853
6714|367
4087|93649
648|4830
2885|5500
7531|23476
1029|598
9531|4678
5241|1017
5058|5879
3476|22948
23126|10459
8841|11331
23481|23481
23054|1387
4609|9968
5170|5604
3476|4282
5925|3065
2932|367
1616|4629
5925|996
3315|3476
3066|3301
3064|4294
6591|3065
5608|5970
10542|55183
7529|4763
5601|3726
2885|7532
2885|966
8841|2874
5058|10174
10114|1616
6881|6881
1017|2896
9531|10174
4792|4792
10580|5241
3643|3643
4214|387
9577|7157
65018|7052
2309|9181
9412|9282
1956|14
1017|5604
3661|7187
1499|10498
10159|387
22985|7532
7879|5245
5460|7026
7184|3309
3672|5771
5530|5520
3845|8945
3091|6714
2023|43
9063|3725
1956|27
5580|7037
9618|1499
3925|5603
1499|4771
4214|2317
3643|5771
1432|572
7879|5119
5501|7187
3845|351
57506|6714
6616|6812
23411|9611
5747|6714
3717|5782
4609|5601
1387|7157
10253|10252
3655|351
1017|16
6895|9412
334|5578
402|23568
27086|7157
2033|9500
5728|331
8837|4088
5936|2034
7531|6885
1017|1603
5599|3297
9968|9968
4087|5601
2549|5782
5566|5568
6386|8408
8837|7157
998|23580
10892|7189
22882|22882
9146|23636
836|637
148022|10498
9255|351
8452|23770
1499|604
324|4646
27086|27086
11128|10623
6257|10621
10014|7529
51366|7164
5524|22948
10987|23318
6714|1072
29079|29110
26060|5590
5607|2023
5316|6929
3309|10542
9079|51564
5371|5300
8772|8772
2885|5530
3654|9618
2896|51701
10580|4609
26060|3397
3726|672
57142|6714
7186|8772
672|5970
81929|22948
4860|7157
5496|29079
2885|6294
648|10270
5058|6615
3297|4831
3654|8772
253980|387
8452|51119
3315|7157
1386|9063
6850|5296
4086|9862
3064|2885
5295|153090
5578|6616
8525|3265
2033|7392
6648|7001
2494|5566
23557|8943
4734|6198
5702|2034
672|6597
2277|8754
6886|54892
29110|498
5287|6464
2033|4094
1956|7531
5594|5925
648|92609
2023|3066
1130|9968
5500|2317
2885|5747
1017|7533
5781|2185
5599|3725
604|6597
29079|10540
1956|8892
20|6667
2534|4690
28996|8717
6929|2033
5530|998
10253|2885
5871|7186
28996|3065
3065|5087
1027|7531
7529|498
4628|8766
9612|1051
2034|11331
4609|128239
23162|9479
23263|6210
4221|4221
7879|8766
84447|4627
207|2033
55294|4644
3309|7186
23345|5936
3065|5914
10766|10766
7067|8841
351|1191
2549|6464
3309|3398
7184|9255
2023|6885
9968|29079
6667|9846
2033|208
4294|27
10014|5094
5300|5770
55366|22985
8315|8315
10783|10783
2335|5683
7048|5792
7057|7422
4627|7126
7186|7531
4734|1020
1032|595
9451|9451
9967|9969
10987|5580
8312|28996
10987|6194
5594|5791
4088|9862
6667|5599
5074|5371
1213|5518
5911|9448
3329|3688
5664|320
79594|207
5728|6386
2033|5371
1017|55636
6901|4041
6774|4086
10159|8766
23705|6386
10987|5052
939|7187
8841|5087
23411|6720
3667|5291
672|9093
1385|9063
581|331
5728|5728
7013|396
7186|8204
10938|8539
9479|5599
9500|9500
5970|9093
8841|4790
25777|5568
9913|9440
83737|5460
4609|23318
5300|6647
3725|408
5530|572
6774|3066
54984|7013
4089|4790
8625|11331
408|7533
23414|3065
29110|3665
5580|5770
672|1874
409|4214
4609|3066
367|8204
207|6789
7046|9043
2335|16
3309|5728
5581|7416
7532|5295
5599|7529
1386|22948
79084|4086
2033|3516
7186|9821
1072|5052
1956|5594
1387|1385
5300|2280
4170|637
2516|2885
9611|2874
6714|5786
80762|5728
5295|3717
2768|5578
51701|51701
22882|5604
26060|367
5518|10938
23542|10939
4627|81844
8085|367
153090|207
6198|983
1017|3832
10051|3981
1196|6386
3726|334
8452|22948
6885|9448
3295|6648
2625|5469
207|8682
9093|10498
868|148022
5496|7536
1432|6464
7178|7178
1386|7532
6599|9412
6774|5970
10014|4830
6722|5970
7048|7189
3065|4609
6497|23411
8829|8829
8737|54476
4824|10116
10987|6464
1385|7157
2023|8767
10540|81929
11331|6210
595|996
1956|27346
196|9612
54106|7096
9612|8841
8204|10014
6667|4609
409|7531
1856|387
7189|5702
3655|6464
5525|8313
2064|6774
396|6714
1387|604
1385|6196
4790|1191
26060|3065
4217|11315
8202|57591
7157|23481
10626|351
1499|3065
1387|672
6840|4831
7048|1616
5728|7157
1499|5782
9918|64151
1072|2023
5500|891
3925|54984
1017|7175
6615|8945
5594|3845
5728|8503
328|382
5058|572
10592|3065
8452|23636
51119|7419
207|5578
8452|8531
10049|351
9821|6497
23673|10938
54476|7100
811|351
5829|2185
331|836
10499|3091
8697|983
1051|7157
2768|9826
5154|6667
23054|22976
55366|23513
10987|351
4087|4976
5601|207
10592|7030
5594|6464
2309|1499
334|5601
1147|5970
394|5829
409|1072
2534|3655
8452|5500
84168|5609
5525|6464
672|405
1017|2950
572|665
9612|1874
5119|5119
11315|8772
23043|6885
7879|1072
1969|7046
4853|3516
51144|5245
672|7013
6453|8867
5991|5991
472|5524
1213|7532
2335|11331
595|896
23291|51366
8775|6616
23236|5594
6714|868
5728|5608
10755|54910
208|4486
7531|9846
8945|7082
3064|1499
6416|2317
79084|4824
79594|79594
4792|5300
4609|8985
8945|9612
7531|7040
10987|6597
51564|51564
4830|4830
10014|6885
3315|5568
3685|7057
5530|5728
648|8531
7052|836
3064|51100
2023|23310
10783|6198
3661|10522
5581|581
2898|6386
207|367
4792|26259
4089|5268
2908|7337
7337|5914
6850|7189
9270|351
4204|6497
3265|51196
351|1072
5578|7157
6720|9412
5300|1017
9821|4217
10210|5879
5594|3091
5594|2950
5770|1956
10498|6597
6502|1017
