EntrezGeneID1|EntrezGeneID2
26039|6597
57154|3309
5879|23568
1855|8312
10206|396
5604|8837
55366|23310
149041|7327
1432|2004
56254|51322
1432|8945
246184|51434
55294|29079
5469|5469
10672|7046
26227|2885
396|226
5879|4627
23405|3329
10905|11253
5335|5921
672|2355
2885|2887
1499|5494
3275|6256
6729|6729
153090|8454
7879|57403
9146|90390
2288|10728
5499|5568
7319|1029
4627|54822
1017|3398
2885|3329
7157|2648
2734|5966
11060|1605
9113|10413
4629|10096
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
10252|868
8452|4976
7415|51366
5921|309
5747|4193
7157|51741
14|10076
960|573
5467|8202
3654|3315
996|996
7415|1019
1213|4790
4734|7322
9612|8202
10049|10013
3476|79840
166|55072
10458|55971
2537|351
26270|3074
5566|1385
2885|6764
6303|8525
5566|5705
4851|5664
2549|5829
3661|64750
6714|4133
1020|351
5516|3476
6714|5295
54583|6478
5871|6416
4627|302
26524|7533
7322|115426
3265|8036
1017|6120
5914|6477
324|8658
23411|5906
57332|57332
4087|23557
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
5599|6464
3064|83737
5300|4303
2885|5930
29127|5116
51377|7295
8945|51741
7531|678
6478|6774
6045|2317
324|598
81559|7322
25855|351
10013|4615
79791|595
7415|5245
8452|7072
3981|1278
10014|3837
8766|3064
1432|4209
6478|8841
5701|5693
6102|1454
10987|56254
4086|2648
7322|26994
57154|7186
1017|9113
10163|10096
1147|8717
1051|1387
7337|301
7184|10399
3301|4790
23640|7186
10399|6774
5594|7157
58|5879
1453|1855
226|226
10987|9097
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
2132|2132
1958|6647
1432|6774
7415|79058
51366|2932
81542|7295
4824|7089
7531|3983
7132|9093
1432|5371
11315|204851
6257|7415
9657|51552
4038|25861
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
8837|868
1969|1213
2034|2010
1147|9043
4218|117177
4292|5887
1831|3065
10987|7186
3065|2969
498|6199
5601|9031
3065|7428
7251|4193
4683|3843
5914|23411
3659|4193
83737|51429
8976|4690
29127|4294
5532|7942
6502|997
2261|5335
8682|8772
3621|7157
5530|6257
5594|6640
5606|9479
29116|7334
23263|6194
7013|28988
79654|10892
1956|6850
939|56913
9063|9063
23515|54476
3065|3297
23291|10413
396|637
166|6733
5052|51
6050|283
5295|1969
5970|7052
26227|6453
7415|6500
5966|6500
10755|613
23433|57120
5580|6944
166|11030
4830|983
3309|23636
672|23512
5716|8440
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
6772|55832
3685|7040
23411|4092
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
4214|10049
267|23295
51741|5914
5058|10472
2316|7532
367|4193
6907|1499
1855|1499
9063|2908
4088|64219
1385|6722
1827|7189
5290|6772
7187|329
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
