EntrezGeneID1|EntrezGeneID2
57154|3309
1855|8312
10577|4864
5604|8837
6477|5932
55366|23310
6259|5591
56254|51322
1432|8945
246184|51434
5469|5469
10672|7046
26227|2885
3309|27000
5335|5921
5894|598
1019|1457
2316|71
2885|2887
1499|5494
3275|6256
153090|8454
5499|5568
7319|1029
22976|10111
1017|3398
4734|6189
7157|2648
11060|1605
9113|10413
5747|1605
51160|613
11236|3638
51393|7442
8452|4976
10938|5591
5921|309
5747|4193
7157|51741
7322|2060
960|573
7532|8451
996|996
1213|4790
4734|7322
1917|9040
10049|10013
26574|1613
166|55072
2537|351
26270|3074
5566|1385
2885|6764
4851|5664
2549|5829
6714|4133
1020|351
5333|801
5720|5696
54583|6478
5871|6416
26276|351
23133|55183
23363|4361
4221|25942
7322|115426
5914|6477
324|8658
57332|57332
4087|23557
6500|26234
7322|23295
7324|11342
1213|409
5599|6464
8452|4722
7444|5599
3064|83737
5300|4303
2885|5930
8945|51741
6478|6774
324|598
5591|5052
81559|7322
25855|351
10013|4615
79791|595
11218|23405
1432|4209
6478|8841
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
1017|9113
1147|8717
1051|1387
7337|301
23640|7186
3725|7443
5594|7157
58|5879
4088|3727
1453|1855
208|9545
10987|9097
10987|81620
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
23560|6189
1432|6774
51366|2932
7532|673
4824|7089
2185|6774
7531|3983
1432|5371
11315|204851
2034|25942
4038|25861
4790|5607
1917|6188
5581|6868
4193|57154
6777|351
2034|2010
1147|9043
1831|3065
10987|7186
5601|9031
3065|7428
7059|222229
1387|3172
5914|23411
81620|51433
27346|6814
26259|23363
29127|4294
5532|7942
9262|351
6502|997
2261|5335
8682|8772
5530|6257
207|23327
5606|9479
29116|7334
2353|351
79654|10892
1956|6850
23515|54476
8751|7525
3065|3297
23291|10413
1196|672
10155|5460
2081|9097
7186|9994
472|10155
10755|613
4830|983
672|23512
23327|79176
5594|1978
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
311|4282
1457|1965
1031|55183
3685|7040
23411|4092
3091|613
55294|55294
5467|5970
4851|51434
4214|10049
267|23295
51741|5914
2316|7532
6907|1499
1855|1499
4088|64219
2068|983
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
23291|7832
1017|57591
10755|5578
1130|57060
6464|7175
1020|7917
975|1917
5499|6502
4609|2033
1432|1956
1017|3983
7027|1387
8452|8450
10592|25942
1956|5802
54764|57332
8805|57332
7324|10425
7494|2648
1956|5604
7023|3148
79084|6597
10987|79791
1540|142678
10987|7001
5914|5469
22954|29979
2241|2065
409|10381
7428|1856
8454|4193
8450|55832
196|4094
51257|7328
4609|4609
3611|79888
472|6477
3398|5925
6272|10542
8454|29127
3093|7428
2624|6500
1017|8531
7023|8932
1642|4926
2908|10013
5663|348
7335|331
90678|3297
3925|5568
409|6714
675|2316
578|7416
23368|672
3309|6667
26524|4851
7528|351
4790|8837
2885|51185
10987|3858
2060|2534
1054|1017
9070|2033
1147|5499
467|55183
10572|27
7046|4087
10253|10817
5663|7046
5970|595
2885|835
93986|116113
10956|10488
8820|9612
1027|1019
10459|51343
1956|7327
1191|11130
7157|1958
498|93974
1739|23095
6498|51592
351|4609
5727|2683
51065|6188
6045|57332
1385|3066
7319|7319
4282|54984
7428|9821
23291|1213
5925|5894
6310|55072
5879|8411
7532|1198
5335|6714
405|9978
409|1019
409|5594
2054|27230
2885|6189
3611|2746
7416|7416
861|1387
4085|4085
328|1642
2752|10114
10672|2185
7375|7046
11130|9183
1601|1855
351|4763
51434|1387
1051|1054
11331|11218
3265|8315
10728|2065
23236|5591
23291|1020
3309|811
8445|9821
7157|83737
10645|805
1385|1051
23429|9191
3297|5591
6497|79718
864|4851
10159|23770
1627|667
4976|664
311|7001
808|8717
8312|7248
4216|5604
5932|5932
3099|6720
123169|7319
472|10444
2185|309
4085|6189
6045|7528
7428|6189
5609|9479
2064|983
11060|7322
4734|6500
28996|28996
5591|1147
23043|23287
60485|26524
5599|23411
196|9978
5300|55201
5747|10273
4983|5879
7155|983
5292|6502
26270|4830
1457|3065
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
7325|9025
7326|10616
148281|8567
4790|801
408|1213
23512|3983
5595|6667
4088|5371
8891|8531
408|498
998|4294
26272|26272
5914|23512
4211|5090
5604|2887
7325|7703
10381|55023
4193|6872
3299|3297
1432|8841
5499|1454
23512|6045
149428|23557
4087|93649
648|4830
7323|4214
207|150684
7531|23476
1029|598
7528|1387
6792|23499
27|10152
90678|90678
10600|2353
8450|808
9545|351
4088|57680
9618|11059
7322|9025
5058|5879
23126|10459
2782|2534
8841|11331
23481|23481
23054|1387
4609|9968
7186|2081
3476|4282
4193|6597
7159|301
5925|3065
7375|10075
373|7324
1457|9646
7327|267
672|2316
5925|996
7321|4214
8454|55904
1956|808
5515|4215
4609|8454
1499|6500
672|7168
3064|4294
6591|3065
5608|5970
10542|55183
3717|6513
5601|3726
2885|7532
3717|5954
2752|204851
8841|2874
25942|7468
5058|10174
10114|1616
311|306
6881|6881
1017|2896
9531|10174
2316|960
10381|2885
25865|4086
3065|9070
3643|3643
4214|387
9577|7157
3516|55031
2771|302
1017|5604
26270|7531
1499|10498
1760|5894
10159|387
5062|6194
5460|7026
51701|8454
7184|3309
3065|5929
3845|8945
578|7337
3091|6714
1956|7443
7428|6513
1649|1051
1956|27
11331|6189
9618|1499
1499|4771
1457|55145
1432|572
26001|9040
7328|5970
6045|801
150684|331
23363|23363
373|5296
81847|7322
4790|71
3845|351
8841|7155
836|9191
3832|79718
55366|71
23411|9611
5747|6714
7528|29844
4609|5601
1387|7157
1540|4646
10253|10252
9611|10155
1017|16
334|5578
7324|4214
27086|7157
2033|9500
996|29945
5728|331
8837|4088
57154|10540
26994|11060
5499|6500
5936|2034
7324|4734
7531|6885
1017|1603
5599|3297
7001|2956
9968|9968
996|51434
4087|5601
7161|81620
5566|5568
1627|85458
8837|7157
55681|6189
7531|805
10892|7189
51619|26001
22882|22882
1457|9049
4163|6801
836|637
148022|10498
9255|351
8452|23770
5062|6500
324|4646
27086|27086
10013|2932
8945|10277
25942|5970
2908|2782
1965|836
9690|7321
51366|7164
10987|23318
6714|1072
2908|5598
7323|55159
26060|5590
115426|4170
7168|7184
5316|6929
29979|2060
3309|10542
2011|23303
5371|5300
4292|8930
7335|10273
8772|8772
2885|5530
3654|9618
2896|51701
1027|8454
10580|4609
10460|3832
26060|3397
805|818
3726|672
151636|3717
57142|6714
7186|8772
5451|351
8452|3251
672|5970
51592|8861
4860|7157
648|10270
64783|9690
5058|6615
3297|4831
10477|10477
3654|8772
23295|4734
253980|387
673|369
8613|351
23327|997
6850|5296
11059|7323
3064|2885
1385|818
1457|4205
5598|7531
8525|3265
166|166
51619|7844
2494|5566
23557|8943
79577|1499
10273|7186
4088|55958
4734|6198
578|598
672|6597
329|329
27429|4976
6881|2648
9531|5721
2033|4094
1956|7531
5594|5925
51141|29979
55294|9978
7322|8454
5566|6514
1130|9968
2885|5747
2261|55819
90780|207
6045|8451
5781|2185
3065|7431
5599|3725
9646|10579
54623|9646
23368|2064
1956|8892
20|6667
219771|79084
5610|5610
28996|8717
54880|84759
6929|2033
1956|2771
10188|998
5530|998
476|6188
10253|2885
7319|23304
4214|3093
55284|55159
5871|7186
28996|3065
3065|5087
1027|7531
7323|2060
9474|8772
9445|197131
9612|1051
23133|5914
2034|11331
1454|8312
4609|128239
149428|149428
23162|9479
1540|7189
4221|4221
8450|7089
10580|5062
207|2033
55294|4644
8450|8531
302|351
57154|7431
3309|7186
4218|10938
11315|4722
3065|5914
835|4193
7067|8841
351|1191
1977|7189
2549|6464
91|57154
4092|4734
3309|3398
7184|9255
9025|10600
10075|3066
1642|6502
3727|4089
3300|538
10116|9978
6667|9846
2033|208
4294|27
4790|5062
4790|7528
83737|10477
8315|8315
10783|10783
1147|805
6478|51196
7057|7422
7186|7531
1965|8891
4734|1020
1054|468
8945|3182
1032|595
9451|9451
8312|28996
10987|6194
1540|10013
6667|5599
3172|23411
55284|26001
662|351
11059|7321
5911|9448
5664|320
79594|207
23327|7334
2033|5371
1017|55636
8452|5610
6774|4086
672|55284
3516|8454
4830|6095
10987|5052
7013|90678
3654|10273
54602|2534
8841|5087
23411|6720
3667|5291
5058|5894
672|9093
1017|7168
581|331
2648|4830
5728|5728
4170|8658
997|8454
7186|8204
10938|8539
9479|5599
9500|9500
5970|9093
7322|1027
7013|4926
1017|10972
8841|4790
83737|5460
5499|25998
4609|23318
2264|6774
51529|64682
3725|408
5530|572
2932|64750
6774|3066
1627|4644
54984|7013
4089|4790
472|79791
114609|5610
5578|7832
1019|3832
23414|3065
54984|801
672|1874
51257|997
409|4214
55832|10155
10159|11060
4609|3066
10381|7018
207|6789
3064|3093
11060|997
5451|4331
7536|7332
1457|405
7046|9043
3309|5728
5581|7416
6188|6194
4851|9253
79084|4086
10273|7324
4683|2956
51377|29844
2033|3516
23327|51256
7186|9821
1072|5052
1956|5594
5499|8493
10155|7323
1387|1385
672|285464
5300|2280
4088|1601
4170|637
6907|10477
9611|2874
80762|5728
4218|7917
51701|51701
22882|5604
5664|6717
4087|476
7337|7324
1676|5413
23542|10939
23560|23212
324|1454
115426|1499
5424|891
10477|4780
2734|4790
4193|5932
153090|207
3091|9978
1977|10273
1627|818
2571|3725
6198|983
5422|7157
1017|3832
54602|4734
23429|7528
10051|3981
5300|1642
7428|2896
8751|6714
4780|10155
7328|81847
3726|334
2752|2885
9444|9444
6885|9448
805|805
5802|197131
801|8767
2625|5469
207|8682
9093|10498
324|90678
6045|1965
1429|1429
8788|5664
5292|5300
1432|6464
6774|5970
1432|55031
7048|7189
3065|4609
25847|8697
6497|23411
8829|8829
8737|54476
10494|6801
4824|10116
1017|2946
10987|6464
1385|7157
1454|4040
29979|51499
10540|81929
5781|79577
595|996
3172|7157
1956|27346
196|9612
7186|7525
9612|8841
6667|4609
8452|488
11218|9612
8945|25937
409|7531
156|2782
2261|6774
1856|387
26270|6874
6874|51434
1856|7525
26524|7532
8945|4193
25942|25855
6194|7428
2064|6774
1385|6196
7525|9846
8452|7431
4790|1191
26060|3065
4609|2956
4217|11315
4193|10206
7157|23481
10626|351
7186|801
81559|7321
6794|1967
2316|5499
1499|3065
1387|672
10075|5423
2060|8867
3670|351
7048|1616
5728|7157
1917|6194
10155|51592
4193|467
9918|64151
7337|302
2068|2068
3925|54984
2060|9253
1017|7175
6615|8945
5594|3845
8805|5371
8451|7184
5058|572
10592|3065
29844|29844
207|5578
2885|302
8452|3858
8452|8531
7703|6015
10049|351
7703|6045
9821|6497
7322|55819
27429|9113
408|55681
811|351
7325|83737
223|2571
8451|6188
25898|808
5829|2185
323|538
55600|55600
331|836
5058|7431
10848|10848
2534|23028
23429|6500
150684|2033
207|25998
8697|983
5335|2885
1051|7157
54623|56254
5154|6667
23054|22976
1739|4215
55201|567
81620|51434
4780|51322
55366|23513
3064|3708
10111|2648
10987|6189
1432|1457
9978|351
10987|351
1601|1213
1072|476
4089|5898
4087|4976
2045|2782
6497|6188
85365|22872
5601|207
5594|6464
5578|7431
6188|7186
7321|4683
2309|1499
334|5601
409|10273
5830|5828
1147|5970
2734|5970
2947|5062
331|7332
5598|7157
311|302
55715|23028
1017|8450
409|1072
27338|26271
8452|476
672|405
1017|2950
572|665
1642|10987
9612|1874
5119|5119
6500|997
11315|8772
81620|51343
23043|6885
975|7284
2931|1495
6477|331
1627|4771
1601|7048
7159|80829
2060|2060
6045|2734
672|7013
10155|5062
2261|2261
5991|5991
1213|7532
7050|3725
23291|51366
23236|5594
5728|5608
1028|8454
10755|54910
7531|27018
7531|9846
25898|7157
3064|1499
79084|4824
79594|79594
3725|667
7324|79594
4088|9191
4609|8985
5598|5371
8945|9612
7531|7040
928|3688
10987|6597
116113|4830
7334|26994
8454|1019
10413|10273
7013|57680
1147|1917
4830|4830
1457|672
6794|2011
3685|7057
5530|5728
649|8646
648|8531
3064|51100
10783|6198
26270|10592
2353|5300
5581|581
637|578
6929|805
8452|805
8697|246184
7335|22954
4089|5268
2908|7337
324|6801
6500|79176
7337|5914
6850|7189
7334|331
4204|6497
3265|51196
351|1072
5578|7157
6502|7528
6198|5338
5300|1017
23327|1613
9821|4217
54820|983
10210|5879
10273|4215
5594|3091
5594|2950
7023|672
2059|26258
10938|55236
7319|4193
10498|6597
64750|7321
6502|1017
5296|351
5728|10381
23476|23210
408|1457
5595|7421
6272|1967
10939|351
2494|1385
9702|351
