EntrezGeneID1|EntrezGeneID2
57154|3309
5300|81628
1855|8312
55366|23310
1432|2004
56254|51322
1432|8945
246184|51434
5469|5469
10672|7046
26227|2885
5879|4627
7514|2308
2074|55832
3915|3912
672|2355
2885|2887
1499|5494
3275|6256
153090|8454
5499|5568
7319|1029
1017|3398
4734|6189
7157|2648
11060|1605
9113|10413
4090|23451
5747|1605
51160|613
11236|3638
5747|4193
7157|51741
4700|4722
3654|3315
996|996
1213|4790
54778|7508
4734|7322
10049|10013
166|55072
26270|3074
5566|1385
2885|6764
4851|5664
2549|5829
6714|4133
1020|351
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
4627|302
7322|115426
5914|6477
324|8658
57332|57332
6500|26234
7322|23295
7324|11342
1213|409
5599|6464
8452|4722
3064|83737
5300|4303
2885|5930
51377|7295
8945|51741
6478|6774
6045|2317
324|598
81559|7322
10013|4615
5595|6548
11218|23405
3981|1278
1432|4209
6478|8841
10987|56254
4086|2648
7322|26994
57154|7186
1017|9113
1147|8717
1051|1387
23640|7186
5594|7157
58|5879
4088|3727
1453|1855
4831|10856
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
23560|6189
1958|6647
1432|6774
51366|2932
3958|5781
4824|7089
2185|6774
7531|3983
1432|5371
11315|204851
4038|25861
55366|4297
4790|5607
5581|6868
4193|57154
6777|351
1969|1213
2034|2010
1147|9043
5532|3313
1831|3065
10987|7186
3065|2969
3065|7428
29116|81628
5914|23411
29127|4294
5532|7942
9262|351
6502|997
2261|5335
5530|6257
7514|10856
5594|6640
207|23327
5606|9479
29116|7334
2353|351
79654|10892
1956|6850
939|56913
23515|54476
3065|3297
23291|10413
1196|672
10155|5460
166|6733
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
672|23512
23327|79176
10728|7189
1454|5664
4615|4088
9344|5606
311|4282
1031|55183
3685|7040
23411|4092
3091|613
55294|55294
5467|5970
4851|51434
4214|10049
267|23295
51741|5914
5058|10472
6907|1499
1855|1499
4088|64219
1385|6722
1827|7189
4728|11331
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
23291|7832
1130|57060
6464|7175
1020|7917
5499|6502
4609|2033
1432|1956
1017|3983
81628|79718
1956|5802
54764|57332
208|7249
8805|57332
7514|54623
4700|4724
7324|10425
7494|2648
1956|5604
847|6786
51564|79718
79084|6597
1386|306
1540|142678
10987|7001
5914|5469
1278|960
22954|29979
409|10381
7428|1856
1969|9525
8454|4193
5516|9448
196|4094
51257|7328
4609|4609
3611|79888
472|6477
3398|5925
5352|23039
8454|29127
4090|7844
3093|7428
2624|6500
1017|8531
3655|3915
1642|4926
2908|10013
5663|348
90678|3297
3925|5568
409|6714
23368|672
3309|6667
26524|4851
7528|351
871|7171
2885|51185
10987|3858
5295|2033
3315|9588
1054|1017
1147|5499
6733|55832
10572|27
7046|4087
10253|10817
5663|7046
5970|595
2885|835
93986|116113
8820|9612
1027|1019
10459|51343
1956|7327
1191|11130
7249|5747
7157|1958
498|93974
6498|51592
351|4609
5727|2683
54541|55183
10818|4915
51065|6188
6045|57332
1385|3066
7319|7319
4282|54984
7428|9821
23291|1213
4627|8767
5295|3265
5335|6714
405|9978
409|1019
409|5594
3315|6667
2885|6189
861|1387
4085|4085
8021|87178
3313|351
10672|2185
7375|7046
11130|9183
1601|1855
351|4763
51434|1387
1051|1054
11331|11218
7514|9867
3265|8315
10728|2065
23512|10397
23291|1020
3309|811
8445|9821
7157|83737
1385|1051
23429|9191
4790|4791
6497|79718
864|4851
10159|23770
6272|54840
1627|667
311|7001
4000|4926
808|8717
8312|7248
4216|5604
6497|4691
123169|7319
472|10444
4085|6189
6045|7528
7428|6189
847|3295
5609|9479
3912|43
11060|7322
4734|6500
7453|7453
28996|28996
23043|23287
60485|26524
2192|10252
5599|23411
196|9978
5300|55201
5747|10273
65057|1627
26270|4830
581|255488
2885|3313
6259|2049
1856|3309
5460|5460
2885|3983
664|7052
7325|9025
4791|6500
7326|10616
10987|1153
310|7157
4790|801
408|1213
23512|3983
5595|6667
4088|5371
8891|8531
408|498
998|4294
26272|26272
5914|23512
1365|5566
5604|2887
7325|7703
10381|55023
8452|83695
2355|3925
3299|3297
2317|10540
1432|8841
5499|1454
23512|6045
1020|55083
4086|4853
4087|93649
648|4830
7323|4214
207|150684
1029|598
7528|1387
27|10152
90678|90678
10600|2353
4088|57680
9618|11059
7322|9025
5058|5879
4627|1601
23126|10459
2782|2534
8841|11331
23481|23481
23054|1387
4609|9968
5170|5604
7186|2081
3476|4282
4193|6597
25898|5429
5925|3065
4292|4728
7375|10075
373|7324
3399|10817
1616|4629
7327|267
7319|966
5925|996
7321|4214
8454|55904
1956|808
4194|351
4609|8454
3315|3476
1499|6500
672|7168
3064|4294
6591|3065
5608|5970
5601|3726
2885|966
4628|4691
8841|2874
10131|4089
5058|10174
10114|1616
311|306
1017|2896
22955|22955
10381|2885
25865|4086
3643|3643
4214|387
3516|55031
65018|7052
5204|7716
112398|112398
1017|5604
26270|7531
1499|10498
10159|387
8021|8021
7703|22955
5460|7026
51701|8454
7184|3309
8452|2730
578|7337
3091|6714
1649|1051
1956|27
3958|351
11331|6189
9618|1499
1499|4771
4214|2317
1432|572
26001|9040
7328|5970
6045|801
6733|5930
2010|4000
81847|7322
8841|7155
836|9191
3832|79718
3956|2969
23411|9611
5747|6714
7528|29844
2321|5335
4609|5601
1387|7157
1540|4646
10253|10252
9611|10155
3655|351
1017|16
334|5578
7324|4214
7514|9646
27086|7157
2033|9500
4086|7508
996|29945
57154|10540
26994|11060
5499|6500
5936|2034
7324|4734
7531|6885
5599|3297
409|4691
7001|2956
9968|9968
996|51434
4087|5601
5566|5568
1627|85458
55681|6189
7531|7514
7531|805
10892|7189
51619|26001
22882|22882
4163|6801
148022|10498
4088|23214
8454|1153
9255|351
8452|23770
847|351
7398|7398
324|4646
27086|27086
10013|2932
8945|10277
2908|2782
9690|7321
51366|7164
10987|23318
6714|1072
2908|5598
7323|55159
7168|7184
2011|23303
5585|5585
9079|51564
5371|5300
4292|8930
11284|23287
7335|10273
8772|8772
2885|5530
3654|9618
2896|51701
1027|8454
10460|3832
373|84919
3726|672
57142|6714
7186|8772
5451|351
8452|3251
3163|2908
6647|55681
672|5970
51592|8861
10856|6502
4860|7157
648|10270
64783|9690
5058|6615
3297|4831
4700|4728
10477|10477
3654|8772
23295|4734
253980|387
3315|7157
8613|351
23327|997
11059|7323
3064|2885
5295|153090
5598|7531
166|166
51619|7844
6648|7001
79577|1499
10273|7186
4088|55958
578|598
672|6597
10014|9588
329|329
4724|4710
4193|23451
2033|4094
1956|7531
5594|5925
5728|1399
51141|29979
55294|9978
7322|8454
1130|9968
2885|5747
2261|55819
90780|207
5781|2185
3065|7431
5599|3725
9646|10579
54623|9646
23368|2064
1956|8892
219771|79084
5610|5610
28996|8717
54880|84759
648|6733
10188|998
5530|998
476|6188
10253|2885
7319|23304
4214|3093
55284|55159
5871|7186
28996|3065
3065|5087
1027|7531
9474|8772
4087|4090
9445|197131
9612|1051
4627|4791
51564|6907
2034|11331
1454|8312
4609|128239
149428|149428
23162|9479
1540|7189
7375|3956
4221|4221
351|2192
207|2033
55294|4644
6733|29116
302|351
57154|7431
3309|7186
11315|4722
3065|5914
835|4193
7067|8841
351|1191
2549|6464
91|57154
4092|4734
3309|3398
7184|9255
9025|10600
10075|3066
1642|6502
2932|23451
3727|4089
3300|538
10116|9978
8454|4691
2033|208
4294|27
4790|7528
83737|10477
81628|23291
8315|8315
10783|10783
10014|55832
1147|805
6478|51196
7514|2932
7057|7422
3309|4691
4627|7126
7186|7531
4734|1020
8945|3182
1032|595
9451|9451
8312|28996
10987|6194
1540|10013
6667|5599
55284|26001
662|351
11059|7321
5911|9448
79594|207
23327|7334
2033|5371
1017|55636
6901|4041
8452|5610
6774|4086
672|55284
1959|6722
3516|8454
10628|3065
4830|6095
10987|5052
7013|90678
3654|10273
3958|871
54602|2534
8841|5087
1649|1386
672|9093
1017|7168
2648|4830
5728|5728
997|8454
7186|8204
9479|5599
208|842
4627|64428
9500|9500
5970|9093
7322|1027
7514|55681
7013|4926
4831|25824
8841|4790
83737|5460
10006|1399
4609|23318
5300|6647
51529|64682
3725|408
5530|572
2932|64750
6774|3066
1627|4644
54984|7013
4089|4790
114609|5610
5578|7832
1019|3832
23414|3065
54984|801
8452|23451
598|842
51257|997
409|4214
55832|10155
10159|11060
4609|3066
10381|7018
207|6789
3064|3093
11060|997
5451|4331
7536|7332
7046|9043
3313|7189
3309|5728
6188|6194
11284|351
4851|9253
79084|4086
10273|7324
51377|29844
2033|3516
23327|51256
7186|9821
1072|5052
4700|7917
1956|5594
10155|7323
1387|1385
5300|2280
4088|1601
4297|5364
6907|10477
9611|2874
80762|5728
2004|5204
2768|5578
51701|51701
22882|5604
4087|476
7337|7324
23542|10939
23560|23212
4627|81844
324|1454
10270|10856
115426|1499
4700|4710
10477|4780
2734|4790
153090|207
3091|9978
7514|51160
1017|3832
54602|4734
7514|2309
64428|351
23429|7528
10051|3981
5300|1642
7428|2896
8751|6714
4780|10155
7328|81847
3726|334
2004|2885
9444|9444
6885|9448
805|805
5802|197131
3295|6648
801|8767
2625|5469
9093|10498
324|90678
1432|6464
6774|5970
10014|4830
6722|5970
1432|55031
7048|7189
3065|4609
25847|8697
6497|23411
409|6733
8829|8829
8737|54476
10494|6801
4824|10116
7186|7295
10987|6464
1385|7157
1454|4040
358|5578
10540|81929
5781|79577
595|996
196|9612
672|2969
9612|8841
8204|10014
6667|4609
5170|3611
11218|9612
8945|25937
409|7531
5585|7186
2261|6774
7514|5936
1856|387
26270|6874
3655|6464
6874|51434
4194|2033
1386|7171
8945|4193
6194|7428
2064|6774
3476|93100
1385|6196
8452|7431
4790|1191
4609|2956
4217|11315
4193|10206
7157|23481
10626|351
7186|801
81559|7321
6794|1967
1499|3065
1387|672
6840|4831
7048|1616
5728|7157
10155|51592
9918|64151
1956|5573
