EntrezGeneID1|EntrezGeneID2
57154|3309
1855|8312
5604|8837
5310|87
1432|2004
4343|8237
1432|8945
55294|29079
7917|84292
5469|5469
10672|7046
5501|351
5879|4627
3309|27000
3915|3912
5335|5921
7529|3831
2885|2887
1499|5494
6729|6729
7879|57403
2288|10728
5499|5568
1676|9958
4627|54822
4771|6895
6492|3320
1017|3398
10419|291
4734|6189
1660|23405
7157|2648
9113|10413
6733|7957
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
5747|4193
3178|2969
960|573
648|11171
3654|3315
7532|8451
10049|10013
7874|7874
26574|1613
2537|351
5566|1385
2885|6764
3320|5871
6303|8525
4851|5664
2549|5829
6714|4133
1020|351
27316|51340
4343|2202
6714|5295
5871|6416
26276|351
4627|302
26524|7533
4221|25942
6631|10498
57154|3622
3265|8036
10014|27316
5747|4756
23411|5906
10488|638
4087|23557
3717|3320
5496|3925
5599|6464
8452|4722
3065|3320
1660|84844
3064|83737
5300|4303
324|598
25855|351
10013|4615
83706|79753
79791|595
57154|3178
11218|23405
8452|7072
5245|6189
8766|3064
4086|2648
7957|1967
57154|7186
9099|9361
1017|9113
1147|8717
8452|192669
7337|301
7184|10399
10987|6631
26058|6631
5594|7157
58|5879
208|9545
4086|58533
4670|6636
10987|9097
10987|81620
6809|6809
7428|23032
3667|55023
3643|5580
23560|6189
23020|23020
444|5154
51366|2932
3958|5781
7874|3431
57154|5518
7531|3983
1432|5371
11315|204851
2034|25942
5581|6868
4193|57154
6777|351
8837|868
58517|6625
1147|9043
1831|3065
10987|7186
7874|4193
192670|10728
3065|2969
5601|9031
26121|10291
3065|7428
5914|23411
24148|58517
83737|51429
4343|5868
29127|4294
5728|6231
6636|84967
9262|351
51593|6434
29890|8237
3320|1019
8682|8772
4343|26469
51593|6431
5594|6640
26523|8890
5606|9479
23263|6194
2353|351
7013|28988
1956|6850
939|56913
9063|9063
7013|5496
4163|10569
3065|3297
23291|10413
7874|23405
10419|84844
396|637
5052|51
2081|9097
7186|9994
6050|283
5295|1969
10755|613
23433|57120
4830|983
3309|23636
5716|8440
5594|1978
1832|5663
10728|7189
4615|4088
9344|5606
4616|983
5500|3983
3685|7040
7919|9063
23411|4092
8450|23348
3091|613
7414|10381
55294|55294
5467|5970
4214|10049
5058|10472
7529|10787
1855|1499
9063|2908
1385|6722
2068|983
1827|7189
4728|11331
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
7494|7494
23291|7832
1017|57591
10755|5578
1130|57060
7536|3187
1020|7917
5074|6523
9564|5770
5499|6502
4609|2033
1432|1956
1017|3983
6789|23085
8452|8450
208|7249
7494|2648
1956|5604
3688|7414
5500|1029
4163|23020
3320|1613
1660|89941
7023|3148
7917|9958
79084|6597
10987|79791
10987|7001
5914|5469
1278|960
22976|51720
409|10381
3831|9043
7428|1856
7428|5580
396|1967
196|4094
58517|6426
4609|4609
3611|79888
7159|3308
3398|5925
6272|10542
1660|3187
55145|5074
207|3178
6733|27316
4343|4722
5879|10928
2334|4690
1017|8531
27005|9101
3655|3915
2908|10013
5663|348
3925|5568
409|6714
578|7416
8452|3308
3315|5898
23368|672
3309|6667
26524|4851
7528|351
4343|6522
10569|7536
56943|56970
5295|2033
2060|2534
1054|1017
1147|5499
2683|3728
7046|4087
10253|10817
23543|3202
5663|7046
5970|595
192669|11331
2885|835
5469|29079
6314|3912
1027|1019
1020|5771
7249|5747
11168|9967
498|93974
1739|23095
6498|51592
351|4609
10013|3320
10818|4915
51065|6188
8440|23043
1385|3066
7428|9821
55294|5500
4627|8767
9804|10452
5501|27316
5879|8411
5295|3265
5335|6714
1956|5864
409|1019
409|5594
11338|6189
3315|6667
2885|6189
4343|375790
7416|7416
56970|8464
5300|11338
7375|7046
351|4763
2885|6237
1051|1054
6667|23636
5906|396
11331|11218
3265|8315
3516|7874
408|6093
2335|1655
23476|9440
23291|1020
3309|811
8445|9821
7157|83737
1857|79753
1385|1051
5716|3320
22938|51593
3185|23543
864|4851
10159|23770
4976|664
8312|7248
4216|5604
10413|7533
6497|4691
22800|5900
5932|5932
3099|6720
9804|7416
23210|58517
409|5518
7428|6189
2734|6207
5609|9479
3912|43
2064|983
64854|219333
8621|10381
7453|7453
28996|28996
9282|29079
23043|23287
60485|26524
2192|10252
5599|23411
5300|55201
83547|83547
4983|5879
5310|9564
7155|983
5292|6502
9440|7157
7818|7067
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
148281|8567
1956|92609
23435|3320
11338|3178
5879|7410
4088|5371
8891|8531
408|498
998|4294
2118|2629
1365|5566
4211|5090
5604|2887
26121|6426
10381|55023
4193|6872
3299|3297
1432|8841
10291|7919
1020|55083
4086|4853
149428|23557
4087|93649
648|4830
9444|92906
2885|5500
24148|9967
7531|23476
1029|598
29102|4670
3309|3185
1984|6386
10600|2353
9545|351
5518|2303
5058|5879
2782|2534
8841|11331
4609|9968
5170|5604
7186|2081
3476|4282
4193|6597
7159|301
5925|3065
4292|4728
3399|10817
1616|4629
4791|5537
5792|8301
1948|8892
3315|3476
3066|3301
3064|4294
6591|3065
5608|5970
351|5864
7529|4763
5601|3726
2885|7532
2885|966
4609|7019
3717|5954
10291|3611
4628|4691
8841|2874
5058|10174
10114|1616
6881|6881
24148|4343
1017|2896
9531|10174
998|9230
10381|2885
25865|4086
6310|3308
3320|26058
192669|26523
3643|3643
4214|387
9577|7157
3516|55031
2624|7490
24148|11338
2309|9181
1017|5604
1499|10498
10159|387
1660|5970
7879|5245
5460|7026
7184|3309
5530|5520
3845|8945
578|7337
3091|6714
4086|9958
9063|3725
25865|5774
3958|351
4690|6655
11331|6189
9618|1499
1499|4771
6434|27316
5496|7919
4214|2317
3643|5771
26121|6431
1432|572
7879|5119
1029|3320
373|5296
3845|351
8841|7155
836|9191
2071|6421
23411|9611
5747|6714
7528|29844
2321|5335
3717|5782
4609|5601
1540|4646
10253|10252
3655|351
1017|16
2885|26999
334|5578
11104|3320
4670|5906
1655|51747
27086|7157
2033|9500
5728|331
8837|4088
1655|6625
5936|2034
7531|6885
1017|1603
5599|3297
409|4691
7001|2956
9968|9968
4087|5601
2549|5782
7161|81620
1660|64783
5566|5568
6386|8408
3320|16
8837|7157
998|23580
10892|7189
836|637
7332|3308
148022|10498
9255|351
8452|23770
1499|604
7398|7398
324|4646
27086|27086
3320|3178
10013|2932
10014|7529
25942|5970
2908|2782
51366|7164
29127|51593
10987|23318
6714|1072
2908|5598
2071|5725
26060|5590
5316|6929
3309|10542
3178|23435
2011|23303
9079|51564
5371|5300
4292|8930
7529|3983
8772|8772
2885|5530
3654|9618
2896|51701
10580|4609
5500|1613
10494|5783
4343|11171
26060|3397
3726|672
57142|6714
7186|8772
5451|351
8452|3251
56943|6881
1476|2317
672|5970
5906|3065
51592|8861
3315|3187
11331|4343
4860|7157
5496|29079
2885|6294
5058|6615
3297|4831
302|6207
3654|8772
253980|387
6929|8295
4088|1655
3315|7157
8613|351
6850|5296
4086|9862
3064|2885
5295|153090
1385|818
3187|7431
1499|1660
5598|7531
8525|3265
8452|22836
6648|7001
8450|3178
4734|6198
578|598
672|6597
2277|8754
27429|4976
6881|2648
10087|5587
2033|4094
1956|7531
23291|27316
64783|7919
5594|5925
648|92609
1130|9968
5500|2317
2885|5747
90780|207
1017|7533
3065|7431
5599|3725
604|6597
94234|4343
3280|3320
4343|10181
9230|5333
23368|2064
1956|8892
2534|4690
3622|5931
219771|79084
28996|8717
27339|6434
6929|2033
4609|6625
648|6733
5530|998
8237|331
10253|2885
5871|7186
3187|51340
28996|3065
3065|5087
3638|3156
1027|7531
10787|4690
4087|4090
10291|9967
7529|498
4628|8766
4609|6742
4627|4791
23133|5914
2034|11331
23291|10181
11338|23543
4609|128239
149428|149428
23162|9479
1540|7189
4221|4221
7879|8766
84447|4627
351|2192
207|2033
55294|4644
8450|8531
302|351
2889|2885
2889|6655
57154|7431
3309|7186
11315|4722
3065|5914
835|4193
7067|8841
1977|7189
1660|58
2549|6464
91|57154
4092|4734
3309|3398
7184|9255
9693|5783
3300|538
9968|29079
6667|9846
2033|208
4690|323
5300|5770
8315|8315
7048|5792
7057|7422
3320|780
64786|5868
3309|4691
51377|1832
4627|7126
7186|7531
6231|351
4734|1020
7189|56957
7874|301
1032|595
9451|9451
9967|9969
10987|5580
8312|28996
10987|6194
1540|10013
5594|5791
4088|9862
6667|5599
5074|5371
662|351
10419|3065
5911|9448
29079|9958
5058|961
5664|320
79594|207
5728|6386
2033|5371
1017|55636
6901|4041
10569|51747
6421|9967
5581|1832
10159|8766
23705|6386
10628|3065
10987|5052
675|79184
3958|871
8841|5087
5970|7874
23411|6720
3667|5291
672|9093
1385|9063
581|331
2648|4830
5728|5728
7013|396
25942|51564
7186|8204
9479|5599
84292|10848
4343|5245
9500|9500
5970|9093
51429|51429
22976|6625
7013|4926
10014|5725
1017|10972
83737|5460
5499|25998
4609|23318
5300|6647
3725|408
5530|572
4343|23513
7186|6426
26523|56957
1030|8099
472|79791
24148|5496
5578|7832
8625|11331
408|7533
23299|23299
23414|3065
5580|5770
672|1874
3185|51340
409|4214
4609|3066
10381|7018
11171|11218
207|6789
51720|79184
7536|7332
7046|9043
2335|16
3309|5728
5581|7416
7532|5295
6188|6194
5599|7529
4851|9253
79084|4086
3396|10939
4683|2956
51377|29844
2033|3516
7186|9821
5590|3320
1072|5052
1956|5594
5499|8493
7019|64216
4090|5782
5300|2280
55611|7428
4170|637
9611|2874
6714|5786
80762|5728
5295|3717
4218|7917
2768|5578
51701|51701
5911|10212
5500|1660
4343|64783
1676|5413
23542|10939
4193|5932
153090|207
192669|27161
23020|4670
79631|573
6198|983
10928|92
5422|7157
7428|2896
4343|5316
3726|334
2004|2885
9444|9444
6885|9448
3295|6648
8766|9727
2625|5469
207|8682
9093|10498
868|148022
5292|5300
5496|7536
1432|6464
4691|7416
10014|4830
6722|5970
1432|55031
7048|7189
3065|4609
6497|23411
409|6733
648|26523
8829|8829
4824|10116
5792|3728
10987|6464
1385|7157
2874|3187
1192|4292
83737|219333
4092|8237
10658|351
1017|3187
672|2969
8204|10014
6667|4609
5170|3611
8945|25937
409|7531
5908|3831
1856|387
7428|92906
3655|6464
7157|5931
26524|7532
8945|4193
25942|25855
6194|7428
4163|55611
396|6714
8452|7431
26060|3065
4609|2956
4217|11315
4088|7874
126374|7428
3320|7046
51340|23020
6794|1967
2335|4691
1499|3065
5025|9653
6840|4831
2060|8867
7048|1616
5728|7157
1499|5782
11186|7874
7337|302
2068|2068
23435|29102
2060|9253
6615|8945
5594|3845
5728|8503
8451|7184
328|382
6231|6189
5058|572
29844|29844
8452|23636
207|5578
7430|9368
2885|302
8452|8531
1655|10291
10049|351
4728|5245
9821|6497
23020|9736
27429|9113
5058|3320
811|351
8451|6188
323|538
331|836
5058|7431
10848|10848
10499|3091
5500|5577
207|25998
4791|92609
6733|10212
10452|581
8697|983
55366|56957
5335|2885
5580|7431
1051|7157
2768|9826
65018|56993
5154|6667
55201|567
5018|5018
7430|8767
9702|3320
55366|23513
10987|6189
10987|351
23291|3178
4089|5898
4609|23020
4087|4976
2045|2782
6497|6188
5601|207
5594|6464
5578|7431
8945|27327
6188|7186
2309|1499
334|5601
5830|5828
1147|5970
2734|5970
11338|29115
331|7332
5598|7157
1017|8450
409|1072
2534|3655
1147|8239
8452|5500
84168|5609
5525|6464
2335|27316
1017|2950
572|665
5119|5119
11315|8772
4343|402
81620|51343
23043|6885
7879|1072
1969|7046
4853|3516
26999|10163
6207|6194
51144|5245
2885|6742
2060|2060
672|7013
54960|6636
374291|409
472|5524
51720|5932
2335|11331
595|896
7050|3725
23291|51366
23236|5594
6714|868
5728|5608
10755|54910
7531|27018
7531|9846
3064|1499
6416|2317
79084|4824
79594|79594
3725|667
3622|25942
3396|7419
29079|23085
4088|23592
4088|9191
4609|8985
5598|5371
7531|7040
2889|5908
1616|7874
10987|6597
29896|51593
4133|87
10291|23543
51564|51564
4343|4643
192669|3301
9372|89941
4830|4830
10014|6885
4048|23411
3315|5568
6794|2011
10291|6426
3685|7057
5530|5728
6237|5900
2908|3320
648|8531
3064|51100
2353|5300
5581|581
3178|3849
2898|6386
637|578
6885|23085
1432|9564
4089|5268
2908|7337
7337|5914
6850|7189
10763|7431
9270|351
4204|6497
3265|51196
3611|4670
351|1072
5578|7157
6502|7528
5300|1017
9821|4217
54820|983
10210|5879
3320|4926
11171|3364
5594|3091
5594|2950
7023|672
6872|8295
5770|1956
2059|26258
10498|6597
6502|1017
23263|23405
5296|351
6464|4915
8766|9230
