EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5300|81628
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
55366|23310
1432|2004
10664|3146
1432|8945
5469|5469
10672|7046
26227|2885
396|226
5879|4627
23405|3329
3915|3912
5335|5921
9516|23327
1650|3703
672|2355
2885|2887
1499|5494
3275|6256
6729|6729
7879|57403
22955|8467
513|509
2288|10728
84661|10565
5499|5568
22976|10111
4771|6895
6492|3320
1017|3398
2885|3329
7157|2648
2734|5966
4090|23451
4629|10096
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
5747|4193
6045|55759
960|573
648|11171
3654|3315
996|996
1213|4790
54778|7508
9218|4720
10049|10013
10458|55971
2537|351
5566|1385
54984|7430
6461|6714
7157|5110
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
3171|1832
6714|4133
1020|351
5333|801
6714|5295
4627|302
124583|124583
57154|3622
1017|6120
23411|5906
4087|23557
10458|55740
3717|3320
5603|7157
1213|409
5599|6464
3065|3320
3064|83737
5300|4303
29127|5116
1022|2068
2730|3665
7531|678
324|598
635|635
1937|4193
25855|351
30827|80335
10013|4615
83706|79753
5595|6548
8452|7072
3981|1278
10856|29110
8766|3064
5701|5693
4086|2648
57154|7186
10163|10096
1147|8717
1051|1387
7337|301
7184|10399
1786|30827
10399|6774
5594|7157
4088|3727
208|9545
226|226
4831|10856
4086|58533
2034|56897
10006|5296
6809|6809
7428|23032
3667|55023
3643|5580
23020|23020
1958|6647
4086|655
1432|6774
514|93974
3958|5781
1191|5444
4651|805
2185|6774
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
4038|25861
55366|4297
6772|3326
5581|6868
4193|57154
6777|351
8837|868
1969|1213
2034|2010
655|657
4218|117177
1831|3065
2547|3064
3065|2969
498|6199
5601|9031
3065|7428
29116|81628
3398|7849
5914|23411
3659|4193
27346|6814
83737|51429
8976|4690
5532|7942
3320|1019
8517|396
8682|8772
9531|51022
5530|6257
207|23327
5606|9479
29116|7334
23263|6194
2353|351
6789|9218
3801|10540
1956|6850
939|56913
23515|54476
8751|7525
1856|8878
3065|3297
1196|672
10155|5460
7186|10758
1017|3146
5052|51
6050|283
472|10155
5295|1969
5970|7052
4193|55967
26227|6453
10755|613
23433|57120
5580|6944
4176|7337
4830|983
8737|8517
3309|23636
672|23512
23327|79176
5716|8440
1832|5663
10728|7189
4615|4088
4331|2967
311|4282
3685|7040
23411|4092
509|9551
3091|613
7414|10381
55294|55294
5467|5970
5829|84661
4214|10049
2316|7532
1855|1499
1385|6722
2068|983
4436|8517
4728|11331
5290|6772
7187|329
6733|8726
6934|7248
23411|3309
7046|7040
8737|329
7494|7494
1017|57591
4170|3312
7072|5094
10755|5578
6464|7175
1020|7917
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
6789|23085
51451|5516
6944|3276
1956|5802
84661|87178
208|7249
4700|4724
7494|2648
6774|6778
5829|102
3320|8473
1956|5604
5925|7849
3688|7414
5747|7132
2309|57708
4163|23020
847|6786
79084|6597
2353|5536
1386|306
7189|51135
5914|5469
1278|960
22954|29979
409|10381
7428|1856
1969|9525
7428|5580
396|1967
196|4094
4609|4609
3611|79888
3661|2308
3398|5925
6272|10542
55145|5074
8945|55759
5879|10928
1017|8531
1386|7416
1017|5094
3655|3915
2908|10013
3065|3326
5663|348
7335|331
3925|5568
409|6714
675|2316
578|7416
3315|5898
9516|29979
3309|6667
7528|351
871|7171
4790|8837
3312|4791
5966|801
5295|2033
3315|9588
1054|1017
9070|2033
5224|5223
1147|5499
2683|3728
10572|27
7046|4087
10253|10817
1020|3326
5663|7046
5970|595
6772|3654
6714|6778
11104|51750
8820|9612
1027|1019
10459|51343
1191|11130
7249|5747
7157|1958
498|93974
1739|23095
25932|5966
7419|509
6498|51592
9775|4089
351|4609
10013|3320
4851|5928
10241|3142
1201|51144
54541|55183
8440|23043
1385|3066
7319|7319
4282|54984
51111|51111
4627|8767
10919|6015
2107|8894
6310|55072
57506|6772
5295|3265
5335|6714
56829|351
409|1019
409|5594
2054|27230
10111|4691
509|7416
3315|6667
3611|2746
3146|3148
3326|7186
7416|7416
861|1387
4085|4085
8726|1072
2752|10114
10672|2185
11130|9183
351|4763
2885|6237
409|3312
1051|1054
6667|23636
10379|10379
5906|396
57154|2547
10728|2065
149041|7332
408|6093
23512|10397
7157|83737
4691|5094
6497|3329
1857|79753
79813|83852
1385|1051
5716|3320
4790|4791
864|4851
476|509
10159|23770
6272|54840
4976|664
311|7001
4000|4926
9531|3326
808|8717
8312|7248
6497|4691
3312|5217
3099|6720
23263|23451
6045|7528
847|3295
11124|10196
3912|43
2064|983
3276|1153
6310|11030
7453|7453
28996|28996
23043|23287
2192|10252
5599|23411
5300|55201
83547|83547
4983|5879
9531|4175
5310|9564
7155|983
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
664|7052
3643|8878
1386|10972
148281|8567
10010|9546
310|7157
4790|801
9653|128869
408|1213
23512|3983
5595|6667
3312|7416
4176|4176
5879|7410
4088|5371
8891|8531
8726|5879
408|498
2118|2629
4952|1213
65057|51119
5914|23512
1365|5566
4609|8878
9572|351
5604|2887
10381|55023
8452|83695
2355|3925
3299|3297
6045|23020
23512|6045
1020|55083
4086|4853
4087|93649
648|4830
128|351
3320|405
1936|1937
7528|1387
3801|91949
6275|331
11124|1650
27|10152
515|7189
51026|5119
522|539
10600|2353
10664|351
9545|351
4088|57680
5693|5683
23126|10459
2782|2534
23481|23481
23054|1387
5170|5604
4193|6597
8767|8517
65057|677
5925|3065
1017|539
4292|4728
3399|10817
7319|966
672|2316
5925|996
1948|8892
1956|808
23414|5928
5515|4215
4194|351
509|514
8751|23636
672|7168
6591|3065
2302|5991
10542|55183
3717|6513
5601|3726
2885|7532
2885|966
3717|5954
1717|3326
2752|204851
4628|4691
10458|10458
10131|4089
311|306
1017|2896
4792|4792
9531|58478
998|9230
22955|22955
1432|58508
1022|9794
2316|960
1650|6194
10458|10006
10381|2885
25865|4086
4486|7525
3065|9070
80335|11091
7410|23126
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
65018|7052
2309|9181
226|2739
801|58533
112398|112398
1017|5604
6548|7132
3661|7187
1499|10498
10159|387
5594|5213
7703|22955
5460|7026
7184|3309
3065|5929
8452|2730
3845|8945
578|7337
3091|6714
2023|43
7428|6513
1956|27
2355|80204
5976|81542
3958|351
4690|6655
2302|80204
11140|8878
54778|7188
3925|5603
1499|4771
6794|79155
1432|572
7879|5119
8726|7175
226|6648
7879|9114
5536|10672
9693|3832
6045|801
2010|4000
56957|79155
373|5296
3845|351
57506|6714
3956|2969
23411|9611
5747|6714
2321|5335
4609|5601
4000|9031
1387|7157
10253|10252
9611|10155
9577|10342
3655|351
2885|26999
334|5578
11104|3320
27086|7157
2033|9500
4086|7508
387893|5928
5728|331
8837|4088
57154|10540
7531|6885
23191|3312
1017|1603
5599|3297
409|4691
7001|2956
116143|5499
4087|5601
2316|4000
5566|5568
8239|9020
8837|7157
7531|805
10892|7189
22882|22882
498|514
148022|10498
25930|1956
9255|351
8452|23770
1499|604
847|351
7398|7398
324|4646
58508|79813
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8878|5701
8945|10277
509|1956
2908|2782
5524|22948
6714|1072
6696|3688
2908|5598
353376|51135
7168|7184
5213|5211
5316|6929
3309|10542
2011|23303
5585|5585
9079|51564
5371|5300
79155|1147
11284|23287
8772|8772
229|229
2885|5530
2896|51701
10580|4609
10460|3832
373|84919
6468|22948
10163|8976
26060|3397
3726|672
57142|6714
7186|8772
5451|351
8452|3251
7132|5879
3163|2908
4609|5701
672|5970
5906|3065
51592|8861
10856|6502
81929|22948
4860|7157
648|10270
3297|4831
4700|4728
3654|8772
2353|2962
8452|51119
522|93974
3315|7157
5908|9757
1643|2547
8613|351
539|9551
6850|5296
3064|2885
3326|3312
5295|153090
983|3146
8726|4627
6199|3276
5598|7531
8452|22836
6648|7001
2494|5566
23557|8943
4734|6198
9775|10494
578|598
672|6597
10014|9588
329|329
2277|8754
4724|4710
27429|4976
8878|9611
7188|11140
4193|23451
29110|498
5287|6464
10458|26999
2033|4094
1956|7531
64783|7919
5594|5925
10856|9020
54872|351
8452|1798
515|509
409|3326
5728|1399
51141|29979
5566|6514
6468|4173
7132|808
11124|11124
2023|3066
10155|6778
2885|5747
90780|207
5781|2185
3065|7431
5599|3725
604|6597
3280|3320
1956|8813
4163|8517
9230|5333
1956|8892
20|6667
2534|4690
28996|8717
6929|2033
409|6772
648|6733
5530|998
3146|5578
10253|2885
28996|3065
672|51451
3065|5087
1027|7531
4000|2547
10787|4690
9474|8772
4087|4090
4628|8766
9612|1051
4627|4791
2034|11331
4609|128239
23162|9479
23263|6210
4221|4221
7879|8766
2023|48
84447|4627
351|2192
8726|1936
207|2033
55294|4644
6733|29116
302|351
2889|2885
2889|6655
57154|7431
3309|7186
4218|10938
3065|5914
6733|79576
29789|10419
4193|79813
351|1191
2549|6464
6199|4076
4092|4734
3309|3398
7184|9255
2023|6885
8517|5515
4176|5925
1213|7132
2932|23451
3727|4089
3202|9463
6667|9846
2534|8529
2033|208
1017|5976
4690|323
10014|5094
4790|7528
10783|10783
1147|805
7057|7422
10342|6714
64786|5868
3309|4691
51377|1832
10419|11140
7186|7531
11124|3611
4734|1020
7189|56957
8945|3182
1032|595
9451|9451
10419|11091
8312|28996
7205|5747
196403|196403
5631|51119
51026|998
6729|7518
6667|5599
5074|5371
10419|3065
3329|3688
5664|320
79594|207
23327|7334
2033|5371
539|515
1017|55636
6901|4041
6774|4086
5581|1832
10159|8766
6774|9261
5352|23075
10628|3065
4830|6095
509|55967
3958|871
54602|2534
939|7187
29110|4791
23411|6720
3667|5291
672|9093
5108|10458
1017|7168
7532|5289
581|331
2648|4830
5728|5728
3275|30827
3612|5333
7013|396
7186|8204
10938|8539
9479|5599
5865|801
208|842
4627|64428
7013|1936
9500|9500
5970|9093
51429|51429
7013|4926
10919|7157
2590|6210
10919|58508
1017|10972
4831|25824
2969|5928
83737|5460
10006|1399
5499|25998
4609|23318
5300|6647
2264|6774
23673|113878
3725|408
5530|572
6774|3066
5585|117177
2969|4792
54984|7013
4089|4790
10006|868
5578|7832
23299|23299
1019|3832
23414|3065
54984|801
29110|3665
7188|4217
8452|23451
672|1874
598|842
409|4214
5594|7132
4609|3066
10381|7018
207|6789
5451|4331
7536|7332
3309|5728
5581|7416
7532|5295
1386|22948
11284|351
4851|9253
4194|10111
79084|4086
4683|2956
2926|539
2033|3516
9775|79084
10725|5335
1072|5052
4700|7917
1956|5594
5499|8493
1387|1385
5300|2280
3611|8813
4297|5364
80762|5728
5295|3717
4218|7917
2768|5578
51701|51701
5460|3146
22882|5604
4087|476
23542|10939
23560|23212
4627|81844
10270|10856
4700|4710
7132|7187
1936|5716
2734|4790
153090|207
8878|1500
54106|81622
79631|573
6198|983
7013|5110
10928|92
1017|3832
54602|4734
64428|351
10051|3981
6733|1022
7428|2896
8751|6714
4780|10155
10856|26060
3726|334
2004|2885
2752|2885
9444|9444
8452|22948
805|805
51684|8554
3295|6648
801|8767
8766|9727
2625|5469
207|8682
9093|10498
868|148022
1017|10632
1432|6464
7178|7178
1386|7532
6774|5970
7013|55971
4691|7416
10014|4830
6722|5970
2889|6574
1432|55031
7048|7189
3065|4609
6497|23411
409|6733
8829|8829
8737|54476
4824|10116
655|92
1385|7157
2023|8767
6497|3312
358|5578
29979|51499
10540|81929
1936|5295
11331|6210
595|996
10342|5603
9564|1399
1956|27346
196|9612
7186|7525
54106|7096
5289|10155
672|2969
8204|10014
6667|4609
8452|488
5170|3611
5983|9463
8945|25937
2065|7410
409|7531
5585|7186
1856|387
373|522
5130|6284
3655|6464
1856|7525
4194|2033
3720|10919
1022|5867
1386|7171
8945|4193
10758|7335
7132|5295
6194|7428
2064|6774
396|6714
1387|604
1385|6196
7525|9846
8452|7431
23390|5295
4790|1191
26060|3065
4609|2956
4217|11315
4193|10206
7157|23481
10626|351
3320|7046
7186|801
3606|836
6794|1967
2316|5499
3320|6196
6275|6275
1499|3065
1387|672
10919|4690
5025|9653
5728|7157
10155|51592
8467|9031
9918|64151
1956|5573
389|7189
7337|302
1072|2023
8694|8694
2068|2068
3925|54984
1017|7175
6615|8945
5594|3845
8805|5371
10342|25836
5728|8503
10592|3065
7942|522
8452|23636
6210|9020
51119|7419
207|5578
7430|9368
2885|302
648|521
8452|3858
8452|8531
9463|9775
7703|6015
10049|351
7703|6045
23673|10938
54476|7100
7508|2071
4088|2547
8726|3148
5829|2185
323|538
55600|55600
331|836
10848|10848
2534|23028
1153|27339
207|25998
5908|11124
8697|983
55366|56957
5335|2885
4791|5693
5580|7431
1051|7157
5154|6667
23054|22976
1739|4215
55201|567
5018|5018
7430|8767
9702|3320
4000|1499
55366|23513
1786|83852
6548|6885
3064|3708
10111|2648
6210|9775
1072|476
4089|5898
4609|23020
4087|4976
6199|2969
2045|2782
6667|7171
51026|966
85365|22872
5601|207
5594|6464
5578|7431
4000|4000
3801|4176
2309|1499
334|5601
10856|2885
5830|5828
1147|5970
2734|5970
331|7332
5598|7157
311|302
10598|3312
801|8878
394|5829
409|1072
2534|3655
1147|8239
8452|476
672|405
1017|2950
572|665
9612|1874
5119|5119
8473|1399
11315|8772
5585|5929
23043|6885
7879|1072
1969|7046
7419|9114
4853|3516
26999|10163
7168|7171
6045|2734
672|7013
10632|9551
6453|8867
2885|10342
3065|8467
5991|5991
472|5524
1213|7532
595|896
7050|3725
9463|79158
5110|7189
23236|5594
6714|868
208|4486
7531|9846
3064|1499
8795|80762
79084|4824
79594|79594
3725|667
1119|351
4792|5300
4088|23592
4609|8985
5598|5371
8945|9612
7531|7040
2889|5908
51564|51564
7013|57680
581|2074
23512|8467
8301|55589
4830|4830
10014|6885
3315|5568
6794|2011
3685|7057
5530|5728
6237|5900
6929|7391
2908|3320
3312|7052
648|8531
7052|836
3064|51100
2023|23310
10783|6198
58508|11091
3661|10522
2353|5300
5581|581
114609|28989
6885|23085
3312|4088
2023|3312
1432|9564
6929|805
8452|805
30827|84661
25796|3612
7335|22954
207|4194
4792|26259
4089|5268
2908|7337
7337|5914
6850|7189
23512|79784
7334|331
4204|6497
3265|51196
351|1072
5578|7157
6502|7528
5300|1017
7157|7508
1653|149041
6772|58533
10758|7189
9775|5052
54820|983
3320|4926
11171|3364
5594|3091
5594|2950
4609|1653
7319|4193
4824|5928
10498|6597
8726|10111
6502|1017
23263|23405
5296|351
8766|9230
5728|10381
7428|5928
5595|7421
8452|11091
6272|1967
10939|351
2494|1385
6199|1072
9702|351
11091|29127
2935|4163
4771|9368
5587|3725
10580|5747
3665|10155
4609|4780
5580|5170
2316|2778
5580|2931
1017|302
1832|4791
324|1936
10131|25824
5911|5911
1956|7186
7525|23299
9092|23020
3516|8473
396|3182
3832|4297
861|861
10818|10253
387|5566
6714|7430
7531|9181
80335|9757
5599|56940
2033|11171
8697|6874
5300|5914
391|4089
3326|4691
983|3832
5868|5868
28989|5335
51026|27032
4690|8646
358|7248
1856|79753
7531|8239
1017|3925
4087|3665
4734|79039
1605|5295
1017|675
675|23047
9611|861
23542|6199
1017|85440
2308|23411
1909|4170
10014|4175
3315|5566
3065|8820
