EntrezGeneID1|EntrezGeneID2
26039|6597
57154|3309
5879|23568
5300|81628
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
6477|5932
10801|9217
5310|87
55366|23310
149041|7327
6259|5591
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
5469|5469
10014|7037
10672|7046
26227|2885
55832|1832
5879|4627
3309|27000
2074|55832
7412|16
351|2258
23405|3329
3915|3912
84687|5499
5335|5921
5894|598
4869|498
1019|1457
672|2355
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
153090|8454
7879|57403
22955|8467
513|509
5499|5568
7319|1029
118|3398
4627|54822
22976|10111
4771|6895
1017|3398
2885|3329
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
11034|25824
4629|10096
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
5747|273
10252|868
8452|4976
10938|5591
5921|309
7412|8775
5747|4193
7157|51741
7322|2060
14|10076
960|573
5467|8202
648|11171
3654|3315
7532|8451
996|996
56897|5424
1213|4790
54778|7508
1647|983
4734|7322
9612|8202
8451|8467
10049|10013
7874|7874
9978|3312
3476|79840
166|55072
10458|55971
2537|351
26270|3074
5566|1385
2885|6764
3320|5871
54984|7430
5062|5683
6303|8525
6210|79084
4851|5664
2549|5829
3171|1832
3661|64750
6714|4133
1020|351
5516|3476
10325|64121
5333|801
7358|983
6714|5295
54583|6478
5871|6416
26276|351
4627|302
4221|25942
7322|115426
57154|3622
3265|8036
25836|5538
5914|6477
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
55743|6596
3717|3320
7324|11342
5603|7157
1213|409
5599|6464
3065|3320
7444|5599
3064|83737
5300|4303
2885|5930
29127|5116
51377|7295
1022|2068
2730|3665
8945|51741
6478|6774
324|598
5591|5052
1937|4193
81559|7322
10013|22985
25855|351
10013|4615
5595|6548
79791|595
8452|7072
9463|57159
3981|1278
10856|29110
10014|3837
1956|29911
8766|3064
1432|4209
6478|8841
1153|7094
5701|5693
6102|1454
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
9099|9361
1017|9113
10163|10096
7337|301
7184|10399
23640|7186
3725|7443
10399|6774
5594|7157
4088|3727
1453|1855
4831|10856
26270|5538
4086|58533
2034|56897
10987|9097
22920|55696
10006|5296
10987|81620
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23020|23020
1958|6647
1432|6774
6732|8531
51366|2932
25924|4647
7532|673
514|93974
3958|5781
81542|7295
6733|9648
4824|7089
7874|3431
1788|130557
1191|5444
4651|805
2185|6774
156|5603
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
9657|51552
4038|25861
55366|4297
4790|5607
672|79035
6772|3326
5581|6868
4193|57154
6777|351
7412|2782
8837|868
1969|1213
2034|2010
1147|9043
4218|117177
1831|3065
10987|7186
7874|4193
2547|3064
6886|2547
3065|2969
