EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
5300|81628
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
5310|87
55366|23310
6259|5591
1432|2004
11051|3066
1432|8945
55294|29079
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
396|226
5501|351
5879|4627
23405|3329
3915|3912
6262|5500
5335|5921
9516|23327
5894|598
4869|498
1650|3703
1019|1457
672|2355
2316|71
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
7879|57403
9146|90390
513|509
2288|10728
5499|5568
4627|54822
22976|10111
4771|6895
6492|3320
1017|3398
2885|3329
4734|6189
1660|23405
7157|2648
2734|5966
9113|10413
9131|3303
6733|7957
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
10938|5591
7415|51366
5921|309
5747|4193
7157|51741
4700|4722
14|10076
960|573
5467|8202
3654|3315
996|996
7415|1019
1213|4790
5501|7415
9612|8202
9218|4720
10049|10013
3476|79840
26574|1613
166|55072
10458|55971
2537|351
3621|5931
5566|1385
2885|6764
3320|5871
54984|7430
5062|5683
6303|8525
6461|6714
3861|10152
6210|79084
4851|5664
2932|8517
2549|5829
4778|5195
3171|1832
6714|4133
1020|351
5516|3476
10325|64121
5333|801
6714|5295
54583|6478
5871|6416
3054|3320
4627|302
23363|4361
26524|7533
124583|124583
7917|710
3265|8036
1017|6120
25836|5538
5747|4756
2040|2040
324|8658
23411|5906
10488|638
4087|23557
10458|55740
3717|3320
5603|7157
1213|409
5496|3925
5599|6464
8452|4722
3065|3320
7444|5599
3064|83737
5300|4303
51377|7295
1022|2068
55128|22861
2730|3665
8945|51741
7531|678
4899|23126
6478|6774
324|598
5591|5052
1937|4193
10013|22985
25855|351
10013|4615
83706|79753
5595|6548
11218|23405
2132|23418
7415|5245
8452|7072
5108|55081
5245|6189
3981|1278
10856|29110
10014|3837
637|834
4869|5501
8766|3064
1432|4209
3486|960
6478|8841
5701|5693
6102|1454
4086|2648
7957|1967
57154|7186
9099|9361
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
3301|4790
3725|7443
10399|6774
5594|7157
58|5879
4088|3727
1453|1855
226|226
4831|10856
335|84867
2034|56897
10987|9097
22920|55696
6809|6809
7428|23032
3667|55023
3643|5580
23560|6189
2132|2132
23020|23020
1958|6647
444|5154
1432|6774
7415|79058
51366|2932
7532|673
514|93974
3958|5781
81542|7295
4824|7089
1788|130557
1191|5444
4651|805
2185|6774
57154|5518
156|5603
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
6257|7415
4038|25861
4790|5607
5581|6868
4193|57154
6777|351
8837|868
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
2243|5581
3065|2969
498|6199
5601|9031
3065|7428
7251|4193
29116|81628
3308|3337
4683|3843
5914|23411
328|6418
29079|8878
3659|4193
27346|6814
83737|51429
26259|23363
8976|4690
29127|4294
5532|7942
9262|351
3320|1019
8517|396
23580|10801
3312|10808
7273|7416
8682|8772
3621|7157
9531|51022
5530|6257
3315|23363
5594|6640
207|23327
5606|9479
336|8694
2885|3868
29116|7334
9218|5245
23263|6194
2353|351
6789|9218
3801|10540
7013|28988
1956|6850
939|56913
9063|9063
7013|5496
23515|54476
1856|8878
3065|3297
23291|10413
1196|672
26973|2288
10155|5460
7186|10758
396|637
166|6733
1017|3146
5052|51
1956|2274
2081|9097
2335|5976
7186|9994
6050|283
472|10155
5295|1969
4193|55967
26227|6453
10755|613
23433|57120
5580|6944
4176|7337
28988|5610
166|11030
4830|983
8737|8517
3309|23636
23327|79176
5716|8440
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
2335|9775
4616|983
7094|9898
4331|2967
311|4282
5500|3983
1457|1965
1031|55183
3685|7040
7919|9063
23411|4092
509|9551
3091|613
7414|10381
55294|55294
5467|5970
975|6418
4214|10049
51741|5914
5058|10472
2316|7532
7529|10787
6907|1499
1855|1499
9063|2908
1385|6722
1660|9020
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
23291|7832
1017|57591
4170|3312
7072|5094
5683|5682
10755|5578
1130|57060
6464|7175
1020|7917
5074|6523
9564|5770
5499|6502
4609|2033
1432|1956
1017|3983
10728|7266
6789|23085
81628|79718
1956|5802
208|7249
4700|4724
1022|2
7494|2648
6774|6778
5829|102
3320|8473
1956|5604
3688|7414
5747|7132
2309|57708
5500|1029
4163|23020
1017|7273
847|6786
3320|1613
267|9131
51564|79718
80331|10273
975|4869
2274|10522
79084|6597
2353|5536
1386|306
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22954|29979
2241|2065
409|10381
5610|1660
7428|1856
1969|9525
5516|9448
7428|5580
396|1967
5601|6470
2|22976
196|4094
4609|4609
3611|79888
7159|3308
3661|2308
3398|5925
6272|10542
10952|3337
55145|5074
207|5730
5879|10928
58|7187
1017|8531
1386|7416
1017|5094
3655|3915
1642|4926
2908|10013
5663|348
7335|331
3925|5568
9101|6778
409|6714
4292|9898
675|2316
578|7416
8452|3308
3315|5898
23368|672
9516|29979
3309|6667
26524|4851
7528|351
3837|267
5728|3303
871|7171
4790|8837
10987|3858
3312|4791
5966|801
5295|2033
3315|9588
1054|1017
5224|5223
1147|5499
58484|22861
467|55183
9218|10452
2683|3728
10572|27
7046|4087
1642|6772
23543|3202
5663|7046
5970|595
2885|835
5469|29079
23580|55752
335|2335
6772|3654
6714|6778
11104|51750
156|31
8820|9612
1027|1019
1020|5771
10459|51343
1191|11130
2243|5590
7249|5747
7157|1958
3303|4627
498|93974
1739|23095
25932|5966
7419|509
6498|51592
9775|4089
351|4609
10013|3320
4851|5928
7251|9146
8099|9463
54541|55183
10818|4915
51065|6188
8440|23043
1385|3066
4282|54984
7428|9821
55294|5500
11052|4076
23291|1213
4627|8767
9804|10452
5925|5894
51141|3303
6310|55072
57506|6772
5295|3265
7532|1198
5335|6714
56829|351
409|1019
409|5594
10111|4691
509|7416
1017|7915
3315|6667
2885|6189
4192|6772
3611|2746
7428|1270
3146|3148
7416|7416
861|1387
4085|4085
8021|87178
328|1642
2752|10114
10672|2185
3075|4088
11130|9183
1601|1855
351|4763
2885|6237
409|3312
10165|291
1051|1054
6667|23636
10379|10379
5906|396
11331|11218
7533|1198
3265|8315
10728|2065
149041|7332
8202|1147
408|6093
2023|4643
23236|5591
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
10645|805
1385|1051
5716|3320
3320|1457
3297|5591
4790|4791
6497|79718
864|4851
476|509
10159|23770
6272|54840
1627|667
4976|664
311|7001
4000|4926
808|8717
4869|497661
8312|7248
23394|23212
4216|5604
10413|7533
6497|4691
11051|1627
22800|5900
3716|6774
3312|5217
11052|23020
3099|6720
9804|7416
6331|801
409|5518
2185|309
4085|6189
7428|6189
847|3295
5609|9479
3912|43
5590|842
3485|7018
2064|983
6310|11030
7453|7453
28996|28996
9282|29079
5591|1147
1457|7448
23043|23287
60485|26524
2192|10252
3273|7132
712|714
5599|23411
5300|55201
5245|1627
5747|10273
83547|83547
4983|5879
9531|4175
5310|9564
7155|983
5292|6502
2132|6623
3603|3801
9440|7157
1457|3065
7818|7067
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
3643|8878
8649|5770
10010|9546
1956|92609
310|7157
4790|801
9653|128869
6199|3303
408|1213
8569|79155
5595|6667
3312|7416
4176|4176
5879|7410
4088|5371
8891|8531
5496|55696
7428|1291
1017|7415
408|498
998|4294
2118|2629
4792|5610
4952|1213
1365|5566
4211|5090
4609|8878
9572|351
5604|2887
4869|3956
10381|55023
4193|6872
3043|3043
2355|3925
928|961
3299|3297
5970|9131
2317|10540
1432|8841
5499|1454
5603|4216
1020|55083
4086|4853
149428|23557
4087|93649
648|4830
2885|5500
382|5226
4163|54205
128|351
1029|598
3075|7057
3320|405
1936|1937
7528|1387
6792|23499
3801|91949
6275|331
11124|1650
27|10152
515|7189
51026|5119
522|539
1984|6386
10600|2353
4088|57680
3396|10476
5693|5683
3661|3843
5058|5879
4627|1601
3476|22948
23126|10459
2782|2534
8841|11331
23481|23481
23054|1387
4609|9968
5170|5604
7186|2081
3476|4282
4193|6597
8767|8517
7159|301
207|3337
5925|3065
1017|539
4292|4728
5340|710
1616|4629
4791|5537
5792|8301
672|2316
5925|996
1956|808
23414|5928
4194|351
3315|3476
509|514
3066|3301
672|7168
3064|4294
6591|3065
284217|6288
5608|5970
10542|55183
9184|3837
3717|6513
7529|4763
5601|3726
2885|7532
2885|966
4609|7019
29789|3308
3717|5954
2752|204851
4628|4691
10458|10458
6640|128
8841|2874
10131|4089
5058|10174
10114|1616
311|306
6881|6881
1017|2896
9531|10174
4792|4792
998|9230
2316|960
1650|6194
4710|9804
10381|2885
25865|4086
4486|7525
6310|3308
4869|2034
3320|26058
7410|23126
3643|3643
4214|387
9577|7157
8440|10458
2309|9181
226|2739
1956|14
5204|7716
112398|112398
1017|5604
6548|7132
5683|7415
1604|2822
3661|7187
2155|2155
3163|3778
1499|10498
1760|5894
10159|387
22985|7532
8021|8021
1660|5970
5594|5213
5062|6194
7879|5245
5460|7026
7184|3309
8452|2730
3672|5771
5530|5520
2931|4077
6386|27284
3845|8945
578|7337
3091|6714
989|5966
2023|43
1956|7443
7415|572
54974|51100
26130|22821
7428|6513
1649|1051
9063|3725
1956|27
5580|7037
25865|5774
5976|81542
3958|351
4690|6655
55669|891
11331|6189
3603|7205
9618|1499
3925|5603
1499|4771
825|7273
834|22861
5496|7919
4214|2317
3643|5771
6794|79155
1457|55145
2274|7157
1432|572
7879|5119
226|6648
3956|26973
7879|9114
55752|7189
3309|5682
5536|10672
1029|3320
9693|3832
5501|7187
4216|6711
5518|4869
2010|4000
56957|79155
23363|23363
373|5296
4790|71
3845|351
8841|7155
57506|6714
836|9191
3832|79718
3956|2969
23236|6711
55366|71
10105|10277
5518|3312
23411|9611
5747|6714
7528|29844
2321|5335
3717|5782
5501|7171
4609|5601
4000|9031
1387|7157
1540|4646
10253|10252
8878|444
9611|10155
9577|10342
3655|351
1017|16
2885|26999
334|5578
11104|3320
402|23568
27086|7157
2033|9500
5728|331
1642|5928
8837|4088
57154|10540
5936|2034
7531|6885
23191|3312
1017|1603
5599|3297
409|4691
8452|487
7001|2956
9968|9968
2241|8503
4087|5601
2549|5782
472|6240
2316|4000
1660|64783
5566|5568
1627|85458
6386|8408
8239|9020
3320|16
8837|7157
55681|6189
998|23580
7531|805
10892|7189
22882|22882
1457|9049
9146|23636
4163|6801
114609|9173
22985|51755
836|637
498|514
7332|3308
148022|10498
23363|7919
9255|351
8452|23770
1499|604
847|351
324|4646
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8878|5701
8945|10277
509|1956
10014|7529
2908|2782
1965|836
2317|7415
51366|7164
4000|1636
6241|6261
5524|22948
10987|23318
6714|1072
509|5265
2908|5598
353376|51135
29079|29110
57154|3716
26060|5590
7168|7184
2155|8517
5607|2023
5213|5211
3837|5245
5316|6929
55366|487
3309|10542
2011|23303
5585|5585
9079|51564
5371|5300
4292|8930
79155|1147
7529|3983
8440|5648
11284|23287
7335|10273
929|9156
8772|8772
5894|3301
2885|5530
3654|9618
2896|51701
10580|4609
5500|1613
10494|5783
10460|3832
373|84919
10163|8976
26060|3397
6840|2040
805|818
3726|672
57142|6714
7186|8772
3308|5928
5451|351
8452|3251
7132|5879
1476|2317
3163|2908
6647|55681
4609|5701
58|7094
672|5970
9846|27040
5906|3065
3603|54764
51592|8861
10856|6502
81929|22948
4860|7157
6241|7251
5496|29079
2885|6294
648|10270
26524|222484
5058|6615
3297|4831
156|824
4700|4728
3911|5340
1195|5500
3654|8772
253980|387
2353|2962
673|369
8452|51119
522|93974
3315|7157
5340|3315
8613|351
10498|10808
539|9551
1386|9063
6850|5296
4086|9862
3064|2885
3092|5966
5295|153090
1385|818
1457|4205
983|3146
51741|26999
1499|1660
5598|7531
8525|3265
166|166
2033|7392
8452|22836
6648|7001
2494|5566
23557|8943
10273|7186
4734|6198
5911|5340
25970|3716
9775|10494
578|598
672|6597
10014|9588
329|329
2277|8754
4724|4710
27429|4976
6881|2648
5289|1627
10087|5587
8878|9611
29110|498
5287|6464
10458|26999
2033|4094
1956|7531
64783|7919
7295|23636
5594|5925
10856|9020
54872|351
8452|1798
515|509
5976|6188
4292|9131
51141|29979
7132|808
648|92609
11124|11124
2023|3066
1130|9968
5500|2317
10155|6778
2885|5747
90780|207
1017|7533
5781|2185
3065|7431
5599|3725
604|6597
3280|3320
23363|5094
29079|10540
1956|8813
4163|8517
9230|5333
23368|2064
3054|5500
1956|8892
20|6667
2534|4690
219771|79084
5610|5610
3488|3837
28996|8717
6929|2033
409|6772
208|335
648|6733
5530|998
476|6188
9775|3854
3146|5578
10253|2885
23542|5648
2778|60626
5871|7186
28996|3065
3065|5087
3638|3156
1027|7531
10787|4690
9474|8772
4087|4090
9445|197131
3603|3312
7529|498
4628|8766
9612|1051
4609|6742
4627|4791
51564|6907
2034|11331
1454|8312
6667|5339
4609|128239
149428|149428
23162|9479
1540|7189
23263|6210
4221|4221
7879|8766
2023|48
1627|3728
84447|4627
351|2192
10580|5062
207|2033
55294|4644
6733|29116
302|351
2889|2885
2889|6655
57154|7431
6199|6188
3309|7186
11315|4722
3065|5914
835|4193
6733|79576
10766|10766
7067|8841
351|1191
5663|834
1660|58
2549|6464
6667|4634
91|57154
6199|4076
10014|2806
4092|4734
3309|3398
7184|9255
2023|6885
6310|9898
4176|5925
9693|5783
1213|7132
6453|5204
1642|6502
3727|4089
3202|9463
403|197131
9968|29079
6667|9846
2033|208
4294|27
1017|5976
4790|5062
4690|323
10014|5094
5300|5770
55366|22985
4790|7528
23028|3303
81628|23291
8315|8315
10783|10783
2908|7251
2335|5683
7048|5792
1147|805
6478|51196
7057|7422
3320|780
10342|6714
64786|5868
335|5914
3309|4691
51377|1832
4627|7126
23028|5931
7186|7531
1965|8891
11124|3611
4734|1020
1054|468
7189|56957
1032|595
9451|9451
9967|9969
7415|9230
10987|5580
8312|28996
7205|5747
10987|6194
1540|10013
5594|5791
6256|406
4088|9862
5682|9670
7415|56897
51026|998
6729|7518
6667|5599
5074|5371
1213|5518
9099|10616
662|351
2040|5568
5911|9448
5058|961
3329|3688
5664|320
79594|207
5728|6386
23327|7334
2033|5371
539|515
1017|55636
6901|4041
8452|5610
6774|4086
5581|1832
10159|8766
23705|6386
6774|9261
5352|23075
10628|3065
4830|6095
89|672
222484|3603
10987|5052
4869|2023
509|55967
3654|10273
3958|871
2131|2132
54602|2534
939|7187
29110|4791
8841|5087
23411|6720
3667|5291
5058|5894
497661|6189
1649|1386
672|9093
5108|10458
3621|3066
2081|7132
1017|7168
7532|5289
1385|9063
581|331
2648|4830
5728|5728
4170|8658
3612|5333
7013|396
7186|8204
10938|8539
9479|5599
208|842
4627|64428
7013|1936
9500|9500
5970|9093
51429|51429
467|3399
7013|4926
2590|6210
4831|25824
8841|4790
2274|7189
2969|5928
83737|5460
5499|25998
4609|23318
4869|4869
5300|6647
3725|408
5530|572
6774|3066
7186|6426
1457|2997
2969|4792
1627|4644
54984|7013
1030|8099
4089|4790
3054|6722
114609|5610
7923|84869
5578|7832
