EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
57154|3309
5879|23568
6631|9775
261726|5537
9869|121504
5300|81628
51755|6434
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
6477|5932
10801|9217
5310|87
55366|23310
5110|7077
149041|7327
6259|5591
1432|2004
10664|3146
56254|51322
11051|3066
4343|8237
1432|8945
246184|51434
579|7091
55294|29079
7917|84292
5469|5469
10014|7037
7533|5062
10672|7046
1457|10772
26227|2885
6602|64599
1994|23405
23543|6311
595|5000
2624|161882
396|226
55832|1832
5501|351
4654|861
23081|3065
5879|4627
3309|27000
7514|2308
6733|11035
2074|55832
2932|9627
9968|9412
10921|10197
8775|8675
5936|83939
23405|3329
3915|3912
84687|5499
10933|3837
10905|11253
5335|5921
55729|7532
9516|23327
9618|10392
7529|3831
5894|598
4869|498
1650|3703
1019|1457
672|2355
2316|71
4361|2237
2885|2887
53981|6883
1499|5494
3275|6256
11051|55696
6729|6729
8454|6631
10197|55689
153090|8454
7879|57403
22955|8467
11030|167153
11004|3796
9146|90390
81847|7520
6871|10025
10987|8607
513|509
2288|10728
84661|10565
5499|5568
7319|1029
1994|151636
6423|10296
1676|9958
1734|1734
118|3398
4627|54822
22976|10111
4771|6895
6492|3320
51194|1810
1017|3398
2885|3329
3065|6883
10419|291
4734|6189
6601|5978
1786|53615
1660|23405
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
9131|3303
11034|25824
4629|10096
6733|7957
5747|1605
51160|613
2885|10492
11236|3638
51393|7442
4609|23085
10252|868
8452|4976
8233|23451
10938|5591
7415|51366
5921|309
86|79718
5747|4193
57403|259173
23363|8607
1896|27125
7157|51741
4700|4722
7322|2060
3178|2969
14|10076
6045|55759
960|573
5467|8202
23394|6601
648|11171
3654|3315
7514|23636
7532|8451
996|996
56897|5424
7415|1019
1213|4790
9181|10197
1270|3646
54778|7508
11035|2288
5501|7415
6118|7508
1647|983
4734|7322
203068|4691
1917|9040
6772|9559
841|23774
9612|8202
9218|4720
8451|8467
2645|51291
10049|10013
7874|7874
2072|3014
2023|3187
5970|8986
9978|3312
3476|79840
26574|1613
166|55072
10458|55971
2537|351
26270|3074
3621|5931
5566|1385
55183|7336
23503|29911
2885|6764
3320|5871
54984|7430
57616|60561
2033|2115
5062|5683
6303|8525
6461|6714
7157|5110
5566|5705
6210|79084
2932|6622
55759|55759
4851|5664
2932|8517
2549|5829
4778|5195
3171|1832
3661|64750
4171|7520
6714|4133
1020|351
27316|51340
121504|9682
4343|2202
5516|3476
10325|64121
5333|801
6714|5295
54583|6478
5871|6416
57514|7046
3054|3320
26276|351
23133|55183
23390|8675
4627|302
23363|4361
6789|259230
26524|7533
3692|7416
5130|9025
4221|25942
124583|124583
4171|4850
6631|10498
6622|55031
7322|115426
6732|4116
57154|3622
3265|8036
10014|27316
1994|387893
1017|6120
25836|5538
5914|6477
51548|2317
3192|79084
2040|2040
324|8658
6934|7520
23411|5906
57332|57332
54464|7538
2146|11059
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
55743|6596
1153|22938
10474|23028
3717|3320
7324|11342
6829|10498
1153|51747
5603|7157
1213|409
5496|3925
1994|7168
5599|6464
8452|4722
3065|3320
1660|84844
7444|5599
3064|83737
5300|4303
2885|5930
29127|5116
51377|7295
6208|6223
1022|2068
55128|22861
2730|3665
8945|51741
7531|678
4899|23126
6478|6774
89|8022
6045|2317
324|598
5591|5052
1937|4193
81559|7322
10013|22985
54556|8454
25855|351
5071|2060
6917|2962
30827|80335
10013|4615
83706|79753
5595|6548
79791|595
4171|1500
57154|3178
11218|23405
5747|4678
3692|5720
7415|5245
55759|7514
8452|7072
5108|55081
5071|4831
5245|6189
9463|57159
3981|1278
1994|6873
1602|6495
6118|6774
10856|29110
10014|3837
1956|29911
4343|6829
1288|351
4869|5501
8766|3064
1432|4209
51692|7532
24148|26986
6193|84844
6478|8841
1153|7094
5701|5693
6102|1454
10987|56254
3476|53615
545|6667
2771|5581
4086|2648
7957|1967
7322|26994
2966|902
57154|7186
201294|4000
25913|7531
9099|9361
4088|6601
1017|9113
10163|10096
3065|8360
1147|8717
1051|1387
2067|6879
8452|192669
7337|301
7184|10399
3301|4790
23363|81
1786|30827
23640|7186
4093|56652
8725|55929
3725|7443
10987|6631
10399|6774
2648|6877
26058|6631
5594|7157
8678|112869
58|5879
4088|3727
1453|1855
208|9545
226|226
4831|10856
8243|23476
51199|51199
26270|5538
7520|5494
4086|58533
3303|5704
2034|56897
4670|6636
10987|9097
22920|55696
1756|93664
23363|3276
10006|5296
10987|81620
7132|8363
6809|6809
752|51474
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
2132|2132
23451|51593
23020|23020
1958|6647
444|5154
1432|6774
7415|79058
23363|7341
3185|8504
6732|8531
51366|2932
7532|673
514|93974
3958|5781
81542|7295
6733|9648
2935|382
4824|7089
7874|3431
1788|130557
1191|5444
4651|805
2185|6774
8726|8289
57154|5518
156|5603
7428|4176
7531|3983
7132|9093
1432|5371
7321|27343
11315|204851
2034|25942
1026|3066
6257|7415
9657|51552
22916|51755
4088|4904
4038|25861
55366|4297
4790|5607
841|8878
672|79035
1917|6188
4093|23028
6772|3326
5581|6868
5733|6548
4193|57154
6777|351
10919|29119
9984|7402
8837|868
1969|1213
58517|6625
2034|2010
6654|53347
1147|9043
4218|117177
5532|3313
7979|55174
4292|5887
1831|3065
2023|2171
10987|7186
5371|6926
4843|6742
7874|4193
2547|3064
192670|10728
3313|3312
57634|80314
6886|2547
