EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
1855|8312
10206|396
10577|4864
5604|8837
6477|5932
5310|87
55366|23310
149041|7327
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
55294|29079
5469|5469
10014|7037
10672|7046
26227|2885
6602|64599
396|226
55832|1832
23081|3065
5879|4627
2074|55832
9968|9412
23405|3329
3915|3912
10933|3837
5335|5921
9516|23327
4869|498
672|2355
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
153090|8454
7879|57403
22955|8467
9146|90390
6871|10025
10987|8607
2288|10728
84661|10565
5499|5568
7319|1029
4627|54822
4771|6895
51194|1810
1017|3398
2885|3329
3065|6883
4734|6189
6601|5978
1786|53615
1660|23405
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
10252|868
8452|4976
5921|309
86|79718
5747|4193
7157|51741
4700|4722
14|10076
960|573
5467|8202
648|11171
3654|3315
996|996
1213|4790
4734|7322
9612|8202
9218|4720
10049|10013
5970|8986
3476|79840
26574|1613
166|55072
10458|55971
2537|351
26270|3074
3621|5931
6331|11060
5566|1385
2885|6764
54984|7430
6303|8525
6461|6714
6210|79084
4851|5664
2932|8517
2549|5829
4778|5195
3661|64750
6714|4133
1020|351
5516|3476
10325|64121
5333|801
6714|5295
54583|6478
5871|6416
23133|55183
4627|302
26524|7533
5130|9025
124583|124583
7322|115426
57154|3622
3265|8036
1017|6120
5914|6477
51548|2317
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
5599|6464
8452|4722
3064|83737
5300|4303
2885|5930
51377|7295
2730|3665
8945|51741
7531|678
6478|6774
5579|960
6045|2317
324|598
1937|4193
81559|7322
10013|22985
54556|8454
25855|351
30827|80335
10013|4615
83706|79753
5595|6548
11218|23405
5747|4678
8452|7072
5245|6189
3981|1278
10856|29110
10014|3837
8766|3064
1432|4209
6478|8841
6102|1454
10987|56254
3476|53615
2771|5581
4086|2648
7322|26994
57154|7186
4088|6601
1017|9113
1147|8717
1051|1387
2067|6879
7337|301
7184|10399
3301|4790
1786|30827
23640|7186
8725|55929
10399|6774
2648|6877
5594|7157
58|5879
4088|3727
1453|1855
226|226
4831|10856
4086|58533
10987|9097
22920|55696
10006|5296
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
2132|2132
1958|6647
444|5154
1432|6774
51366|2932
3958|5781
81542|7295
4824|7089
1788|130557
1191|5444
4651|805
8726|8289
7531|3983
7132|9093
1432|5371
11315|204851
4038|25861
55366|4297
4790|5607
5581|6868
5733|6548
4193|57154
6777|351
8837|868
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
57634|80314
1810|11091
3065|2969
498|6199
5601|9031
3065|7428
4683|3843
5914|23411
6598|55636
10933|86
29079|8878
3659|4193
27346|6814
83737|51429
8976|4690
29127|4294
9262|351
6502|997
8517|396
2261|5335
23580|10801
8682|8772
3621|7157
9531|51022
5530|6257
5579|983
5594|6640
207|23327
5606|9479
3066|83933
29116|7334
9218|5245
23263|6194
6871|2648
2353|351
6789|9218
3801|10540
7013|28988
79654|10892
1956|6850
939|56913
9063|9063
23515|54476
8751|7525
1856|8878
3065|3297
23291|10413
10155|5460
7186|10758
396|637
166|6733
5052|51
112869|9910
2081|9097
7186|9994
6050|283
472|10155
5295|1969
4193|55967
26227|6453
5966|6500
10755|613
23433|57120
5580|6944
166|11030
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
672|23512
23327|79176
5716|8440
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
311|4282
6772|55832
6879|2118
4700|9519
1031|55183
3685|7040
23411|4092
11091|51562
3091|613
604|9170
7414|10381
3065|2737
55294|55294
5467|5970
4851|51434
5829|84661
4214|10049
267|23295
51741|5914
5058|10472
2316|7532
367|4193
6907|1499
1855|1499
9063|2908
4088|64219
1385|6722
1660|9020
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
6733|8726
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
8850|10629
23291|7832
1017|57591
7072|5094
2335|10432
10755|5578
1130|57060
6464|7175
1020|7917
6275|23774
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
6789|23085
6944|3276
1956|5802
54764|57332
84661|87178
208|7249
8805|57332
4700|4724
7324|10425
1487|93986
7494|2648
5829|102
1956|5604
3688|7414
7431|11143
5747|7132
2309|57708
23291|2737
847|6786
11143|27154
51564|79718
975|4869
79084|6597
2353|5536
1386|306
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
1969|9525
8454|4193
5516|9448
7428|5580
396|1967
5601|6470
196|4094
51257|7328
4609|4609
3611|79888
23390|79654
3661|2308
472|6477
3398|5925
6272|10542
8454|29127
55145|5074
4090|7844
3093|7428
2624|6500
5879|10928
53615|3725
373|64333
58|7187
1017|8531
27005|9101
1386|7416
1017|5094
3655|3915
1642|4926
2908|10013
5663|348
7335|331
90678|3297
8440|23522
3925|5568
409|6714
6879|6879
675|2316
578|7416
23368|672
9516|29979
3309|6667
26524|4851
7528|351
3837|267
871|7171
4790|8837
2885|51185
10987|3858
56943|56970
5966|801
5295|2033
3315|9588
123169|6879
1054|1017
9070|2033
5224|5223
1147|5499
7321|8239
2683|3728
6733|55832
7046|4087
1642|6772
10253|10817
23543|3202
9252|2908
5663|7046
5970|595
2885|835
93986|116113
5469|29079
23580|55752
10956|10488
6314|3912
6772|3654
8820|9612
1027|1019
10459|51343
1956|7327
1191|11130
8517|51256
7249|5747
7157|1958
1487|9063
498|93974
1739|23095
25932|5966
6498|51592
8295|8454
351|4609
4851|5928
1201|51144
5727|2683
54541|55183
51322|7094
51065|6188
8440|23043
1874|367
6045|57332
1385|3066
7319|7319
4282|54984
51111|51111
7428|9821
11052|4076
23291|1213
4627|8767
10919|6015
1499|8850
6310|55072
57506|6772
5295|3265
5335|6714
405|9978
56829|351
409|1019
409|5594
1017|7915
3315|6667
2885|6189
3611|2746
7428|1270
150684|5966
7416|7416
861|1387
55612|51119
4085|4085
51548|22948
8726|1072
8021|87178
328|1642
56970|8464
7375|7046
8651|2261
11130|9183
1601|1855
351|4763
2885|6237
51434|1387
1051|1054
6667|23636
10379|10379
26994|9372
53615|80312
5906|396
11331|11218
3265|8315
10728|2065
149041|7332
8202|1147
408|6093
2023|4643
23476|9440
23512|10397
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
79813|83852
1385|1051
23429|9191
10075|1738
4790|4791
6497|79718
864|4851
10159|23770
6272|54840
1627|667
4976|664
311|7001
4000|4926
808|8717
4869|497661
8312|7248
10933|672
4216|5604
10413|7533
6497|4691
11051|1627
22800|5900
5932|5932
3099|6720
123169|7319
8726|10801
23263|23451
56957|27338
472|10444
6331|801
4085|6189
6045|7528
7428|6189
847|3295
5609|9479
3912|43
2064|983
11060|7322
23411|367
6310|11030
4734|6500
7157|959
7453|7453
28996|28996
9282|29079
5579|5601
23043|23287
54107|351
60485|26524
2192|10252
3273|7132
5599|23411
196|9978
5300|55201
5245|1627
5747|10273
83547|83547
4983|5879
65057|1627
5310|9564
7155|983
2132|6623
4091|1487
51257|57120
9440|7157
79885|10049
26270|4830
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
3643|8878
7325|9025
4791|6500
7326|10616
10629|27097
10010|9546
4790|801
9653|128869
408|1213
23512|3983
5595|6667
5879|7410
10075|32
4088|5371
8891|8531
8726|5879
7428|1291
408|498
998|4294
4854|11171
2118|2629
4952|1213
65057|51119
26272|26272
4854|2932
5914|23512
1365|5566
4211|5090
4609|8878
9572|351
5604|2887
7325|7703
4869|3956
5579|7037
10381|55023
11059|4778
4193|6872
2355|3925
928|961
3299|3297
2317|10540
1432|8841
5499|1454
23512|6045
5603|4216
1020|55083
4086|4853
5536|5930
6714|367
149428|23557
4087|93649
648|4830
382|5226
7323|4214
207|150684
7531|23476
128|351
1029|598
1936|1937
7528|1387
6275|331
51026|5119
29110|26994
1984|6386
9531|4678
90678|90678
10600|2353
6883|9913
9252|1387
10664|351
5241|1017
4088|57680
9618|11059
5693|5683
7322|9025
3661|3843
5058|5879
4627|1601
6241|29945
3476|22948
23126|10459
2782|2534
4665|6602
8841|11331
23481|23481
4609|9968
5170|5604
7186|2081
3476|4282
4193|6597
8767|8517
65057|677
7159|301
5925|3065
4292|4728
7375|10075
2932|367
373|7324
3399|10817
1616|4629
54926|396
11091|23309
7327|267
7319|966
672|2316
5925|996
4087|6601
7321|4214
8454|55904
1956|808
23414|5928
5515|4215
4194|351
4609|8454
3315|3476
3661|3815
1499|6500
8751|23636
3066|3301
672|7168
3064|4294
6591|3065
5608|5970
4313|5966
10542|55183
9184|3837
1017|55689
3717|6513
5601|3726
2885|7532
2885|966
3717|5954
4628|4691
10458|10458
6640|128
8841|2874
10131|4089
7917|51548
5058|10174
10114|1616
311|306
6881|6881
1017|2896
9531|10174
4792|4792
998|9230
22955|22955
1432|58508
10580|5241
2316|960
79885|3301
10458|10006
8726|1660
10381|2885
25865|4086
4486|7525
4869|2034
3065|9070
80335|11091
7410|23126
3643|3643
4214|387
9577|7157
6272|285590
8440|10458
2309|9181
9412|9282
226|2739
1956|14
2771|302
801|58533
5204|7716
112398|112398
1017|5604
6548|7132
3661|7187
7390|2730
26270|7531
5928|6602
1499|10498
10159|387
22985|7532
8021|8021
1660|5970
5594|5213
7879|5245
7703|22955
5460|7026
51701|8454
7184|3309
3065|5929
8452|2730
2931|4077
3845|8945
578|7337
3091|6714
989|5966
2023|43
54974|51100
26130|22821
7428|6513
1649|1051
9063|3725
8726|1788
5580|7037
3958|351
4690|6655
11331|6189
54778|7188
9618|1499
3925|5603
1499|4771
4214|2317
6794|79155
1432|572
26001|9040
7879|5119
7328|5970
8726|7175
226|6648
55752|7189
5536|10672
2280|1487
51548|3306
9693|3832
6045|801
6733|5930
4216|6711
2010|4000
56957|79155
150684|331
373|5296
81847|7322
3845|351
8841|7155
57506|6714
836|9191
3832|79718
3956|2969
23236|6711
23411|9611
5747|6714
7528|29844
2321|5335
4609|5601
4000|9031
1387|7157
1540|4646
10253|10252
8878|444
9611|10155
9577|10342
3655|351
1017|16
2885|26999
6895|9412
334|5578
7324|4214
402|23568
27086|7157
28988|8924
2033|9500
387893|5928
996|29945
5728|331
1642|5928
8837|4088
57154|10540
26994|11060
5499|6500
5936|2034
7324|4734
7531|6885
3622|64750
1017|1603
5599|3297
409|4691
7001|2956
116143|5499
9968|9968
996|51434
4087|5601
11091|6883
472|6240
2316|4000
1660|64783
5566|5568
1627|85458
6386|8408
8239|9020
1390|5578
8837|7157
55681|6189
998|23580
7531|805
10892|7189
51619|26001
22882|22882
9146|23636
4163|6801
836|637
148022|10498
9255|351
8452|23770
1499|604
847|351
324|4646
58508|79813
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8945|10277
11091|6601
2908|2782
9690|7321
3611|8607
51366|7164
6241|6261
10987|23318
5170|5579
6714|1072
6696|3688
2908|5598
353376|51135
29079|29110
7323|55159
115426|4170
7168|7184
5607|2023
5213|5211
3837|5245
5316|6929
3309|10542
2011|23303
5585|5585
9079|51564
868|3815
10629|6874
5371|5300
4292|8930
79155|1147
11284|23287
7335|10273
8772|8772
23326|27097
2885|5530
3654|9618
2896|51701
1027|8454
6874|6877
10580|4609
10460|3832
373|84919
6468|22948
9611|6602
10163|8976
26060|3397
2746|3164
6840|2040
805|818
3726|672
151636|3717
57142|6714
7186|8772
4763|9519
5451|351
8452|3251
56943|6881
7132|5879
55832|10664
3163|2908
6647|55681
58|7094
672|5970
5906|3065
51592|8861
10856|6502
81929|22948
4860|7157
2885|6294
648|10270
26524|222484
64783|9690
6883|8467
5058|6615
3297|4831
7157|1487
4700|4728
10477|10477
3654|8772
23295|4734
253980|387
2353|2962
8452|51119
6929|8295
3315|7157
5908|9757
8613|351
23327|997
8607|6944
1386|9063
6850|5296
11059|7323
4086|9862
3064|2885
3092|5966
5295|153090
1385|818
51741|26999
8726|4627
6199|3276
1499|1660
5598|7531
8525|3265
4088|8850
166|166
2033|7392
8452|22836
51619|7844
6648|7001
2494|5566
23557|8943
79577|1499
10273|7186
4088|55958
4734|6198
578|598
5702|2034
672|6597
10014|9588
26270|391
329|329
2277|8754
6045|10527
4724|4710
30844|90678
27429|4976
6886|54892
6881|2648
6601|6872
5289|1627
8878|9611
4193|23451
29110|498
5287|6464
10458|26999
2033|4094
1956|7531
54556|3309
7295|23636
5594|5925
10856|9020
54872|351
5728|1399
51141|29979
55294|9978
7322|8454
7132|808
11124|11124
2023|3066
5204|10629
1487|5058
1130|9968
6500|8517
2885|5747
2261|55819
90780|207
1017|7533
3065|7431
5599|3725
604|6597
9646|10579
29079|10540
1956|8813
54623|9646
4163|8517
4313|80781
9230|5333
23368|2064
1956|8892
5733|8893
10856|10902
20|6667
2534|4690
3622|5931
219771|79084
28996|8717
54880|84759
6929|2033
1901|207
409|6772
1956|2771
648|6733
10188|998
5530|998
476|6188
10253|2885
7319|23304
4214|3093
55284|55159
5871|7186
28996|3065
3065|5087
3638|3156
1027|7531
10787|4690
9474|8772
4087|4090
9445|197131
207|5579
4628|8766
9612|1051
8036|10075
4627|4791
4843|10728
23133|5914
51564|6907
2034|11331
1454|8312
6667|5339
4609|128239
149428|149428
23162|9479
1540|7189
23263|6210
9219|9690
7375|3956
4221|4221
7879|8766
2023|48
1627|3728
84447|4627
351|2192
8726|1936
207|2033
55294|4644
6733|29116
302|351
2889|2885
2889|6655
2534|27154
57154|7431
6199|6188
3309|7186
11315|4722
3065|5914
835|4193
6733|79576
10766|10766
7067|8841
4193|79813
351|1191
1660|58
2549|6464
91|57154
6199|4076
4092|4734
6722|9252
3309|3398
7184|9255
2023|6885
4086|8850
53615|8467
9025|10600
8517|5515
10075|3066
1213|7132
6453|5204
1642|6502
2932|23451
3727|4089
3300|538
403|197131
9968|29079
10116|9978
8454|4691
6667|9846
2033|208
4690|323
10014|5094
55366|22985
4790|7528
83737|10477
8315|8315
10783|10783
2335|5683
4780|5579
10014|55832
1147|805
6478|51196
7057|7422
10342|6714
64786|5868
3309|4691
51377|1832
4627|7126
23028|5931
367|10399
7186|7531
11124|3611
4734|1020
26270|7037
7189|56957
8945|3182
1032|595
9451|9451
9967|9969
10987|5580
8312|28996
7205|5747
10987|6194
1540|10013
6256|406
4088|9862
51026|998
6729|7518
6667|5599
5074|5371
55284|26001
662|351
11059|7321
2040|5568
5911|9448
5058|961
3329|3688
5664|320
79594|207
5728|6386
23327|7334
2033|5371
1017|55636
6901|4041
6774|4086
5581|1832
672|55284
10159|8766
57506|79654
54556|6502
23705|6386
3516|8454
10628|3065
4830|6095
10987|5052
7013|90678
675|79184
4869|2023
3654|10273
3958|871
2131|2132
54602|2534
939|7187
11052|6601
29110|4791
8841|5087
23411|6720
3667|5291
497661|6189
1649|1386
672|9093
5108|10458
3621|3066
2081|7132
1017|7168
7532|5289
1385|9063
9252|4790
10062|54556
581|331
2648|4830
5728|5728
