EntrezGeneID1|EntrezGeneID2
57154|3309
1855|8312
6477|5932
5110|7077
149041|7327
1432|2004
10664|3146
56254|51322
1432|8945
246184|51434
55294|29079
5469|5469
10014|7037
10672|7046
6772|7852
2624|161882
55832|1832
23081|3065
5879|4627
3309|27000
7514|2308
2074|55832
23405|3329
3915|3912
2885|2887
1499|5494
3275|6256
153090|8454
22955|8467
6871|10025
10987|8607
2288|10728
7319|1029
118|3398
4771|6895
1017|3398
2885|3329
3065|6883
4734|6189
6601|5978
1786|53615
7157|2648
11060|1605
9113|10413
4090|23451
5747|1605
51160|613
51393|7442
10252|868
86|79718
5747|4193
7157|51741
5467|8202
3654|3315
996|996
54778|7508
1647|983
4734|7322
9612|8202
8451|8467
10049|10013
5970|8986
3476|79840
166|55072
10458|55971
5566|1385
2885|6764
6303|8525
6461|6714
7157|5110
4851|5664
2549|5829
3661|64750
6714|4133
1020|351
6714|5295
54583|6478
5871|6416
23133|55183
4627|302
26524|7533
4221|25942
7322|115426
5914|6477
324|8658
57332|57332
2146|11059
6500|26234
7322|23295
10458|55740
7324|11342
6829|10498
5603|7157
5599|6464
8452|4722
3064|83737
5300|4303
2885|5930
51377|7295
6208|6223
8945|51741
7531|678
324|598
1937|4193
81559|7322
10013|22985
54556|8454
6917|2962
30827|80335
10013|4615
79791|595
11218|23405
5747|4678
8452|7072
5245|6189
3981|1278
10856|29110
6478|8841
10987|56254
3476|53615
4086|2648
7322|26994
57154|7186
9099|9361
4088|6601
1017|9113
1147|8717
1051|1387
7337|301
3301|4790
1786|30827
23640|7186
8725|55929
2648|6877
5594|7157
1453|1855
208|9545
8243|23476
10987|81620
6468|8454
7428|23032
57154|10188
3643|5580
23560|6189
1958|6647
444|5154
51366|2932
3958|5781
4824|7089
1788|130557
8726|8289
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
55366|4297
4790|5607
5581|6868
4193|57154
6777|351
2034|2010
351|5896
1147|9043
5532|3313
10987|7186
2547|3064
57634|80314
6886|2547
1810|11091
3065|2969
5601|9031
3065|7428
5914|23411
10933|86
81620|51433
3659|4193
8976|4690
29127|4294
5532|7942
9262|351
6502|997
5530|6257
7514|10856
5606|9479
3066|83933
29116|7334
6871|2648
79654|10892
1956|6850
939|56913
9063|9063
23515|54476
3065|3297
23291|10413
10155|5460
166|6733
1017|3146
7186|9994
6050|283
472|10155
5295|1969
5966|6500
10755|613
5580|6944
1616|3276
672|23512
5716|8440
5594|1978
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
7514|6772
4616|983
5599|3014
6772|55832
6879|2118
1031|55183
3685|7040
5108|6829
23411|4092
11091|51562
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
22985|51504
5829|84661
4214|10049
267|23295
51741|5914
6907|1499
1855|1499
9063|2908
4088|64219
1385|6722
2068|983
7187|329
6733|8726
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
8850|10629
23291|7832
7072|5094
5683|5682
10755|5578
1130|57060
1020|7917
4609|2033
1432|1956
1017|3983
7027|1387
8452|8450
165918|3014
6944|3276
1956|5802
54764|57332
208|7249
8805|57332
7514|54623
7324|10425
1487|93986
7494|2648
5829|102
1956|5604
3688|7414
7431|11143
5747|7132
11143|27154
51564|79718
7023|3148
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
8454|4193
7428|5580
8450|55832
196|4094
51257|7328
4609|4609
3611|79888
3661|2308
472|6477
3398|5925
5352|23039
8454|29127
4090|7844
3093|7428
2624|6500
4005|2624
53615|3725
6878|6878
7023|8932
1017|5094
3655|3915
5896|1642
2908|10013
5663|348
1017|2146
90678|3297
8440|23522
3925|5568
409|6714
6879|6879
4292|9898
675|2316
23368|672
3309|6667
26524|4851
7528|351
2885|51185
56943|56970
5295|2033
123169|6879
118|667
1054|1017
9070|2033
7321|8239
2683|3728
6733|55832
7046|4087
1642|6772
23543|3202
9252|2908
5663|7046
5970|595
2885|835
93986|116113
5469|29079
6314|3912
6772|3654
6714|6778
8820|9612
1027|1019
10459|51343
1956|7327
7249|5747
7157|1958
1487|9063
6498|51592
8295|8454
351|4609
4851|5928
5727|2683
54541|55183
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
51111|51111
7428|9821
4627|8767
10919|6015
1499|8850
57506|6772
5295|3265
5335|6714
5058|3014
405|9978
56829|351
409|1019
409|5594
3315|6667
2885|6189
150684|5966
1978|6925
3146|3148
861|1387
4085|4085
51548|22948
8726|1072
3313|351
56970|8464
7375|7046
1601|1855
351|4763
51434|1387
1051|1054
10379|10379
53615|80312
57154|2547
11331|11218
7514|9867
7514|9219
3265|8315
149041|7332
8202|1147
408|6093
23476|9440
23512|10397
23291|1020
3309|811
8445|9821
7157|83737
4691|5094
6497|3329
79813|83852
1385|1051
23429|9191
4790|4791
6497|79718
864|4851
10159|23770
1627|667
8312|7248
10933|672
4216|5604
10413|7533
6497|4691
5932|5932
123169|7319
472|10444
4085|6189
6045|7528
7428|6189
5609|9479
3912|43
2064|983
11060|7322
4734|6500
7453|7453
28996|28996
9282|29079
23043|23287
54107|351
60485|26524
2192|10252
4000|261726
5599|23411
196|9978
5300|55201
5245|1627
5747|10273
65057|1627
5310|9564
7155|983
5292|6502
4091|1487
9440|7157
79885|10049
581|255488
2885|3313
6259|2049
1856|3309
5460|5460
2885|3983
7325|9025
4791|6500
7326|10616
10629|27097
23512|3983
5595|6667
4088|5371
8726|5879
998|4294
2118|2629
65057|51119
26272|26272
5914|23512
1365|5566
9572|351
5604|2887
7325|7703
8452|83695
4193|6872
3299|3297
1432|8841
23512|6045
5603|4216
1020|55083
4086|4853
4087|93649
7323|4214
207|150684
7531|23476
128|351
1029|598
7528|1387
3801|91949
29110|26994
90678|90678
6883|9913
2309|5884
9252|1387
10664|351
9545|351
4088|57680
9618|11059
7322|9025
5058|5879
4627|1601
3476|22948
2782|2534
8841|11331
23054|1387
4609|9968
7186|2081
3476|4282
4193|6597
65057|677
6925|26999
7159|301
5925|3065
7375|10075
373|7324
1616|4629
7327|267
7319|966
672|2316
5925|996
4087|6601
7321|4214
8454|55904
4194|351
4609|8454
3315|3476
1499|6500
3066|3301
3064|4294
6591|3065
5608|5970
1017|55689
5601|3726
2885|966
3717|5954
4628|4691
10458|10458
8841|2874
25942|7468
7917|51548
5058|10174
10114|1616
6881|6881
4792|4792
22955|22955
1432|58508
2316|960
79885|3301
10458|10006
10381|2885
25865|4086
3065|9070
80335|11091
1647|4616
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
5204|7716
112398|112398
1017|5604
3661|7187
26270|7531
5928|6602
1499|10498
2074|5424
10159|387
8021|8021
7703|22955
5460|7026
51701|8454
7184|3309
3065|5929
578|7337
3091|6714
2023|43
1649|1051
9063|3725
8726|1788
5580|7037
3958|351
11331|6189
9618|1499
3925|5603
1499|4771
1432|572
26001|9040
7328|5970
3309|5682
2280|1487
51548|3306
6733|5930
2010|4000
81847|7322
8841|7155
57506|6714
836|9191
6829|6827
23411|9611
8850|2547
5747|6714
7528|29844
2321|5335
4609|5601
4000|9031
1387|7157
1540|4646
10253|10252
2534|8482
9611|10155
3655|351
1017|16
2885|26999
334|5578
7324|4214
7514|9646
27086|7157
4086|7508
387893|5928
996|29945
1642|5928
4436|8243
26994|11060
5936|2034
7324|4734
7531|6885
5599|3297
409|4691
6878|6879
7001|2956
9968|9968
996|51434
4087|5601
7161|81620
11091|6883
2316|4000
5566|5568
1627|85458
55681|6189
7531|7514
10892|7189
51619|26001
22882|22882
4163|6801
836|637
148022|10498
4088|23214
9255|351
8452|23770
1499|604
324|4646
58508|79813
27086|27086
11128|10623
10013|2932
6257|10621
8945|10277
11091|6601
25942|5970
2908|2782
9690|7321
3611|8607
51366|7164
10987|23318
6714|1072
2908|5598
29079|29110
7323|55159
5607|2023
5316|6929
2011|23303
5585|5585
9079|51564
10629|6874
5371|5300
4292|8930
7335|10273
8772|8772
5896|9978
23326|27097
2885|5530
3654|9618
1027|8454
6874|6877
6468|22948
9611|6602
10163|8976
4193|6659
3726|672
151636|3717
57142|6714
7186|8772
5451|351
8452|3251
56943|6881
7132|5879
55832|10664
3163|2908
6647|55681
672|5970
51592|8861
1647|7917
10856|6502
4860|7157
2885|6294
64783|9690
6883|8467
5058|6615
7157|1487
9133|7048
10477|10477
3654|8772
23295|4734
253980|387
6464|6223
8452|51119
6929|8295
3315|7157
1643|2547
8613|351
8607|6944
1386|9063
11059|7323
4086|9862
3064|2885
3092|5966
5295|153090
1385|818
983|3146
6208|351
51741|26999
8726|4627
5598|7531
8525|3265
4088|8850
166|166
2033|7392
51619|7844
79577|1499
10273|7186
4088|55958
4734|6198
578|598
672|6597
26270|391
329|329
2277|8754
6881|2648
6601|6872
4193|23451
10458|26999
2033|4094
1956|7531
54556|3309
5594|5925
5728|1399
55294|9978
7322|8454
2023|3066
5204|10629
1487|5058
1130|9968
10155|6778
2885|5747
90780|207
1017|7533
6045|8451
3065|7431
5599|3725
604|6597
9646|10579
54623|9646
10765|4005
23368|2064
5580|5588
10856|10902
2534|4690
28996|8717
54880|84759
6929|2033
409|6772
648|6733
10188|998
5530|998
3146|5578
10253|2885
7319|23304
4214|3093
55284|55159
5871|7186
28996|3065
672|51451
3065|5087
1027|7531
4000|2547
10787|4690
9474|8772
4087|4090
9445|197131
925|966
9612|1051
4627|4791
23133|5914
51564|6907
2034|11331
1454|8312
4609|128239
149428|149428
23162|9479
1540|7189
9219|9690
4221|4221
5871|2547
1627|3728
8450|7089
351|2192
207|2033
55294|4644
6733|29116
302|351
2889|2885
2534|27154
57154|7431
3309|7186
11315|4722
3065|5914
835|4193
6733|79576
10766|10766
7067|8841
4193|79813
351|1191
1977|7189
2549|6464
91|57154
4092|4734
6722|9252
3309|3398
7184|9255
2023|6885
4086|8850
53615|8467
9025|10600
10075|3066
1642|6502
2932|23451
3300|538
9968|29079
10116|9978
8454|4691
6667|9846
2033|208
4690|323
10014|5094
55366|22985
4790|7528
83737|10477
7023|9575
8315|8315
10014|55832
6478|51196
7514|2932
7057|7422
3309|4691
51377|1832
4627|7126
7186|7531
4734|1020
26270|7037
8945|3182
1876|2145
1032|595
9451|9451
10419|11091
9967|9969
10987|5580
8312|28996
10987|6194
4297|25942
1540|10013
4088|9862
2962|6882
6667|5599
5074|5371
55284|26001
9099|10616
662|351
10419|3065
1647|197131
11059|7321
5911|9448
5058|961
3329|3688
79594|207
2033|5371
1017|55636
4163|8260
7391|6878
5581|1832
672|55284
57506|79654
54556|6502
3516|8454
5352|23075
10987|5052
2146|201161
7013|90678
675|79184
3654|10273
6667|55729
3958|871
54602|2534
939|7187
29110|4791
8841|5087
23411|6720
3667|5291
1649|1386
672|9093
5108|10458
2081|7132
1385|9063
9252|4790
10062|54556
8726|23435
5728|5728
3275|30827
997|8454
25942|51564
9479|5599
4627|64428
5970|9093
23186|23028
7322|1027
7514|55681
10919|7157
10919|58508
8841|4790
9913|9440
2969|5928
83737|5460
10006|1399
4609|23318
5300|6647
51529|64682
3725|408
5530|572
2932|64750
10919|7027
2969|4792
1627|4644
1030|8099
4089|4790
3054|6722
472|79791
10006|868
5578|7832
408|7533
2146|10419
29110|3665
8452|23451
672|1874
8451|6208
79577|58508
6722|80314
1487|6925
51257|997
409|4214
55832|10155
5594|7132
10159|11060
4609|3066
29127|51773
10381|7018
207|6789
3064|3093
11060|997
51720|79184
7046|9043
4193|51548
3313|7189
3309|5728
6188|6194
1386|22948
1803|7852
4851|9253
10273|7324
4683|2956
51377|29844
2033|3516
7186|9821
10725|5335
1072|5052
2071|8850
1956|5594
10155|7323
1387|1385
5300|2280
4088|1601
4297|5364
10188|9564
6907|10477
9611|2874
80762|5728
5295|3717
4297|9575
2004|5204
2768|5578
51701|51701
5460|3146
22882|5604
5928|925
7337|7324
23542|10939
54556|57634
4627|81844
324|1454
115426|1499
7132|7187
27097|6871
4193|5932
153090|207
3091|9978
1977|10273
1786|5883
473|2033
54106|81622
1627|818
7514|51160
6198|983
7013|5110
5422|7157
54602|4734
7514|2309
64428|351
23429|7528
5300|1642
8751|6714
4214|6208
7328|81847
3726|334
2004|2885
3093|5966
23326|6871
8452|22948
6885|9448
5802|197131
6877|8881
2625|5469
9093|10498
324|90678
868|148022
5292|5300
1432|6464
7178|7178
7013|55971
6722|5970
1432|55031
7048|7189
3065|4609
25847|8697
6497|23411
409|6733
8829|8829
8737|54476
10494|6801
4824|10116
7186|7295
10987|6464
