EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
6631|9775
51755|6434
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
6477|5932
5310|87
55366|23310
6259|5591
1432|2004
10664|3146
56254|51322
11051|3066
1432|8945
246184|51434
6045|84248
55294|29079
7917|84292
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
6602|64599
2624|161882
55832|1832
23081|3065
5879|4627
3309|27000
2074|55832
27159|54820
23405|3329
3915|3912
84687|5499
10933|3837
10905|11253
5335|5921
9516|23327
5894|598
4869|498
1650|3703
1019|1457
672|2355
2316|71
2885|2887
5159|4040
1499|5494
3275|6256
11051|55696
6729|6729
8454|6631
10197|55689
153090|8454
7879|57403
22955|8467
9146|90390
2621|558
6871|10025
10987|8607
513|509
2288|10728
84661|10565
5499|5568
7319|1029
1734|1734
118|3398
4627|54822
22976|10111
4771|6895
6492|3320
51194|1810
1017|3398
2885|3329
3065|6883
10419|291
4734|6189
1857|10482
6601|5978
1786|53615
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
11034|25824
4629|10096
5747|1605
51160|613
11236|3638
10482|9525
51393|7442
4609|23085
8452|4976
8233|23451
10938|5591
7415|51366
5921|309
86|79718
5747|4193
23363|8607
7157|51741
4700|4722
3178|2969
14|10076
6045|55759
10482|23210
960|573
5467|8202
23394|6601
648|11171
3654|3315
7532|8451
996|996
56897|5424
7415|1019
1213|4790
9181|10197
4734|7322
9612|8202
9218|4720
8451|8467
154|498
10049|10013
2023|3187
5970|8986
9978|3312
3476|79840
26574|1613
166|55072
10458|55971
2537|351
26270|3074
5566|1385
2885|6764
3320|5871
54984|7430
5062|5683
6303|8525
5566|5705
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
4778|5195
3171|1832
3661|64750
55183|79228
6714|4133
1020|351
1308|3655
27316|51340
5516|3476
10325|64121
5333|801
5720|5696
7358|983
6714|5295
54583|6478
5871|6416
3054|3320
2063|2063
23133|55183
4627|302
23363|4361
26524|7533
5130|9025
4221|25942
124583|124583
6631|10498
7322|115426
57154|3622
3265|8036
10014|27316
25836|5538
5914|6477
51548|2317
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
55743|6596
3717|3320
7324|11342
5603|7157
1213|409
5599|6464
8452|4722
3065|3320
7444|5599
3064|83737
5300|4303
2885|5930
29127|5116
51377|7295
10482|23568
1022|2068
8106|5976
2730|3665
8945|51741
4899|23126
6478|6774
6045|2317
324|598
5591|5052
1937|4193
81559|7322
10013|22985
54556|8454
25855|351
2023|9244
9785|5696
30827|80335
10013|4615
83706|79753
5595|6548
79791|595
57154|3178
11218|23405
5747|4678
6426|79228
7415|5245
8452|7072
5071|4831
5245|6189
3981|1278
10856|29110
10014|3837
8766|3064
1432|4209
4193|154
6478|8841
5701|5693
6102|1454
10987|56254
3476|53615
2771|5581
4086|2648
5664|30818
7322|26994
57154|7186
9099|9361
4088|6601
1017|9113
10163|10096
3065|8360
1147|8717
1051|1387
2067|6879
7337|301
7184|10399
3301|4790
23363|81
1786|30827
23640|7186
8725|55929
3725|7443
10987|6631
10399|6774
2648|6877
26058|6631
5594|7157
58|5879
4088|3727
1453|1855
208|9545
4831|10856
26270|5538
4086|58533
2034|56897
4670|6636
10987|9097
22920|55696
23363|3276
10006|5296
10987|81620
7132|8363
6809|6809
752|51474
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
2132|2132
23020|23020
1958|6647
444|5154
1432|6774
7415|79058
23363|7341
51366|2932
51547|23077
7532|673
514|93974
3958|5781
81542|7295
6733|9648
4824|7089
1788|130557
1191|5444
4651|805
2185|6774
8726|8289
156|5603
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
6257|7415
9657|51552
4038|25861
55366|4297
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
9984|7402
1969|1213
58517|6625
2034|2010
1147|9043
4218|117177
10482|5119
4292|5887
1831|3065
10987|7186
5371|6926
2547|3064
57634|80314
6886|2547
1810|11091
3065|2969
498|6199
5601|9031
26121|10291
3065|7428
7251|4193
8517|22938
3398|7849
7059|222229
4683|3843
5914|23411
24148|58517
328|6418
26270|3187
9657|11260
10933|86
29079|8878
81620|51433
10482|6711
3659|4193
27346|6814
83737|51429
26259|23363
8976|4690
29127|4294
5532|7942
3185|9757
5728|6231
6636|84967
9262|351
51547|23481
6502|997
5071|539
51747|9984
3320|1019
8517|396
2261|5335
23580|10801
8682|8772
9693|554313
3621|7157
9531|51022
5530|6257
3315|23363
5594|6640
207|23327
5606|9479
64324|2063
3066|83933
29116|7334
9218|5245
23263|6194
6871|2648
2353|351
6789|9218
3801|10540
7013|28988
79654|10892
4869|24148
1956|6850
939|56913
9063|9063
23515|54476
4163|10569
8751|7525
1856|8878
3065|3297
23291|10413
1196|672
10419|84844
10155|5460
7186|10758
396|637
56652|6613
166|6733
1017|3146
6871|3185
1956|2274
23512|92609
112869|9910
2081|9097
2335|5976
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
408|8361
26227|6453
7415|6500
5966|6500
10755|613
79784|54623
23433|57120
9775|11168
10987|8365
5580|6944
4176|7337
28988|5610
166|11030
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
672|23512
2826|2885
23327|79176
5716|8440
5594|1978
1832|5663
801|6249
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
2335|9775
4616|983
7094|9898
2771|4691
4331|2967
311|4282
6772|55832
55832|8360
6879|2118
4700|9519
1457|1965
1031|55183
3685|7040
7919|9063
23411|4092
11091|51562
509|9551
8450|23348
3091|613
604|9170
7414|10381
55294|55294
5467|5970
4851|51434
975|6418
4686|6625
5829|84661
4214|10049
267|23295
8454|6434
51741|5914
5058|10472
2316|7532
367|4193
6907|1499
1855|1499
9063|2908
4088|64219
1312|9156
1385|6722
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
6733|8726
6934|7248
240|5594
23411|3309
1856|7126
10482|5578
7046|7040
8737|329
7494|7494
4609|3837
8850|10629
23291|7832
1017|57591
4170|3312
7072|5094
2335|10432
10755|5578
1130|57060
7536|3187
6464|7175
1020|7917
6275|23774
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
6613|9219
10672|7253
7027|1387
6789|23085
154|10193
8452|8450
6944|3276
10592|25942
1956|5802
22955|8834
54764|57332
84661|87178
208|7249
8805|57332
4700|4724
7324|10425
1487|93986
7494|2648
6774|6778
5829|102
3320|8473
1956|5604
23512|51747
5925|7849
1030|7709
3688|7414
7431|11143
11260|8546
5747|7132
6045|79228
2309|57708
4163|23020
847|6786
11143|27154
3320|1613
51564|79718
2767|7253
80331|10273
8456|7528
7023|3148
975|4869
2274|10522
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
2241|2065
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
1969|9525
10013|6249
8452|10482
51377|8361
8454|4193
5516|9448
7428|5580
396|1967
5601|6470
8450|55832
196|4094
51257|7328
58517|6426
4609|4609
3611|79888
26270|80267
23390|79654
5108|23392
7159|3308
3661|2308
472|6477
3398|5925
6272|10542
8454|29127
55145|5074
4090|7844
3093|7428
3178|3326
207|3178
2624|6500
6733|27316
26270|6426
8945|55759
5879|10928
53615|3725
2334|4690
24148|80145
10131|84844
58|7187
1017|8531
27005|9101
7023|8932
1386|7416
1017|5094
3655|3915
1642|4926
2908|10013
3065|3326
5663|348
7335|331
90678|3297
8440|23522
3925|5568
9101|6778
409|6714
6879|6879
4292|9898
675|2316
578|7416
11143|8361
8452|3308
29110|4670
3315|5898
23368|672
9516|29979
10013|8359
3309|6667
26524|4851
7528|351
3837|267
871|7171
4790|8837
10569|7536
2885|51185
7157|6613
6478|8554
10987|3858
56943|56970
3312|4791
5966|801
5295|2033
3315|9588
123169|6879
118|667
1054|1017
9070|2033
1147|5499
7321|8239
9218|10452
2683|3728
6733|55832
5591|9785
10572|27
7046|4087
1642|6772
10253|10817
23543|3202
1020|3326
9252|2908
5663|7046
23291|55759
5970|595
10181|55183
2885|835
93986|116113
5469|29079
23580|55752
10956|10488
6314|3912
26270|5705
6772|3654
6714|6778
11104|51750
156|31
2885|8365
8820|9612
1027|1019
10459|51343
1956|7327
1191|11130
8517|51256
7249|5747
11168|9967
7157|1958
1487|9063
498|93974
1739|23095
25932|5966
7419|509
6498|51592
8295|8454
9775|4089
351|4609
10013|3320
4851|5928
7251|9146
10241|3142
1201|51144
8099|9463
5727|2683
51322|7094
10482|3308
10818|4915
51065|6188
1616|8364
8440|23043
1874|367
6045|57332
1385|3066
7319|7319
1432|81
4282|54984
51111|51111
7428|9821
11052|4076
23291|1213
4627|8767
9804|10452
10919|6015
65057|23154
6314|5705
5925|5894
1499|8850
6310|55072
57506|6772
5295|3265
7532|1198
5335|6714
405|9978
56829|351
409|1019
409|5594
2054|27230
10111|4691
11338|6189
5886|9648
509|7416
1017|7915
3315|6667
2885|6189
51547|5591
3611|2746
7428|1270
150684|5966
3146|3148
3326|7186
7416|7416
861|1387
55612|51119
4085|4085
51548|22948
8726|1072
8021|87178
328|1642
10672|2185
56970|8464
5300|11338
7375|7046
8651|2261
51547|55759
11130|9183
1601|1855
351|4763
6478|10869
2885|6237
51434|1387
409|3312
10165|291
1051|1054
6667|23636
10379|10379
26994|9372
53615|80312
5906|396
57154|2547
11331|11218
7533|1198
3265|8315
10728|2065
1653|1978
8202|1147
408|6093
2023|4643
2335|1655
23476|9440
23236|5591
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
10645|805
79813|83852
1385|1051
5716|3320
23429|9191
10075|1738
3320|1457
3297|5591
4790|4791
6497|79718
3185|23543
864|4851
476|509
10159|23770
6272|54840
51474|55589
1627|667
4976|664
311|7001
4000|4926
9531|3326
808|8717
4869|497661
8312|7248
10933|672
23394|23212
4216|5604
10413|7533
6497|4691
11051|1627
22800|5900
5932|5932
84321|80145
3312|5217
11052|23020
3099|6720
9804|7416
123169|7319
23210|58517
8726|10801
8726|1198
23263|23451
56957|27338
472|10444
2185|309
4085|6189
6045|7528
7428|6189
847|3295
2734|6207
5609|9479
3912|43
7415|118
5590|842
2064|983
11060|7322
23411|367
6310|11030
8621|10381
4734|6500
7453|7453
28996|28996
5077|4487
9282|29079
5591|1147
6601|7251
23043|23287
54107|351
60485|26524
2192|10252
5599|23411
196|9978
5300|55201
5245|1627
5747|10273
83547|83547
4983|5879
9531|4175
65057|1627
5310|9564
7155|983
5292|6502
2132|6623
4091|1487
51257|57120
9440|7157
79885|10049
26270|4830
1457|3065
7818|7067
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
2885|7010
10010|1213
2885|3983
664|7052
3643|8878
1386|10972
7325|9025
4791|6500
7326|10616
10629|27097
148281|8567
10010|9546
1956|92609
4790|801
9653|128869
27248|51009
51547|2186
10533|23411
23435|3320
408|1213
8569|79155
23512|3983
5595|6667
23512|6625
3312|7416
11338|3178
4176|4176
5879|7410
10075|32
4088|5371
8891|8531
672|8367
8726|5879
7428|1291
1017|7415
408|498
998|4294
2118|2629
4792|5610
4952|1213
65057|51119
26272|26272
5914|23512
1365|5566
4211|5090
4609|8878
9572|351
5604|2887
26121|6426
7325|7703
4869|3956
10381|55023
11059|4778
4193|6872
2355|3925
928|961
3299|3297
6045|23020
5580|846
2317|10540
1432|8841
10291|7919
5499|1454
23512|6045
5603|4216
7919|79228
1020|55083
4086|4853
5536|5930
6714|367
149428|23557
4087|93649
648|4830
9444|92906
7323|4214
207|150684
24148|9967
7531|23476
128|351
1029|598
3320|405
1936|1937
7528|1387
6792|23499
3801|91949
6275|331
11124|1650
27|10152
515|7189
51026|5119
3309|3185
29110|26994
522|539
1984|6386
9531|4678
90678|90678
3276|3178
10600|2353
6883|9913
8450|808
9252|1387
10664|351
1655|80145
9545|351
4088|57680
3396|10476
9618|11059
5693|5683
7322|9025
3661|3843
5058|5879
4627|1601
6241|29945
3476|22948
23126|10459
2782|2534
4665|6602
8841|11331
23481|23481
23054|1387
4609|9968
5170|5604
10419|121504
7186|2081
3476|4282
4193|6597
8767|8517
65057|677
64219|8078
7159|301
5925|3065
1017|539
4292|4728
7375|10075
2932|367
10291|56950
373|7324
3399|10817
1457|9646
1616|4629
54926|396
11091|23309
7327|267
9775|84248
7319|966
672|2316
10569|22948
5925|996
4087|6601
7321|4214
8454|55904
1948|8892
1956|808
23414|5928
5515|4215
4194|351
4609|8454
11338|10075
3315|3476
509|514
1499|6500
8751|23636
3066|3301
672|7168
3064|4294
6591|3065
284217|6288
5608|5970
10542|55183
9184|3837
1017|55689
3717|6513
5601|3726
497661|6231
2885|7532
2885|966
4609|7019
29789|3308
154|2778
3717|5954
1717|3326
10291|3611
4628|4691
10458|10458
10537|10013
6640|128
8841|2874
10131|4089
3312|27000
25942|7468
7917|51548
5058|10174
10114|1616
311|306
6881|6881
2534|7080
1017|2896
7415|81
9531|10174
4792|4792
3066|8359
998|9230
22955|22955
1432|58508
1022|9794
2316|960
1650|6194
79885|3301
10458|10006
4710|9804
55790|55454
10381|2885
25865|4086
4486|7525
6310|3308
4869|2034
3065|9070
80335|11091
3320|26058
7410|23126
3643|3643
51141|10213
4214|387
4036|7094
9577|7157
3516|55031
8440|10458
24148|11338
65018|7052
2309|9181
4686|9775
1956|14
2771|302
801|58533
5204|7716
5071|498
1017|5604
6548|7132
5683|7415
3661|7187
26270|7531
5928|6602
1499|10498
1760|5894
2074|5424
10159|387
22985|7532
8021|8021
2023|6207
11193|9184
5594|5213
5062|6194
7879|5245
7703|22955
5460|7026
51701|8454
7184|3309
3065|5929
8452|2730
2931|4077
6386|27284
3845|8945
51547|56829
578|7337
3091|6714
989|5966
2023|43
1956|7443
7415|572
54974|51100
26130|22821
7428|6513
1649|1051
9063|3725
1956|27
11193|23451
8726|1788
5580|7037
5976|81542
3958|351
4690|6655
55669|891
11331|6189
11140|8878
54778|7188
9618|1499
3925|5603
1499|4771
10482|6275
6625|8454
6434|27316
4214|2317
6794|79155
1457|55145
2274|7157
26121|6431
1432|572
3178|3858
26001|9040
7879|5119
7328|5970
8726|7175
7879|9114
2534|2263
55752|7189
5536|10672
2280|1487
51548|3306
1029|3320
9693|3832
6045|801
6733|5930
4216|6711
1201|5591
2010|4000
56957|79155
150684|331
23363|23363
373|5296
81847|7322
4790|71
3845|351
8841|7155
57506|6714
836|9191
5886|5701
2071|6421
3832|79718
3956|2969
23236|6711
55366|71
10105|10277
10482|54107
23411|9611
8850|2547
5747|6714
7528|29844
2321|5335
4609|5601
4000|9031
1387|7157
1540|4646
6421|5213
10253|10252
8878|444
9611|10155
9577|10342
3655|351
1017|16
2885|26999
334|5578
3837|6207
7324|4214
11104|3320
4670|5906
10013|22919
402|23568
1655|51747
27086|7157
28988|8924
2033|9500
387893|5928
996|29945
5728|331
1642|5928
8837|4088
57154|10540
26994|11060
5499|6500
1655|6625
5936|2034
10213|10197
4173|8450
7324|4734
7531|6885
23191|3312
3622|64750
1017|1603
5599|3297
409|4691
7001|2956
116143|5499
9968|9968
996|51434
2241|8503
4087|5601
57187|23392
7161|81620
11091|6883
472|6240
2316|4000
5566|5568
