EntrezGeneID1|EntrezGeneID2
4790|79155
1855|8312
10206|396
5604|8837
5310|87
55366|23310
11051|3066
1432|8945
5469|5469
10672|7046
5879|4627
23405|3329
3915|3912
5335|5921
4869|498
1499|5494
3275|6256
2288|10728
4627|54822
4771|6895
1017|3398
4734|6189
7157|2648
2734|5966
9113|10413
4090|23451
5747|1605
4609|23085
10252|868
7157|51741
6045|55759
960|573
5467|8202
3654|3315
996|996
1213|4790
9612|8202
166|55072
10458|55971
5566|1385
6461|6714
6210|79084
55759|55759
4851|5664
2932|8517
4778|5195
6714|4133
1020|351
6714|5295
4627|302
124583|124583
3265|8036
25836|5538
2040|2040
324|8658
4087|23557
10458|55740
5603|7157
1213|409
8452|4722
3064|83737
8945|51741
324|598
11218|23405
8452|7072
3981|1278
1432|4209
2771|5581
4086|2648
57154|7186
9099|9361
1017|9113
1147|8717
1051|1387
7337|301
5594|7157
1453|1855
7428|23032
3667|55023
3643|5580
23560|6189
1958|6647
4086|655
444|5154
51366|2932
3958|5781
4824|7089
1788|130557
7531|3983
7132|9093
1432|5371
11315|204851
4038|25861
55366|4297
5581|6868
6777|351
8837|868
1969|1213
655|657
1147|9043
2547|3064
6886|2547
5601|9031
3065|7428
83737|51429
9262|351
8517|396
23580|10801
23263|6194
2353|351
6789|9218
7013|28988
1956|6850
23515|54476
1856|8878
3065|3297
10155|5460
7186|10758
396|637
166|6733
1017|3146
2081|9097
7186|9994
472|10155
5295|1969
5970|7052
26227|6453
10755|613
5580|6944
166|11030
8737|8517
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
1031|55183
3091|613
55294|55294
5467|5970
267|23295
51741|5914
2316|7532
6907|1499
1855|1499
1385|6722
4436|8517
7187|329
6934|7248
1856|7126
7046|7040
8737|329
7494|7494
7072|5094
10755|5578
1130|57060
1020|7917
5074|6523
4609|2033
1432|1956
1017|3983
6789|23085
1956|5802
7494|2648
5829|102
1956|5604
5747|7132
2309|57708
51564|79718
79084|6597
2353|5536
1386|306
1540|142678
7189|51135
5914|5469
1278|960
409|10381
7428|1856
7428|5580
396|1967
5601|6470
196|4094
4609|4609
3611|79888
3398|5925
55145|5074
8945|55759
1386|7416
1017|5094
3655|3915
5663|348
3925|5568
9101|6778
409|6714
675|2316
578|7416
23368|672
26524|4851
7528|351
4790|8837
5295|2033
1054|1017
2683|3728
7046|4087
1642|6772
5663|7046
5970|595
23580|55752
6772|3654
6714|6778
8820|9612
10459|51343
1191|11130
7157|1958
498|93974
1739|23095
25932|5966
6498|51592
351|4609
51065|6188
1385|3066
4282|54984
11052|4076
4627|8767
6310|55072
57506|6772
5295|3265
5335|6714
56829|351
409|5594
1017|7915
3315|6667
3611|2746
7428|1270
3146|3148
7416|7416
861|1387
55612|51119
4085|4085
11130|9183
1601|1855
351|4763
1051|1054
6667|23636
10379|10379
57154|2547
11331|11218
3265|8315
10728|2065
8202|1147
408|6093
7157|83737
6497|3329
1857|79753
1385|1051
4790|4791
6497|79718
864|4851
10159|23770
4869|497661
8312|7248
23394|23212
23263|23451
4085|6189
6045|7528
7428|6189
3912|43
6310|11030
28996|28996
23043|23287
60485|26524
2192|10252
5300|55201
4983|5879
5310|9564
6259|2049
5460|5460
10010|1213
664|7052
3643|8878
10010|9546
408|1213
5595|6667
4088|5371
7428|1291
408|498
2118|2629
65057|51119
4609|8878
9572|351
5604|2887
4869|3956
10381|55023
3299|3297
1020|55083
4086|4853
149428|23557
648|4830
128|351
1029|598
1936|1937
7528|1387
51026|5119
1984|6386
10600|2353
4088|57680
4627|1601
23126|10459
2782|2534
23481|23481
4609|9968
7186|2081
8767|8517
7159|301
5925|3065
1616|4629
672|2316
5925|996
1948|8892
5515|4215
4194|351
8751|23636
6591|3065
5601|3726
3717|5954
10458|10458
6881|6881
1017|2896
4792|4792
22955|22955
2316|960
10458|10006
25865|4086
3643|3643
4214|387
65018|7052
2309|9181
2771|302
1017|5604
3661|7187
1499|10498
10159|387
22985|7532
5594|5213
7703|22955
5460|7026
3845|8945
578|7337
3091|6714
989|5966
2023|43
54974|51100
1649|1051
5580|7037
3958|351
11331|6189
3925|5603
1499|4771
6794|79155
1432|572
55752|7189
5536|10672
56957|79155
3845|351
57506|6714
836|9191
3832|79718
5747|6714
7528|29844
4609|5601
1387|7157
1540|4646
10253|10252
8878|444
9611|10155
3655|351
1017|16
334|5578
27086|7157
