EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
5300|81628
1855|8312
10206|396
10577|4864
5604|8837
6477|5932
10801|9217
5310|87
55366|23310
56254|51322
11051|3066
1432|8945
246184|51434
55294|29079
7917|84292
5469|5469
10014|7037
10672|7046
26227|2885
55832|1832
5879|4627
2074|55832
9968|9412
10189|2072
23405|3329
3915|3912
5335|5921
9516|23327
4869|498
2885|2887
1499|5494
3275|6256
6729|6729
8454|6631
153090|8454
7879|57403
9146|90390
2288|10728
7319|1029
1734|1734
118|3398
4627|54822
4771|6895
6492|3320
1017|3398
2885|3329
10419|291
4734|6189
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
4629|10096
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
8452|4976
8233|23451
7415|51366
5921|309
5747|4193
7157|51741
6045|55759
960|573
5467|8202
648|11171
3654|3315
996|996
1213|4790
54778|7508
4734|7322
9612|8202
10049|10013
2072|3014
2023|3187
26574|1613
166|55072
10458|55971
2537|351
5566|1385
55183|7336
2885|6764
3320|5871
54984|7430
5566|5705
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
4778|5195
3661|64750
55183|79228
6714|4133
1020|351
27316|51340
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
3054|3320
4627|302
26524|7533
5130|9025
124583|124583
6631|10498
7322|115426
57154|3622
3265|8036
10014|27316
25836|5538
5914|6477
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
1153|22938
3717|3320
7324|11342
1153|51747
5603|7157
1213|409
5599|6464
8452|4722
3065|3320
3064|83737
5300|4303
2885|5930
29127|5116
8945|51741
4899|23126
6478|6774
6045|2317
324|598
1937|4193
81559|7322
10013|22985
25855|351
10013|4615
83706|79753
5595|6548
79791|595
57154|3178
11218|23405
5747|4678
6426|79228
7415|5245
8452|7072
5071|4831
5245|6189
3981|1278
10856|29110
8766|3064
6478|8841
1153|7094
5701|5693
6102|1454
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
9099|9361
1017|9113
10163|10096
1147|8717
1051|1387
7184|10399
3301|4790
23363|81
23640|7186
10987|6631
10399|6774
26058|6631
5594|7157
58|5879
4088|3727
1453|1855
208|9545
4831|10856
26270|5538
4086|58533
4670|6636
10987|9097
23363|3276
10006|5296
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
23020|23020
1958|6647
1432|6774
7415|79058
23363|7341
51366|2932
3958|5781
4824|7089
1191|5444
4651|805
2185|6774
7531|3983
7132|9093
1432|5371
11315|204851
6257|7415
9657|51552
4038|25861
55366|4297
4790|5607
672|79035
6772|3326
5581|6868
4193|57154
6777|351
9984|7402
1969|1213
58517|6625
2034|2010
1147|9043
4218|117177
4292|5887
1831|3065
10987|7186
5371|6926
2547|3064
6886|2547
498|6199
5601|9031
26121|10291
3065|7428
7251|4193
29116|81628
8517|22938
5914|23411
24148|58517
328|6418
1080|8773
26270|3187
6598|55636
29079|8878
3659|4193
83737|51429
26259|23363
8976|4690
29127|4294
5532|7942
5728|6231
9262|351
6502|997
51747|9984
8517|396
23580|10801
8682|8772
5530|6257
3315|23363
5594|6640
207|23327
5606|9479
29116|7334
9218|5245
23263|6194
2353|351
6789|9218
3801|10540
7013|28988
79654|10892
4869|24148
1956|6850
9063|9063
23515|54476
4163|10569
8751|7525
1856|8878
207|3551
3065|3297
23291|10413
1196|672
4055|9217
10419|84844
10155|5460
7186|10758
396|637
3308|10018
56652|6613
166|6733
1017|3146
1956|2274
23512|92609
2081|9097
7186|9994
472|10155
5295|1969
26227|6453
7415|6500
5966|6500
10755|613
23433|57120
5580|6944
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
672|23512
2826|2885
23327|79176
5716|8440
1832|5663
801|6249
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
7094|9898
10018|4170
311|4282
5599|3014
6772|55832
1031|55183
3685|7040
7919|9063
23411|4092
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
975|6418
4214|10049
267|23295
8454|6434
51741|5914
5058|10472
2316|7532
367|4193
6907|1499
1855|1499
9063|2908
4088|64219
1312|9156
1385|6722
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
23291|7832
1017|57591
7072|5094
10755|5578
1130|57060
7536|3187
6464|7175
1020|7917
5074|6523
4609|2033
1432|1956
6045|5289
1017|3983
6789|23085
81628|79718
165918|3014
6944|3276
1956|5802
22955|8834
1153|26121
54764|57332
208|7249
8805|57332
7324|10425
7494|2648
6774|6778
5829|102
3320|8473
1956|5604
23512|51747
811|5111
3688|7414
5747|7132
6045|79228
2309|57708
4163|23020
847|6786
3320|1613
51564|79718
80331|10273
975|4869
2274|10522
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
22954|29979
409|10381
7428|1856
1969|9525
10013|6249
3014|309
8454|4193
5516|9448
7428|5580
396|1967
5601|6470
196|4094
51257|7328
58517|6426
4609|4609
3611|79888
26270|80267
23390|79654
5108|23392
7159|3308
3661|2308
472|6477
3398|5925
6272|10542
1080|3306
8454|29127
55145|5074
8915|7336
4090|7844
3093|7428
3178|3326
207|3178
2624|6500
6733|27316
26270|6426
8945|55759
5879|10928
2334|4690
24148|80145
58|7187
1017|8531
1386|7416
1017|5094
3655|3915
2908|10013
3065|3326
5663|348
7335|331
90678|3297
3925|5568
9101|6778
409|6714
4292|9898
675|2316
578|7416
8452|3308
29110|4670
3315|5898
23368|672
9516|29979
3309|6667
26524|4851
7528|351
4790|8837
10569|7536
2885|51185
7157|6613
6478|8554
10987|3858
5966|801
5295|2033
118|667
1054|1017
9070|2033
7321|8239
9218|10452
2683|3728
6733|55832
10572|27
7046|4087
1642|6772
23543|3202
1020|3326
5663|7046
23291|55759
5970|595
10181|55183
2885|835
93986|116113
5469|29079
23580|55752
10956|10488
26270|5705
6772|3654
6714|6778
8820|9612
10459|51343
1956|7327
1191|11130
8517|51256
7249|5747
11168|9967
7157|1958
498|93974
1739|23095
25932|5966
6498|51592
351|4609
10013|3320
7251|9146
10241|3142
1201|51144
51322|7094
51065|6188
8440|23043
1874|367
6045|57332
1385|3066
7319|7319
1432|81
4282|54984
7428|9821
11052|4076
23291|1213
4627|8767
9804|10452
10919|6015
6310|55072
57506|6772
5295|3265
5335|6714
5058|3014
405|9978
56829|351
409|5594
2054|27230
11338|6189
1017|7915
3315|6667
2885|6189
3611|2746
7428|1270
150684|5966
3146|3148
3326|7186
7416|7416
861|1387
87|6993
4085|4085
328|1642
10672|2185
5300|11338
7375|7046
11130|9183
1601|1855
351|4763
6478|10869
2885|6237
51434|1387
10165|291
1051|1054
6667|23636
10379|10379
26994|9372
5906|396
57154|2547
11331|11218
3265|8315
10728|2065
8202|1147
408|6093
2335|1655
23476|9440
23291|1020
3309|811
8445|9821
7157|83737
6497|3329
1857|79753
1385|1051
5716|3320
23429|9191
10075|1738
4790|4791
6497|79718
3185|23543
864|4851
10159|23770
472|79035
51474|55589
4976|664
311|7001
9531|3326
808|8717
4869|497661
8312|7248
23394|23212
4216|5604
10413|7533
22800|5900
5932|5932
84321|80145
11052|23020
3099|6720
9804|7416
123169|7319
23210|58517
23263|23451
56957|27338
472|10444
2185|309
29110|3551
4085|6189
6045|7528
7428|6189
847|3295
2734|6207
5609|9479
3912|43
7415|118
2064|983
11060|7322
3276|1153
23411|367
8621|10381
4734|6500
28996|28996
9282|29079
23043|23287
60485|26524
2192|10252
4000|261726
5599|23411
196|9978
5300|55201
5747|10273
83547|83547
4983|5879
7155|983
51257|57120
9440|7157
26270|4830
7818|7067
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
3643|8878
1386|10972
7325|9025
4791|6500
7326|10616
148281|8567
10010|9546
10987|1153
1956|92609
310|7157
4790|801
9653|128869
27248|51009
10533|23411
23435|3320
408|1213
23512|3983
5595|6667
23512|6625
11338|3178
5879|7410
10075|32
4088|5371
8891|8531
7428|1291
1017|7415
408|498
998|4294
2118|2629
4952|1213
65057|51119
26272|26272
5914|23512
1365|5566
4211|5090
4609|8878
9572|351
5604|2887
26121|6426
7325|7703
4869|3956
10381|55023
8452|83695
11059|4778
4193|6872
928|961
3299|3297
6045|23020
2317|10540
1432|8841
10291|7919
3556|3654
23512|6045
5603|4216
7919|79228
1020|55083
4086|4853
5536|5930
6714|367
149428|23557
4087|93649
648|4830
7323|4214
207|150684
24148|9967
7531|23476
128|351
1029|598
3320|405
1936|1937
7528|1387
3801|91949
6275|331
27|10152
51026|5119
3309|3185
29110|26994
1984|6386
9531|4678
90678|90678
3276|3178
10600|2353
2309|5884
1655|80145
9545|351
4088|57680
9618|11059
5693|5683
7322|9025
5058|5879
4627|1601
6241|29945
3476|22948
23126|10459
2782|2534
8841|11331
23481|23481
23054|1387
4609|9968
5170|5604
7186|2081
3476|4282
4193|6597
25898|5429
8767|8517
64219|8078
5925|3065
4292|4728
7375|10075
2932|367
373|7324
1616|4629
54926|396
7327|267
7319|966
5515|3551
672|2316
10569|22948
5925|996
7321|4214
8454|55904
1948|8892
1956|808
5515|4215
4194|351
4609|8454
11338|10075
3315|3476
1499|6500
8751|23636
3066|3301
672|7168
79035|6742
3064|4294
6591|3065
5608|5970
10542|55183
3717|6513
5601|3726
497661|6231
261726|5516
2885|7532
2885|966
4609|7019
3717|5954
1717|3326
10291|3611
10458|10458
10537|10013
6640|128
8841|2874
5058|10174
10114|1616
311|306
6881|6881
1017|2896
7415|81
9531|10174
4792|4792
998|9230
22955|22955
2316|960
10458|10006
10381|2885
25865|4086
4486|7525
6310|3308
4869|2034
3065|9070
3320|26058
7410|23126
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
24148|11338
2309|9181
4597|4597
9412|9282
2771|302
801|58533
5204|7716
5071|498
1017|5604
6548|7132
5683|7415
3661|7187
26270|7531
1499|10498
10159|387
22985|7532
2023|6207
11193|9184
5594|5213
7879|5245
7703|22955
5460|7026
51701|8454
7184|3309
3065|5929
2931|4077
6386|27284
3845|8945
578|7337
3091|6714
989|5966
2023|43
7415|572
54974|51100
26130|22821
7428|6513
1649|1051
9063|3725
1956|27
11193|23451
5580|7037
3958|351
4690|6655
55669|891
11331|6189
3551|8945
11140|8878
54778|7188
9618|1499
3925|5603
1499|4771
6625|8454
6434|27316
4214|2317
6794|79155
2274|7157
26121|6431
1432|572
3178|3858
26001|9040
7879|5119
7328|5970
55752|7189
5536|10672
1029|3320
9693|3832
6045|801
6733|5930
2010|4000
56957|79155
150684|331
23363|23363
373|5296
81847|7322
3845|351
8841|7155
57506|6714
836|9191
5886|5701
2071|6421
3832|79718
10105|10277
23411|9611
5747|6714
7528|29844
4609|5601
4000|9031
1387|7157
1540|4646
6421|5213
10253|10252
9611|10155
9577|10342
3655|351
1017|16
2885|26999
6895|9412
1080|1601
334|5578
7324|4214
4670|5906
10013|22919
402|23568
1655|51747
27086|7157
28988|8924
2033|9500
4086|7508
996|29945
5728|331
8837|4088
57154|10540
26994|11060
1655|6625
5936|2034
7324|4734
7531|6885
3622|64750
1017|1603
11160|22937
5599|3297
7001|2956
9968|9968
996|51434
4087|5601
57187|23392
472|6240
2316|4000
5566|5568
6386|8408
8239|9020
3320|16
1153|9785
8837|7157
55681|6189
998|23580
7531|805
10892|7189
3315|81
51619|26001
22882|22882
9146|23636
4163|6801
7415|27338
836|637
7332|3308
148022|10498
8454|1153
23291|3551
23363|7919
25930|1956
9255|351
8452|23770
1499|604
847|351
7398|7398
324|4646
27086|27086
11128|10623
3320|3178
10013|2932
6257|10621
2734|4792
8878|5701
8945|10277
2908|2782
2317|7415
9690|7321
6434|8563
51366|7164
10987|23318
6714|1072
353376|51135
29079|29110
2926|7818
7323|55159
2071|5725
23451|6434
115426|4170
7168|7184
5607|2023
5213|5211
5316|6929
3309|10542
3178|23435
2011|23303
5585|5585
3014|5111
3556|5295
9079|51564
5371|5300
4292|8930
79155|1147
7335|10273
8772|8772
2885|5530
3654|9618
2896|51701
7844|7415
1027|8454
10580|4609
10460|3832
6468|22948
10163|8976
26060|3397
11140|6294
5071|3320
6840|2040
805|818
3726|672
151636|3717
57142|6714
7186|8772
4763|9519
5451|351
8452|3251
6613|6613
7132|5879
1476|2317
6647|55681
4609|5701
58|7094
672|5970
5906|3065
51592|8861
3315|3187
10856|6502
81929|22948
4860|7157
6241|7251
2885|6294
648|10270
26524|222484
64783|9690
5058|6615
3297|4831
302|6207
9133|7048
10477|10477
3654|8772
23295|4734
253980|387
23512|10291
2353|2962
8452|51119
4088|1655
3315|7157
1643|2547
8613|351
23327|997
23020|57187
1386|9063
6850|5296
11059|7323
4086|9862
3064|2885
3092|5966
5295|153090
1385|818
983|3146
1153|58517
11130|1655
51741|26999
3187|7431
6199|3276
8525|3265
166|166
2033|7392
8452|22836
51619|7844
6648|7001
23557|8943
79577|1499
10273|7186
4088|55958
4734|6198
578|598
5702|2034
672|6597
26270|391
329|329
2277|8754
30844|90678
27429|4976
6886|54892
6881|2648
10087|5587
8878|9611
9531|5721
7188|11140
4193|23451
29110|498
5287|6464
10458|26999
8563|80145
2033|4094
1956|7531
23291|27316
64783|7919
5594|5925
10856|9020
84321|7402
54872|351
8452|1798
10569|23028
7536|79228
409|3326
5728|1399
51141|29979
55294|9978
7322|8454
7132|808
648|92609
9099|89884
11124|11124
2023|3066
1130|9968
10155|6778
6500|8517
57154|5705
2885|5747
1655|9020
90780|207
1017|7533
5781|2185
3065|7431
5599|3725
79577|3320
604|6597
9646|10579
3280|3320
23363|5094
29079|10540
1956|8813
54623|9646
4163|8517
9230|5333
23368|2064
1956|8892
20|6667
2534|4690
219771|79084
5979|5979
28996|8717
27339|6434
54880|84759
6929|2033
4609|6625
409|6772
23512|10181
5071|25820
1956|2771
648|6733
10188|998
5530|998
476|6188
3146|5578
10253|2885
7319|23304
2778|60626
2288|10869
4214|3093
55284|55159
5871|7186
3187|51340
28996|3065
3065|5087
3638|3156
1153|24148
22938|5213
1027|7531
4000|2547
6045|6625
11051|51747
10787|4690
9474|8772
4087|4090
10291|9967
9445|197131
3476|6613
4628|8766
9612|1051
4609|6742
3178|5603
8036|10075
4627|4791
51026|11160
51564|6907
2034|11331
1454|8312
23291|10181
6667|5339
11338|23543
4609|128239
149428|149428
23162|9479
1540|7189
23263|6210
11140|10273
7375|3956
4221|4221
5871|2547
7879|8766
2023|48
84447|4627
351|2192
207|2033
55294|4644
6733|29116
302|351
2889|2885
2889|6655
57154|7431
6199|6188
3309|7186
4218|10938
11315|4722
3065|5914
835|4193
23392|8517
10766|10766
7067|8841
351|1191
4218|7037
2549|6464
91|57154
6199|4076
4092|4734
3309|3398
7184|9255
7186|5071
2023|6885
9025|10600
8517|5515
10075|3066
6310|9898
2074|5111
1213|7132
6453|5204
1642|6502
2932|23451
3727|4089
3300|538
1874|5111
403|197131
9968|29079
10116|9978
6667|9846
2033|208
4294|27
4690|323
10014|5094
4792|6207
1080|3326
55366|22985
4790|7528
83737|10477
3178|6210
81628|23291
8315|8315
10783|10783
2908|7251
2335|5683
10014|55832
1147|805
6478|51196
7057|7422
3320|780
10342|6714
64786|5868
