EntrezGeneID1|EntrezGeneID2
57154|3309
1855|8312
5604|8837
1432|2004
1432|8945
55294|29079
5469|5469
10672|7046
5501|351
5879|4627
3309|27000
3915|3912
5335|5921
2885|2887
1499|5494
3275|6256
2288|10728
7157|2648
9113|10413
4090|23451
6733|7957
5747|1605
51393|7442
10252|868
8452|4976
5747|4193
7157|51741
14|10076
960|573
5467|8202
648|11171
3654|3315
9612|8202
10049|10013
2537|351
2885|6764
6303|8525
4851|5664
2549|5829
2033|430
6714|4133
1020|351
5333|801
6714|5295
54583|6478
5871|6416
23133|55183
4627|302
26524|7533
4221|25942
57154|3622
25836|5538
324|8658
5496|3925
5599|6464
3064|83737
5300|4303
8945|51741
6478|6774
6045|2317
324|598
25855|351
10013|4615
79791|595
3981|1278
1432|4209
3486|960
6478|8841
2771|5581
4086|2648
57154|7186
1147|8717
1051|1387
7337|301
3301|4790
5594|7157
58|5879
4088|3727
1453|1855
4086|58533
10006|5296
10987|81620
7428|23032
3667|55023
3643|5580
1432|6774
51366|2932
51547|23077
3958|5781
4824|7089
4651|805
57154|5518
7531|3983
1432|5371
11315|204851
2034|25942
55366|4297
4790|5607
5581|6868
4193|57154
6777|351
8837|868
2034|2010
1147|9043
1831|3065
10987|7186
3065|2969
3065|7428
7251|4193
7059|222229
5914|23411
328|6418
29127|4294
5532|7942
6502|997
5530|6257
5594|6640
207|23327
5606|9479
2353|351
1956|6850
939|56913
9063|9063
7013|5496
3065|3297
23291|10413
10155|5460
166|6733
5052|51
6050|283
472|10155
5295|1969
5580|6944
4830|983
23327|79176
5716|8440
5594|1978
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
311|4282
5500|3983
1031|55183
3685|7040
23411|4092
7414|10381
55294|55294
5467|5970
975|6418
4214|10049
51741|5914
5058|10472
7529|10787
6907|1499
1855|1499
9063|2908
1385|6722
1827|7189
23411|3309
7046|7040
7494|7494
23291|7832
10755|5578
6464|7175
5499|6502
4609|2033
1432|1956
7027|1387
8452|8450
208|7249
7494|2648
5829|102
1956|5604
3688|7414
5500|1029
51564|79718
7023|3148
79084|6597
1386|306
10987|79791
10987|7001
5914|5469
1278|960
409|10381
7428|1856
7428|5580
196|4094
4609|4609
3398|5925
55145|5074
7023|8932
3655|3915
2908|10013
5663|348
409|6714
675|2316
3309|6667
26524|4851
7528|351
4790|8837
10987|3858
5295|2033
9070|2033
1147|5499
2683|3728
7046|4087
23543|3202
5663|7046
5970|595
5469|29079
1027|1019
1020|5771
7249|5747
7157|1958
332|836
498|93974
6498|51592
351|4609
54541|55183
8440|23043
1385|3066
7428|9821
55294|5500
4627|8767
5295|3265
5335|6714
409|1019
409|5594
3315|6667
3611|2746
7428|1270
861|1387
4085|4085
328|1642
1601|1855
351|4763
3265|8315
10728|2065
8202|1147
408|6093
23476|9440
23291|1020
3309|811
7157|83737
1385|1051
4790|4791
6497|79718
864|4851
10159|23770
1627|667
4976|664
311|7001
808|8717
4216|5604
10413|7533
6497|4691
5932|5932
409|5518
6045|7528
5609|9479
3912|43
2064|983
7453|7453
28996|28996
9282|29079
60485|26524
2192|10252
5599|23411
5300|55201
5245|1627
65057|1627
7155|983
5292|6502
9440|7157
2534|4223
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
1956|92609
4790|801
51547|2186
5595|6667
4488|23598
4088|5371
408|498
998|4294
2118|2629
65057|51119
5604|2887
10381|55023
4193|6872
1432|8841
5499|1454
1020|55083
4086|4853
4087|93649
648|4830
2885|5500
7531|23476
1029|598
7528|1387
8450|808
4088|57680
5058|5879
4627|1601
8841|11331
23054|1387
4609|9968
3476|4282
4193|6597
5925|3065
1616|4629
4791|5537
5792|8301
672|2316
1956|808
4194|351
3315|3476
3066|3301
672|7168
3064|4294
6591|3065
5608|5970
10542|55183
7529|4763
5601|3726
2885|966
4628|4691
8841|2874
25942|7468
5058|10174
10114|1616
311|306
6881|6881
9531|10174
22955|22955
2316|960
10381|2885
25865|4086
3065|9070
3643|3643
4214|387
9577|7157
3516|55031
1956|14
2771|302
801|58533
5204|7716
112398|112398
1499|10498
10159|387
7703|22955
5460|7026
7184|3309
3065|5929
3672|5771
5530|5520
3845|8945
3091|6714
1649|1051
9063|3725
25865|5774
3958|351
9618|1499
1499|4771
4214|2317
3643|5771
1432|572
6045|801
2010|4000
3845|351
8841|7155
3956|2969
23411|9611
5747|6714
2321|5335
3717|5782
4609|5601
1387|7157
10253|10252
9611|10155
3655|351
2885|26999
334|5578
27086|7157
2033|9500
5728|331
8837|4088
5936|2034
7531|6885
5599|3297
409|4691
9968|9968
4087|5601
2549|5782
7161|81620
2316|4000
1627|85458
8837|7157
7531|805
10892|7189
22882|22882
4163|6801
836|637
9255|351
8452|23770
27086|27086
10013|2932
8945|10277
10014|7529
25942|5970
51366|7164
10987|23318
6714|1072
2908|5598
7168|7184
5316|6929
3309|10542
2011|23303
9079|51564
5371|5300
7529|3983
2885|5530
3654|9618
2896|51701
10494|5783
805|818
3726|672
57142|6714
8452|3251
51547|8289
3163|2908
672|5970
51592|8861
4860|7157
5496|29079
2885|6294
5058|6615
3297|4831
23295|4734
8452|51119
3315|7157
8613|351
23327|997
1386|9063
6850|5296
4086|9862
3064|2885
332|1019
5295|153090
1385|818
51741|26999
5598|7531
8525|3265
166|166
2033|7392
6648|7001
4734|6198
672|6597
2277|8754
6733|23332
6881|2648
4193|23451
2033|4094
1956|7531
5594|5925
5728|1399
51141|29979
648|92609
1130|9968
5500|2317
2885|5747
90780|207
6045|8451
5599|3725
1956|8892
2534|4690
219771|79084
28996|8717
6929|2033
1956|2771
648|6733
5530|998
10253|2885
5871|7186
28996|3065
3065|5087
1027|7531
10787|4690
4087|4090
7529|498
9612|1051
4627|4791
23133|5914
51564|6907
2034|11331
1454|8312
4609|128239
23162|9479
1540|7189
4221|4221
1627|3728
84447|4627
8450|7089
351|2192
207|2033
55294|4644
8450|8531
302|351
2889|2885
3309|7186
3065|5914
7067|8841
1977|7189
2549|6464
91|57154
4092|4734
3309|3398
7184|9255
6453|5204
1642|6502
2932|23451
3727|4089
9968|29079
2033|208
4690|323
5300|5770
4790|7528
8315|8315
2908|7251
7048|5792
1147|805
6478|51196
7057|7422
3309|4691
7186|7531
4734|1020
8945|3182
1032|595
9451|9451
9967|9969
10987|5580
8312|28996
10987|6194
4297|25942
1540|10013
5594|5791
4088|9862
6667|5599
5074|5371
5911|9448
5058|961
79594|207
2033|5371
6901|4041
6774|4086
5581|1832
10628|3065
10987|5052
3958|871
8841|5087
23411|6720
3667|5291
4488|5594
1649|1386
672|9093
1385|9063
581|331
2648|4830
5728|5728
4170|8658
25942|51564
7186|8204
9479|5599
208|842
4627|64428
9500|9500
5970|9093
8841|4790
83737|5460
10006|1399
4609|23318
3725|408
5530|572
6774|3066
2011|23332
1627|4644
4089|4790
472|79791
10006|868
5578|7832
408|7533
23414|3065
5580|5770
8452|23451
672|1874
598|842
409|4214
51231|7251
4609|3066
10381|7018
207|6789
7536|7332
7046|9043
3309|5728
5599|7529
1803|7852
4851|9253
79084|4086
2033|3516
7186|9821
1072|5052
1956|5594
5499|8493
1387|1385
672|285464
4090|5782
5300|2280
4088|1601
4297|5364
4170|637
9611|2874
80762|5728
5295|3717
2004|5204
2768|5578
51701|51701
22882|5604
23542|10939
324|1454
5424|891
2734|4790
4193|5932
153090|207
5595|5791
1627|818
6198|983
5422|7157
64428|351
5300|1642
7428|2896
8751|6714
3726|334
2004|2885
6885|9448
805|805
3295|6648
801|8767
2625|5469
207|8682
9093|10498
5292|5300
5496|7536
1432|6464
6774|5970
10014|4830
6722|5970
1432|55031
7048|7189
3065|4609
6497|23411
409|6733
8829|8829
10494|6801
4824|10116
5792|3728
10987|6464
1385|7157
1454|4040
29979|51499
196|9612
672|2969
9612|8841
8204|10014
6667|4609
8945|25937
409|7531
4609|7852
1856|387
3655|6464
4194|2033
8945|4193
25942|25855
5525|8313
6194|7428
2064|6774
4217|11315
8202|57591
10626|351
7186|801
2316|5499
1499|3065
1387|672
6840|4831
7048|1616
5728|7157
1499|5782
10155|51592
7337|302
5500|891
6615|8945
5594|3845
8805|5371
8451|7184
5058|572
207|5578
7430|9368
2885|302
8452|3858
8452|8531
7703|6015
10049|351
7703|6045
9821|6497
408|55681
811|351
323|538
331|836
10848|10848
10499|3091
4791|92609
8697|983
5335|2885
1051|7157
5154|6667
23054|22976
51741|3315
7430|8767
4000|1499
55366|23513
3064|3708
10987|351
51741|58190
4087|4976
85365|22872
5601|207
5594|6464
4000|4000
2309|1499
334|5601
5830|5828
1147|5970
2734|5970
331|7332
5598|7157
311|302
394|5829
409|1072
2534|3655
1147|8239
8452|5500
5525|6464
672|405
572|665
1642|10987
9612|1874
5119|5119
23043|6885
2931|1495
1969|7046
4853|3516
26999|10163
1627|4771
51144|5245
1601|7048
4691|55681
6045|2734
672|7013
5991|5991
472|5524
595|896
7050|3725
23291|51366
23236|5594
6714|868
5728|5608
10755|54910
55294|23332
3064|1499
6416|2317
997|4223
79084|4824
79594|79594
3725|667
3622|25942
4088|23592
4609|8985
5598|5371
8945|9612
7531|7040
10987|6597
51564|51564
7013|57680
4830|4830
3182|5518
10014|6885
6794|2011
3685|7057
5530|5728
6929|7391
649|8646
648|8531
3064|51100
51547|4763
2353|5300
5581|581
51547|26058
6929|805
8452|805
207|4194
4089|5268
2908|7337
324|6801
7337|5914
6850|7189
4204|6497
3265|51196
351|1072
5578|7157
6502|7528
7251|7453
9821|4217
54820|983
11171|3364
5594|3091
5594|2950
7023|672
5770|1956
10498|6597
5296|351
5728|10381
23476|23210
5595|7421
10939|351
4771|9368
5587|3725
10025|6257
23291|57680
2316|2778
5580|2931
1832|4791
5911|5911
1956|7186
51741|3728
861|861
10818|10253
10487|10487
6714|7430
5599|56940
2033|11171
23543|29117
8697|6874
5300|5914
391|4089
5868|5868
4690|8646
26524|324
7531|8239
1605|5295
23291|997
9611|861
2308|23411
1909|4170
1601|1856
8451|8945
648|4691
5598|7529
9604|7421
10014|5499
3611|23394
4088|57669
491|5578
7168|7168
405|6901
2139|9531
4092|10413
3516|5087
4609|7157
7189|998
10013|8239
1387|7533
25855|10049
3725|6872
1453|1499
4163|9255
3065|10155
1387|8092
3516|9612
5774|7023
472|55183
5796|5829
5499|5524
4000|665
2534|54206
4296|5604
5335|54541
6045|1104
1029|4691
5604|5604
5500|801
3065|6872
22976|3301
5524|4193
3064|4790
896|1031
430|808
4296|5300
2746|7189
5581|6774
3654|9500
51119|10277
3611|4659
28996|7089
23327|4133
2022|7043
1399|5747
51196|5333
8613|8613
6259|1495
4609|8604
10460|55740
83737|2885
6015|7157
29979|3280
409|7852
207|208
11326|4763
51701|4303
5290|10049
25855|6872
23291|2932
6416|83737
9113|5501
328|328
648|9968
387|5879
5601|5601
5594|5970
207|6453
51547|25836
328|3364
4609|79084
3065|23394
1385|10498
1718|51752
1500|1454
51592|8202
9531|51499
8451|4771
1856|5578
2317|6714
836|6045
7408|4038
1977|23191
4609|7531
4087|1855
94234|23394
11331|5970
8567|8567
5469|2648
2736|6497
2033|2624
4088|672
4831|4831
9618|4627
6929|7421
5598|3728
1454|1855
3725|4209
23077|5782
3725|3065
595|801
64783|7536
23411|3066
648|801
10818|2549
4627|7168
4223|8440
7529|4194
10499|3725
5621|5621
166|2885
2885|1399
5829|57630
51547|23560
408|1909
8451|4790
58190|8861
2768|351
51592|8805
861|5371
3364|5423
4734|2629
4091|4734
3611|5058
27086|93986
7161|10413
1289|5154
1831|4791
23405|23411
7057|811
498|9255
2885|5921
4628|4628
4824|579
5245|79084
7001|351
29979|961
598|23770
5295|5921
4790|7175
553115|553115
6868|1739
9821|5747
2534|868
6382|2033
23054|5929
8239|1499
7529|23332
2064|5782
5929|8085
55740|5594
8202|58
6714|7157
472|7189
4297|9070
4217|6885
8451|23405
60485|9113
573|8841
29127|29127
6198|5520
1958|5307
1958|3725
3643|7529
5978|25942
868|5295
2932|5525
7421|9967
408|1856
5175|5295
5520|7157
2534|5775
5609|4217
1399|3643
90390|9862
7189|6714
10787|10163
23236|2776
23542|5606
2885|2316
3397|2626
23162|5604
208|2309
6498|9611
4609|1051
10076|2771
896|351
1874|983
11315|57669
1956|2288
3643|5578
896|7249
2624|5371
409|805
1029|6667
4831|6418
5604|5595
208|4223
3064|5295
2889|4690
3685|1969
2033|3622
2885|5654
6840|4000
29072|7157
7337|5660
4214|6416
6874|6874
1845|1956
5290|8525
4209|8751
891|1027
5929|6872
2065|4734
1956|8301
57154|4615
207|5140
