EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
5879|23568
1855|8312
9775|5978
10206|396
5604|8837
5310|87
1432|2004
11051|3066
1432|8945
5469|5469
10014|7037
10672|7046
6772|7852
5879|4627
7412|16
23405|3329
3915|3912
5335|5921
4869|498
1650|3703
1499|5494
3275|6256
11051|55696
6729|6729
7879|57403
22955|8467
513|509
118|3398
4627|54822
22976|10111
4771|6895
6492|3320
1017|3398
2885|3329
4734|6189
7157|2648
9113|10413
4090|23451
5747|1605
51393|7442
4609|23085
10252|868
7415|51366
5921|309
7412|8775
5747|4193
14|10076
5467|8202
3654|3315
1213|4790
9612|8202
10049|10013
5970|8986
3476|79840
26574|1613
10458|55971
2885|6764
3320|5871
6303|8525
6210|79084
4851|5664
2932|8517
2549|5829
4778|5195
6714|4133
1020|351
10325|64121
5720|5696
6714|5295
5871|6416
26276|351
4627|302
124583|124583
7917|710
3265|8036
1788|4223
2040|2040
23411|5906
10488|638
4087|23557
10458|55740
3717|3320
5603|7157
1213|409
5599|6464
8452|4722
3065|3320
3064|83737
5300|4303
51377|7295
1022|2068
6045|2317
324|598
1937|4193
10013|22985
10013|4615
83706|79753
5595|6548
11218|23405
8452|7072
3965|10325
5108|55081
3981|1278
10856|29110
10014|3837
8766|3064
2771|5581
4086|2648
1017|9113
1147|8717
7184|10399
10399|6774
5594|7157
58|5879
208|9545
4831|10856
2034|56897
22920|55696
6809|6809
752|51474
7428|23032
3667|55023
3643|5580
23560|6189
23020|23020
1958|6647
444|5154
1432|6774
51366|2932
514|93974
1788|130557
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
55366|4297
4790|5607
672|79035
5581|6868
6777|351
7412|2782
8837|868
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
2547|3064
6886|2547
3065|2969
3065|7428
4683|3843
5914|23411
3659|4193
83737|51429
8976|4690
29127|4294
5532|7942
9262|351
8517|396
23580|10801
3621|7157
5594|6640
5606|9479
23263|6194
6789|9218
7013|28988
1956|6850
939|56913
1856|8878
3065|3297
23291|10413
7186|10758
396|637
1017|3146
5052|51
2335|5976
7186|9994
6050|283
5295|1969
10755|613
23433|57120
7412|4627
8737|8517
5716|8440
1832|5663
10728|7189
4615|4088
9344|5606
2335|9775
2771|4691
4331|2967
3685|7040
2962|688
23411|4092
509|9551
3091|613
7414|10381
55294|55294
5467|5970
4214|10049
267|23295
7412|4691
5058|10472
1855|1499
1385|6722
1827|7189
4436|8517
7187|329
6934|7248
240|5594
1856|7126
7046|7040
8737|329
29126|91949
7494|7494
4609|3837
23291|7832
7072|5094
5683|5682
10755|5578
1130|57060
1020|7917
4609|2033
1432|1956
1017|3983
6789|23085
1956|5802
208|7249
7494|2648
6774|6778
5829|102
3320|8473
1956|5604
3688|7414
5747|7132
2309|57708
4163|23020
847|6786
3320|1613
267|9131
975|4869
79084|6597
1386|306
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
409|10381
7428|1856
1969|9525
10013|6249
5970|7412
7428|5580
396|1967
5601|6470
196|4094
4609|4609
3611|79888
3661|2308
3398|5925
55145|5074
5879|10928
58|7187
1017|8531
1017|5094
3655|3915
2908|10013
5663|348
9101|6778
409|6714
675|2316
3315|5898
23368|672
9516|29979
7528|351
3837|267
4790|8837
10856|1785
5295|2033
118|667
2060|2534
1054|1017
2683|3728
1785|6386
7412|3040
7046|4087
7412|5908
9252|2908
5663|7046
5970|595
2885|835
23580|55752
6772|3654
6714|6778
11104|51750
8820|9612
7249|5747
7157|1958
498|93974
1739|23095
9775|4089
351|4609
10013|3320
4851|5928
8099|9463
10818|4915
51065|6188
8440|23043
1385|3066
29126|472
7428|9821
11052|4076
23291|1213
4627|8767
5879|8411
57506|6772
5295|3265
5335|6714
56829|351
409|5594
2054|27230
10111|4691
1017|7915
3315|6667
2885|6189
7428|1270
3146|3148
8021|87178
351|4763
2885|6237
409|3312
1051|1054
6667|23636
10379|10379
5906|396
11331|11218
3265|8315
8202|1147
408|6093
2023|4643
23291|1020
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
1385|1051
5716|3320
864|4851
476|509
10159|23770
472|79035
51474|55589
1627|667
4869|497661
8312|7248
4216|5604
6497|4691
11051|1627
22800|5900
3312|5217
11052|23020
11073|4683
23263|23451
56957|27338
6045|7528
7428|6189
5609|9479
3912|43
7415|118
7453|7453
28996|28996
23043|23287
5599|23411
5300|55201
83547|83547
4983|5879
5310|9564
2534|4223
6259|2049
5460|5460
10010|1213
2885|3983
3643|8878
1386|10972
148281|8567
9653|128869
408|1213
5595|6667
4176|4176
5879|7410
4088|5371
8891|8531
7428|1291
1017|7415
408|498
998|4294
2118|2629
4609|8878
9572|351
4869|3956
10381|55023
8452|83695
3299|3297
6045|23020
5970|9131
1432|8841
5603|4216
1020|55083
4086|4853
149428|23557
4087|93649
648|4830
4163|54205
240|4223
128|351
1029|598
3320|405
1936|1937
3801|91949
11124|1650
515|7189
522|539
1984|6386
9545|351
4088|57680
3661|3843
5058|5879
3476|22948
2782|2534
8841|11331
7186|2081
3476|4282
4193|6597
8767|8517
7159|301
5925|3065
1017|539
672|2316
23414|5928
4194|351
3315|3476
509|514
672|7168
3064|4294
6591|3065
5608|5970
4313|5966
5601|3726
2885|966
3717|5954
4628|4691
10458|10458
6640|128
8841|2874
5058|10174
10114|1616
6881|6881
1017|2896
4792|4792
998|9230
22955|22955
2316|960
1650|6194
10458|10006
10381|2885
25865|4086
4869|2034
1647|4616
3643|3643
4214|387
9577|7157
