EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
57154|3309
6631|9775
1855|8312
9775|5978
10206|396
5604|8837
5310|87
56254|51322
11051|3066
1432|8945
7917|84292
5469|5469
10672|7046
26227|2885
23081|3065
5879|4627
3309|27000
9968|9412
3915|3912
84687|5499
5335|5921
9516|23327
4869|498
1650|3703
2885|2887
1499|5494
3275|6256
6729|6729
7879|57403
22955|8467
10987|8607
513|509
2288|10728
84661|10565
5499|5568
7319|1029
118|3398
4627|54822
22976|10111
4771|6895
1017|3398
3065|6883
4734|6189
6601|5978
1786|53615
7157|2648
2734|5966
9113|10413
4090|23451
4629|10096
5747|1605
51393|7442
4609|23085
8452|4976
8233|23451
5921|309
86|79718
5747|4193
23363|8607
7157|51741
6045|55759
960|573
5467|8202
23394|6601
648|11171
3654|3315
7532|8451
56897|5424
1647|983
9612|8202
8451|8467
10049|10013
2023|3187
5970|8986
26574|1613
166|55072
2537|351
5566|1385
2885|6764
3320|5871
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
4778|5195
6714|4133
1020|351
27316|51340
6714|5295
54583|6478
5871|6416
23133|55183
4627|302
23363|4361
5130|9025
4221|25942
124583|124583
6631|10498
57154|3622
3265|8036
10014|27316
25836|5538
51548|2317
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
3717|3320
5599|6464
8452|4722
3065|3320
3064|83737
5300|4303
29127|5116
1022|2068
8945|51741
6478|6774
6045|2317
324|598
1937|4193
25855|351
30827|80335
10013|4615
83706|79753
5595|6548
79791|595
57154|3178
11218|23405
5747|4678
8452|7072
5245|6189
3981|1278
10856|29110
8766|3064
6478|8841
6102|1454
10987|56254
3476|53615
4086|2648
57154|7186
4088|6601
1017|9113
10163|10096
1147|8717
1051|1387
7337|301
7184|10399
1786|30827
8725|55929
10987|6631
10399|6774
2648|6877
26058|6631
5594|7157
58|5879
4088|3727
1453|1855
4831|10856
8243|23476
4086|58533
2034|56897
4670|6636
10987|9097
23363|3276
10006|5296
10987|81620
7428|23032
23560|6189
23020|23020
1432|6774
51366|2932
514|93974
3958|5781
4824|7089
1191|5444
4651|805
2185|6774
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
9657|51552
4038|25861
55366|4297
4790|5607
5581|6868
4193|57154
6777|351
58517|6625
2034|2010
1147|9043
4218|117177
1831|3065
10987|7186
5371|6926
8626|10399
57634|80314
1810|11091
498|6199
5601|9031
26121|10291
3065|7428
7251|4193
8517|22938
5914|23411
24148|58517
328|6418
6598|55636
10933|86
83737|51429
29127|4294
3185|9757
5728|6231
6636|84967
9262|351
3320|1019
8517|396
23580|10801
8682|8772
5530|6257
3315|23363
5594|6640
207|23327
5606|9479
3066|83933
9218|5245
23263|6194
6871|2648
2353|351
6789|9218
7013|28988
4869|24148
1956|6850
4163|10569
1856|8878
1196|672
10419|84844
7186|10758
396|637
166|6733
6871|3185
1956|2274
112869|9910
2081|9097
2335|5976
7186|9994
5295|1969
5970|7052
26227|6453
5966|6500
10755|613
79784|54623
23433|57120
9775|11168
4176|7337
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
672|23512
23327|79176
5716|8440
5594|1978
1832|5663
801|6249
10728|7189
1454|5664
4615|4088
9344|5606
2335|9775
4616|983
7094|9898
4331|2967
311|4282
6879|2118
1031|55183
3685|7040
8626|10277
23411|4092
11091|51562
509|9551
8450|23348
3091|613
7414|10381
55294|55294
5467|5970
975|6418
5829|84661
4214|10049
51741|5914
5058|10472
2316|7532
6907|1499
1855|1499
1385|6722
2068|983
1827|7189
4436|8517
7187|329
6733|8726
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
8850|10629
1017|57591
4170|3312
7072|5094
2335|10432
10755|5578
1130|57060
1020|7917
6275|23774
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
7027|1387
6789|23085
8452|8450
6944|3276
1956|5802
54764|57332
84661|87178
208|7249
8805|57332
1487|93986
7494|2648
5829|102
3320|8473
1956|5604
23512|51747
3688|7414
7431|11143
5747|7132
2309|57708
4163|23020
847|6786
11143|27154
3320|1613
51564|79718
7023|3148
975|4869
2274|10522
79084|6597
2353|5536
10987|79791
1540|142678
10987|7001
5914|5469
1278|960
22976|51720
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
1969|9525
10013|6249
8626|10902
396|1967
5601|6470
58517|6426
4609|4609
3661|2308
3398|5925
6272|10542
207|3178
2624|6500
6733|27316
8945|55759
5879|10928
53615|3725
2334|4690
58|7187
1017|8531
27005|9101
7023|8932
1386|7416
1017|5094
3655|3915
1642|4926
2908|10013
5663|348
7335|331
8440|23522
3925|5568
409|6714
6879|6879
4292|9898
675|2316
578|7416
29110|4670
3315|5898
23368|672
3309|6667
26524|4851
7528|351
4790|8837
8626|55294
10987|3858
56943|56970
3312|4791
5966|801
5295|2033
123169|6879
118|667
1054|1017
9070|2033
1147|5499
2683|3728
10572|27
7046|4087
10253|10817
9252|2908
5663|7046
5970|595
10181|55183
2885|835
93986|116113
23580|55752
6314|3912
11104|51750
156|31
8820|9612
1027|1019
7249|5747
7157|1958
498|93974
1739|23095
25932|5966
7419|509
6498|51592
9775|4089
351|4609
10013|3320
4851|5928
5727|2683
51322|7094
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
51111|51111
7428|9821
11052|4076
4627|8767
10919|6015
1499|8850
6310|55072
5295|3265
5335|6714
409|1019
409|5594
11338|6189
509|7416
1017|7915
3315|6667
2885|6189
3611|2746
7428|1270
5058|5592
7416|7416
