EntrezGeneID1|EntrezGeneID2
5300|81628
1855|8312
5310|87
55366|23310
1432|2004
1432|8945
5469|5469
10672|7046
5879|4627
23405|3329
3915|3912
5335|5921
672|2355
2885|2887
1499|5494
3275|6256
2288|10728
5499|5568
7319|1029
4627|54822
1017|3398
2885|3329
7157|2648
9113|10413
5747|1605
51393|7442
5747|4193
7157|51741
5467|8202
3654|3315
996|996
1213|4790
9612|8202
10049|10013
5566|1385
2885|6764
4851|5664
2549|5829
6714|4133
1020|351
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
4627|302
324|8658
4087|23557
1213|409
5599|6464
3064|83737
5300|4303
8945|51741
324|598
10013|4615
1432|4209
6478|8841
1153|7094
4086|2648
57154|7186
9099|9361
1017|9113
1147|8717
5594|7157
58|5879
4088|3727
1453|1855
4831|10856
10987|9097
6809|6809
7428|23032
3667|55023
1958|6647
51366|2932
4824|7089
7531|3983
1432|5371
11315|204851
4038|25861
4790|5607
5581|6868
4193|57154
6777|351
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
3065|2969
5601|9031
3065|7428
5914|23411
29127|4294
5530|6257
5594|6640
207|23327
5606|9479
2353|351
1956|6850
939|56913
3065|3297
1196|672
10155|5460
166|6733
6050|283
472|10155
5295|1969
5970|7052
4193|55967
10755|613
23327|79176
10728|7189
1454|5664
4615|4088
9344|5606
311|4282
3685|7040
23411|4092
3091|613
7414|10381
55294|55294
5467|5970
4214|10049
51741|5914
5058|10472
2316|7532
6907|1499
1855|1499
1385|6722
1827|7189
4728|11331
6934|7248
7046|7040
7494|7494
1017|57591
10755|5578
6464|7175
1020|7917
4609|2033
1432|1956
1017|3983
81628|79718
1956|5802
208|7249
4700|4724
7494|2648
1956|5604
3688|7414
847|6786
51564|79718
79084|6597
1386|306
10987|7001
5914|5469
22954|29979
409|10381
7428|1856
1969|9525
5516|9448
196|4094
4609|4609
3611|79888
3398|5925
1017|8531
1386|7416
3655|3915
1642|4926
2908|10013
