EntrezGeneID1|EntrezGeneID2
57154|3309
5879|23568
1855|8312
5604|8837
55366|23310
149041|7327
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
55294|29079
5469|5469
10014|7037
10672|7046
26227|2885
55832|1832
5501|351
5879|4627
23405|3329
3915|3912
5335|5921
4869|498
2885|2887
1499|5494
3275|6256
153090|8454
9146|90390
2288|10728
5499|5568
7319|1029
2885|3329
4734|6189
7157|2648
2734|5966
11060|1605
9113|10413
6733|7957
5747|1605
51160|613
11236|3638
51393|7442
10252|868
8452|4976
7415|51366
5747|4193
7157|51741
5618|3717
14|10076
6045|55759
960|573
5467|8202
3654|3315
996|996
1213|4790
5501|7415
1647|983
4734|7322
9612|8202
10049|10013
26574|1613
166|55072
10458|55971
2537|351
26270|3074
5566|1385
2885|6764
54984|7430
55759|55759
4851|5664
2549|5829
4778|5195
3661|64750
6714|4133
1020|351
6714|5295
54583|6478
5871|6416
4627|302
26524|7533
5130|9025
7322|115426
25836|5538
5914|6477
2040|2040
324|8658
57332|57332
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
5496|3925
5599|6464
8452|4722
3064|83737
5300|4303
2885|5930
55128|22861
8945|51741
6478|6774
6045|2317
324|598
81559|7322
10013|22985
25855|351
10013|4615
11218|23405
7415|5245
8452|7072
5108|55081
5245|6189
3981|1278
4869|5501
1432|4209
3486|960
6478|8841
10987|56254
4086|2648
7957|1967
7322|26994
57154|7186
9099|9361
1147|8717
1051|1387
7337|301
7184|10399
3301|4790
23640|7186
10399|6774
5594|7157
58|5879
1453|1855
5595|1645
26270|5538
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
1958|6647
444|5154
1432|6774
51366|2932
3958|5781
4824|7089
1788|130557
57154|5518
7531|3983
7132|9093
1432|5371
11315|204851
6257|7415
4038|25861
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
8837|868
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
8626|10399
3065|2969
3065|7428
7251|4193
5914|23411
328|6418
3659|4193
83737|51429
8976|4690
29127|4294
5532|7942
9262|351
6502|997
2261|5335
7298|9040
8682|8772
5530|6257
5594|6640
5606|9479
29116|7334
3801|10540
79654|10892
1956|6850
939|56913
9063|9063
7013|5496
23515|54476
3065|3297
23291|10413
166|6733
5052|51
23512|92609
7529|51599
7186|9994
6050|283
5295|1969
5970|7052
26227|6453
7415|6500
5966|6500
5580|6944
4830|983
1616|3276
672|23512
5716|8440
1832|5663
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
7083|7157
4616|983
7083|7249
5500|3983
6772|55832
1031|55183
3685|7040
8626|10277
23411|4092
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
975|6418
4214|10049
267|23295
51741|5914
5058|10472
7529|10787
6907|1499
1855|1499
9063|2908
4088|64219
1385|6722
2068|983
1827|7189
5290|6772
7187|329
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
23291|7832
1130|57060
6464|7175
1020|7917
5074|6523
5499|6502
4609|2033
1432|1956
6944|3276
1956|5802
54764|57332
208|7249
8805|57332
7324|10425
7494|2648
5829|102
1956|5604
3688|7414
5747|7132
5500|1029
267|9131
51564|79718
80331|10273
7023|3148
975|4869
79084|6597
1386|306
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22954|29979
409|10381
7428|1856
8454|4193
7428|5580
5601|6470
196|4094
51257|7328
4609|4609
3611|79888
3661|2308
472|6477
3398|5925
6272|10542
8454|29127
55145|5074
4090|7844
3093|7428
2624|6500
8945|55759
58|7187
7023|8932
3655|3915
1642|4926
2908|10013
3065|3326
5663|348
7335|331
90678|3297
3925|5568
409|6714
675|2316
23368|672
3309|6667
26524|4851
7528|351
4790|8837
2885|51185
8626|55294
6478|8554
5295|2033
9070|2033
1147|5499
7321|8239
2683|3728
6733|55832
7046|4087
1642|6772
10253|10817
23543|3202
1020|3326
5663|7046
23291|55759
5970|595
2885|835
93986|116113
5469|29079
6772|3654
8820|9612
1020|5771
10459|51343
1956|7327
1191|11130
7249|5747
7157|1958
498|93974
25932|5966
6498|51592
351|4609
7251|9146
10241|3142
1201|51144
5727|2683
54541|55183
10818|4915
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
4282|54984
7428|9821
55294|5500
11052|4076
23291|1213
4627|8767
10919|6015
6310|55072
57506|6772
5295|3265
5335|6714
405|9978
56829|351
409|5594
3315|6667
2885|6189
7428|1270
150684|5966
3326|7186
861|1387
55612|51119
4085|4085
328|1642
7375|7046
8651|2261
11130|9183
1601|1855
351|4763
51434|1387
1051|1054
10379|10379
11331|11218
3265|8315
10728|2065
149041|7332
8202|1147
408|6093
23512|10397
23291|1020
3309|811
8445|9821
7157|83737
6497|3329
1385|1051
23429|9191
10075|1738
4790|4791
6497|79718
864|4851
10159|23770
1627|667
4976|664
4000|4926
9531|3326
8312|7248
23394|23212
4216|5604
10413|7533
6497|4691
11051|1627
123169|7319
472|10444
409|5518
4085|6189
6045|7528
7428|6189
847|3295
5609|9479
3912|43
3485|7018
2064|983
11060|7322
4734|6500
7453|7453
28996|28996
9282|29079
23043|23287
60485|26524
2192|10252
5599|23411
196|9978
5300|55201
5245|1627
5747|10273
65057|1627
7155|983
51257|57120
9440|7157
26270|4830
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
664|7052
7325|9025
4791|6500
7326|10616
8649|5770
1956|92609
9653|128869
408|1213
23512|3983
5595|6667
10075|32
4088|5371
8891|8531
7428|1291
408|498
998|4294
2118|2629
65057|51119
26272|26272
5914|23512
1365|5566
9572|351
5604|2887
7325|7703
4869|3956
10381|55023
11059|4778
928|961
3299|3297
5970|9131
2317|10540
1432|8841
5499|1454
23512|6045
5603|4216
1020|55083
4086|4853
4087|93649
648|4830
2885|5500
7323|4214
207|150684
4163|54205
128|351
1029|598
7528|1387
3801|91949
29110|26994
90678|90678
8626|7415
4088|57680
9618|11059
7322|9025
5058|5879
4627|1601
6241|29945
23126|10459
2782|2534
8841|11331
23481|23481
23054|1387
4609|9968
7186|2081
3476|4282
4193|6597
65057|677
7159|301
5925|3065
7375|10075
373|7324
3399|10817
1616|4629
7327|267
7319|966
4791|5537
5792|8301
672|2316
5925|996
7321|4214
8454|55904
1948|8892
4194|351
4609|8454
3315|3476
3661|3815
1499|6500
3066|3301
672|7168
3064|4294
6591|3065
5608|5970
4313|5966
10542|55183
7529|4763
5601|3726
2885|966
3717|5954
1717|3326
4628|4691
10458|10458
6640|128
8841|2874
5058|10174
10114|1616
6881|6881
9531|10174
4792|4792
2316|960
10381|2885
25865|4086
4869|2034
3065|9070
1647|4616
3643|3643
4214|387
9577|7157
8440|10458
65018|7052
1956|14
5204|7716
112398|112398
3661|7187
26270|7531
1499|10498
10159|387
5594|5213
5460|7026
51701|8454
7184|3309
3065|5929
3672|5771
5530|5520
3845|8945
578|7337
3091|6714
989|5966
7415|572
54974|51100
1649|1051
9063|3725
5580|7037
25865|5774
3958|351
11331|6189
9618|1499
3925|5603
1499|4771
4214|2317
3643|5771
1432|572
26001|9040
7328|5970
55752|7189
6733|5930
5501|7187
5518|4869
2010|4000
150684|331
373|5296
81847|7322
3845|351
8841|7155
57506|6714
836|9191
3832|79718
3956|2969
23411|9611
5747|6714
7528|29844
2321|5335
3717|5782
4609|5601
1387|7157
1540|4646
10253|10252
3655|351
2885|26999
334|5578
7324|4214
27086|7157
2033|9500
996|29945
5728|331
4436|8243
8837|4088
57154|10540
26994|11060
5499|6500
5936|2034
7324|4734
7531|6885
5599|3297
409|4691
7001|2956
9968|9968
996|51434
4087|5601
2549|5782
472|6240
2316|4000
5566|5568
1627|85458
1390|5578
8837|7157
55681|6189
10892|7189
51619|26001
22882|22882
4163|6801
7415|27338
836|637
148022|10498
9255|351
8452|23770
1499|604
847|351
324|4646
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
8945|10277
10014|7529
2908|2782
2317|7415
9690|7321
51366|7164
10987|23318
6714|1072
6696|3688
2908|5598
29079|29110
7323|55159
115426|4170
7168|7184
5213|5211
5316|6929
3309|10542
2011|23303
9079|51564
868|3815
5371|5300
4292|8930
7529|3983
7335|10273
8772|8772
2885|5530
3654|9618
2896|51701
7844|7415
1027|8454
5500|1613
10494|5783
10460|3832
10163|8976
11140|6294
6840|2040
3726|672
151636|3717
57142|6714
7186|8772
4763|9519
5451|351
8452|3251
7132|5879
3163|2908
6647|55681
672|5970
51592|8861
1647|7917
4860|7157
6241|7251
5496|29079
2885|6294
648|10270
26524|222484
64783|9690
5058|6615
3297|4831
10477|10477
3654|8772
23295|4734
253980|387
8452|51119
3315|7157
8613|351
1386|9063
6850|5296
11059|7323
4086|9862
3064|2885
3092|5966
5295|153090
51741|26999
5598|7531
166|166
2033|7392
51619|7844
6648|7001
2494|5566
79577|1499
10273|7186
4088|55958
578|598
672|6597
26270|391
329|329
2277|8754
30844|90678
27429|4976
6881|2648
29110|498
10458|26999
2033|4094
1956|7531
5594|5925
54872|351
409|3326
4292|9131
51141|29979
55294|9978
7322|8454
648|92609
1130|9968
5500|2317
2885|5747
2261|55819
90780|207
3065|7431
5599|3725
604|6597
9646|10579
29079|10540
1956|8813
54623|9646
4313|80781
23368|2064
3054|5500
1956|8892
2534|4690
219771|79084
28996|8717
54880|84759
6929|2033
409|6772
648|6733
10188|998
5530|998
476|6188
10253|2885
7319|23304
4214|3093
55284|55159
5871|7186
28996|3065
3065|5087
1027|7531
10787|4690
9474|8772
4087|4090
9445|197131
7529|498
9612|1051
4627|4791
51564|6907
2034|11331
1454|8312
4609|128239
149428|149428
23162|9479
1540|7189
11140|10273
7375|3956
4221|4221
1627|3728
84447|4627
351|2192
207|2033
55294|4644
6733|29116
302|351
2889|2885
8243|10592
57154|7431
3309|7186
11315|4722
3065|5914
835|4193
10766|10766
1191|30835
7067|8841
351|1191
2549|6464
91|57154
4092|4734
11326|2324
3309|3398
7184|9255
9025|10600
10075|3066
2324|5747
1213|7132
6453|5204
1642|6502
3300|538
9968|29079
10116|9978
8454|4691
6667|9846
2033|208
4690|323
5300|5770
55366|22985
4790|7528
83737|10477
8315|8315
10783|10783
2908|7251
7048|5792
10014|55832
6478|51196
7057|7422
3309|4691
51377|1832
4627|7126
7186|7531
4734|1020
26270|7037
1032|595
9451|9451
9967|9969
10987|5580
8312|28996
10987|6194
196403|196403
1540|10013
5594|5791
5631|51119
4088|9862
6667|5599
5074|5371
1213|5518
55284|26001
9099|10616
662|351
7159|8626
1647|197131
11059|7321
2040|5568
5911|9448
5058|961
3329|3688
79594|207
1825|1499
2033|5371
6901|4041
6774|4086
5581|1832
672|55284
57506|79654
6774|9261
3516|8454
10628|3065
4830|6095
10987|5052
7013|90678
3654|10273
3958|871
54602|2534
939|7187
29110|4791
8841|5087
23411|6720
3667|5291
1649|1386
672|9093
5108|10458
2081|7132
1385|9063
581|331
2648|4830
5728|5728
4170|8658
997|8454
3612|5333
7186|8204
10938|8539
9479|5599
208|842
4627|64428
9500|9500
5970|9093
51429|51429
7322|1027
7013|4926
10919|7157
8841|4790
83737|5460
5499|25998
4609|23318
4869|4869
5300|6647
2264|6774
23673|113878
51529|64682
3725|408
5530|572
2932|64750
6774|3066
2969|4792
1627|4644
54984|7013
1030|8099
4089|4790
3054|6722
5578|7832
408|7533
23414|3065
29110|3665
5580|5770
672|1874
598|842
7328|85363
51257|997
409|4214
5594|7132
51231|7251
10159|11060
4609|3066
10381|7018
207|6789
3064|3093
11060|997
7536|7332
7046|9043
3309|5728
6188|6194
5599|7529
4851|9253
79084|4086
10273|7324
54205|598
51377|29844
2033|3516
7186|9821
10725|5335
1072|5052
1956|5594
5499|8493
4313|3685
1387|1385
672|285464
4090|5782
5300|2280
3611|8813
4088|1601
4170|637
6907|10477
9611|2874
80762|5728
5295|3717
2004|5204
2768|5578
51701|51701
22882|5604
5594|8649
5518|10938
989|9025
4087|476
7337|7324
23542|10939
23560|23212
4627|81844
324|1454
115426|1499
7132|7187
2734|4790
85363|22954
153090|207
3091|9978
5595|5791
30844|158
54602|4734
64428|351
23429|7528
10051|3981
5300|1642
7428|2896
7328|81847
3726|334
2004|2885
3093|5966
9444|9444
6885|9448
5802|197131
51684|8554
3295|6648
2625|5469
207|8682
9093|10498
3815|8651
324|90678
868|148022
1429|1429
5496|7536
1432|6464
7415|4926
6774|5970
7013|55971
10014|4830
6901|1292
6722|5970
7048|7189
3065|4609
25847|8697
6497|23411
409|6733
9531|9131
8829|8829
8737|54476
10494|6801
4824|10116
5792|3728
10987|6464
1385|7157
1454|4040
29979|51499
10540|81929
5781|79577
595|996
196|9612
10658|351
54106|7096
672|2969
9612|8841
8204|10014
6667|4609
11218|9612
8945|25937
409|7531
2261|6774
1856|387
26270|6874
5130|6284
3655|6464
6874|51434
4194|2033
3720|10919
8945|4193
5525|8313
7132|5295
112939|54880
6194|7428
2064|6774
1387|604
