EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
57154|3309
5879|23568
1855|8312
9775|5978
10206|396
5604|8837
5310|87
55366|23310
1432|2004
11051|3066
1432|8945
55294|29079
5469|5469
10014|7037
10672|7046
6772|7852
2624|161882
5501|351
5879|4627
3309|27000
7412|16
23405|3329
3915|3912
5335|5921
4869|498
1650|3703
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
7879|57403
22955|8467
9146|90390
513|509
2288|10728
5499|5568
118|3398
4627|54822
22976|10111
4771|6895
6492|3320
1017|3398
2885|3329
4734|6189
7157|2648
2734|5966
9113|10413
4090|23451
6733|7957
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
7415|51366
5921|309
7412|8775
5747|4193
14|10076
960|573
5467|8202
648|11171
3654|3315
996|996
56897|5424
7415|1019
1213|4790
5501|7415
1647|983
9612|8202
8451|8467
10049|10013
5970|8986
3476|79840
26574|1613
10458|55971
2537|351
5566|1385
2885|6764
3320|5871
54984|7430
6303|8525
6210|79084
4851|5664
2932|8517
2549|5829
4778|5195
6714|4133
1020|351
5516|3476
10325|64121
5720|5696
6714|5295
5871|6416
26276|351
23133|55183
4627|302
26524|7533
5130|9025
4221|25942
124583|124583
7917|710
57154|3622
3265|8036
1788|4223
2040|2040
23411|5906
10488|638
4087|23557
10458|55740
3717|3320
5603|7157
1213|409
5496|3925
5599|6464
8452|4722
3065|3320
3064|83737
5300|4303
51377|7295
6208|6223
1022|2068
6045|2317
324|598
1937|4193
10013|22985
25855|351
6917|2962
10013|4615
83706|79753
5595|6548
79791|595
11218|23405
7415|5245
8452|7072
3965|10325
5108|55081
5245|6189
3981|1278
10856|29110
10014|3837
4869|5501
8766|3064
1432|4209
3486|960
2771|5581
4086|2648
7957|1967
57154|7186
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
3301|4790
9146|25777
10399|6774
5594|7157
58|5879
208|9545
4831|10856
4086|58533
2034|56897
22920|55696
10006|5296
10987|81620
6809|6809
752|51474
7428|23032
3667|55023
3643|5580
23560|6189
23020|23020
1958|6647
444|5154
1432|6774
7415|79058
51366|2932
2113|3146
514|93974
2113|2908
81542|7295
1788|130557
1191|5444
2185|6774
57154|5518
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
6257|7415
4038|25861
55366|4297
4790|5607
672|79035
6772|3326
5581|6868
4193|57154
6777|351
7412|2782
8837|868
1969|1213
2034|2010
1147|9043
1831|3065
2023|2171
10987|7186
2547|3064
6886|2547
3065|2969
3065|7428
7059|222229
4683|3843
5914|23411
29079|8878
3659|4193
83737|51429
8976|4690
29127|4294
5532|7942
9262|351
6502|997
3320|1019
8517|396
23580|10801
8682|8772
3621|7157
5530|6257
5594|6640
5606|9479
9218|5245
23263|6194
2353|351
6789|9218
3801|10540
7013|28988
1956|6850
939|56913
9063|9063
7013|5496
8751|7525
1856|8878
3065|3297
23291|10413
1196|672
10155|5460
7186|10758
396|637
1017|3146
5052|51
4772|8554
7529|51599
2335|5976
7186|9994
6050|283
472|10155
5295|1969
5970|7052
10755|613
23433|57120
9702|2171
5580|6944
7412|4627
4176|7337
4830|983
1616|3276
8737|8517
3309|23636
2826|2885
5716|8440
5594|1978
1832|5663
10728|7189
4615|4088
9344|5606
2335|9775
4616|983
2771|4691
4331|2967
5500|3983
1031|55183
3685|7040
2962|688
7919|9063
23411|4092
509|9551
8450|23348
3091|613
604|9170
7414|10381
55294|55294
5467|5970
4214|10049
267|23295
7412|4691
5058|10472
7529|10787
6907|1499
1855|1499
9063|2908
1385|6722
2068|983
1827|7189
4436|8517
5290|6772
7187|329
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
29126|91949
7494|7494
4609|3837
23291|7832
1017|57591
4170|3312
7072|5094
5683|5682
10755|5578
1130|57060
6464|7175
1020|7917
23345|7040
5074|6523
9564|5770
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
7027|1387
6789|23085
8452|8450
6944|3276
10592|25942
1956|5802
7804|10755
208|7249
7412|6223
7494|2648
6774|6778
5829|102
3320|8473
1956|5604
3688|7414
5747|7132
2309|57708
5500|1029
4163|23020
847|6786
3320|1613
267|9131
177|3146
7023|3148
975|4869
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
409|10381
7428|1856
1969|9525
10013|6249
5970|7412
5516|9448
7428|5580
396|1967
5601|6470
196|4094
4609|4609
3611|79888
3661|2308
3398|5925
6272|10542
55145|5074
5879|10928
58|7187
1017|8531
1017|5094
3655|3915
2908|10013
3065|3326
5663|348
7335|331
3925|5568
9101|6778
409|6714
675|2316
3315|5898
23368|672
9516|29979
3309|6667
26524|4851
7528|351
3837|267
4790|8837
2739|2171
10856|1785
5295|2033
118|667
2060|2534
1054|1017
9070|2033
1147|5499
2683|3728
7430|9221
1785|6386
7412|3040
10572|27
7046|4087
10253|10817
23543|3202
1020|3326
7412|5908
9252|2908
5663|7046
5970|595
2885|835
5469|29079
23580|55752
6772|3654
6714|6778
11104|51750
8820|9612
1027|1019
1020|5771
10459|51343
1191|11130
7249|5747
7157|1958
94|7040
498|93974
1739|23095
6498|51592
9775|4089
351|4609
10013|3320
4851|5928
10241|3142
8099|9463
54541|55183
10818|4915
51065|6188
8440|23043
1385|3066
29126|472
4282|54984
7428|9821
55294|5500
11052|4076
23291|1213
4627|8767
6310|55072
5879|8411
57506|6772
5295|3265
5335|6714
56829|351
409|1019
409|5594
2054|27230
10111|4691
1017|7915
3315|6667
