EntrezGeneID|OfficialSymbol|OfficialFullName|Summary
3703|STT3A|STT3 oligosaccharyltransferase complex catalytic subunit A|The protein encoded by this gene is a catalytic subunit of the N-oligosaccharyltransferase (OST) complex, which functions in the endoplasmic reticulum to transfer glycan chains to asparagine residues of target proteins. A separate complex containing a similar catalytic subunit with an overlapping function also exists. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2015]
4216|MAP3K4|mitogen-activated protein kinase kinase kinase 4|The central core of each mitogen-activated protein kinase (MAPK) pathway is a conserved cascade of 3 protein kinases: an activated MAPK kinase kinase (MAPKKK) phosphorylates and activates a specific MAPK kinase (MAPKK), which then activates a specific MAPK. While the ERK MAPKs are activated by mitogenic stimulation, the CSBP2 and JNK MAPKs are activated by environmental stresses such as osmotic shock, UV irradiation, wound stress, and inflammatory factors. This gene encodes a MAPKKK, the MEKK4 protein, also called MTK1. This protein contains a protein kinase catalytic domain at the C terminus. The N-terminal nonkinase domain may contain a regulatory domain. Expression of MEKK4 in mammalian cells activated the CSBP2 and JNK MAPK pathways, but not the ERK pathway. In vitro kinase studies indicated that recombinant MEKK4 can specifically phosphorylate and activate PRKMK6 and SERK1, MAPKKs that activate CSBP2 and JNK, respectively but cannot phosphorylate PRKMK1, an MAPKK that activates ERKs. MEKK4 is a major mediator of environmental stresses that activate the CSBP2 MAPK pathway, and a minor mediator of the JNK pathway. Several alternatively spliced transcripts encoding distinct isoforms have been described. [provided by RefSeq, May 2014]
1845|DUSP3|dual specificity phosphatase 3|The protein encoded by this gene is a member of the dual specificity protein phosphatase subfamily. These phosphatases inactivate their target kinases by dephosphorylating both the phosphoserine/threonine and phosphotyrosine residues. They negatively regulate members of the mitogen-activated protein (MAP) kinase superfamily (MAPK/ERK, SAPK/JNK, p38), which are associated with cellular proliferation and differentiation. Different members of the family of dual specificity phosphatases show distinct substrate specificities for various MAP kinases, different tissue distribution and subcellular localization, and different modes of inducibility of their expression by extracellular stimuli. This gene maps in a region that contains the BRCA1 locus which confers susceptibility to breast and ovarian cancer. Although DUSP3 is expressed in both breast and ovarian tissues, mutation screening in breast cancer pedigrees and in sporadic tumors was negative, leading to the conclusion that this gene is not BRCA1. [provided by RefSeq, Jul 2008]
1232|CCR3|C-C motif chemokine receptor 3|The protein encoded by this gene is a receptor for C-C type chemokines. It belongs to family 1 of the G protein-coupled receptors. This receptor binds and responds to a variety of chemokines, including eotaxin (CCL11), eotaxin-3 (CCL26), MCP-3 (CCL7), MCP-4 (CCL13), and RANTES (CCL5). It is highly expressed in eosinophils and basophils, and is also detected in TH1 and TH2 cells, as well as in airway epithelial cells. This receptor may contribute to the accumulation and activation of eosinophils and other inflammatory cells in the allergic airway. It is also known to be an entry co-receptor for HIV-1. This gene and seven other chemokine receptor genes form a chemokine receptor gene cluster on the chromosomal region 3p21. Alternatively spliced transcript variants have been described. [provided by RefSeq, Sep 2009]
5818|NECTIN1|nectin cell adhesion molecule 1|This gene encodes an adhesion protein that plays a role in the organization of adherens junctions and tight junctions in epithelial and endothelial cells. The protein is a calcium(2+)-independent cell-cell adhesion molecule that belongs to the immunoglobulin superfamily and has 3 extracellular immunoglobulin-like loops, a single transmembrane domain (in some isoforms), and a cytoplasmic region. This protein acts as a receptor for glycoprotein D (gD) of herpes simplex viruses 1 and 2 (HSV-1, HSV-2), and pseudorabies virus (PRV) and mediates viral entry into epithelial and neuronal cells. Mutations in this gene cause cleft lip and palate/ectodermal dysplasia 1 syndrome (CLPED1) as well as non-syndromic cleft lip with or without cleft palate (CL/P). Alternative splicing results in multiple transcript variants encoding proteins with distinct C-termini. [provided by RefSeq, Oct 2009]
476|ATP1A1|ATPase Na+/K+ transporting subunit alpha 1|The protein encoded by this gene belongs to the family of P-type cation transport ATPases, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The catalytic subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes an alpha 1 subunit. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2009]
29789|OLA1|Obg like ATPase 1|This gene encodes a member of the GTPase protein family. The encoded protein interacts with breast cancer-associated gene 1 (BRCA1) and BRCA1-associated RING domain protein (BARD1), and is involved in centrosome regulation. Overexpression of this gene has been observed in multiple types of cancer and may be associated with poor survival. Pseudogenes of this gene have been defined on chromosomes 17 and 22. [provided by RefSeq, Jun 2016]
9220|TIAF1|TGFB1-induced anti-apoptotic factor 1| 
10413|YAP1|Yes1 associated transcriptional regulator|This gene encodes a downstream nuclear effector of the Hippo signaling pathway which is involved in development, growth, repair, and homeostasis. This gene is known to play a role in the development and progression of multiple cancers as a transcriptional regulator of this signaling pathway and may function as a potential target for cancer treatment. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Aug 2013]
9367|RAB9A|RAB9A, member RAS oncogene family| 
