EntrezGeneID|OfficialSymbol|OfficialFullName|Summary
4216|MAP3K4|mitogen-activated protein kinase kinase kinase 4|The central core of each mitogen-activated protein kinase (MAPK) pathway is a conserved cascade of 3 protein kinases: an activated MAPK kinase kinase (MAPKKK) phosphorylates and activates a specific MAPK kinase (MAPKK), which then activates a specific MAPK. While the ERK MAPKs are activated by mitogenic stimulation, the CSBP2 and JNK MAPKs are activated by environmental stresses such as osmotic shock, UV irradiation, wound stress, and inflammatory factors. This gene encodes a MAPKKK, the MEKK4 protein, also called MTK1. This protein contains a protein kinase catalytic domain at the C terminus. The N-terminal nonkinase domain may contain a regulatory domain. Expression of MEKK4 in mammalian cells activated the CSBP2 and JNK MAPK pathways, but not the ERK pathway. In vitro kinase studies indicated that recombinant MEKK4 can specifically phosphorylate and activate PRKMK6 and SERK1, MAPKKs that activate CSBP2 and JNK, respectively but cannot phosphorylate PRKMK1, an MAPKK that activates ERKs. MEKK4 is a major mediator of environmental stresses that activate the CSBP2 MAPK pathway, and a minor mediator of the JNK pathway. Several alternatively spliced transcripts encoding distinct isoforms have been described. [provided by RefSeq, May 2014]
1845|DUSP3|dual specificity phosphatase 3|The protein encoded by this gene is a member of the dual specificity protein phosphatase subfamily. These phosphatases inactivate their target kinases by dephosphorylating both the phosphoserine/threonine and phosphotyrosine residues. They negatively regulate members of the mitogen-activated protein (MAP) kinase superfamily (MAPK/ERK, SAPK/JNK, p38), which are associated with cellular proliferation and differentiation. Different members of the family of dual specificity phosphatases show distinct substrate specificities for various MAP kinases, different tissue distribution and subcellular localization, and different modes of inducibility of their expression by extracellular stimuli. This gene maps in a region that contains the BRCA1 locus which confers susceptibility to breast and ovarian cancer. Although DUSP3 is expressed in both breast and ovarian tissues, mutation screening in breast cancer pedigrees and in sporadic tumors was negative, leading to the conclusion that this gene is not BRCA1. [provided by RefSeq, Jul 2008]
476|ATP1A1|ATPase Na+/K+ transporting subunit alpha 1|The protein encoded by this gene belongs to the family of P-type cation transport ATPases, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The catalytic subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes an alpha 1 subunit. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2009]
29789|OLA1|Obg like ATPase 1|This gene encodes a member of the GTPase protein family. The encoded protein interacts with breast cancer-associated gene 1 (BRCA1) and BRCA1-associated RING domain protein (BARD1), and is involved in centrosome regulation. Overexpression of this gene has been observed in multiple types of cancer and may be associated with poor survival. Pseudogenes of this gene have been defined on chromosomes 17 and 22. [provided by RefSeq, Jun 2016]
9220|TIAF1|TGFB1-induced anti-apoptotic factor 1| 
10413|YAP1|Yes1 associated transcriptional regulator|This gene encodes a downstream nuclear effector of the Hippo signaling pathway which is involved in development, growth, repair, and homeostasis. This gene is known to play a role in the development and progression of multiple cancers as a transcriptional regulator of this signaling pathway and may function as a potential target for cancer treatment. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Aug 2013]
6418|SET|SET nuclear proto-oncogene|The protein encoded by this gene inhibits acetylation of nucleosomes, especially histone H4, by histone acetylases (HAT). This inhibition is most likely accomplished by masking histone lysines from being acetylated, and the consequence is to silence HAT-dependent transcription. The encoded protein is part of a complex localized to the endoplasmic reticulum but is found in the nucleus and inhibits apoptosis following attack by cytotoxic T lymphocytes. This protein can also enhance DNA replication of the adenovirus genome. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2011]
29|ABR|ABR activator of RhoGEF and GTPase|This gene encodes a protein that is similar to the protein encoded by the breakpoint cluster region gene located on chromosome 22. The protein encoded by this gene contains a GTPase-activating protein domain, a domain found in members of the Rho family of GTP-binding proteins. Functional studies in mice determined that this protein plays a role in vestibular morphogenesis. Alternatively spliced transcript variants have been reported for this gene. [provided by RefSeq, Feb 2012]
7251|TSG101|tumor susceptibility 101|The protein encoded by this gene belongs to a group of apparently inactive homologs of ubiquitin-conjugating enzymes. The gene product contains a coiled-coil domain that interacts with stathmin, a cytosolic phosphoprotein implicated in tumorigenesis. The protein may play a role in cell growth and differentiation and act as a negative growth regulator. In vitro steady-state expression of this tumor susceptibility gene appears to be important for maintenance of genomic stability and cell cycle regulation. Mutations and alternative splicing in this gene occur in high frequency in breast cancer and suggest that defects occur during breast cancer tumorigenesis and/or progression. [provided by RefSeq, Jul 2008]
2967|GTF2H3|general transcription factor IIH subunit 3|This gene encodes a member of the TFB4 family. The encoded protein is a subunit of the core-TFIIH basal transcription factor and localizes to the nucleus. The encoded protein is involved in RNA transcription by RNA polymerase II and nucleotide excision repair and associates with the Cdk-activating kinase complex. Alternative splicing results in multiple transcript variants. A related pseudogene has been identified on chromosome 14. [provided by RefSeq, Dec 2012]
