EntrezGeneID|OfficialSymbol|OfficialFullName|Summary
4216|MAP3K4|mitogen-activated protein kinase kinase kinase 4|The central core of each mitogen-activated protein kinase (MAPK) pathway is a conserved cascade of 3 protein kinases: an activated MAPK kinase kinase (MAPKKK) phosphorylates and activates a specific MAPK kinase (MAPKK), which then activates a specific MAPK. While the ERK MAPKs are activated by mitogenic stimulation, the CSBP2 and JNK MAPKs are activated by environmental stresses such as osmotic shock, UV irradiation, wound stress, and inflammatory factors. This gene encodes a MAPKKK, the MEKK4 protein, also called MTK1. This protein contains a protein kinase catalytic domain at the C terminus. The N-terminal nonkinase domain may contain a regulatory domain. Expression of MEKK4 in mammalian cells activated the CSBP2 and JNK MAPK pathways, but not the ERK pathway. In vitro kinase studies indicated that recombinant MEKK4 can specifically phosphorylate and activate PRKMK6 and SERK1, MAPKKs that activate CSBP2 and JNK, respectively but cannot phosphorylate PRKMK1, an MAPKK that activates ERKs. MEKK4 is a major mediator of environmental stresses that activate the CSBP2 MAPK pathway, and a minor mediator of the JNK pathway. Several alternatively spliced transcripts encoding distinct isoforms have been described. [provided by RefSeq, May 2014]
1845|DUSP3|dual specificity phosphatase 3|The protein encoded by this gene is a member of the dual specificity protein phosphatase subfamily. These phosphatases inactivate their target kinases by dephosphorylating both the phosphoserine/threonine and phosphotyrosine residues. They negatively regulate members of the mitogen-activated protein (MAP) kinase superfamily (MAPK/ERK, SAPK/JNK, p38), which are associated with cellular proliferation and differentiation. Different members of the family of dual specificity phosphatases show distinct substrate specificities for various MAP kinases, different tissue distribution and subcellular localization, and different modes of inducibility of their expression by extracellular stimuli. This gene maps in a region that contains the BRCA1 locus which confers susceptibility to breast and ovarian cancer. Although DUSP3 is expressed in both breast and ovarian tissues, mutation screening in breast cancer pedigrees and in sporadic tumors was negative, leading to the conclusion that this gene is not BRCA1. [provided by RefSeq, Jul 2008]
8394|PIP5K1A|phosphatidylinositol-4-phosphate 5-kinase type 1 alpha| 
6477|SIAH1|siah E3 ubiquitin protein ligase 1|This gene encodes a protein that is a member of the seven in absentia homolog (SIAH) family. The protein is an E3 ligase and is involved in ubiquitination and proteasome-mediated degradation of specific proteins. The activity of this ubiquitin ligase has been implicated in the development of certain forms of Parkinson's disease, the regulation of the cellular response to hypoxia and induction of apoptosis. Alternative splicing results in several additional transcript variants, some encoding different isoforms and others that have not been fully characterized. [provided by RefSeq, Jul 2008]
51322|WAC|WW domain containing adaptor with coiled-coil|The protein encoded by this gene contains a WW domain, which is a protein module found in a wide range of signaling proteins. This domain mediates protein-protein interactions and binds proteins containing short linear peptide motifs that are proline-rich or contain at least one proline. This gene product shares 94% sequence identity with the WAC protein in mouse, however, its exact function is not known. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2008]
476|ATP1A1|ATPase Na+/K+ transporting subunit alpha 1|The protein encoded by this gene belongs to the family of P-type cation transport ATPases, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The catalytic subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes an alpha 1 subunit. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2009]
9604|RNF14|ring finger protein 14|The protein encoded by this gene contains a RING zinc finger, a motif known to be involved in protein-protein interactions. This protein interacts with androgen receptor (AR) and may function as a coactivator that induces AR target gene expression in prostate. A dominant negative mutant of this gene has been demonstrated to inhibit the AR-mediated growth of prostate cancer. This protein also interacts with class III ubiquitin-conjugating enzymes (E2s) and may act as a ubiquitin-ligase (E3) in the ubiquitination of certain nuclear proteins. Six alternatively spliced transcript variants encoding two distinct isoforms have been reported. [provided by RefSeq, Jan 2011]
26121|PRPF31|pre-mRNA processing factor 31|This gene encodes a component of the spliceosome complex and is one of several retinitis pigmentosa-causing genes. When the gene product is added to the spliceosome complex, activation occurs.[provided by RefSeq, Jan 2009]
7251|TSG101|tumor susceptibility 101|The protein encoded by this gene belongs to a group of apparently inactive homologs of ubiquitin-conjugating enzymes. The gene product contains a coiled-coil domain that interacts with stathmin, a cytosolic phosphoprotein implicated in tumorigenesis. The protein may play a role in cell growth and differentiation and act as a negative growth regulator. In vitro steady-state expression of this tumor susceptibility gene appears to be important for maintenance of genomic stability and cell cycle regulation. Mutations and alternative splicing in this gene occur in high frequency in breast cancer and suggest that defects occur during breast cancer tumorigenesis and/or progression. [provided by RefSeq, Jul 2008]
6310|ATXN1|ataxin 1|The autosomal dominant cerebellar ataxias (ADCA) are a heterogeneous group of neurodegenerative disorders characterized by progressive degeneration of the cerebellum, brain stem and spinal cord. Clinically, ADCA has been divided into three groups: ADCA types I-III. ADCAI is genetically heterogeneous, with five genetic loci, designated spinocerebellar ataxia (SCA) 1, 2, 3, 4 and 6, being assigned to five different chromosomes. ADCAII, which always presents with retinal degeneration (SCA7), and ADCAIII often referred to as the `pure' cerebellar syndrome (SCA5), are most likely homogeneous disorders. Several SCA genes have been cloned and shown to contain CAG repeats in their coding regions. ADCA is caused by the expansion of the CAG repeats, producing an elongated polyglutamine tract in the corresponding protein. The expanded repeats are variable in size and unstable, usually increasing in size when transmitted to successive generations. The function of the ataxins is not known. This locus has been mapped to chromosome 6, and it has been determined that the diseased allele contains 40-83 CAG repeats, compared to 6-39 in the normal allele, and is associated with spinocerebellar ataxia type 1 (SCA1). Alternative splicing results in multiple transcript variants, with one variant encoding multiple distinct proteins, ATXN1 and Alt-ATXN1, due to the use of overlapping alternate reading frames. [provided by RefSeq, Nov 2017]
